unit,mean,std,n,individual_ratings,item_type
Bleaches can be so powerful that they discolor clothing.,5.9189,1.673,37,"[7, 7, 7, 7, 3, 1, 4, 3, 2, 7, 7, 5, 7, 4, 5, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 4, 7, 5, 7, 7, 4, 6, 7, 6, 7, 7, 7]",filler
Consuming too much fat increases the risk of heart disease.,6.2432,1.3623,37,"[2, 7, 7, 7, 7, 2, 7, 5, 4, 7, 7, 5, 7, 7, 6, 7, 6, 4, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 5, 7, 7, 5, 7, 7, 7]",filler
Customer reviews are the only thing a company needs to care about.,5.027,1.7398,37,"[4, 7, 7, 5, 6, 3, 7, 5, 2, 7, 7, 2, 4, 4, 4, 3, 5, 4, 7, 3, 3, 5, 6, 5, 2, 7, 7, 7, 7, 6, 6, 3, 3, 4, 5, 7, 7]",filler
Finding the means to raise money can sometimes be difficult.,6.0541,1.2006,37,"[6, 7, 5, 7, 4, 7, 7, 5, 7, 7, 7, 7, 7, 6, 5, 7, 7, 4, 6, 4, 7, 5, 7, 7, 7, 7, 4, 5, 6, 6, 5, 3, 7, 5, 7, 7, 7]",filler
In times of trouble you go to your friends not your enemies.,5.8108,1.777,37,"[7, 6, 7, 7, 7, 6, 7, 3, 2, 7, 6, 7, 7, 2, 4, 7, 7, 5, 7, 4, 7, 5, 7, 7, 7, 7, 7, 5, 6, 5, 2, 1, 7, 7, 7, 7, 6]",filler
It is dreadful to constantly live with ill-tempered people.,6.1351,1.3977,37,"[7, 7, 7, 7, 6, 4, 7, 3, 5, 7, 6, 7, 7, 5, 7, 7, 7, 4, 6, 7, 7, 6, 7, 7, 6, 1, 7, 6, 7, 7, 4, 5, 7, 7, 7, 6, 7]",filler
It is just never too late to learn.,5.7297,1.4073,37,"[4, 6, 6, 7, 7, 6, 7, 6, 6, 7, 5, 2, 7, 7, 5, 7, 6, 7, 7, 7, 7, 4, 5, 7, 5, 4, 6, 7, 5, 7, 5, 4, 2, 5, 7, 6, 4]",filler
It is sensible to invest only what you can afford to lose.,6.2432,1.2112,37,"[6, 7, 7, 6, 7, 7, 7, 7, 2, 7, 6, 4, 7, 5, 7, 7, 7, 4, 7, 4, 7, 6, 7, 7, 7, 7, 6, 5, 7, 7, 5, 5, 7, 7, 6, 7, 7]",filler
Larger companies tend to offer the biggest pay rises.,5.2857,1.8242,35,"[5, 6, 7, 6, 5, 6, 7, 5, 2, 6, 7, 4, 6, 7, 7, 3, 7, 2, 6, 5, 6, 7, 7, 7, 5, 3, 6, 7, 1, 1, 3, 5, 6, 5, 7]",filler
Lies are always bad regardless of the reasons behind them.,5.8108,1.3089,37,"[4, 7, 7, 6, 7, 6, 7, 5, 3, 7, 6, 6, 7, 6, 4, 7, 5, 5, 6, 4, 5, 4, 7, 5, 6, 7, 6, 5, 7, 7, 6, 2, 7, 5, 7, 7, 7]",filler
Many eggs will need to be broken when making an omelette.,5.5405,1.5383,37,"[6, 7, 7, 6, 7, 4, 7, 4, 6, 7, 5, 5, 7, 3, 4, 7, 6, 7, 7, 7, 7, 3, 6, 7, 6, 2, 7, 4, 5, 5, 2, 4, 6, 4, 7, 6, 5]",filler
Marathon runners can finish the race without persistence.,3.0541,1.9285,37,"[4, 1, 2, 3, 1, 1, 4, 3, 3, 1, 3, 7, 1, 4, 3, 7, 1, 1, 6, 1, 3, 5, 5, 7, 1, 2, 2, 3, 1, 4, 5, 3, 1, 1, 3, 6, 4]",filler
No American parents provide children access to play video games.,2.8919,1.8527,37,"[4, 2, 7, 2, 3, 1, 7, 3, 4, 1, 5, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 3, 5, 1, 1, 4, 3, 3, 4, 6, 3, 1, 1, 4, 6, 5]",filler
No TV show is too successful to be discontinued.,4.7778,2.1082,9,"[7, 7, 5, 6, 2, 4, 1, 6, 5]",test
No TV show is too unsuccessful to be discontinued.,2.8,1.7889,5,"[4, 3, 5, 1, 1]",test
No abdominal pain is so serious that we cannot keep eating ice creams.,2.5135,1.8046,37,"[4, 1, 7, 3, 1, 1, 7, 4, 1, 2, 4, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 5, 4, 1, 1, 6, 3, 1, 4, 5, 3, 1, 1, 2, 2, 4]",filler
No amateur play is too original to be missed.,3.6,2.6077,5,"[4, 5, 1, 1, 7]",test
No amateur play is too unoriginal to be missed.,1.6667,0.866,9,"[1, 1, 1, 2, 3, 1, 1, 2, 3]",test
No anonymous tip is too important to be neglected.,2.75,2.0529,8,"[5, 3, 6, 1, 1, 1, 4, 1]",test
No anonymous tip is too vague to be neglected.,2.5,1.5166,6,"[3, 3, 1, 2, 5, 1]",test
No applicant is too experienced to be rejected.,4.9167,1.7816,12,"[7, 6, 6, 6, 5, 4, 6, 7, 3, 4, 1, 4]",test
No applicant is too inexperienced to be rejected.,3.1667,2.137,6,"[3, 2, 2, 4, 1, 7]",test
No article is too exceptional to go unpublished.,4.625,1.4079,8,"[6, 5, 3, 3, 3, 6, 6, 5]",test
No article is too mediocre to go unpublished.,3.5,1.9771,12,"[7, 3, 1, 7, 2, 4, 4, 2, 3, 2, 2, 5]",test
No artificial ingredient is too harmful to be used.,5.3333,2.4221,6,"[7, 7, 7, 1, 4, 6]",test
No artificial ingredient is too harmless to be used.,1.8462,1.3445,13,"[5, 1, 4, 1, 3, 1, 1, 1, 1, 1, 2, 1, 2]",test
No chapter is too essential to be skipped.,2.75,1.5,4,"[4, 1, 2, 4]",test
No chapter is too nonessential to be skipped.,3.25,2.0529,8,"[6, 2, 4, 6, 4, 1, 1, 2]",test
No computer game is too harmless to be released.,2.1111,1.0541,9,"[3, 2, 1, 3, 2, 2, 1, 4, 1]",test
No computer game is too violent to be released.,4.25,2.2208,12,"[6, 4, 4, 7, 7, 1, 5, 1, 7, 3, 4, 2]",test
