unit,mean,std,n,individual_ratings,item_type
A compass helps hikers find their way.,4.1667,1.7436,30,"[7, 5, 5, 2, 5, 3, 2, 3, 3, 7, 5, 6, 3, 6, 3, 6, 2, 4, 3, 4, 5, 2, 6, 7, 2, 4, 1, 5, 6, 3]",test
A coral reef shelters fish.,5.9667,1.6501,30,"[6, 7, 5, 6, 4, 7, 7, 6, 7, 7, 1, 7, 7, 6, 1, 7, 6, 7, 6, 7, 7, 7, 6, 6, 4, 4, 7, 7, 7, 7]",test
A suitcase holds everything needed for a trip.,2.1333,1.4794,30,"[2, 2, 6, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 3, 1, 2, 1, 2, 1, 1, 2, 1, 5, 1, 1, 5, 1, 5, 4, 2]",test
April was unexpectedly muggy and warm.,3.3667,2.2358,30,"[3, 5, 6, 3, 6, 1, 1, 7, 2, 7, 1, 4, 1, 3, 1, 1, 1, 5, 7, 2, 2, 3, 1, 7, 4, 4, 6, 1, 5, 1]",test
Attendees can enjoy live performances and art displays.,3.4,1.8864,30,"[2, 5, 5, 4, 4, 4, 5, 1, 1, 5, 1, 5, 3, 2, 1, 6, 1, 2, 1, 2, 6, 2, 3, 1, 6, 3, 7, 5, 5, 4]",test
Attendees chatted at the reception about the lecture.,3.4667,2.0126,30,"[1, 4, 4, 1, 5, 2, 6, 3, 1, 4, 5, 5, 2, 1, 5, 5, 1, 2, 2, 5, 6, 1, 3, 1, 4, 4, 7, 7, 6, 1]",test
Attendees felt motivated to set new goals.,1.6,1.1326,30,"[1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 5, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 5, 2, 2]",test
Bret took off impulsively and embraced the unknown.,1.7667,1.3309,30,"[1, 1, 4, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 4, 2, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 7, 1, 3, 1]",test
Coaches motivate athletes to excel beyond their limits.,1.6,1.1626,30,"[2, 2, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 2, 1, 5, 3, 1]",test
Commuters struggled to find alternative routes.,3.2667,1.7006,30,"[4, 6, 4, 3, 4, 1, 3, 3, 1, 4, 4, 5, 2, 3, 2, 6, 2, 3, 3, 4, 1, 1, 4, 1, 3, 2, 7, 6, 5, 1]",test
Derek had trouble concentrating on his work.,1.6667,1.373,30,"[2, 1, 6, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 6, 4, 2, 1]",test
Everyone's eyes were watering profusely.,1.7667,1.4308,30,"[1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 5, 2, 1, 3, 3, 1, 1, 6, 1, 1, 1, 4, 1, 1, 1, 2]",test
Fans praised the plot twists and complex characters.,1.2333,0.504,30,"[3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2]",test
Fluency enables deeper cultural understanding.,1.1333,0.3457,30,"[2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Happy consumers are more likely to spread the word.,1.2069,0.4123,29,"[1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Jane figured out the last problem at the last minute.,1.2,0.4842,30,"[2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",test
Knowledge gives people the skills to navigate life.,1.1,0.3051,30,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Local climate patterns began to change.,3.7667,2.1445,30,"[5, 4, 7, 4, 1, 1, 4, 3, 5, 7, 1, 4, 4, 3, 1, 3, 1, 6, 6, 4, 1, 1, 5, 7, 3, 2, 6, 7, 6, 1]",test
Local vendors sell fresh produce and handmade crafts.,4.3448,1.7983,29,"[4, 5, 5, 2, 7, 5, 3, 1, 6, 5, 7, 5, 3, 3, 6, 5, 2, 5, 6, 6, 3, 6, 5, 1, 3, 6, 6, 4, 1]",test
Museums display history for curious minds.,4.2,2.0745,30,"[6, 3, 5, 6, 7, 5, 5, 2, 1, 6, 3, 5, 1, 2, 1, 7, 1, 6, 3, 7, 5, 2, 6, 4, 2, 2, 6, 7, 5, 5]",test
Native fish populations began to decline.,4.2,1.7889,30,"[6, 4, 4, 3, 5, 5, 4, 3, 5, 7, 1, 5, 5, 5, 1, 5, 3, 6, 5, 4, 1, 2, 6, 6, 4, 5, 1, 7, 6, 2]",test
On-the-ground reporting offered firsthand insights.,2.1667,1.5775,30,"[1, 1, 4, 3, 1, 3, 1, 1, 1, 1, 1, 1, 2, 3, 3, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 3, 7, 6, 5, 1]",test
Participants can earn prizes for reading milestones.,1.2,0.4842,30,"[1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",test
People flocked to the beach to cool off in the water.,6.4667,0.8996,30,"[7, 7, 7, 7, 5, 7, 7, 6, 7, 7, 3, 6, 7, 7, 5, 7, 6, 6, 7, 6, 6, 6, 7, 6, 7, 7, 7, 7, 7, 7]",test
People who drink too much are at risk for cancer.,1.1667,0.4611,30,"[1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",test
Residents gathered to discuss possible explanations.,2.1034,1.4963,29,"[1, 5, 4, 1, 1, 2, 1, 1, 1, 2, 5, 1, 1, 1, 3, 2, 3, 1, 1, 2, 1, 1, 2, 2, 2, 6, 5, 2, 1]",test
Sailors hurried to secure their boats at the dock.,5.3333,1.4933,30,"[6, 5, 4, 3, 4, 5, 6, 5, 7, 7, 1, 6, 6, 6, 6, 6, 5, 6, 2, 5, 6, 6, 5, 4, 4, 6, 7, 7, 7, 7]",test
Sam was never afraid to speak up.,1.0667,0.2537,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2]",test
Sarah brought her umbrella and stayed dry.,3.1,1.6474,30,"[2, 4, 6, 1, 2, 3, 1, 2, 4, 6, 1, 4, 1, 4, 3, 3, 4, 3, 3, 4, 2, 5, 1, 5, 1, 6, 1, 4, 5, 2]",test
