unit,mean,std,n,individual_ratings
I think it's 100% likely that Chris had cut down a tree before. Today he cut down a tree again.,3.8947,1.2521,19,"[1, 5, 5, 3, 3, 4, 2, 3, 5, 5, 5, 4, 2, 5, 3, 5, 4, 5, 5]"
I think it's 100% likely that Chris had never cut down a tree before. Today he cut down a tree again.,2.6842,1.5578,19,"[2, 5, 1, 2, 5, 5, 5, 5, 1, 2, 4, 1, 2, 2, 1, 3, 2, 2, 1]"
I think it's 100% likely that Connie had knitted a sweater before. Today she knitted a sweater again.,4.05,1.0235,20,"[4, 2, 5, 5, 4, 2, 3, 5, 5, 4, 3, 5, 5, 5, 5, 3, 4, 5, 4, 3]"
I think it's 100% likely that Connie had never knitted a sweater before. Today she knitted a sweater again.,1.9,1.3748,20,"[1, 2, 5, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 5, 1, 1, 5, 2]"
I think it's 100% likely that Danielle had flown on a plane before. Today she flew on a plane again.,4.25,0.8874,20,"[5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 5, 5, 2, 5, 5, 2]"
I think it's 100% likely that Danielle had never flown on a plane before. Today she flew on a plane again.,1.9,1.3,20,"[1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 5, 1, 2, 2, 2, 1, 5, 1, 4, 1]"
I think it's 100% likely that Gavin did not have a gambling problem. Claire had a gambling problem too.,2.4737,1.6016,19,"[2, 5, 1, 2, 1, 5, 5, 5, 2, 1, 1, 1, 4, 1, 1, 3, 2, 4, 1]"
I think it's 100% likely that Gavin had a gambling problem. Claire had a gambling problem too.,3.8,1.249,20,"[5, 2, 5, 5, 3, 3, 5, 2, 4, 5, 4, 5, 3, 2, 1, 4, 5, 4, 5, 4]"
I think it's 100% likely that Jack attended all of the team's games. Owen attended all of the team's games too.,4.0,1.0488,20,"[5, 3, 5, 4, 4, 5, 2, 5, 5, 4, 3, 5, 5, 5, 5, 3, 3, 4, 2, 3]"
I think it's 100% likely that Jack did not attend all of the team's games. Owen attended all of the team's games too.,2.4,1.4283,20,"[1, 1, 5, 2, 3, 1, 5, 5, 2, 1, 1, 1, 2, 2, 2, 4, 2, 1, 3, 4]"
I think it's 100% likely that Jack had never ridden a horse before. Today he rode a horse again.,2.0,1.3038,20,"[1, 5, 3, 4, 1, 2, 1, 4, 2, 1, 1, 3, 1, 1, 2, 1, 1, 4, 1, 1]"
I think it's 100% likely that Jack had ridden a horse before. Today he rode a horse again.,3.9474,1.1909,19,"[2, 2, 2, 4, 5, 5, 5, 3, 5, 4, 5, 5, 2, 5, 4, 3, 5, 5, 4]"
I think it's 100% likely that Jake had flown a kite before. Today he flew a kite again.,3.7368,1.3315,19,"[2, 3, 2, 4, 5, 5, 5, 1, 5, 4, 5, 2, 3, 5, 5, 2, 5, 4, 4]"
I think it's 100% likely that Jake had never flown a kite before. Today he flew a kite again.,1.9,0.8888,20,"[1, 3, 3, 3, 1, 2, 2, 4, 2, 1, 2, 3, 1, 2, 1, 2, 1, 1, 1, 2]"
I think it's 100% likely that Jennifer had acted in a play before. Today she acted in a play again.,3.9444,1.3933,18,"[2, 5, 1, 4, 5, 5, 5, 5, 4, 4, 2, 1, 5, 5, 4, 5, 5, 4]"
I think it's 100% likely that Jennifer had never acted in a play before. Today she acted in a play again.,2.1579,1.348,19,"[1, 3, 3, 3, 5, 1, 4, 1, 1, 2, 5, 1, 2, 1, 1, 1, 3, 1, 2]"
I think it's 100% likely that Jill had never swallowed a bug before. Today she swallowed a bug again.,2.05,1.244,20,"[1, 1, 1, 2, 2, 3, 2, 1, 1, 2, 5, 1, 2, 2, 2, 1, 4, 1, 2, 5]"
I think it's 100% likely that Jill had swallowed a bug before. Today she swallowed a bug again.,3.85,1.0618,20,"[4, 5, 2, 4, 4, 2, 4, 5, 5, 2, 4, 4, 5, 3, 4, 5, 2, 4, 5, 4]"
I think it's 100% likely that Jim had hit a homerun before. Today he hit a homerun again.,3.7,1.4526,20,"[1, 4, 3, 5, 5, 5, 5, 4, 5, 4, 2, 2, 5, 5, 2, 2, 5, 1, 4, 5]"
I think it's 100% likely that Jim had never hit a homerun before. Today he hit a homerun again.,2.6,1.4629,20,"[4, 5, 3, 4, 2, 1, 1, 1, 3, 2, 4, 5, 5, 2, 3, 1, 3, 1, 1, 1]"
I think it's 100% likely that John did not go swimming at the pool. Bill went swimming at the pool too.,2.7895,1.4718,19,"[4, 5, 4, 4, 4, 2, 1, 1, 2, 4, 5, 5, 3, 2, 1, 2, 1, 2, 1]"
I think it's 100% likely that John went swimming at the pool. Bill went swimming at the pool too.,4.1,0.9434,20,"[3, 5, 3, 5, 3, 5, 3, 4, 5, 4, 3, 3, 5, 5, 3, 3, 5, 5, 5, 5]"
I think it's 100% likely that Julia had gotten lost. Emma had gotten lost too.,3.8421,1.2675,19,"[5, 1, 3, 4, 5, 5, 4, 2, 4, 4, 5, 5, 2, 5, 5, 2, 5, 3, 4]"
