unit,mean,std,n,individual_ratings
"A fireman explained the rule to passers-by, and a policeman did too.",3.2,1.3038,5,"[5, 2, 3, 2, 4]"
"A fireman explained the rule to passers-by, and a policeman did.",1.4,0.5477,5,"[2, 2, 1, 1, 1]"
"A fireman explained the rule to passers-by, and a policeman explained it to passers-by too.",2.8,0.8367,5,"[3, 4, 2, 3, 2]"
"A fireman explained the rule to passers-by, and a policeman explained it to passers-by.",2.4,1.1402,5,"[4, 2, 1, 2, 3]"
"A fireman explained the rule to passers-by, and a policeman explained it to them too.",4.0,0.8165,4,"[3, 5, 4, 4]"
"A fireman explained the rule to passers-by, and a policeman explained it to them.",2.6,1.3416,5,"[2, 4, 2, 1, 4]"
"A fireman explained the rule to passers-by, and a policeman explained the rule to passers-by too.",2.4,0.8944,5,"[2, 3, 3, 1, 3]"
"A fireman explained the rule to passers-by, and a policeman explained the rule to passers-by.",3.2,0.4472,5,"[3, 4, 3, 3, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor did too.",3.0,1.4142,5,"[3, 5, 3, 1, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor did.",2.2,1.3038,5,"[3, 4, 1, 2, 1]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated the guinea pigs with the vaccination too.",2.4,0.8944,5,"[2, 3, 3, 1, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated the guinea pigs with the vaccination.",3.4,0.5477,5,"[3, 4, 3, 4, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with it too.",3.0,1.0,5,"[2, 4, 4, 2, 3]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with it.",3.4,0.8944,5,"[2, 4, 3, 4, 4]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with the vaccination too.",3.4,1.3416,5,"[4, 4, 2, 2, 5]"
"A lab assistant inoculated the guinea pigs with the vaccination, and a doctor inoculated them with the vaccination.",2.0,1.7321,5,"[5, 2, 1, 1, 1]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to him too.",3.2,1.3038,5,"[3, 4, 4, 1, 4]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to him.",3.0,0.7071,5,"[2, 4, 3, 3, 3]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to the professor too.",3.2,1.3038,5,"[4, 2, 2, 3, 5]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated it to the professor.",3.2,1.0954,5,"[3, 3, 2, 5, 3]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated this theorem to the professor too.",2.8,1.0954,5,"[4, 4, 2, 2, 2]"
"A student demonstrated this theorem to the professor, and his colleague demonstrated this theorem to the professor.",2.0,0.7071,5,"[2, 3, 2, 1, 2]"
"A student demonstrated this theorem to the professor, and his colleague did too.",3.6,1.1402,5,"[4, 4, 2, 3, 5]"
"A student demonstrated this theorem to the professor, and his colleague did.",2.0,1.2247,5,"[4, 1, 1, 2, 2]"
Alice got bright pink highlights in her hair.,4.9,0.3038,40,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4]"
"An attendant reminded the visitor about the rules, and the director did too.",3.0,1.4142,5,"[2, 4, 4, 1, 4]"
"An attendant reminded the visitor about the rules, and the director did.",3.0,1.2247,5,"[3, 2, 3, 5, 2]"
"An attendant reminded the visitor about the rules, and the director reminded him about the rules too.",3.4,0.8944,5,"[4, 4, 4, 2, 3]"
"An attendant reminded the visitor about the rules, and the director reminded him about the rules.",2.8,1.3038,5,"[3, 4, 1, 2, 4]"
"An attendant reminded the visitor about the rules, and the director reminded him about them too.",3.4,0.8944,5,"[4, 4, 2, 3, 4]"
"An attendant reminded the visitor about the rules, and the director reminded him about them.",2.4,0.8944,5,"[4, 2, 2, 2, 2]"
"An attendant reminded the visitor about the rules, and the director reminded the visitor about the rules too.",2.8,1.4832,5,"[5, 2, 3, 1, 3]"
"An attendant reminded the visitor about the rules, and the director reminded the visitor about the rules.",2.6,0.8944,5,"[4, 2, 2, 3, 2]"
"An inspector indicated the dining car to Jackie, and a passenger did too.",3.0,1.0,5,"[2, 4, 4, 2, 3]"
"An inspector indicated the dining car to Jackie, and a passenger did.",2.2,1.0954,5,"[4, 2, 2, 2, 1]"
"An inspector indicated the dining car to Jackie, and a passenger indicated it to Jackie too.",2.6,1.1402,5,"[2, 3, 3, 1, 4]"
