unit,mean,std,n,individual_ratings
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out what who left in the conference hall.",3.3913,1.7513,23,"[1, 2, 2, 3, 3, 2, 6, 5, 4, 5, 4, 5, 4, 3, 3, 1, 6, 2, 7, 5, 2, 2, 1]"
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out what who left where.",4.5789,2.6101,19,"[2, 7, 1, 3, 7, 1, 6, 7, 7, 7, 6, 1, 1, 7, 7, 4, 6, 1, 6]"
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out what who was missing.",2.6842,1.7967,19,"[2, 1, 1, 1, 5, 6, 2, 6, 2, 1, 5, 1, 2, 3, 1, 1, 4, 4, 3]"
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out who left what in the conference hall.",5.2000,1.6073,25,"[7, 4, 6, 7, 5, 5, 1, 7, 6, 6, 7, 5, 4, 4, 6, 7, 3, 6, 6, 3, 4, 7, 6, 5, 3]"
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out who left what where.",5.5238,1.8335,21,"[6, 2, 6, 7, 7, 7, 6, 6, 6, 7, 7, 2, 7, 6, 6, 2, 7, 6, 5, 6, 2]"
"A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens, many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily, the hotel had a lost-and-found service, which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The department head was trying to figure out who was missing what.",5.6522,1.4957,23,"[7, 5, 6, 7, 5, 7, 7, 6, 4, 6, 7, 6, 2, 4, 4, 7, 4, 6, 7, 7, 3, 6, 7]"
A big sale event was happening at the car dealership last week. Several salesmen were helping many interested customers. In the afternoon several cars got sold. The foreman asked what who bought.,3.1562,2.1718,32,"[2, 2, 3, 6, 1, 2, 1, 1, 7, 5, 1, 1, 2, 2, 6, 2, 6, 7, 1, 2, 3, 5, 3, 7, 1, 2, 6, 6, 4, 2, 1, 1]"
A big sale event was happening at the car dealership last week. Several salesmen were helping many interested customers. In the afternoon several cars got sold. The foreman asked what who sold to the customers.,3.0000,2.4083,31,"[1, 1, 1, 7, 7, 1, 1, 1, 2, 1, 1, 6, 3, 1, 7, 5, 7, 2, 7, 2, 6, 2, 2, 3, 2, 1, 1, 7, 2, 2, 1]"
A big sale event was happening at the car dealership last week. Several salesmen were helping many interested customers. In the afternoon several cars got sold. The foreman asked what who sold to whom.,3.4545,2.0477,33,"[3, 2, 7, 1, 4, 7, 7, 2, 6, 2, 2, 4, 6, 3, 2, 5, 5, 3, 2, 1, 7, 2, 3, 5, 5, 5, 1, 1, 4, 1, 4, 1, 1]"
A big sale event was happening at the car dealership last week. Several salesmen were helping many interested customers. In the afternoon several cars got sold. The foreman asked who bought what.,6.0323,1.0483,31,"[7, 7, 6, 7, 7, 6, 6, 6, 4, 5, 4, 7, 7, 7, 5, 7, 6, 6, 7, 7, 4, 7, 5, 7, 5, 7, 7, 6, 5, 5, 5]"
