unit,mean,std,n,individual_ratings
The accountant was determined to balance every account that his most extravagant client also balanced.,3.5,1.1952,8,"[4, 5, 3, 5, 2, 3, 4, 2]"
The accountant was determined to balance every account that his most extravagant client also did.,2.5,1.069,8,"[2, 2, 2, 2, 3, 5, 2, 2]"
The accountant was determined to balance every account that his most extravagant client balanced.,4.125,0.6409,8,"[5, 5, 4, 4, 4, 4, 3, 4]"
The accountant was determined to balance every account that his most extravagant client did.,2.75,1.2817,8,"[2, 3, 2, 3, 5, 1, 2, 4]"
The accountant was determined to balance the account that his most extravagant client also balanced.,4.0,1.4142,8,"[4, 5, 4, 1, 5, 5, 5, 3]"
The accountant was determined to balance the account that his most extravagant client also did.,3.0,0.7559,8,"[3, 3, 3, 2, 4, 3, 4, 2]"
The accountant was determined to balance the account that his most extravagant client balanced.,3.625,0.744,8,"[4, 4, 3, 4, 3, 3, 3, 5]"
The accountant was determined to balance the account that his most extravagant client did.,2.5,1.3093,8,"[5, 3, 2, 3, 1, 2, 3, 1]"
The accountant was persuaded to allow every audit that his financially responsible colleague allowed.,3.6667,0.8165,6,"[4, 4, 2, 4, 4, 4]"
The accountant was persuaded to allow every audit that his financially responsible colleague also allowed.,4.0,0.7559,8,"[5, 3, 5, 4, 4, 4, 3, 4]"
The accountant was persuaded to allow every audit that his financially responsible colleague also did.,3.375,1.5059,8,"[2, 2, 5, 4, 5, 1, 4, 4]"
The accountant was persuaded to allow every audit that his financially responsible colleague did.,4.0,1.069,8,"[4, 5, 5, 4, 4, 2, 3, 5]"
The accountant was persuaded to allow the audit that his financially responsible colleague allowed.,4.0,0.7559,8,"[3, 4, 4, 5, 3, 5, 4, 4]"
The accountant was persuaded to allow the audit that his financially responsible colleague also allowed.,3.5,1.069,8,"[3, 3, 3, 5, 4, 3, 2, 5]"
The accountant was persuaded to allow the audit that his financially responsible colleague also did.,2.125,1.126,8,"[2, 3, 4, 3, 1, 1, 2, 1]"
The accountant was persuaded to allow the audit that his financially responsible colleague did.,2.875,1.126,8,"[4, 3, 4, 3, 2, 1, 4, 2]"
The artist was content to accept every grant that his somewhat reluctant agent accepted.,4.5,0.5345,8,"[4, 4, 5, 5, 4, 5, 5, 4]"
The artist was content to accept every grant that his somewhat reluctant agent also accepted.,3.5,1.3093,8,"[4, 5, 2, 4, 4, 2, 2, 5]"
The artist was content to accept every grant that his somewhat reluctant agent also did.,2.25,1.165,8,"[2, 2, 4, 2, 4, 1, 2, 1]"
The artist was content to accept every grant that his somewhat reluctant agent did.,3.625,1.0607,8,"[4, 4, 3, 5, 2, 3, 5, 3]"
The artist was content to accept the grant that his somewhat reluctant agent accepted.,3.8333,1.169,6,"[5, 4, 2, 4, 5, 3]"
The artist was content to accept the grant that his somewhat reluctant agent also accepted.,4.0,0.9258,8,"[4, 5, 5, 4, 5, 3, 3, 3]"
The artist was content to accept the grant that his somewhat reluctant agent also did.,3.75,1.2817,8,"[5, 2, 2, 3, 5, 4, 4, 5]"
The artist was content to accept the grant that his somewhat reluctant agent did.,3.875,1.3562,8,"[5, 5, 5, 3, 4, 2, 2, 5]"
The artist was prepared to hire every model that the extremely successful sculptor also did.,2.8571,1.3452,7,"[3, 3, 2, 4, 5, 1, 2]"
The artist was prepared to hire every model that the extremely successful sculptor also hired.,4.375,0.744,8,"[4, 5, 4, 5, 5, 4, 5, 3]"
The artist was prepared to hire every model that the extremely successful sculptor did.,3.75,1.165,8,"[2, 5, 3, 4, 5, 3, 3, 5]"
The artist was prepared to hire every model that the extremely successful sculptor hired.,4.5,0.5345,8,"[4, 5, 5, 5, 5, 4, 4, 4]"
The artist was prepared to hire the model that the extremely successful sculptor also did.,3.0,1.3093,8,"[2, 4, 3, 3, 4, 1, 2, 5]"
The artist was prepared to hire the model that the extremely successful sculptor also hired.,4.75,0.4629,8,"[5, 5, 5, 4, 4, 5, 5, 5]"
The artist was prepared to hire the model that the extremely successful sculptor did.,2.875,1.3562,8,"[5, 2, 2, 3, 2, 2, 5, 2]"
The artist was prepared to hire the model that the extremely successful sculptor hired.,4.0,1.069,8,"[3, 3, 5, 5, 3, 5, 3, 5]"
The author was committed to editing every page that her very thorough publisher also did.,3.75,1.165,8,"[3, 5, 5, 4, 3, 3, 2, 5]"
The author was committed to editing every page that her very thorough publisher also edited.,4.125,0.6409,8,"[5, 4, 4, 4, 5, 3, 4, 4]"
The author was committed to editing every page that her very thorough publisher did.,3.375,1.0607,8,"[3, 3, 4, 2, 4, 5, 4, 2]"
The author was committed to editing every page that her very thorough publisher edited.,4.7143,0.488,7,"[5, 5, 5, 4, 4, 5, 5]"
The author was committed to editing the page that her very thorough publisher also did.,3.125,0.991,8,"[4, 2, 4, 4, 3, 4, 2, 2]"
The author was committed to editing the page that her very thorough publisher also edited.,3.5,1.3093,8,"[2, 4, 5, 4, 4, 4, 1, 4]"
The author was committed to editing the page that her very thorough publisher did.,3.7143,1.3801,7,"[5, 2, 4, 5, 5, 3, 2]"
The author was committed to editing the page that her very thorough publisher edited.,4.125,0.8345,8,"[4, 5, 4, 5, 3, 3, 5, 4]"
The author was likely to tell every story that his forgetful old father also did.,2.875,0.991,8,"[4, 2, 2, 4, 4, 3, 2, 2]"
The author was likely to tell every story that his forgetful old father also told.,4.0,1.069,8,"[2, 5, 4, 4, 5, 5, 3, 4]"
The author was likely to tell every story that his forgetful old father did.,4.1429,1.069,7,"[4, 5, 4, 5, 5, 4, 2]"
The author was likely to tell every story that his forgetful old father told.,4.25,0.4629,8,"[4, 5, 4, 4, 4, 5, 4, 4]"
The author was likely to tell the story that his forgetful old father also did.,3.375,1.3025,8,"[2, 4, 5, 4, 2, 2, 3, 5]"
The author was likely to tell the story that his forgetful old father also told.,4.125,1.126,8,"[2, 5, 5, 4, 5, 5, 4, 3]"
The author was likely to tell the story that his forgetful old father did.,3.75,0.8864,8,"[2, 4, 4, 4, 4, 3, 4, 5]"
The author was likely to tell the story that his forgetful old father told.,4.625,0.744,8,"[5, 5, 3, 4, 5, 5, 5, 5]"
The babysitter was allowed to eat every snack that the constantly unhappy child also ate.,3.75,1.165,8,"[4, 5, 4, 4, 4, 2, 2, 5]"
The babysitter was allowed to eat every snack that the constantly unhappy child also did.,2.5,1.069,8,"[1, 3, 3, 3, 3, 1, 4, 2]"
The babysitter was allowed to eat every snack that the constantly unhappy child ate.,4.0,1.069,8,"[3, 4, 5, 5, 4, 5, 2, 4]"
The babysitter was allowed to eat every snack that the constantly unhappy child did.,3.625,1.0607,8,"[4, 3, 3, 5, 2, 3, 5, 4]"
The babysitter was allowed to eat the snack that the constantly unhappy child also ate.,4.125,0.6409,8,"[4, 5, 5, 4, 4, 4, 3, 4]"
The babysitter was allowed to eat the snack that the constantly unhappy child also did.,3.375,1.5059,8,"[5, 1, 3, 3, 5, 5, 2, 3]"
The babysitter was allowed to eat the snack that the constantly unhappy child ate.,3.625,1.0607,8,"[4, 4, 4, 2, 4, 5, 2, 4]"
The babysitter was allowed to eat the snack that the constantly unhappy child did.,3.125,1.126,8,"[2, 5, 4, 3, 4, 2, 2, 3]"
The babysitter was content to watch every child that her older half sister also did.,3.0,1.1952,8,"[5, 2, 4, 4, 2, 2, 2, 3]"
The babysitter was content to watch every child that her older half sister also watched.,3.5,0.9258,8,"[2, 4, 4, 2, 4, 4, 4, 4]"
The babysitter was content to watch every child that her older half sister did.,3.8571,1.069,7,"[5, 4, 3, 4, 5, 4, 2]"
The babysitter was content to watch every child that her older half sister watched.,4.125,1.3562,8,"[4, 5, 1, 5, 4, 5, 5, 4]"
The babysitter was content to watch the child that her older half sister also did.,3.375,1.4079,8,"[1, 5, 4, 4, 3, 3, 2, 5]"
The babysitter was content to watch the child that her older half sister also watched.,4.125,0.991,8,"[2, 5, 4, 4, 5, 4, 4, 5]"
The babysitter was content to watch the child that her older half sister did.,3.375,0.744,8,"[2, 3, 4, 3, 4, 4, 3, 4]"
The babysitter was content to watch the child that her older half sister watched.,4.75,0.4629,8,"[4, 5, 5, 5, 5, 5, 5, 4]"
The banker was excited to take every break that her very lazy supervisor also did.,3.625,0.9161,8,"[3, 4, 4, 5, 3, 2, 4, 4]"
The banker was excited to take every break that her very lazy supervisor also took.,4.8571,0.378,7,"[5, 5, 5, 4, 5, 5, 5]"
The banker was excited to take every break that her very lazy supervisor did.,3.5,1.1952,8,"[5, 2, 4, 3, 4, 5, 3, 2]"
The banker was excited to take every break that her very lazy supervisor took.,4.25,0.8864,8,"[5, 3, 4, 5, 4, 5, 3, 5]"
The banker was excited to take the break that her very lazy supervisor also did.,3.375,1.3025,8,"[5, 4, 5, 2, 3, 4, 2, 2]"
The banker was excited to take the break that her very lazy supervisor also took.,4.0,0.7559,8,"[4, 5, 4, 5, 3, 3, 4, 4]"
The banker was excited to take the break that her very lazy supervisor did.,3.125,1.3562,8,"[2, 3, 4, 2, 5, 2, 2, 5]"
The banker was excited to take the break that her very lazy supervisor took.,3.875,0.991,8,"[5, 5, 3, 4, 4, 4, 2, 4]"
The banker was permitted to authorize every payment that the ambitious desk clerk also authorized.,4.75,0.4629,8,"[5, 5, 5, 4, 5, 5, 4, 5]"
The banker was permitted to authorize every payment that the ambitious desk clerk also did.,3.125,0.991,8,"[2, 4, 4, 4, 4, 2, 2, 3]"
The banker was permitted to authorize every payment that the ambitious desk clerk authorized.,4.0,0.9258,8,"[4, 4, 3, 5, 5, 3, 3, 5]"
The banker was permitted to authorize every payment that the ambitious desk clerk did.,3.1429,1.069,7,"[5, 3, 3, 4, 2, 3, 2]"
The banker was permitted to authorize the payment that the ambitious desk also authorized.,3.375,1.3025,8,"[4, 5, 3, 5, 2, 2, 4, 2]"
The banker was permitted to authorize the payment that the ambitious desk authorized.,2.625,1.1877,8,"[2, 4, 2, 4, 1, 4, 2, 2]"
The banker was permitted to authorize the payment that the ambitious desk clerk also did.,3.125,1.2464,8,"[5, 2, 4, 2, 4, 4, 2, 2]"
The banker was permitted to authorize the payment that the ambitious desk clerk did.,3.375,1.3025,8,"[2, 3, 2, 4, 5, 2, 4, 5]"
The boss was careful to copy every receipt that his inattentive eldest son also copied.,4.375,0.744,8,"[4, 5, 5, 5, 5, 4, 3, 4]"
The boss was careful to copy every receipt that his inattentive eldest son also did.,2.5714,1.1339,7,"[2, 2, 4, 2, 1, 4, 3]"
The boss was careful to copy every receipt that his inattentive eldest son copied.,4.5,0.5477,6,"[5, 4, 5, 4, 5, 4]"
The boss was careful to copy every receipt that his inattentive eldest son did.,3.75,1.2817,8,"[5, 5, 5, 3, 4, 2, 2, 4]"
The boss was careful to copy the receipt that his inattentive eldest son also copied.,3.0,1.4142,8,"[2, 2, 2, 5, 2, 4, 2, 5]"
The boss was careful to copy the receipt that his inattentive eldest son also did.,1.625,0.744,8,"[1, 2, 3, 2, 1, 1, 2, 1]"
The boss was careful to copy the receipt that his inattentive eldest son copied.,3.625,0.9161,8,"[3, 3, 5, 2, 4, 4, 4, 4]"
The boss was careful to copy the receipt that his inattentive eldest son did.,3.2857,1.2536,7,"[4, 4, 2, 5, 2, 4, 2]"
The boss was nervous to attend every conference that his obnoxiously talkative employee also attended.,3.875,0.991,8,"[2, 4, 4, 5, 4, 5, 3, 4]"
The boss was nervous to attend every conference that his obnoxiously talkative employee also did.,3.75,1.165,8,"[5, 5, 4, 4, 4, 2, 2, 4]"
The boss was nervous to attend every conference that his obnoxiously talkative employee attended.,4.0,0.9258,8,"[2, 4, 5, 4, 5, 4, 4, 4]"
The boss was nervous to attend every conference that his obnoxiously talkative employee did.,4.25,0.8864,8,"[5, 5, 3, 5, 4, 4, 3, 5]"
The boss was nervous to attend the conference that his obnoxiously talkative employee also attended.,4.375,0.9161,8,"[3, 3, 5, 5, 5, 5, 5, 4]"
The boss was nervous to attend the conference that his obnoxiously talkative employee also did.,3.375,0.9161,8,"[3, 4, 4, 2, 4, 2, 4, 4]"
The boss was nervous to attend the conference that his obnoxiously talkative employee attended.,4.25,0.7071,8,"[5, 4, 4, 4, 5, 5, 3, 4]"
The boss was nervous to attend the conference that his obnoxiously talkative employee did.,3.125,1.3562,8,"[4, 2, 5, 4, 2, 4, 1, 3]"
The carpenter was able to handle every tool that the horribly clumsy apprentice also did.,3.75,1.488,8,"[2, 5, 5, 5, 5, 2, 2, 4]"
The carpenter was able to handle every tool that the horribly clumsy apprentice also handled.,3.375,1.0607,8,"[4, 4, 2, 4, 2, 5, 3, 3]"
The carpenter was able to handle every tool that the horribly clumsy apprentice did.,4.125,1.126,8,"[4, 2, 4, 5, 5, 5, 3, 5]"
