unit,mean,std,n,individual_ratings
Amanda choked Jessica and similarly she chammed,1.8861,0.6791,79,"[1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 1, 3, 2, 3, 3, 2, 1, 2, 2, 1, 3, 3, 1, 2, 3, 2, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, 3, 2, 2, 2, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1]"
Amanda delighted Jenny and similarly she zibbed,1.9231,0.66,78,"[1, 3, 2, 1, 1, 2, 2, 3, 2, 1, 3, 3, 2, 2, 2, 3, 2, 3, 2, 2, 1, 2, 3, 1, 3, 3, 1, 3, 2, 2, 3, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 1, 1, 2, 2, 2, 1, 2, 2, 1, 3, 2, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 2, 1, 2, 1, 2, 1]"
Amy shook Justin and similarly he zadded,2.519,0.6377,79,"[3, 3, 3, 1, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 3, 2, 3, 1, 3, 2, 1, 3, 2, 3, 3, 2, 3, 3, 3, 2, 3, 3, 3, 2, 2, 3, 1, 3, 2, 3, 2, 2, 3, 3, 3, 3, 3, 2, 3, 2, 3, 1, 3, 2, 2]"
Amy shook Kate and similarly she daxed,1.7975,0.6865,79,"[1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 2, 3, 3, 1, 1, 2, 2, 1, 3, 3, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 1]"
Angela healed Kim and similarly she ganned,1.9241,0.6938,79,"[1, 3, 1, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 3, 2, 1, 2, 2, 1, 3, 3, 1, 3, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 3, 1, 2, 2, 2, 1, 3, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1]"
Anne rocked Lisa and similarly she heafed,1.8481,0.681,79,"[1, 3, 1, 1, 1, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 2, 2, 3, 3, 2, 1, 2, 3, 1, 2, 3, 1, 3, 2, 1, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 3, 1, 1, 2, 1, 2, 1]"
Ben bounced Amy and similarly he twibbed,2.443,0.7116,79,"[3, 3, 3, 1, 1, 2, 2, 3, 2, 3, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 2, 2, 2, 1, 3, 2, 3, 3, 2, 3, 3, 2, 1, 3, 3, 3, 2, 3, 3, 1, 3, 2, 3, 1, 2, 2, 2, 3, 3, 1, 1, 2, 1, 3, 3, 3, 2, 2]"
Ben bounced Eric and similarly he bicked,1.8987,0.6905,79,"[1, 3, 2, 1, 1, 2, 2, 1, 2, 1, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 1, 3, 2, 2, 3, 3, 2, 3, 1, 2, 3, 2, 1, 2, 3, 2, 1, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1, 2, 2, 2, 1]"
Ben enjoyed Anne and similarly he kuped,2.4684,0.6763,79,"[3, 3, 3, 1, 1, 2, 2, 3, 2, 3, 3, 2, 3, 2, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 2, 1, 3, 2, 3, 3, 1, 3, 2, 3, 2, 3, 3, 3, 2, 3, 3, 1, 1, 2, 3, 1, 2, 2, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 2, 2]"
Ben enjoyed Diego and similarly he temmed,1.8861,0.6977,79,"[1, 3, 2, 1, 2, 2, 2, 1, 2, 1, 3, 3, 1, 2, 2, 3, 2, 3, 3, 2, 1, 3, 3, 1, 2, 3, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 3, 2, 1, 2, 2, 1, 3, 1, 1, 2, 2, 2, 1, 2, 2, 2, 3, 3, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2, 1, 1, 2, 1, 2, 1]"
