unit,mean,std,n,individual_ratings
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,4.3667,1.6829,30,"[3, 3, 3, 4, 7, 5, 7, 3, 5, 7, 2, 7, 5, 3, 6, 4, 3, 2, 7, 3, 5, 3, 2, 5, 7, 4, 2, 5, 4, 5]"
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,5.0333,1.2512,30,"[6, 5, 4, 4, 6, 7, 5, 4, 7, 7, 7, 5, 5, 5, 5, 5, 4, 1, 5, 4, 4, 5, 7, 4, 5, 4, 5, 5, 5, 6]"
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,4.3,1.6155,30,"[2, 2, 4, 5, 4, 6, 2, 7, 5, 7, 5, 6, 5, 1, 3, 3, 4, 2, 5, 4, 6, 3, 3, 6, 5, 7, 5, 4, 3, 5]"
A lighthouse guides ships to safety. A compass helps hikers find their way.,4.5333,1.7651,30,"[7, 6, 3, 5, 3, 1, 6, 6, 6, 7, 6, 7, 4, 4, 6, 3, 3, 2, 6, 4, 5, 5, 3, 4, 1, 6, 2, 6, 3, 6]"
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,5.7333,1.2365,30,"[5, 7, 5, 6, 7, 5, 7, 6, 7, 7, 7, 5, 6, 6, 6, 6, 5, 2, 6, 3, 6, 7, 7, 7, 5, 5, 4, 7, 5, 5]"
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,4.3667,1.5162,30,"[3, 3, 4, 4, 3, 4, 6, 5, 5, 6, 7, 6, 5, 3, 7, 4, 4, 1, 4, 3, 6, 3, 3, 7, 5, 4, 2, 5, 3, 6]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,3.3333,1.7951,30,"[3, 2, 2, 4, 6, 5, 2, 4, 5, 7, 7, 5, 4, 1, 4, 3, 3, 1, 1, 2, 4, 2, 5, 2, 1, 5, 1, 1, 3, 5]"
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,2.2667,1.2092,30,"[2, 2, 2, 2, 5, 4, 2, 2, 4, 4, 2, 5, 3, 2, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 4]"
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,5.6552,1.3964,29,"[5, 6, 4, 5, 3, 5, 7, 4, 7, 7, 7, 6, 6, 6, 5, 5, 1, 7, 7, 5, 7, 7, 6, 7, 5, 7, 6, 5, 6]"
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,3.1,1.7767,30,"[3, 3, 4, 3, 1, 3, 1, 2, 2, 4, 6, 3, 4, 1, 2, 2, 3, 1, 1, 2, 4, 2, 7, 6, 4, 2, 7, 1, 3, 6]"
