unit,mean,std,n,individual_ratings
ABBY,2.8919,1.2863,37,"[5, 4, 1, 2, 4, 1, 3, 3, 2, 2, 4, 4, 4, 5, 5, 3, 2, 2, 2, 1, 3, 1, 4, 2, 5, 2, 2, 3, 2, 4, 5, 4, 3, 2, 2, 3, 1]"
ABDUCTION,3.0541,1.1291,37,"[5, 2, 3, 2, 5, 4, 3, 3, 3, 2, 2, 2, 3, 5, 5, 3, 5, 2, 3, 5, 3, 3, 3, 1, 3, 2, 3, 2, 2, 3, 3, 5, 3, 2, 2, 4, 2]"
ABIDE,1.5952,0.627,42,"[1, 1, 2, 2, 1, 3, 2, 2, 2, 3, 1, 2, 1, 2, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1]"
ABIGAIL,2.4222,1.0973,45,"[2, 3, 3, 1, 2, 2, 2, 2, 1, 2, 2, 1, 4, 1, 2, 1, 3, 2, 3, 2, 5, 2, 3, 5, 1, 2, 1, 3, 4, 2, 3, 3, 2, 4, 4, 2, 2, 5, 2, 2, 2, 1, 2, 3, 3]"
ABNER,2.1778,0.9837,45,"[2, 3, 1, 1, 2, 1, 2, 2, 1, 2, 2, 1, 4, 1, 2, 1, 3, 2, 3, 2, 1, 2, 3, 5, 2, 2, 1, 2, 3, 2, 2, 3, 2, 3, 4, 2, 2, 5, 2, 2, 2, 1, 2, 3, 2]"
ABSENT,2.175,1.0834,40,"[4, 2, 2, 1, 1, 3, 1, 2, 2, 2, 1, 1, 5, 2, 2, 1, 1, 2, 3, 1, 1, 4, 2, 1, 3, 4, 2, 3, 1, 1, 3, 3, 3, 2, 3, 4, 2, 1, 2, 3]"
ABSOLVE,1.5128,0.6014,39,"[1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 3, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 2, 2, 2, 1]"
ABUNDANTLY,2.1333,0.8944,45,"[2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 3, 2, 2, 1, 2, 3, 4, 2, 3, 2, 3, 2, 2, 2, 1, 3, 4, 5, 2, 2, 2, 2, 4, 2, 1, 2, 2, 2]"
ACADEMIC,2.186,0.8798,43,"[2, 2, 1, 3, 3, 1, 2, 3, 2, 3, 1, 2, 2, 2, 4, 1, 2, 4, 2, 1, 1, 3, 2, 2, 2, 2, 2, 3, 3, 2, 1, 2, 2, 1, 3, 2, 2, 1, 4, 2, 2, 4, 3]"
ACCOMPLICE,2.5952,1.1056,42,"[4, 3, 2, 2, 5, 5, 2, 3, 2, 3, 5, 5, 1, 2, 1, 4, 2, 3, 2, 2, 3, 2, 4, 2, 2, 2, 3, 3, 1, 3, 2, 2, 2, 1, 2, 1, 2, 3, 2, 3, 3, 3]"
ACCUMULATING,2.1778,0.7772,45,"[2, 1, 4, 3, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, 1, 2, 3, 4, 2, 2, 3, 2, 3, 2, 2, 1, 2, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2]"
ACHIEVEMENTS,2.6111,1.2485,36,"[5, 3, 2, 2, 5, 4, 2, 4, 3, 2, 2, 2, 1, 5, 1, 5, 2, 1, 4, 3, 1, 1, 3, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 5, 2]"
ACONITUM,1.65,1.0754,40,"[2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 5, 2, 5, 1, 1, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1]"
ACRE,3.125,1.2647,40,"[3, 3, 5, 4, 5, 5, 3, 4, 2, 2, 2, 4, 5, 2, 2, 4, 4, 2, 5, 2, 3, 3, 4, 4, 5, 1, 2, 1, 3, 5, 3, 4, 2, 2, 4, 1, 2, 2, 2, 4]"
ACT,2.3077,0.8631,39,"[2, 3, 3, 2, 3, 3, 3, 3, 1, 2, 2, 4, 2, 2, 1, 2, 1, 2, 2, 3, 2, 4, 1, 2, 3, 3, 3, 3, 2, 2, 2, 4, 3, 3, 2, 1, 1, 1, 2]"
ADORABLE,3.0811,1.1396,37,"[5, 4, 2, 3, 4, 4, 2, 3, 4, 4, 3, 2, 4, 2, 4, 4, 2, 1, 2, 4, 2, 2, 5, 2, 3, 1, 2, 2, 4, 4, 2, 3, 4, 5, 4, 4, 2]"
ADULTS,3.5476,1.2533,42,"[4, 4, 4, 4, 3, 3, 4, 2, 4, 4, 2, 5, 2, 5, 4, 2, 4, 2, 5, 5, 3, 2, 5, 2, 4, 2, 5, 5, 2, 5, 2, 2, 5, 5, 4, 2, 3, 5, 2, 2, 5, 5]"
ADVANTAGES,1.8649,0.7514,37,"[3, 1, 2, 2, 1, 3, 3, 1, 1, 1, 2, 2, 3, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 4, 2, 2, 1, 2, 3, 1, 2]"
ADVERSITY,1.775,0.6197,40,"[3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 3, 1, 2, 2, 1, 1, 1, 3, 2, 2, 1, 3, 2, 2, 2, 1]"
AEROSPACE,2.525,1.132,40,"[5, 3, 2, 1, 4, 3, 2, 3, 2, 2, 3, 2, 4, 2, 2, 3, 2, 2, 3, 1, 2, 1, 2, 5, 3, 1, 2, 2, 3, 5, 1, 5, 2, 2, 1, 3, 2, 3, 2, 3]"
AFFIDAVIT,2.6222,1.1538,45,"[2, 1, 5, 3, 2, 2, 2, 2, 2, 2, 2, 3, 3, 1, 2, 5, 3, 4, 2, 2, 5, 2, 3, 5, 2, 2, 2, 1, 3, 2, 3, 2, 2, 4, 4, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2]"
AFFORD,1.6923,0.7662,39,"[2, 3, 2, 2, 1, 1, 1, 1, 3, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 3, 2, 1, 1, 2, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 2, 4, 1, 1, 1]"
AFT,1.9535,0.9748,43,"[3, 2, 3, 1, 1, 1, 1, 2, 2, 1, 4, 2, 1, 2, 2, 2, 2, 3, 2, 3, 1, 5, 2, 2, 2, 1, 2, 1, 3, 3, 4, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3]"
AFTERNOONS,2.3182,0.8832,44,"[3, 3, 2, 2, 1, 2, 2, 1, 2, 2, 3, 2, 1, 2, 3, 1, 4, 2, 2, 1, 2, 3, 2, 2, 2, 2, 4, 2, 2, 3, 1, 2, 4, 4, 2, 2, 4, 2, 4, 2, 3, 2, 3, 2]"
AFTERWARD,1.7333,0.6537,45,"[2, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 3, 1, 2, 2, 1, 3, 2, 2, 2, 1, 2, 3, 3, 2, 2, 2, 2, 1, 2, 1, 2, 2, 1]"
