unit,mean,std,n,individual_ratings
Everyone seemed to have met the writer who fascinated the beatnik who wore women's clothing.,4.0952,1.7156,63,"[1, 4, 5, 5, 2, 1, 5, 2, 6, 2, 3, 5, 2, 1, 5, 6, 3, 6, 3, 5, 6, 6, 5, 6, 3, 1, 4, 4, 3, 2, 3, 6, 5, 7, 5, 5, 6, 7, 2, 5, 4, 6, 6, 2, 2, 2, 5, 5, 7, 5, 6, 3, 2, 4, 2, 5, 3, 4, 4, 3, 5, 3, 7]"
Groupies love the singer who disgusted the drummer who spat on the crowd.,4.1385,1.7792,65,"[1, 5, 4, 6, 3, 3, 4, 2, 6, 6, 2, 4, 4, 4, 1, 7, 5, 3, 6, 5, 1, 5, 5, 4, 6, 3, 6, 2, 5, 5, 1, 4, 4, 6, 7, 2, 2, 7, 7, 5, 5, 2, 2, 3, 2, 5, 2, 7, 5, 6, 7, 5, 6, 5, 2, 5, 2, 3, 6, 3, 4, 2, 2, 4, 6]"
It amuse the reporter that it scaring the candidate whether the affair was revealed to the public.,3.1364,1.6596,44,"[4, 3, 5, 1, 2, 1, 2, 2, 3, 2, 4, 5, 5, 1, 5, 5, 1, 1, 2, 2, 2, 3, 3, 7, 7, 3, 2, 5, 3, 2, 5, 2, 3, 2, 2, 6, 3, 2, 2, 5, 3, 6, 3, 1]"
It amused the reporter that it scared the candidate whether the affair was revealed to the public.,5.5,1.6583,44,"[5, 5, 6, 6, 6, 6, 7, 4, 6, 7, 7, 3, 4, 6, 4, 7, 1, 5, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 4, 2, 6, 5, 2, 6, 2, 7, 6, 5, 7, 6, 4, 3, 7, 7]"
It annoyed the auto designer that it concerned the engineer whether the seats was gray.,4.1522,1.7316,46,"[5, 4, 5, 4, 2, 2, 6, 6, 3, 4, 4, 3, 3, 7, 5, 2, 4, 1, 5, 4, 4, 2, 2, 7, 7, 2, 5, 6, 2, 6, 2, 3, 6, 7, 3, 5, 2, 7, 2, 6, 6, 3, 4, 3, 4, 6]"
It annoyed the auto designer that it concerned the engineer whether the seats were gray.,4.3953,1.6725,43,"[4, 6, 5, 2, 4, 6, 7, 1, 4, 5, 4, 4, 4, 2, 5, 7, 6, 3, 4, 3, 2, 4, 2, 6, 7, 7, 4, 3, 5, 2, 4, 7, 3, 6, 6, 7, 4, 3, 5, 2, 6, 5, 3]"
It bother the president that it worried the ambassador whether the diplomat agreeing to the terms.,3.1163,1.7812,43,"[2, 3, 1, 1, 2, 1, 6, 2, 3, 2, 4, 2, 4, 1, 2, 5, 5, 3, 5, 3, 2, 4, 2, 6, 7, 5, 1, 5, 1, 2, 3, 7, 2, 5, 3, 1, 1, 5, 3, 1, 3, 2, 6]"
It bothered the president that it worried the ambassador whether the diplomat agreed to the terms.,4.5227,1.9246,44,"[4, 3, 7, 2, 6, 2, 6, 2, 5, 2, 7, 6, 7, 7, 6, 3, 6, 3, 6, 5, 2, 4, 5, 7, 4, 3, 7, 5, 7, 4, 3, 2, 6, 3, 7, 6, 3, 1, 2, 5, 1, 7, 6, 4]"
It comforted the negotiator that it concerned the kidnapper whether the child was safe.,5.2273,1.6218,44,"[6, 7, 7, 3, 6, 6, 6, 2, 5, 2, 6, 6, 5, 7, 5, 6, 6, 6, 6, 7, 4, 2, 5, 6, 3, 6, 7, 3, 4, 7, 6, 2, 7, 7, 7, 7, 5, 5, 2, 5, 4, 7, 5, 4]"
It comforted the negotiator that it concerning the kidnapper whether the child were safe.,3.1628,1.7108,43,"[3, 3, 2, 1, 2, 6, 6, 2, 3, 2, 6, 6, 4, 3, 3, 6, 3, 1, 4, 1, 1, 2, 2, 6, 7, 5, 2, 4, 3, 3, 3, 6, 3, 4, 2, 1, 1, 4, 3, 2, 1, 2, 2]"
