unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,3.2333,1.9945,30,"[2, 2, 6, 2, 1, 5, 4, 4, 2, 4, 5, 1, 1, 4, 7, 1, 1, 2, 3, 6, 2, 4, 7, 5, 2, 2, 2, 1, 7, 2]",test
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,1.9,1.5833,30,"[3, 3, 1, 2, 3, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 7, 1, 1, 3, 1, 1, 7, 1]",test
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,3.8,2.3104,30,"[1, 5, 7, 7, 2, 6, 6, 6, 2, 7, 5, 1, 4, 1, 7, 5, 1, 1, 1, 6, 2, 4, 7, 5, 2, 5, 1, 3, 1, 3]",test
A lighthouse guides ships to safety. A compass helps hikers find their way.,5.1034,1.8194,29,"[6, 6, 5, 5, 5, 2, 5, 2, 6, 2, 1, 4, 6, 7, 5, 6, 6, 3, 7, 5, 7, 7, 7, 2, 5, 6, 7, 6, 7]",test
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,5.6667,1.583,30,"[6, 5, 5, 7, 5, 6, 6, 5, 2, 7, 6, 5, 5, 7, 7, 7, 7, 7, 4, 5, 7, 7, 7, 7, 1, 5, 5, 7, 3, 7]",test
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,5.7333,1.5522,30,"[6, 4, 6, 7, 6, 6, 7, 7, 2, 7, 6, 6, 5, 5, 7, 7, 6, 6, 3, 4, 7, 7, 7, 7, 1, 6, 5, 6, 6, 7]",test
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,3.5667,1.8134,30,"[3, 3, 6, 5, 5, 5, 4, 5, 2, 7, 5, 1, 5, 2, 7, 5, 1, 1, 4, 4, 2, 4, 4, 4, 1, 2, 2, 2, 5, 1]",test
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,2.3333,1.5162,30,"[1, 2, 1, 2, 2, 4, 1, 3, 2, 1, 1, 1, 2, 5, 1, 3, 2, 1, 1, 6, 3, 2, 4, 1, 3, 3, 1, 6, 4, 1]",test
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,3.0,1.4622,30,"[4, 2, 3, 5, 3, 4, 2, 4, 5, 1, 4, 1, 4, 2, 1, 2, 4, 2, 2, 4, 3, 1, 7, 2, 3, 4, 2, 2, 5, 2]",test
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,3.0333,1.9737,30,"[2, 3, 2, 5, 4, 5, 4, 1, 7, 7, 2, 1, 5, 2, 7, 3, 6, 1, 1, 2, 4, 1, 1, 2, 1, 2, 2, 1, 4, 3]",test
A solid education lays the foundation for future success. Knowledge gives people the skills to navigate life.,1.9333,1.8557,30,"[1, 1, 7, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 4, 7, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 7]",test
A tree provides a home for birds. A coral reef shelters fish.,5.9,1.709,30,"[6, 7, 6, 7, 7, 6, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 1, 3, 4, 4, 2, 7]",test
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,5.7,1.9502,30,"[6, 6, 6, 5, 4, 7, 6, 7, 2, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 1, 1, 5, 6, 1, 7]",test
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,5.4828,1.6393,29,"[4, 7, 7, 6, 6, 3, 6, 7, 7, 5, 6, 7, 5, 7, 6, 5, 7, 2, 4, 5, 7, 7, 6, 3, 5, 5, 7, 6, 1]",test
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,1.6,1.4762,30,"[1, 2, 1, 1, 1, 1, 1, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 6]",test
David meticulously planned each step of his journey. Bret took off impulsively and embraced the unknown.,1.8333,1.2617,30,"[1, 1, 2, 2, 1, 4, 1, 4, 2, 2, 2, 1, 1, 1, 1, 6, 1, 1, 1, 4, 3, 1, 1, 2, 2, 1, 1, 1, 1, 3]",test
Excellent customer service can make or break a business. Happy consumers are more likely to spread the word.,1.9,1.4704,30,"[1, 2, 2, 3, 1, 5, 1, 3, 7, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 4, 2, 1, 1, 2, 1]",test
Jenny's dress was bright and cheerful. Tom's new suit was dark and serious.,1.7667,1.675,30,"[1, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 5, 1, 1, 7, 1, 1, 3, 1, 1, 7, 1]",test
Jeremy stopped at a diner for lunch. The roadside coffee was warm and refreshing.,4.1,2.2027,30,"[6, 5, 2, 6, 5, 6, 3, 2, 7, 7, 4, 2, 7, 2, 7, 5, 2, 1, 1, 5, 3, 1, 7, 4, 1, 6, 6, 1, 6, 3]",test
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.0333,2.0759,30,"[5, 6, 5, 2, 1, 2, 1, 5, 7, 6, 2, 2, 7, 3, 1, 1, 5, 5, 3, 4, 3, 6, 7, 5, 4, 6, 2, 6, 7, 2]",test
Judy grabbed her shopping list on the way out the door. There was hardly any traffic on the way to the supermarket.,3.7333,1.9106,30,"[4, 3, 5, 5, 5, 5, 4, 1, 6, 7, 2, 1, 3, 1, 7, 5, 4, 1, 1, 4, 2, 2, 7, 4, 2, 2, 4, 5, 6, 4]",test
Large areas of forest were cleared for agriculture. Local climate patterns began to change.,5.7,1.6006,30,"[5, 6, 5, 6, 4, 6, 6, 6, 7, 7, 6, 5, 3, 4, 7, 7, 6, 7, 7, 4, 7, 7, 7, 7, 2, 6, 6, 7, 1, 7]",test
Learning a new language opens up many doors. Fluency enables deeper cultural understanding.,1.2759,0.5914,29,"[1, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 2]",test
Libraries offer knowledge to eager learners. Museums display history for curious minds.,3.8667,2.193,30,"[5, 5, 7, 6, 4, 6, 6, 2, 6, 7, 4, 1, 7, 2, 7, 5, 3, 1, 1, 4, 2, 2, 7, 2, 1, 2, 3, 5, 1, 2]",test
Lily kept her thoughts to herself during the meeting. Sam was never afraid to speak up.,1.8667,1.5477,30,"[3, 1, 1, 3, 2, 4, 1, 1, 7, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 4, 1, 2, 1, 1, 1, 6, 1]",test
