unit,mean,std,n,individual_ratings
Taste that fowl and those fish.,6.1538461538462,,,
All sorts of treasure there too.,5.1875,,,
The small flock of birds circled.,6.3529411764706,,,
The music drums inside my head.,6.2941176470588,,,
They are very devoted and faithful.,6.9411764705882,,,
What an amazing and wonderful metamorphosis.,6.9,,,
She began to worry about infection.,6.8823529411765,,,
It has a light tangy flavor.,7.0,,,
We love rich tourists on vacation.,6.7272727272727,,,
Across the street was a pub.,6.5454545454545,,,
Would she put him in jail?,6.6470588235294,,,
Where are you keeping it safe?,6.5,,,
"It was all ridiculous, crazy, insane.",5.5,,,
"A childish notion, to be sure.",6.5333333333333,,,
Sophia was asleep on the sofa.,6.9444444444444,,,
Her answer was difficult to grasp.,7.0,,,
It meant waving a white flag.,6.6363636363636,,,
The crowd burst into spontaneous applause.,6.8666666666667,,,
His leg is too badly damaged.,6.4666666666667,,,
He treated them like puppy dogs.,6.5294117647059,,,
It looked like a trash heap.,6.8823529411765,,,
A car drove down the road.,7.0,,,
People are getting hungry and desperate.,7.0,,,
He held out a duffel bag.,6.75,,,
The movie was entertaining and funny.,6.9375,,,
Everyone finished eating every delicious bite.,6.5384615384615,,,
He took another sip of beer.,6.9090909090909,,,
The last time we'd had four.,5.4666666666667,,,
Would she not regret this marriage?,5.7777777777778,,,
Grace and kindness was their strength.,6.5333333333333,,,
He could smell the cooking meat.,6.4705882352941,,,
In a way it seemed pointless.,6.4,,,
Another dance is about to begin.,6.8,,,
Like a voodoo priest or something?,6.0588235294118,,,
Her dreams remain vague and inconclusive.,6.8888888888889,,,
She seems awfully likable to me.,6.5882352941176,,,
The experience had shaken him emotionally.,6.7222222222222,,,
The bugs are eating me alive.,7.0,,,
She looked up from her sewing.,6.625,,,
This truly was a depressing place.,6.7058823529412,,,
"There was no moon, only starlight.",6.7058823529412,,,
He looked annoyed at being disturbed.,6.6875,,,
Could this all be a test?,5.5833333333333,,,
They started hiking down the mountain.,7.0,,,
"Cattle, wagons, horses, all going west.",5.5625,,,
They bring peace in a conflict.,6.6470588235294,,,
He pointed at the smaller circle.,6.9090909090909,,,
Light from a fire burned inside.,5.6666666666667,,,
This is so simple and easy.,6.9411764705882,,,
"However, they were much too large.",6.5625,,,
Sweaty hair clinging to his forehead.,5.4444444444444,,,
Can we pursue him for robbery?,6.8235294117647,,,
Every now and then she stopped.,6.2,,,
Instead he dug a little deeper:,5.1333333333333,,,
A gun fired into the air.,6.6,,,
I cannot debate the truth fact.,3.3888888888889,,,
Could you loan it to me?,6.8823529411765,,,
Perhaps we can catch some fish.,6.875,,,
"There'll be towels, soap, and all.",5.6470588235294,,,
Was he still in the laboratory?,6.9166666666667,,,
He was a tall muscular man.,7.0,,,
Its small head resembled a deer.,6.1818181818182,,,
He finally hit the ball back.,6.8235294117647,,,
Already inflation was destabilizing financial markets.,5.4117647058824,,,
"It was a cylindrical, rocky chamber.",6.9090909090909,,,
We ate it up like candy.,6.6666666666667,,,
The weather was warm and dry.,7.0,,,
His hand descended towards the king.,6.8,,,
He told her the truth unabashedly.,6.5625,,,
His tea was black but sweetened.,6.5333333333333,,,
You got an elephant up there?,6.4,,,
A loud rumbling noise interrupted him.,6.7272727272727,,,
This lady was an outrageous girl.,6.0,,,
He only doubted his own abilities.,6.25,,,
The first floor had retail shops.,6.9411764705882,,,
His demeanor was cynical and angry.,7.0,,,
It does wonders for the soul.,6.9333333333333,,,
His organization did some fantastic work.,7.0,,,
It was a night to celebrate.,7.0,,,
Another driver waited in a car.,6.625,,,
He is quite sick and weak.,6.8,,,
Was he still in the garden?,6.8181818181818,,,
We accept most proudly and eagerly.,5.6111111111111,,,
He truly was a skilled marksman.,6.9411764705882,,,
His skin was waxy and grey.,6.9411764705882,,,
He has had a distinguished career.,6.5333333333333,,,
"Strangely, I did not feel nervous.",6.9444444444444,,,
There is salad in that bowl.,6.8823529411765,,,
"Carefully though, he packed them away.",5.7058823529412,,,
Did you have a medical examination?,6.8888888888889,,,
And tomorrow would be another day.,5.8235294117647,,,
Is it because of the drugs?,6.9333333333333,,,
His mind sought a rational explanation.,6.8823529411765,,,
"She did this intentionally, he thought.",6.7272727272727,,,
She felt guilty about her deception.,6.9375,,,
He might need the knife again.,7.0,,,
Without warning cameras started to flash.,6.2727272727273,,,
Look at that painting over there.,6.9090909090909,,,
The brick walls extended high up.,6.0,,,
He seemed quite unconcerned and relaxed.,6.8888888888889,,,
What could frighten them this badly?,6.7222222222222,,,
His sorrow gave way to anger.,6.8181818181818,,,
Take me to a computer terminal.,6.9444444444444,,,
He wanted to investigate the victim.,6.8235294117647,,,
We played out the poker hand.,6.5882352941176,,,
You are quite smart and attentive.,7.0,,,
The movie was a romantic comedy.,6.8888888888889,,,
There was nothing but political commentary.,7.0,,,
Light is made up of photons.,6.8666666666667,,,
You're one of our top students.,7.0,,,
Please allow me to deliver it.,6.8823529411765,,,
"The judge spoke, breaking the silence.",6.7222222222222,,,
She let out a choked laugh.,6.6,,,
The seemingly impossible can be attained.,6.5,,,
He stopped at the bedroom door.,7.0,,,
She was inside a magnificent castle.,7.0,,,
"Besides, it would be terribly unsafe.",6.7333333333333,,,
Her wrist supported many gold bangles.,6.5882352941176,,,
I feel the same way sometimes.,6.8823529411765,,,
People need to respect the law.,7.0,,,
The hairs on my skin rose.,6.75,,,
A large band played folk tunes.,6.9411764705882,,,
Your leg muscles will also ache.,6.875,,,
"After that, no others remained intact.",6.6470588235294,,,
Many soldiers served in his army.,6.8125,,,
It seemed to calm his anxiety.,7.0,,,
I need it to impress her.,6.9411764705882,,,
My assistant is bringing them out.,6.8888888888889,,,
"Read me the book, then decide.",5.3333333333333,,,
Each has its own elected officials.,6.2666666666667,,,
A voice came over his radio.,6.8823529411765,,,
What help can you possibly need?,7.0,,,
He was bleeding from the stomach.,6.8823529411765,,,
She was wearing a long dress.,7.0,,,
A photo appears on the screen.,6.7058823529412,,,
The liquid was indeed fresh water.,6.6666666666667,,,
This is the force field parameter.,6.4705882352941,,,
There is no brain function left.,6.5333333333333,,,
Many villages survive along the coast.,6.8181818181818,,,
Consequences to us could prove fatal.,5.7692307692308,,,
The pastor proclaimed to the congregation.,5.9411764705882,,,
Their relationship took off from there.,6.75,,,
I can see the oak tree.,7.0,,,
I studied and became a lawyer.,6.9375,,,
He inspected it with obvious satisfaction.,6.7333333333333,,,
They finished eating their chicken dumplings.,6.8333333333333,,,
His stomach pains worsened with time.,6.8888888888889,,,
"That warrior is you, my son.",6.5833333333333,,,
I could not escape this obligation.,6.8666666666667,,,
The sky was bright and blue.,6.8,,,
Why had the disease spared them?,6.8666666666667,,,
Her energy level was too low.,7.0,,,
He seemed extremely pleased with himself.,6.9090909090909,,,
Spray and vapor filled the void.,6.75,,,
He'd come because he had news.,5.8235294117647,,,
I get paid no matter what.,6.8666666666667,,,
The great wheel began to turn.,6.9333333333333,,,
His pants were clean white jeans.,6.5833333333333,,,
It was wrapped in the plastic.,6.7222222222222,,,
It almost seemed like a toy.,6.9411764705882,,,
Her only plan was to delay.,6.6923076923077,,,
A wooden table lay between them.,6.75,,,
He pulled up on the knob.,6.8235294117647,,,
You take me for a liar?,6.3529411764706,,,
She grinned at the blonde girl.,7.0,,,
But her eyes betrayed the truth.,6.3888888888889,,,
The boat was ready to sail.,7.0,,,
I like the openness and beauty.,6.5294117647059,,,
The next house is kilometres away.,6.75,,,
He could not say a word.,7.0,,,
I saw the good guys win.,6.9230769230769,,,
You connect it to a computer.,6.8666666666667,,,
I dared him to do it.,6.9090909090909,,,
Then she smiled faintly and nodded.,6.6875,,,
Are they going to expel her?,6.9411764705882,,,
So he continued in his ignorance.,6.5,,,
Now he must find the key.,6.6,,,
They glared at one another heatedly.,6.75,,,
Savanah ordered a fried shrimp dinner.,6.8461538461538,,,
If only to collect her belongings.,5.6666666666667,,,
"Back to your cage, little bird.",6.8666666666667,,,
The hesitant rhythm of the band.,6.0,,,
Ruthless... merciless... devoted to our cause.,4.6,,,
What about being amazing and wonderful?,6.0,,,
Long after the flu epidemic ended.,5.8333333333333,,,
Faint bitterness and a relaxing flavor.,6.3333333333333,,,
Their stay was tranquil and pleasant.,7.0,,,
Headed into the town's only bar.,5.6470588235294,,,
The one in jail for murder.,5.7272727272727,,,
To guard and keep and protect.,5.5333333333333,,,
"Scary and freaky sometimes, but awesome.",5.5833333333333,,,
That seemed like an absurd contradiction!,6.9333333333333,,,
Will you sleep on the couch?,7.0,,,
That is terribly difficult to overcome!,6.8,,,
Put the white flag out first.,6.9230769230769,,,
The crowd burst into sudden cacophony.,6.2352941176471,,,
He's too badly damaged and malnourished.,6.8,,,
Or a cat and a dog.,5.375,,,
"It smelled bad, like rotten garbage.",6.6470588235294,,,
Down by the abandoned train station.,6.4117647058824,,,
You have the poor girl terrified.,6.6923076923077,,,
He handed her the leather bag.,7.0,,,
Her life was a horror film.,6.9411764705882,,,
You wouldn't eat your fancy food.,6.6666666666667,,,
"Would you like a drink, then?",6.6363636363636,,,
"One, two, three, four, five, six-",5.75,,,
My marriage was because of them.,6.5,,,
They taught her humility and compassion.,7.0,,,
Mom was stirring a sauce pan.,6.4666666666667,,,
Enough of all this tedious self-justification.,6.1111111111111,,,
She's using dancing moves to fight.,6.8333333333333,,,
Was that demon or elven magic?,6.4705882352941,,,
"It was unheard of, unthinkable, impossible.",5.9411764705882,,,
And beautiful and smart and witty.,4.5833333333333,,,
"Both mentally and physically, you're attracted.",5.0588235294118,,,
