unit,mean,std,n,individual_ratings
A bystander was rescued by the fireman in the nick of time.,4.6239,0.6396,117,"[5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 3, 4, 4, 4, 5, 5, 4, 4, 5, 3, 5, 5, 3, 4, 5, 4, 3, 5, 5, 3, 4, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 3, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5]"
A bystander was the fireman by rescued in the nick of time.,1.275,0.7096,120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 2, 1, 1, 5, 4, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
A legislator lied to the consultant a new bill.,1.7,0.9261,60,"[1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 4, 1, 3, 1, 4, 2, 3, 1, 2, 2, 4, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 1, 1, 4, 2, 2, 2, 1, 1, 1, 1, 1, 2, 4, 2, 2, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1]"
A legislator lied to the consultant about a new bill.,4.6891,0.6733,119,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 4, 3, 5, 3, 2, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 4, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
A legislator lied to the consultant new bill.,2.0,1.0505,59,"[1, 4, 2, 2, 2, 4, 1, 1, 2, 2, 1, 1, 1, 4, 1, 1, 3, 2, 2, 1, 3, 2, 1, 5, 1, 2, 2, 1, 1, 2, 2, 1, 3, 1, 1, 1, 3, 1, 2, 1, 2, 2, 5, 2, 3, 2, 4, 2, 2, 2, 1, 1, 2, 4, 2, 2, 2, 2, 2]"
A socialite was for greeted by the butler with a plate of caviar.,2.4034,1.3981,119,"[1, 1, 1, 5, 1, 1, 5, 1, 2, 1, 3, 1, 5, 2, 3, 1, 5, 2, 4, 4, 5, 3, 3, 1, 1, 1, 4, 4, 5, 5, 2, 1, 5, 4, 1, 5, 2, 2, 2, 2, 1, 2, 1, 2, 1, 5, 1, 5, 2, 2, 1, 1, 2, 1, 4, 4, 2, 1, 2, 1, 3, 4, 2, 3, 2, 3, 5, 1, 2, 1, 1, 5, 1, 3, 2, 2, 3, 2, 1, 1, 5, 1, 1, 5, 2, 3, 1, 1, 2, 2, 3, 1, 5, 2, 2, 2, 2, 2, 2, 1, 2, 2, 4, 2, 1, 2, 4, 2, 1, 2, 4, 4, 2, 5, 1, 2, 2, 2, 2]"
A socialite was greeted by the butler with a plate of caviar.,4.4833,0.7216,120,"[5, 5, 4, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 3, 4, 5, 5, 4, 4, 5, 5, 3, 5, 5, 5, 4, 5, 5, 4, 4, 5, 2, 5, 5, 4, 4, 5, 5, 3, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 3, 3, 5, 4, 5, 4, 4, 4, 5, 4, 5, 3, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 3, 4, 5, 2, 3, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5]"
An analyst angered economist after interrupted a phone conference five times.,2.1,1.1454,60,"[1, 3, 3, 1, 2, 2, 3, 3, 2, 2, 1, 1, 2, 1, 4, 2, 2, 4, 4, 1, 2, 2, 2, 1, 5, 1, 2, 1, 1, 2, 2, 3, 2, 2, 1, 1, 1, 2, 2, 2, 1, 1, 3, 5, 2, 2, 1, 4, 1, 1, 2, 1, 1, 4, 5, 4, 2, 2, 1, 2]"
An analyst angered the economist after he interrupted a phone conference five times.,4.3672,0.8499,177,"[4, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 3, 4, 5, 5, 3, 2, 3, 5, 2, 5, 5, 4, 4, 5, 4, 4, 5, 3, 5, 5, 5, 4, 5, 3, 5, 4, 4, 4, 5, 5, 5, 5, 3, 4, 4, 2, 5, 3, 5, 4, 4, 4, 4, 5, 5, 4, 5, 3, 3, 5, 5, 5, 5, 4, 2, 5, 5, 4, 4, 5, 3, 4, 5, 5, 4, 3, 4, 5, 4, 2, 5, 5, 5, 4, 5, 4, 5, 2, 5, 5, 5, 4, 5, 5, 2, 4, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 3, 4, 5, 3, 5, 4, 3, 5, 4, 4, 5, 4, 5, 5, 4, 4, 5, 3, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 2, 5, 5, 4, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5]"
"Before the party, one of the parents wanted to know what the designated Santa Claus was likely to recall who wanted.",1.8305,0.8935,59,"[2, 1, 1, 4, 2, 2, 1, 2, 3, 3, 2, 1, 3, 1, 2, 4, 3, 1, 1, 1, 2, 1, 1, 2, 2, 1, 3, 3, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 4, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 3, 4]"
Brian couldn't remember whether Lauren mentioned that Justin hire.,1.85,0.9885,60,"[3, 2, 3, 4, 2, 3, 1, 1, 2, 1, 2, 1, 2, 3, 1, 4, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 2, 5, 3, 1, 1, 3, 4, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 3, 4]"
Brian couldn't remember who Lauren mentioned that Justin hired Amanda and Jacob.,1.8814,1.0681,59,"[1, 3, 3, 4, 1, 1, 1, 2, 2, 1, 2, 2, 2, 1, 4, 5, 2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 2, 1, 2, 3, 1, 4, 3, 2, 1, 1, 3, 1, 3, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 2, 2, 1, 2, 5]"
