unit,mean,std,n,individual_ratings
A baby was playing in the backyard. A deer walked past in the forest beyond the fence. How likely is the following causal statement: A deer walked past in the forest beyond the fence because a baby was playing in the backyard.,1.5688,0.9425,160,"[2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 4, 1, 2, 2, 4, 1, 3, 2, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 3, 4, 1, 2, 1, 1, 2, 3, 2, 1, 4, 1, 2, 1, 2, 1, 3, 1, 2, 2, 1, 1, 1, 2, 4, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 6, 2, 2, 5, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 5, 2, 2, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]"
Annabel openly admired every painting that Corey also openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,5.2000,1.4884,40,"[5, 4, 4, 4, 7, 2, 4, 7, 6, 7, 4, 6, 2, 7, 4, 4, 6, 6, 6, 5, 6, 7, 4, 6, 6, 6, 7, 7, 5, 6, 6, 4, 6, 7, 7, 4, 2, 4, 4, 4]"
Annabel openly admired every painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,5.1833,1.4081,60,"[4, 4, 4, 5, 7, 3, 4, 7, 5, 6, 4, 6, 7, 4, 6, 6, 7, 7, 4, 3, 3, 7, 5, 5, 4, 6, 4, 7, 4, 6, 6, 6, 6, 7, 6, 7, 4, 6, 4, 7, 7, 4, 4, 6, 7, 4, 7, 5, 5, 6, 6, 5, 4, 4, 4, 4, 4, 4, 1, 7]"
Annabel openly admired the painting that Corey also openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.2000,1.5225,40,"[4, 3, 4, 6, 4, 2, 6, 1, 2, 2, 4, 4, 6, 2, 6, 5, 3, 4, 4, 4, 4, 5, 5, 2, 6, 7, 4, 7, 7, 4, 3, 4, 4, 4, 5, 4, 2, 4, 5, 6]"
Annabel openly admired the painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.4915,1.4783,59,"[7, 3, 4, 5, 5, 4, 6, 4, 4, 6, 4, 7, 6, 4, 2, 1, 4, 6, 4, 2, 4, 2, 6, 4, 7, 4, 4, 6, 5, 2, 6, 4, 4, 4, 7, 4, 4, 5, 4, 3, 4, 7, 4, 4, 4, 4, 4, 5, 4, 3, 7, 4, 4, 2, 6, 7, 7, 4, 4]"
Antonio wanted to do exactly what the coach told him to do. The coach told him to hit the opposing player when he wasn't looking. How likely is the following causal statement: Antonio hit the opposing player when he wasn't looking because the coach told him to.,6.4700,1.0268,200,"[6, 6, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 5, 7, 7, 6, 7, 7, 7, 7, 7, 7, 6, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 5, 7, 6, 7, 7, 7, 7, 6, 7, 7, 7, 7, 4, 7, 2, 4, 7, 5, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 5, 6, 7, 6, 7, 6, 6, 6, 7, 7, 3, 7, 7, 7, 7, 6, 7, 7, 7, 5, 7, 6, 7, 7, 7, 6, 7, 7, 6, 7, 7, 7, 2, 7, 7, 7, 7, 7, 5, 7, 7, 7, 6, 6, 6, 6, 7, 2, 5, 7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 7, 6, 7, 7, 3, 7, 7, 7, 7, 4, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 4, 7, 7, 6, 6, 7, 6, 7, 7, 3, 6, 6, 7, 7, 6, 7, 3, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7]"
Carol learned to play every instrument that Sue also learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.9500,1.6939,40,"[7, 4, 4, 7, 5, 4, 7, 6, 5, 1, 4, 4, 7, 4, 4, 7, 4, 5, 1, 5, 4, 3, 6, 4, 7, 2, 4, 4, 6, 7, 4, 7, 4, 6, 6, 5, 7, 7, 7, 3]"
Carol learned to play every instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,5.3000,1.5327,60,"[6, 3, 5, 6, 7, 2, 4, 7, 7, 6, 4, 6, 2, 7, 4, 3, 5, 4, 6, 5, 7, 7, 7, 6, 7, 6, 7, 7, 6, 6, 4, 4, 4, 6, 3, 6, 4, 4, 4, 7, 6, 7, 7, 6, 6, 5, 4, 7, 4, 7, 6, 6, 5, 6, 6, 2, 2, 7, 4, 4]"
Carol learned to play the instrument that Sue also learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.5250,1.5019,40,"[3, 4, 4, 4, 4, 4, 5, 7, 5, 3, 2, 6, 7, 6, 6, 5, 7, 7, 4, 3, 5, 4, 4, 6, 5, 4, 6, 7, 4, 5, 3, 5, 4, 3, 3, 2, 4, 4, 1, 6]"
Carol learned to play the instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.6271,1.3633,59,"[3, 4, 4, 6, 4, 4, 7, 4, 4, 7, 2, 4, 6, 4, 4, 4, 5, 4, 4, 4, 4, 5, 6, 7, 4, 4, 4, 6, 7, 5, 3, 4, 4, 7, 3, 5, 6, 4, 7, 7, 4, 5, 6, 7, 5, 2, 5, 4, 3, 3, 2, 4, 5, 4, 3, 4, 6, 6, 5]"
