unit,mean,std,n,individual_ratings,item_type
Christian put his difficult math homework that was due tomorrow off.,2.0,,1,[2],test
Christian put his homework off.,3.8571,1.4639,7,"[5, 5, 2, 5, 2, 3, 5]",test
Christian put off his difficult math homework that was due tomorrow.,3.5,0.7071,2,"[4, 3]",test
Christian put off his homework.,5.0,0.0,3,"[5, 5, 5]",test
Frank put down the book.,5.0,0.0,4,"[5, 5, 5, 5]",test
Frank put down the new mystery book that he bought.,4.5,0.5477,6,"[5, 4, 5, 4, 4, 5]",test
Frank put the book down.,5.0,,1,[5],test
Frank put the new mystery book that he bought down.,3.0,,1,[3],test
Jay sent in the disobedient student that had been fighting.,3.25,0.9574,4,"[4, 3, 4, 2]",test
Jay sent in the student.,5.0,0.0,3,"[5, 5, 5]",test
Jay sent the disobedient student that had been fighting in.,2.0,0.0,2,"[2, 2]",test
Jay sent the student in.,4.5,0.5774,4,"[5, 4, 4, 5]",test
Jerry pushed down the lever.,4.5,1.0,4,"[5, 5, 5, 3]",test
Jerry pushed down the rusty metal lever that turned off the water.,4.0,0.0,3,"[4, 4, 4]",test
Jerry pushed the lever down.,5.0,0.0,2,"[5, 5]",test
Jerry pushed the rusty metal lever that turned off the water down.,2.5,1.291,4,"[3, 2, 1, 4]",test
Joe threw out the documents.,5.0,0.0,4,"[5, 5, 5, 5]",test
Joe threw out the very important documents that he brought home.,5.0,0.0,3,"[5, 5, 5]",test
Joe threw the documents out.,4.3333,0.5774,3,"[5, 4, 4]",test
Joe threw the very important documents that he brought home out.,2.6667,1.1547,3,"[2, 2, 4]",test
Karen broke down the box.,4.5,0.5774,4,"[4, 4, 5, 5]",test
Karen broke down the cardboard box that she had used to move.,4.0,0.0,2,"[4, 4]",test
Karen broke the box down.,4.3333,0.5774,3,"[4, 4, 5]",test
Karen broke the cardboard box that she had used to move down.,3.25,1.5,4,"[5, 4, 2, 2]",test
Patrick kicked out the audience member.,4.0,1.0,3,"[5, 4, 3]",test
Patrick kicked out the obnoxious audience member who was heckling.,4.0,1.7321,3,"[5, 2, 5]",test
Patrick kicked the audience member out.,4.0,1.0,3,"[3, 5, 4]",test
Patrick kicked the obnoxious audience member who was heckling out.,3.0,0.8165,4,"[3, 2, 3, 4]",test
The agent approached the publicists about the photo-shoot.,4.5385,0.5189,13,"[5, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 5, 5]",filler
The counselor consoled the students about the competition.,4.6923,0.4804,13,"[5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5]",filler
The florist sent the flowers that were very expensive to the boy.,3.2308,1.2352,13,"[5, 4, 2, 1, 3, 3, 4, 4, 4, 2, 3, 2, 5]",filler
The host complimented the author who was being interviewed on all the talk shows.,3.7692,1.0127,13,"[5, 4, 2, 2, 4, 4, 4, 4, 3, 5, 4, 3, 5]",filler
The principal criticized the instructors for the program.,4.6923,0.6304,13,"[5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5]",filler
The publisher complimented the editors on the magazine.,4.7692,0.4385,13,"[5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5]",filler
The reporter interviewed the actors about the movie.,4.7692,0.4385,13,"[5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5]",filler
The socialite praised the hostesses for the party which was held yesterday in a luxurious ballroom.,3.5385,0.9674,13,"[5, 4, 3, 2, 3, 4, 4, 4, 3, 2, 4, 3, 5]",filler
The student petitioned the professors regarding the course.,4.1538,1.0682,13,"[5, 5, 2, 5, 4, 5, 4, 4, 4, 5, 4, 2, 5]",filler
The trainer left alone the angry-looking dog who was growling.,3.5,2.1213,2,"[2, 5]",test
The trainer left alone the dog.,1.0,,1,[1],test
The trainer left the angry-looking dog who was growling alone.,3.7143,1.1127,7,"[5, 4, 3, 4, 5, 2, 3]",test
The trainer left the dog alone.,5.0,0.0,3,"[5, 5, 5]",test
"This morning, a manager stayed who is rarely in the office so the employees were very well behaved.",2.2308,1.1658,13,"[5, 3, 2, 1, 2, 1, 2, 3, 1, 1, 2, 3, 3]",filler
"When it storms, the grass gets wet, so the landscaper can't cut the grass.",4.3846,0.7679,13,"[5, 5, 4, 5, 5, 3, 4, 5, 3, 5, 4, 4, 5]",filler
"Yesterday, a patient complained who had missed his noon appointment so the doctor agreed to see him early tomorrow.",2.1538,1.3445,13,"[5, 4, 2, 1, 1, 1, 3, 3, 1, 1, 2, 1, 3]",filler
