unit,mean,std,n,individual_ratings
Alice wondered what the coworker claimed that Amy stole.,3.25,1.5448,12,"[1, 3, 5, 5, 3, 4, 1, 5, 3, 4, 4, 1]"
Alice wondered what the coworker made the claim that Amy stole.,2.3,1.0593,10,"[4, 2, 2, 4, 3, 2, 1, 2, 1, 2]"
"Alice wondered what the thing was, such that the coworker made the claim that Amy stole it.",2.7,1.4944,10,"[4, 1, 1, 5, 4, 3, 2, 1, 4, 2]"
Alice wondered who claimed that Amy stole the pizza.,4.0,1.3229,9,"[2, 5, 5, 5, 4, 2, 5, 5, 3]"
Alice wondered who made the claim that Amy stole the pizza.,4.4,0.9661,10,"[4, 5, 2, 5, 4, 5, 4, 5, 5, 5]"
Angela wondered what the banker denied that Jared could afford.,3.0,0.9258,8,"[3, 3, 2, 5, 3, 2, 3, 3]"
Angela wondered what the banker denied the fact that Jared could afford.,2.0833,0.793,12,"[2, 2, 1, 2, 2, 2, 4, 3, 2, 2, 2, 1]"
"Angela wondered what the thing was, such that the banker denied the fact that Jared could afford it.",2.4545,1.0357,11,"[3, 3, 4, 2, 2, 3, 1, 4, 1, 2, 2]"
Angela wondered who denied that Jared could afford the house.,4.1429,1.069,7,"[5, 4, 5, 5, 4, 4, 2]"
Angela wondered who denied the fact that Jared could afford the house.,4.0833,1.0836,12,"[4, 5, 4, 5, 5, 2, 4, 4, 5, 2, 4, 5]"
"Because if when the baby is crying, the mother gets upset, the father will help, the grandmother can rest easily.",2.0,1.1239,20,"[2, 2, 2, 2, 1, 1, 1, 1, 1, 2, 4, 2, 1, 1, 4, 4, 1, 2, 4, 2]"
Bernard wondered what the policeman verified that the neighbor turns on at night.,3.25,1.165,8,"[2, 5, 4, 2, 3, 4, 4, 2]"
Bernard wondered what the policeman verified the statement that the neighbor turns on at night.,1.8333,0.9374,12,"[2, 2, 4, 2, 1, 2, 2, 1, 1, 1, 1, 3]"
"Bernard wondered what the thing was, such that the policeman verified the statement that the neighbor turns it on at night.",2.3571,1.3927,14,"[3, 1, 1, 5, 1, 1, 2, 3, 4, 4, 1, 1, 3, 3]"
Bernard wondered who verified that the neighbor turns on the air conditioning at night.,4.0,1.0,9,"[4, 5, 3, 5, 4, 4, 4, 5, 2]"
Bernard wondered who verified the statement that the neighbor turns on the air conditioning at night.,3.8182,1.328,11,"[2, 3, 5, 2, 4, 5, 5, 5, 4, 5, 2]"
Bill wondered what the professor overheard that Walter likes.,3.5,0.8498,10,"[2, 4, 3, 3, 4, 5, 3, 3, 4, 4]"
Bill wondered what the professor overheard the rumor that Walter likes.,2.25,0.9653,12,"[2, 2, 4, 1, 2, 2, 2, 3, 1, 2, 2, 4]"
"Bill wondered what the thing was, such that the professor overheard the rumor that Walter likes it.",2.5385,1.2659,13,"[2, 2, 5, 1, 2, 4, 1, 3, 3, 4, 2, 3, 1]"
Bill wondered who overheard that Walter likes French literature.,4.3,1.0593,10,"[4, 5, 5, 5, 5, 4, 3, 5, 5, 2]"
Bill wondered who overheard the rumor that Walter likes French literature.,4.3,1.0593,10,"[2, 4, 5, 3, 5, 5, 5, 4, 5, 5]"
Bob wondered what the mechanic heard that Alan drives.,3.6364,0.9244,11,"[3, 3, 5, 2, 4, 4, 4, 4, 5, 3, 3]"
Bob wondered what the mechanic heard the story that Alan drives.,1.6,0.5071,15,"[1, 1, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2]"
"Bob wondered what the thing was, such that the mechanic heard the story that Alan drives it.",1.8235,0.809,17,"[1, 3, 2, 2, 2, 1, 2, 1, 2, 2, 2, 4, 2, 1, 1, 2, 1]"
Bob wondered who heard that Alan drives a race car.,4.3333,0.9847,12,"[5, 4, 3, 5, 5, 4, 5, 4, 5, 2, 5, 5]"
Bob wondered who heard the story that Alan drives a race car.,4.4444,0.7265,9,"[5, 4, 5, 3, 5, 5, 5, 4, 4]"
Brenda wondered what the coach made the suggestion that Susie play.,2.0,1.118,9,"[2, 2, 1, 1, 3, 3, 1, 4, 1]"
Brenda wondered what the coach suggested that Susie play.,4.75,0.4629,8,"[4, 5, 5, 5, 5, 4, 5, 5]"
"Brenda wondered what the thing was, such that the coach made the suggestion that Susie play it.",3.0,1.0954,11,"[5, 2, 2, 4, 3, 2, 4, 3, 2, 4, 2]"
Brenda wondered who made the suggestion that Susie play golf.,4.0833,0.9003,12,"[4, 4, 5, 4, 5, 5, 3, 4, 4, 2, 5, 4]"
Brenda wondered who suggested that Susie play golf.,4.2222,0.9718,9,"[4, 5, 5, 4, 5, 4, 5, 4, 2]"
Charlie wondered what the agent announced that Aaron bought.,3.8333,1.1146,12,"[2, 4, 4, 2, 5, 5, 5, 5, 4, 4, 3, 3]"
Charlie wondered what the agent announced the fact that Aaron bought.,1.8571,0.378,7,"[1, 2, 2, 2, 2, 2, 2]"
"Charlie wondered what the thing was, such that the agent announced the fact that Aaron bought it.",2.5385,1.3914,13,"[2, 1, 5, 1, 4, 3, 3, 4, 4, 2, 1, 2, 1]"
Charlie wondered who announced that Aaron bought the weapon.,4.6667,0.5,9,"[4, 5, 5, 4, 5, 5, 4, 5, 5]"
Charlie wondered who announced the fact that Aaron bought the weapon.,4.25,0.866,12,"[3, 3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 3]"
Christian wondered what the pharmacist made the prediction that Josh would refill.,1.8,0.4216,10,"[2, 2, 2, 2, 2, 1, 1, 2, 2, 2]"
Christian wondered what the pharmacist predicted that Josh would refill.,3.9231,0.8623,13,"[2, 3, 3, 4, 5, 4, 4, 5, 4, 4, 4, 4, 5]"
"Christian wondered what the thing was, such that the pharmacist made the prediction that Josh would refill it.",2.375,0.744,8,"[2, 2, 3, 3, 1, 2, 3, 3]"
Christian wondered who made the prediction that Josh would refill the prescription.,3.8333,0.9832,6,"[3, 5, 3, 4, 5, 3]"
Christian wondered who predicted that that Josh would refill the prescription.,3.6667,1.5811,9,"[2, 5, 2, 4, 5, 4, 5, 5, 1]"
Edward wondered what the teacher regretted that George read.,2.9167,1.0836,12,"[3, 2, 1, 3, 4, 3, 5, 3, 3, 4, 2, 2]"
Edward wondered what the teacher regretted the lie that George read.,1.8333,1.1146,12,"[1, 1, 2, 1, 4, 2, 1, 2, 1, 2, 1, 4]"
