unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.0769,0.8737,26,"[3, 5, 4, 4, 5, 5, 5, 4, 4, 5, 4, 4, 3, 5, 4, 3, 5, 2, 5, 4, 5, 3, 3, 4, 3, 5]"
I like the way an American accent sounds.,3.8846,0.847,26,"[5, 4, 3, 4, 5, 3, 4, 5, 4, 3, 3, 5, 3, 3, 3, 3, 4, 5, 3, 4, 3, 4, 3, 5, 5, 5]"
I think having a British accent is prestigious.,3.5,1.2785,26,"[3, 5, 1, 3, 5, 3, 5, 5, 4, 4, 3, 3, 3, 5, 5, 3, 5, 4, 1, 2, 4, 3, 1, 3, 3, 5]"
I think having an American accent is prestigious.,2.9231,1.2686,26,"[3, 4, 1, 3, 5, 1, 4, 5, 4, 2, 1, 5, 3, 3, 2, 3, 3, 3, 1, 2, 3, 3, 1, 3, 3, 5]"
I've enjoyed listening to this speaker talk.,4.1154,0.7507,26,"[3, 3, 3, 4, 5, 4, 5, 3, 5, 4, 4, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 3, 4, 5, 3, 5]"
The audio recordings were clear.,4.6923,0.4615,26,"[5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5]"
The speaker graduated from a prestigious university.,3.3077,0.8669,26,"[3, 2, 3, 3, 3, 3, 5, 4, 4, 4, 2, 4, 3, 4, 4, 1, 4, 4, 3, 3, 3, 3, 3, 3, 3, 5]"
The speaker has a successful career.,3.8462,0.6617,26,"[4, 4, 4, 4, 3, 4, 5, 4, 4, 4, 4, 3, 5, 4, 4, 3, 4, 4, 5, 3, 4, 3, 3, 3, 3, 5]"
The speaker is good at what they do.,4.4615,0.6343,26,"[5, 5, 5, 4, 5, 4, 3, 4, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 3, 4, 5, 4, 5, 4, 5]"
The speaker is wealthy.,3.0769,0.7807,26,"[3, 1, 3, 3, 3, 3, 3, 4, 4, 3, 3, 2, 3, 4, 3, 3, 4, 3, 5, 2, 2, 3, 3, 3, 3, 4]"
The speaker strongly enunciated the words.,4.3462,0.7308,26,"[5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 3, 4, 3, 5, 4, 4, 5, 4, 5, 3, 4, 5, 4, 5, 3, 5]"
The speaker talks in a way that I like.,4.0385,0.7586,26,"[4, 4, 4, 4, 5, 4, 5, 3, 5, 3, 4, 4, 3, 4, 4, 5, 4, 5, 5, 4, 4, 5, 4, 4, 3, 2]"
The speaker was easy to understand.,4.5385,0.7458,26,"[5, 5, 5, 4, 5, 5, 2, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5, 5, 5]"
The speaker's delivery was well-paced.,4.7308,0.4436,26,"[5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5]"
