word,mean,std,n,individual_ratings
A,0.42857142857142855,0.9376144618769908,14,"[0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 3]"
A CAPPELLA,0.2222222222222222,0.5483188805533162,18,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0]"
AARDVARK,1.625,1.927865832122834,16,"[0, 4, 0, 0, 4, 3, 0, 5, 0, 1, 2, 0, 5, 0, 1, 1]"
ABACK,0.29411764705882354,0.9851843661437779,17,"[0, 0, 0, 4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABACUS,3.7222222222222223,1.4061024795535126,18,"[4, 4, 5, 5, 4, 5, 2, 2, 0, 4, 2, 5, 3, 4, 5, 5, 4, 4]"
ABANDON,0.29411764705882354,0.46966821831386213,17,"[0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
ABANDONED,0.05555555555555555,0.2357022603955158,18,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABANDONEE,1.375,1.8929694486000912,16,"[0, 1, 0, 0, 5, 3, 0, 2, 2, 5, 0, 0, 0, 0, 4, 0]"
ABANDONER,0.14285714285714285,0.36313651960128146,14,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
ABANDONMENT,1.2,1.740279123753264,15,"[0, 1, 0, 0, 4, 1, 0, 0, 4, 0, 0, 5, 1, 0, 2]"
ABASEMENT,0.6666666666666666,0.9847319278346618,12,"[1, 0, 0, 0, 0, 0, 1, 2, 1, 0, 3, 0]"
ABATEMENT,0.5333333333333333,1.1254628677422756,15,"[0, 2, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
ABBREVIATE,0.15,0.4893604849295929,20,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABBREVIATED,0.2777777777777778,0.8264420947336313,18,"[0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
ABBREVIATION,0.15789473684210525,0.6882472016116854,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0]"
ABDICATE,0.16666666666666666,0.5773502691896258,12,"[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABDOMEN,3.2941176470588234,1.6494205756247002,17,"[2, 4, 0, 5, 1, 4, 2, 5, 2, 5, 3, 2, 5, 5, 2, 5, 4]"
ABDOMINAL,3.2,1.8973665961010273,15,"[5, 5, 5, 2, 0, 5, 3, 0, 4, 4, 0, 3, 4, 3, 5]"
ABDOMINALLY,0.8823529411764706,1.4090046549415864,17,"[2, 0, 0, 2, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 4, 1, 0]"
ABDUCT,1.0,1.3743685418725535,19,"[4, 0, 0, 1, 2, 0, 0, 1, 0, 0, 2, 0, 3, 0, 3, 0, 0, 3, 0]"
ABDUCTEE,0.6,1.3138933706635725,20,"[0, 0, 0, 0, 3, 0, 0, 5, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0]"
ABDUCTION,1.5294117647058822,1.585782419612773,17,"[0, 4, 4, 0, 2, 2, 0, 0, 0, 1, 3, 2, 4, 1, 0, 3, 0]"
ABDUCTOR,1.8235294117647058,2.007339474206065,17,"[0, 4, 1, 3, 0, 0, 0, 0, 5, 5, 1, 0, 0, 5, 3, 1, 3]"
ABHOR,0.17391304347826086,0.6503267649311157,23,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0]"
ABHORRENCE,0.5,1.1547005383792515,16,"[2, 0, 0, 0, 0, 0, 0, 0, 2, 0, 4, 0, 0, 0, 0, 0]"
ABHORRENTLY,0.4666666666666667,0.6399404734221844,15,"[1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0]"
ABHORRING,0.0,0.0,15,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABIDE,0.4375,1.2632629707758134,16,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]"
ABIDING,0.13333333333333333,0.5163977794943222,15,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
ABIDINGLY,0.16666666666666666,0.38924947208076155,12,"[0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
ABILITY,0.8333333333333334,1.3826657968874303,18,"[2, 5, 0, 1, 0, 0, 0, 3, 0, 1, 0, 0, 0, 1, 0, 0, 2, 0]"
ABJECT,0.0,0.0,7,"[0, 0, 0, 0, 0, 0, 0]"
