unit,mean,std,n,individual_ratings
"A lost puppy, Matt found.",3.5667,1.4874,60,"[3, 3, 2, 6, 3, 2, 3, 2, 6, 3, 2, 4, 7, 2, 2, 4, 3, 2, 6, 4, 4, 2, 2, 3, 3, 5, 5, 3, 4, 3, 6, 4, 3, 3, 4, 5, 4, 4, 3, 5, 2, 6, 2, 3, 2, 5, 6, 2, 5, 1, 2, 2, 5, 3, 3, 3, 2, 7, 3, 6]"
Alex cook the ham.,3.5,1.7842,60,"[4, 3, 2, 2, 2, 2, 3, 2, 3, 3, 3, 6, 7, 3, 3, 6, 1, 3, 6, 1, 3, 3, 2, 4, 2, 2, 5, 7, 3, 5, 3, 5, 2, 2, 3, 2, 3, 4, 2, 6, 2, 6, 2, 6, 2, 5, 1, 3, 7, 2, 2, 6, 4, 2, 3, 6, 1, 7, 3, 7]"
Alex cooked the ham.,6.7966,0.9165,59,"[6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Alex sat the ham.,1.6333,1.125,60,"[1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 2, 2, 1, 1, 1, 2, 1, 3, 1, 2, 1, 4, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 3, 1, 1, 3, 5, 2, 5, 1, 2, 1, 1, 6, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2]"
"An essay, Rachel wrote.",3.3667,1.3536,60,"[3, 3, 1, 4, 3, 2, 3, 3, 4, 3, 3, 6, 5, 2, 3, 6, 2, 2, 2, 4, 4, 4, 2, 3, 3, 5, 5, 5, 4, 5, 6, 3, 4, 2, 3, 4, 3, 4, 2, 3, 2, 6, 3, 5, 1, 4, 6, 2, 3, 1, 3, 2, 4, 3, 3, 4, 2, 1, 3, 6]"
Ann fix the radiator.,3.55,1.7741,60,"[6, 2, 2, 7, 1, 3, 3, 2, 6, 3, 1, 3, 7, 3, 3, 4, 1, 3, 4, 1, 3, 6, 2, 4, 2, 3, 4, 7, 3, 3, 5, 3, 2, 4, 3, 3, 3, 6, 2, 7, 2, 6, 1, 3, 2, 5, 2, 3, 7, 3, 3, 4, 5, 2, 3, 5, 1, 7, 3, 6]"
Ann fixed the radiator.,6.75,0.9768,60,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 6, 7, 4, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Ann urinated the radiator.,1.5333,0.8654,60,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 3, 1, 1, 6, 1, 2, 2, 2, 1, 2, 2, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
Ben catch the baseball.,3.3167,1.6881,60,"[3, 2, 2, 3, 3, 2, 5, 2, 3, 3, 3, 3, 7, 2, 3, 7, 1, 3, 1, 1, 3, 3, 2, 4, 2, 3, 5, 6, 5, 5, 3, 4, 2, 4, 3, 3, 2, 6, 2, 6, 2, 5, 2, 7, 1, 3, 1, 3, 3, 2, 3, 6, 3, 1, 3, 5, 1, 7, 3, 6]"
Ben caught the baseball.,6.7,0.9883,60,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 4, 6, 7, 5, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Ben dove the baseball.,1.7288,0.8199,59,"[3, 1, 1, 2, 1, 2, 1, 2, 2, 3, 2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 1, 2, 3, 1, 1, 2, 4, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 3]"
George build the tree house.,3.2667,1.6819,60,"[3, 2, 2, 2, 2, 2, 5, 3, 6, 3, 2, 3, 7, 1, 3, 5, 1, 7, 2, 1, 4, 3, 2, 1, 5, 2, 6, 4, 4, 3, 3, 3, 3, 2, 3, 3, 3, 2, 3, 6, 2, 6, 3, 6, 1, 5, 2, 3, 3, 1, 3, 6, 4, 2, 2, 3, 1, 7, 3, 6]"
George built the tree house.,6.8305,0.6677,59,"[7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 3, 7, 7, 6, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
George fainted the tree house.,1.5667,1.0225,60,"[3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 3, 4, 1, 1, 1, 3, 1, 1, 7, 2, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1]"
Isabelle break the TV remote.,2.8667,1.4314,60,"[6, 2, 2, 3, 3, 2, 3, 2, 4, 2, 3, 3, 4, 1, 3, 3, 1, 3, 6, 1, 3, 3, 2, 4, 2, 2, 3, 2, 3, 3, 3, 1, 2, 2, 2, 3, 3, 2, 2, 7, 2, 5, 2, 6, 1, 5, 2, 2, 4, 2, 2, 6, 3, 2, 2, 4, 1, 1, 3, 6]"
Isabelle broke the TV remote.,6.5,1.3354,60,"[7, 7, 7, 7, 7, 7, 7, 7, 4, 7, 2, 7, 4, 6, 7, 7, 7, 7, 4, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 3, 7, 7, 7, 3, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Isabelle slept the TV remote.,1.35,0.5424,60,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 3, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2]"
Matt fell a lost puppy.,1.3333,0.8097,60,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 2, 1, 2, 1, 1, 6, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]"
Matt find a lost puppy.,2.9,1.4799,60,"[5, 2, 2, 3, 2, 2, 3, 2, 5, 3, 2, 3, 2, 1, 3, 6, 1, 3, 4, 1, 3, 3, 2, 4, 1, 2, 5, 3, 3, 3, 3, 2, 2, 2, 2, 3, 3, 2, 2, 7, 2, 5, 2, 6, 1, 4, 2, 3, 3, 2, 2, 6, 3, 2, 2, 1, 1, 7, 3, 5]"
Matt found a lost puppy.,6.85,0.703,60,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 6, 7, 5, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Rachel clapped an essay.,1.45,0.7837,60,"[5, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 1, 4, 1, 1, 2, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
Rachel write an essay.,3.1167,1.6339,60,"[6, 2, 2, 2, 2, 2, 3, 1, 6, 2, 3, 3, 3, 2, 3, 6, 1, 3, 1, 1, 3, 3, 2, 3, 1, 2, 3, 5, 4, 4, 3, 3, 3, 6, 2, 2, 3, 3, 2, 7, 2, 5, 3, 6, 1, 5, 1, 2, 3, 2, 2, 6, 5, 3, 3, 3, 1, 7, 3, 6]"
Rachel wrote an essay.,6.6667,1.2202,60,"[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 6, 7, 4, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Sandra danced the cake.,1.45,0.669,60,"[3, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 3, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
Sandra made the cake.,6.65,1.1807,60,"[7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 2, 7, 7, 6, 7, 6, 7, 7, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Sandra make the cake.,3.7833,1.9672,60,"[4, 2, 7, 7, 2, 3, 3, 2, 3, 3, 2, 6, 7, 6, 7, 7, 1, 1, 4, 1, 4, 3, 2, 3, 1, 7, 4, 5, 3, 4, 3, 1, 2, 4, 2, 2, 3, 6, 6, 5, 2, 5, 5, 4, 1, 5, 1, 3, 3, 2, 2, 6, 5, 2, 3, 7, 7, 7, 3, 6]"
Sarah died the lamp.,1.5833,1.0999,60,"[5, 1, 1, 1, 1, 2, 1, 1, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 2, 1, 6, 1, 1, 5, 2, 2, 2, 1, 2, 1, 1, 3, 1, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1]"
Sarah threw the lamp.,6.3667,1.6829,60,"[7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 2, 7, 7, 6, 7, 4, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 7, 7, 1, 7, 1, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Sarah throw the lamp.,3.05,1.5538,60,"[4, 2, 2, 3, 2, 2, 5, 2, 4, 3, 2, 4, 6, 1, 3, 4, 1, 1, 2, 2, 3, 3, 2, 4, 2, 2, 3, 4, 3, 1, 3, 1, 3, 2, 3, 2, 3, 6, 2, 7, 2, 3, 2, 6, 2, 5, 1, 3, 4, 2, 2, 6, 4, 2, 3, 5, 1, 7, 3, 6]"
"The TV remote, Isabelle broke.",3.35,1.4925,60,"[2, 3, 2, 3, 3, 4, 3, 5, 6, 3, 1, 2, 7, 2, 3, 4, 3, 2, 6, 4, 4, 3, 2, 3, 2, 3, 6, 4, 4, 1, 6, 4, 3, 2, 4, 4, 4, 5, 2, 6, 1, 4, 2, 3, 1, 5, 6, 3, 2, 1, 2, 2, 3, 3, 3, 4, 2, 5, 3, 6]"
"The baseball, Ben caught.",3.6271,1.625,59,"[5, 3, 1, 4, 3, 3, 3, 3, 5, 4, 2, 7, 7, 1, 3, 4, 2, 2, 1, 6, 4, 3, 2, 3, 2, 5, 6, 6, 4, 5, 6, 4, 4, 1, 4, 4, 3, 6, 2, 6, 3, 6, 2, 5, 2, 4, 3, 3, 1, 2, 2, 5, 3, 4, 2, 3, 6, 3, 6]"
"The cake, Sandra made.",3.55,1.5856,60,"[5, 3, 1, 1, 3, 4, 3, 3, 6, 4, 2, 4, 6, 2, 2, 4, 3, 2, 6, 2, 4, 3, 1, 2, 2, 5, 5, 4, 4, 5, 7, 6, 4, 6, 5, 3, 3, 5, 3, 5, 1, 5, 2, 2, 1, 4, 6, 3, 5, 1, 2, 2, 3, 3, 4, 3, 3, 6, 3, 6]"
