unit,mean,std,n,individual_ratings
Annabel openly admired every painting that Corey also openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.8,1.6193,10,"[6, 4, 6, 7, 7, 4, 2, 4, 4, 4]"
Annabel openly admired every painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.3,1.567,10,"[6, 5, 4, 4, 4, 4, 4, 4, 1, 7]"
Annabel openly admired the painting that Corey also openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.1,1.1005,10,"[3, 4, 4, 4, 5, 4, 2, 4, 5, 6]"
Annabel openly admired the painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.8,1.8135,10,"[3, 7, 4, 4, 2, 6, 7, 7, 4, 4]"
Antonio wanted to do exactly what the coach told him to do. The coach told him to hit the opposing player when he wasn't looking. How likely is the following causal statement: Antonio hit the opposing player when he wasn't looking because the coach told him to.,6.45,1.0115,40,"[7, 7, 6, 7, 7, 7, 7, 7, 6, 7, 7, 4, 7, 7, 6, 6, 7, 6, 7, 7, 3, 6, 6, 7, 7, 6, 7, 3, 7, 7, 6, 7, 7, 7, 6, 7, 7, 7, 6, 7]"
Carol learned to play every instrument that Sue also learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,5.6,1.5055,10,"[4, 7, 4, 6, 6, 5, 7, 7, 7, 3]"
Carol learned to play every instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.8,1.7512,10,"[6, 6, 5, 6, 6, 2, 2, 7, 4, 4]"
Carol learned to play the instrument that Sue also learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,3.5,1.4337,10,"[3, 5, 4, 3, 3, 2, 4, 4, 1, 6]"
Carol learned to play the instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.2,1.3166,10,"[3, 2, 4, 5, 4, 3, 4, 6, 6, 5]"
Caroline visited every European country that Donna also visited. Donna visited Austria. How likely is the following causal statement: Caroline visited Austria because Donna visited Austria.,4.1,1.3703,10,"[6, 4, 5, 6, 4, 2, 2, 4, 4, 4]"
