unit,mean,std,n,individual_ratings
A bystander was rescued by the fireman in the nick of time.,3.875,1.0825,32,"[1, 5, 5, 5, 5, 4, 3, 5, 4, 2, 5, 4, 3, 4, 3, 3, 5, 5, 5, 4, 3, 5, 4, 2, 4, 4, 3, 4, 2, 5, 4, 4]"
A legislator lied to the consultant about a new bill.,4.1875,1.0136,32,"[1, 5, 4, 5, 4, 4, 5, 3, 4, 2, 5, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 3, 5, 5, 5, 4, 3, 4, 5, 3]"
A socialite was greeted by the butler with a plate of caviar.,4.0312,1.1035,32,"[1, 4, 3, 5, 5, 3, 3, 5, 2, 3, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 1, 4, 4, 4, 4, 4, 5, 5, 4]"
An analyst angered the economist after he interrupted a phone conference five times.,3.5,1.0607,32,"[1, 4, 3, 5, 4, 4, 3, 4, 3, 3, 5, 5, 4, 4, 4, 3, 4, 4, 5, 2, 1, 4, 3, 2, 3, 5, 4, 4, 4, 3, 3, 2]"
The CEO assigned an analyst an office.,3.8333,0.8975,6,"[4, 4, 4, 5, 4, 2]"
The CEO assigned an analyst the office.,2.0,1.0,2,"[1, 3]"
The CEO assigned an office to an analyst.,3.2,0.7483,5,"[2, 4, 3, 3, 4]"
The CEO assigned an office to the analyst.,4.0,0.8165,3,"[5, 4, 3]"
The CEO assigned the analyst the office.,3.5,0.5,2,"[4, 3]"
The CEO assigned the office to an analyst.,3.2857,1.4846,7,"[2, 1, 5, 4, 4, 5, 2]"
The CEO assigned the office to the analyst.,4.3333,0.4714,6,"[4, 4, 5, 4, 4, 5]"
The Viking raided a village in search of the warrior.,3.8125,0.9164,32,"[1, 4, 3, 2, 4, 4, 4, 4, 4, 2, 3, 4, 4, 5, 5, 4, 4, 5, 5, 4, 3, 4, 4, 3, 4, 4, 4, 4, 5, 3, 4, 5]"
The acrobat respected the ballerina because she went to Juilliard.,4.125,1.111,32,"[1, 5, 5, 5, 5, 5, 4, 5, 1, 4, 5, 5, 4, 5, 3, 4, 5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 2, 5, 3, 3]"
The advisee opened a file for the visitor with some trepidation.,3.125,1.1659,32,"[1, 3, 3, 2, 3, 4, 2, 5, 3, 1, 5, 5, 4, 4, 5, 4, 3, 3, 4, 2, 2, 4, 3, 1, 4, 4, 2, 2, 2, 4, 3, 3]"
The alum was offended by the solicitor because he asked very personal questions.,3.6562,1.1887,32,"[1, 4, 4, 4, 4, 4, 5, 4, 2, 5, 5, 5, 4, 4, 2, 4, 4, 5, 5, 4, 1, 4, 2, 2, 5, 5, 2, 3, 4, 4, 3, 3]"
The archivist found a document dating back to the Nixon administration.,4.4688,0.9008,32,"[1, 4, 5, 5, 5, 4, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 4, 5, 4, 4]"
The assistant printed a file for the editor after sorting some papers.,3.9062,1.0416,32,"[1, 5, 4, 2, 5, 4, 3, 3, 4, 4, 5, 5, 4, 5, 4, 4, 4, 4, 5, 3, 4, 5, 5, 2, 4, 5, 4, 4, 3, 5, 2, 4]"
The assistant reserved a historian a suite.,2.0,0.8165,3,"[2, 3, 1]"
The assistant reserved a historian the suite.,2.25,0.8292,8,"[2, 2, 2, 2, 2, 1, 3, 4]"
The assistant reserved a suite for a historian.,3.0,1.0,2,"[4, 2]"
The assistant reserved a suite for the historian.,4.75,0.433,8,"[5, 5, 4, 5, 5, 5, 4, 5]"
The assistant reserved the historian a suite.,4.0,0.0,3,"[4, 4, 4]"
The assistant reserved the historian the suite.,2.3333,0.9428,3,"[1, 3, 3]"
The assistant reserved the suite for a historian.,3.3333,0.9428,3,"[4, 2, 4]"
The assistant reserved the suite for the historian.,4.5,0.5,2,"[5, 4]"
