unit,mean,std,n,individual_ratings
I like the way a British accent sounds.,4.24,0.7632,25,"[4, 5, 3, 5, 5, 4, 5, 5, 2, 5, 5, 4, 5, 4, 4, 5, 4, 4, 4, 4, 5, 4, 4, 4, 3]"
I like the way an American accent sounds.,3.64,0.889,25,"[4, 4, 2, 5, 3, 4, 3, 5, 3, 5, 4, 4, 4, 3, 3, 5, 3, 3, 2, 3, 5, 4, 3, 4, 3]"
I think having a British accent is prestigious.,3.6,0.8485,25,"[4, 5, 2, 4, 4, 4, 3, 5, 3, 4, 4, 4, 4, 2, 4, 3, 3, 4, 4, 3, 5, 4, 3, 2, 3]"
I think having an American accent is prestigious.,2.84,0.88,25,"[3, 2, 2, 4, 3, 3, 2, 4, 3, 4, 3, 4, 4, 2, 3, 3, 3, 3, 2, 1, 4, 2, 3, 1, 3]"
I've enjoyed listening to this speaker talk.,3.96,0.72,25,"[4, 4, 3, 5, 5, 4, 3, 4, 3, 5, 4, 5, 5, 4, 5, 3, 4, 3, 4, 3, 4, 4, 4, 4, 3]"
The audio recordings were clear.,4.2,0.9798,25,"[4, 4, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 2, 5, 5, 2, 2, 5, 3, 5]"
The speaker graduated from a prestigious university.,3.2,0.4899,25,"[3, 2, 4, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3]"
The speaker has a successful career.,3.36,0.6248,25,"[4, 4, 4, 3, 3, 4, 2, 4, 3, 4, 3, 5, 3, 3, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3]"
The speaker is good at what they do.,4.16,0.731,25,"[4, 4, 3, 5, 5, 4, 5, 5, 4, 5, 4, 5, 3, 4, 5, 3, 3, 4, 5, 5, 3, 4, 4, 4, 4]"
The speaker is wealthy.,3.12,0.5154,25,"[4, 2, 3, 3, 2, 3, 3, 4, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3]"
The speaker strongly enunciated the words.,4.08,0.9347,25,"[4, 2, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 4, 4, 5, 4, 4, 4, 3, 5, 4, 2, 4, 2, 5]"
The speaker talks in a way that I like.,3.88,0.9086,25,"[4, 4, 3, 5, 4, 4, 3, 5, 3, 5, 4, 5, 4, 3, 5, 5, 4, 3, 5, 3, 5, 2, 3, 3, 3]"
The speaker was easy to understand.,4.2,0.9798,25,"[4, 4, 4, 5, 5, 4, 4, 5, 3, 5, 4, 5, 5, 4, 5, 4, 5, 2, 5, 5, 2, 2, 5, 4, 5]"
The speaker's delivery was well-paced.,4.48,0.5741,25,"[4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 4, 5, 3, 4]"
