unit,mean,std,n,individual_ratings
录音很清楚。,3.26,1.2777,50,"[4, 5, 2, 4, 2, 2, 2, 2, 5, 5, 4, 4, 1, 2, 5, 2, 2, 5, 5, 5, 2, 3, 5, 2, 4, 4, 2, 2, 2, 4, 5, 4, 3, 2, 5, 3, 2, 2, 3, 2, 5, 2, 2, 5, 2, 4, 4, 4, 2, 4]"
我喜欢北方话的语音语调。,3.16,0.88,50,"[2, 4, 2, 2, 3, 3, 4, 2, 4, 4, 3, 3, 3, 3, 2, 4, 3, 3, 3, 3, 2, 4, 3, 5, 3, 3, 5, 2, 3, 3, 2, 4, 3, 3, 4, 2, 3, 4, 2, 4, 4, 3, 3, 5, 3, 4, 2, 5, 3, 2]"
我喜欢南方话的语音语调。,3.28,0.9174,50,"[4, 3, 5, 3, 3, 2, 5, 3, 3, 4, 4, 4, 4, 3, 4, 4, 3, 2, 5, 2, 2, 1, 3, 2, 3, 3, 3, 5, 3, 3, 4, 3, 3, 3, 4, 4, 3, 2, 4, 2, 5, 3, 3, 3, 3, 3, 3, 5, 3, 3]"
我喜欢普通话的语音语调。,3.98,1.0861,50,"[5, 4, 5, 4, 2, 5, 5, 5, 5, 5, 3, 3, 5, 3, 4, 5, 5, 4, 3, 4, 5, 5, 4, 5, 3, 3, 5, 5, 4, 3, 3, 4, 2, 5, 3, 2, 2, 5, 4, 5, 5, 5, 4, 4, 1, 4, 4, 5, 2, 4]"
我很喜欢听这位说话者讲话。,2.08,0.9765,50,"[2, 2, 2, 1, 2, 1, 2, 2, 1, 1, 3, 4, 3, 3, 2, 2, 3, 1, 2, 1, 1, 1, 3, 1, 2, 3, 1, 3, 1, 3, 2, 2, 3, 1, 4, 2, 2, 3, 2, 1, 5, 1, 2, 4, 1, 2, 2, 3, 2, 1]"
我觉得说北方话是受人尊重的。,3.28,0.694,50,"[2, 4, 4, 3, 3, 3, 4, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 5, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 3, 5, 3, 3, 4, 2, 4, 2, 5, 3, 3]"
我觉得说南方话是受人尊重的。,3.36,0.7684,50,"[2, 5, 4, 4, 3, 3, 5, 3, 3, 3, 4, 4, 3, 3, 4, 4, 3, 2, 3, 4, 2, 3, 3, 4, 3, 3, 5, 4, 3, 3, 3, 3, 4, 3, 4, 3, 3, 3, 3, 2, 5, 3, 3, 3, 3, 4, 3, 5, 3, 3]"
我觉得说普通话是受人尊重的。,3.64,0.889,50,"[5, 4, 5, 3, 3, 4, 5, 4, 3, 3, 5, 4, 4, 3, 4, 5, 3, 2, 3, 4, 5, 4, 3, 5, 3, 3, 5, 4, 3, 4, 3, 3, 3, 3, 3, 3, 5, 3, 2, 4, 5, 4, 3, 3, 2, 4, 3, 5, 3, 3]"
这位说话者事业很成功。,2.84,0.5783,50,"[2, 3, 4, 3, 3, 1, 3, 3, 3, 3, 3, 4, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 4, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1]"
这位说话者发音很清楚。,2.14,1.0956,50,"[1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 3, 4, 5, 2, 1, 2, 2, 2, 4, 5, 2, 3, 2, 1, 4, 3, 1, 2, 1, 2, 4, 3, 3, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 3, 1, 2, 1, 4, 2, 1]"
这位说话者很容易理解。,2.46,1.0623,50,"[1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 2, 3, 2, 1, 3, 3, 2, 3, 4, 2, 2, 2, 2, 5, 2, 5, 3, 2, 4, 1, 3, 3, 1, 2, 3, 1, 4, 2, 2, 2, 2, 3, 1, 4, 2, 5]"
这位说话者很擅长所做的事情。,2.8,0.9165,50,"[1, 3, 4, 1, 3, 1, 4, 3, 3, 3, 4, 4, 3, 4, 2, 3, 2, 2, 3, 4, 2, 2, 3, 1, 3, 3, 3, 3, 2, 4, 5, 3, 2, 3, 2, 3, 4, 2, 2, 3, 3, 2, 2, 2, 3, 2, 4, 4, 3, 3]"
这位说话者很有钱。,2.66,0.6515,50,"[2, 3, 3, 3, 3, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 2, 3, 3, 3, 4, 1, 2, 4, 3, 3, 3, 3, 2, 3, 2, 3, 2, 3, 2, 3, 3, 1, 3, 3, 3, 3, 2]"
这位说话者毕业于一所名牌大学。,2.26,0.8674,50,"[1, 2, 3, 2, 3, 1, 2, 3, 3, 1, 3, 4, 3, 3, 1, 2, 3, 2, 3, 3, 1, 1, 3, 1, 2, 3, 3, 3, 3, 1, 3, 2, 3, 1, 1, 2, 3, 2, 3, 2, 3, 1, 3, 3, 1, 2, 3, 3, 2, 1]"
这位说话者的语速掌握得很好。,3.78,1.0448,50,"[4, 5, 4, 3, 4, 5, 2, 4, 4, 2, 4, 4, 5, 4, 3, 2, 4, 2, 5, 4, 3, 4, 4, 5, 4, 4, 5, 4, 3, 5, 5, 4, 2, 2, 5, 4, 4, 5, 4, 4, 5, 3, 4, 5, 2, 5, 3, 4, 3, 1]"
这位说话者的说话方式我很喜欢。,2.14,0.8488,50,"[2, 2, 1, 1, 3, 1, 2, 3, 1, 1, 3, 3, 4, 3, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 1, 3, 1, 3, 1, 2, 2, 3, 2, 1, 3, 2, 2, 2, 2, 2, 3, 1, 2, 4, 2, 3, 2, 4, 2, 1]"
