unit,mean,std,n,individual_ratings
Taste that fowl and those fish.,2.3125,,,
All sorts of treasure there too.,3.7142857142857,,,
The small flock of birds circled.,5.1666666666667,,,
The music drums inside my head.,1.8333333333333,,,
They are very devoted and faithful.,1.375,,,
What an amazing and wonderful metamorphosis.,2.2857142857143,,,
She began to worry about infection.,1.3571428571429,,,
It has a light tangy flavor.,1.875,,,
We love rich tourists on vacation.,4.1333333333333,,,
Across the street was a pub.,5.6315789473684,,,
Would she put him in jail?,4.1578947368421,,,
Where are you keeping it safe?,2.0,,,
"It was all ridiculous, crazy, insane.",1.3571428571429,,,
"A childish notion, to be sure.",1.3333333333333,,,
Sophia was asleep on the sofa.,4.25,,,
Her answer was difficult to grasp.,1.2,,,
It meant waving a white flag.,2.1333333333333,,,
The crowd burst into spontaneous applause.,3.5,,,
His leg is too badly damaged.,2.0,,,
He treated them like puppy dogs.,1.5,,,
It looked like a trash heap.,4.3571428571429,,,
A car drove down the road.,4.8571428571429,,,
People are getting hungry and desperate.,2.8125,,,
He held out a duffel bag.,2.9375,,,
The movie was entertaining and funny.,2.625,,,
Everyone finished eating every delicious bite.,2.375,,,
He took another sip of beer.,2.7333333333333,,,
The last time we'd had four.,1.2857142857143,,,
Would she not regret this marriage?,1.0833333333333,,,
Grace and kindness was their strength.,1.4705882352941,,,
He could smell the cooking meat.,2.9285714285714,,,
In a way it seemed pointless.,1.1428571428571,,,
Another dance is about to begin.,2.0714285714286,,,
Like a voodoo priest or something?,1.6428571428571,,,
Her dreams remain vague and inconclusive.,1.7142857142857,,,
She seems awfully likable to me.,1.0833333333333,,,
The experience had shaken him emotionally.,1.3333333333333,,,
The bugs are eating me alive.,3.6428571428571,,,
She looked up from her sewing.,1.6875,,,
This truly was a depressing place.,4.0625,,,
"There was no moon, only starlight.",6.2631578947368,,,
He looked annoyed at being disturbed.,2.7857142857143,,,
Could this all be a test?,1.5625,,,
They started hiking down the mountain.,6.7857142857143,,,
"Cattle, wagons, horses, all going west.",4.625,,,
They bring peace in a conflict.,1.5,,,
He pointed at the smaller circle.,2.3333333333333,,,
Light from a fire burned inside.,4.0714285714286,,,
This is so simple and easy.,1.0625,,,
"However, they were much too large.",2.3571428571429,,,
Sweaty hair clinging to his forehead.,2.2142857142857,,,
Can we pursue him for robbery?,1.2142857142857,,,
Every now and then she stopped.,1.0714285714286,,,
Instead he dug a little deeper:,1.7142857142857,,,
A gun fired into the air.,3.4,,,
I cannot debate the truth fact.,1.0,,,
Could you loan it to me?,1.1666666666667,,,
Perhaps we can catch some fish.,4.125,,,
"There'll be towels, soap, and all.",2.5714285714286,,,
Was he still in the laboratory?,4.625,,,
He was a tall muscular man.,1.25,,,
Its small head resembled a deer.,3.2105263157895,,,
He finally hit the ball back.,2.8125,,,
Already inflation was destabilizing financial markets.,1.2631578947368,,,
"It was a cylindrical, rocky chamber.",4.8947368421053,,,
We ate it up like candy.,2.375,,,
The weather was warm and dry.,4.125,,,
