unit,mean,std,n,individual_ratings
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check if the maid was trying to figure out what who was missing.,2.7895,1.3976,19,"[1, 2, 4, 3, 2, 2, 2, 4, 2, 2, 2, 5, 5, 1, 1, 5, 2, 4, 4]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check if the maid was trying to figure out who was missing what.,3.2,1.2814,20,"[3, 3, 4, 4, 4, 5, 1, 4, 5, 4, 2, 5, 3, 3, 4, 2, 3, 3, 1, 1]"
A big conference for the American Cancer Society was held at the Marriott Hotel. As it often happens many of the attendees lost various items by leaving them in the conference hall or in the corridors during the breaks. Luckily the hotel had a lost-and-found service which kept all the items. During the last day of the conference several people were standing in line at the lost-and-found office trying to locate their misplaced belongings. The hotel manager came to check what the maid was trying to figure out who was missing.,1.75,1.0195,20,"[5, 3, 1, 1, 2, 1, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know if the intern found out what who sponsored.,2.3,1.4903,20,"[5, 4, 2, 1, 2, 1, 5, 1, 2, 2, 5, 3, 1, 1, 2, 2, 1, 1, 1, 4]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know if the intern found out who sponsored what.,4.2632,0.8057,19,"[4, 5, 5, 5, 3, 5, 4, 5, 4, 4, 5, 3, 5, 3, 5, 5, 4, 3, 4]"
A marketing research company was conducting an analysis of how effective event sponsorship is. Specifically they were interested in how much the sponsoring of sports events boosts the companies' profits. The intern who was hired to work on this project was told to compile a list of important sports events in the last five years and the names of the sponsors. The supervisor wanted to know what the intern found out who sponsored.,2.8,1.2814,20,"[5, 5, 3, 3, 3, 4, 2, 2, 4, 2, 2, 2, 1, 2, 1, 2, 2, 4, 2, 5]"
A novice writer was working on his first novel. At first he quickly wrote a few chapters but then he started having trouble in terms of where to take the story. The wife of the main character filed for a divorce and the main character - being very upset - moved to a different city. The neighbor was in love with the wife of the main character. The writer could not decide when the main character who the wife who the neighbor loved left moved to another city.,1.5,0.8272,20,"[2, 1, 1, 1, 3, 1, 4, 2, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]"
A novice writer was working on his first novel. At first he quickly wrote a few chapters but then he started having trouble in terms of where to take the story. The wife of the main character filed for a divorce and the main character - being very upset - moved to a different city. The neighbor was in love with the wife of the main character. The writer could not decide when the neighbor loved the wife who left the main character who moved to another city.,2.3684,1.0116,19,"[2, 2, 2, 1, 3, 4, 3, 2, 2, 1, 3, 1, 3, 2, 1, 3, 2, 4, 4]"
A novice writer was working on his first novel. At first he quickly wrote a few chapters but then he started having trouble in terms of where to take the story. The wife of the main character filed for a divorce and the main character - being very upset - moved to a different city. The neighbor was in love with the wife of the main character. The writer could not decide when the wife who the neighbor loved left the main character who moved to another city.,2.3158,1.1082,19,"[4, 3, 1, 4, 3, 2, 1, 4, 2, 1, 2, 4, 2, 1, 2, 2, 2, 3, 1]"
A psychologist and a sociologist received a research grant last year. This week the psychologist had to submit a progress report on the project and so he was remembering what has been done over the course of last year. The two scientists have recently submitted a paper to a prestigious journal. The sociologist had a very smart and hard-working research assistant working for him for a few months. Also there was a programmer in the department who helped the research assistant with some aspects of the project. Both the research assistant and the programmer were paid by the grant funds. The psychologist tried to remember when the programmer helped the research assistant who worked for the sociologist who submitted the paper.,2.7368,1.1945,19,"[4, 4, 2, 4, 3, 3, 5, 2, 2, 2, 3, 4, 1, 1, 4, 2, 3, 1, 2]"
