unit,mean,std,n,individual_ratings
A student failed for leaving class on an exam day when the professor arrived 20 minutes late and then gave the exam.,3.15,1.2996,60,"[4, 1, 4, 4, 5, 3, 4, 4, 2, 5, 2, 3, 2, 1, 2, 4, 2, 2, 4, 5, 1, 4, 2, 3, 3, 1, 4, 1, 3, 4, 1, 5, 4, 4, 3, 2, 3, 3, 3, 5, 4, 5, 4, 2, 2, 2, 5, 4, 5, 2, 4, 5, 4, 2, 2, 1, 2, 4, 3, 5]"
Companies are producing products that are so complex that they break too easily to be safe for children.,3.5167,1.2688,60,"[4, 2, 2, 5, 4, 3, 4, 2, 5, 1, 4, 3, 1, 3, 3, 5, 2, 4, 4, 5, 2, 4, 4, 5, 4, 5, 4, 2, 3, 4, 1, 5, 4, 5, 3, 4, 2, 4, 5, 4, 5, 4, 5, 4, 4, 2, 5, 5, 2, 4, 1, 4, 3, 3, 1, 4, 3, 5, 2, 5]"
For some reason gold has out-performed all other precious metals.,4.4833,0.8129,60,"[4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 2, 5, 5, 3, 5, 3, 5, 5, 4, 4, 4, 4, 1, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 5, 3, 5]"
I can't believe that bus and train companies are not more child friendly.,4.5,0.8336,60,"[4, 5, 4, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 3, 5, 3, 4, 1, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 3, 5, 5, 4, 3, 5, 3, 5]"
Only Georgia had a serious enough water shortage problem to warrant drastic measures.,4.25,1.0834,60,"[1, 4, 3, 5, 5, 3, 5, 5, 5, 5, 4, 4, 5, 5, 3, 5, 2, 5, 4, 5, 5, 5, 3, 3, 5, 5, 4, 2, 5, 4, 1, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 2, 4, 5, 5, 4, 4, 5, 5, 4, 5, 3, 5]"
Only one of the ushers who had forgotten his flashlight was able to borrow one that day.,3.7667,1.1404,60,"[4, 3, 3, 4, 3, 5, 4, 4, 4, 5, 4, 3, 5, 5, 4, 5, 4, 3, 4, 5, 5, 4, 2, 4, 4, 4, 4, 1, 4, 4, 1, 3, 5, 4, 5, 5, 5, 2, 4, 3, 5, 1, 4, 4, 4, 2, 5, 5, 2, 3, 4, 3, 3, 4, 4, 5, 1, 5, 3, 5]"
"Only ten percent of the insect species will be endangered in 2050, much lower than the proportion of mammals.",3.9333,1.1913,60,"[4, 4, 1, 5, 3, 5, 4, 5, 5, 5, 4, 4, 3, 4, 4, 5, 4, 4, 5, 5, 1, 4, 3, 4, 4, 5, 4, 4, 3, 4, 1, 5, 5, 5, 1, 2, 4, 5, 4, 4, 5, 5, 4, 4, 4, 1, 5, 5, 2, 3, 5, 5, 4, 4, 5, 2, 4, 4, 5, 5]"
Our basketball team is doing poorly because all of our top players graduated last year.,4.5932,0.8929,59,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 2, 5, 5, 4, 2, 5, 4, 1, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 4, 5, 3, 5]"
Rents have only gone up in certain metropolitan areas where the economic downturn had a smaller effect on the local economy.,3.7119,1.3268,59,"[2, 3, 4, 5, 4, 3, 5, 5, 4, 5, 4, 3, 4, 4, 2, 4, 4, 5, 4, 5, 1, 4, 1, 3, 5, 2, 5, 2, 3, 4, 1, 5, 4, 5, 4, 3, 4, 5, 5, 3, 4, 5, 4, 4, 4, 1, 5, 5, 1, 3, 5, 4, 4, 5, 5, 1, 5, 1, 5]"
Rhode Island is a coastal state and the weather there gets really bad only in January.,3.6667,1.1596,60,"[2, 2, 3, 5, 3, 5, 4, 5, 4, 4, 4, 2, 4, 4, 3, 5, 3, 2, 4, 5, 5, 3, 1, 4, 5, 5, 4, 4, 5, 4, 1, 4, 4, 4, 5, 4, 4, 2, 4, 3, 5, 4, 4, 4, 4, 2, 5, 4, 1, 3, 5, 3, 4, 2, 5, 4, 2, 4, 2, 5]"
Some of the chefs at the convention claimed that garlic destroyed taste buds while others claimed that it was a miracle spice.,4.4167,0.9074,60,"[2, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 3, 5, 5, 4, 4, 5, 4, 1, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 2, 4, 4, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 4, 5, 2, 5]"
Some parents are suing the middle school for discrimination after their boys were not allowed to wear the clothing that they chose.,3.8833,1.1511,60,"[2, 4, 5, 5, 4, 3, 4, 5, 5, 5, 4, 2, 5, 5, 3, 5, 4, 4, 4, 5, 2, 2, 4, 3, 4, 5, 3, 2, 4, 4, 1, 5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 5, 4, 3, 4, 3, 5, 3, 2, 5, 5, 4, 4, 4, 5, 1, 2, 5, 2, 5]"
The ambitious rock collector was going after every fossil that the highly specialized geologist also was.,2.6,1.4041,15,"[2, 2, 1, 2, 2, 1, 4, 1, 4, 5, 2, 5, 2, 4, 2]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,3.4667,1.2459,15,"[5, 4, 2, 2, 5, 4, 2, 3, 3, 4, 4, 2, 5, 5, 2]"
The ambitious rock collector was going after the fossil that the highly specialized geologist also was.,2.6429,1.0818,14,"[3, 5, 4, 2, 2, 2, 3, 4, 1, 2, 2, 2, 3, 2]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,2.8,1.0142,15,"[4, 3, 5, 2, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 2]"
The ambulance took away all of the players that the fans had knocked out.,3.8833,1.2226,60,"[4, 4, 4, 5, 4, 4, 4, 4, 5, 1, 5, 1, 5, 3, 3, 5, 4, 2, 5, 5, 3, 4, 4, 2, 5, 1, 2, 5, 3, 4, 1, 5, 5, 5, 4, 2, 5, 4, 3, 4, 5, 5, 5, 4, 2, 5, 5, 5, 4, 4, 5, 4, 3, 4, 4, 4, 5, 5, 2, 5]"
The article states that most types of whales apparently held their breath for as long as the dolphins did.,3.5862,1.1244,58,"[4, 2, 4, 5, 5, 3, 3, 4, 2, 5, 4, 4, 2, 5, 2, 3, 3, 2, 4, 5, 5, 2, 4, 3, 4, 3, 4, 5, 4, 1, 5, 5, 2, 4, 4, 5, 2, 4, 4, 5, 4, 4, 4, 4, 1, 4, 2, 2, 3, 4, 4, 4, 5, 4, 2, 3, 4, 4]"
The artistic film producer was reading through every screenplay that the perpetually impatient director also was.,3.0,1.5119,15,"[4, 2, 2, 2, 2, 1, 5, 1, 3, 5, 2, 5, 2, 4, 5]"
The artistic film producer was reading through every screenplay that the perpetually impatient director was.,3.2667,1.0328,15,"[4, 4, 4, 2, 5, 2, 2, 3, 2, 4, 4, 4, 4, 3, 2]"
The artistic film producer was reading through the screenplay that the perpetually impatient director also was.,2.5333,1.1872,15,"[4, 4, 3, 3, 1, 3, 4, 3, 1, 1, 2, 2, 1, 4, 2]"
The artistic film producer was reading through the screenplay that the perpetually impatient director was.,2.4,0.9856,15,"[1, 2, 4, 1, 2, 3, 3, 3, 4, 3, 2, 1, 3, 2, 2]"
The avid newspaper reporter was tracking down every story that the overly eager journalist also was.,2.5333,0.7432,15,"[2, 4, 3, 2, 3, 3, 3, 3, 1, 2, 3, 2, 2, 3, 2]"
The avid newspaper reporter was tracking down every story that the overly eager journalist was.,3.2667,1.0998,15,"[3, 4, 5, 4, 3, 2, 4, 3, 4, 2, 2, 2, 4, 2, 5]"
The avid newspaper reporter was tracking down the story that the overly eager journalist also was.,2.7333,1.5796,15,"[4, 2, 1, 2, 4, 1, 4, 1, 4, 4, 2, 5, 1, 5, 1]"
The avid newspaper reporter was tracking down the story that the overly eager journalist was.,2.4667,1.0601,15,"[4, 2, 3, 2, 5, 3, 2, 2, 1, 2, 1, 2, 3, 3, 2]"
The boys made the same mistakes that the girls made.,4.5593,0.9148,59,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 2, 5, 5, 3, 5, 4, 4, 1, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 2, 5, 5, 5, 4, 5, 5, 5, 4, 5, 2, 5]"
The busy international banker was monitoring every account that the incredibly wealthy client also was.,2.9333,0.9612,15,"[3, 3, 5, 2, 2, 3, 2, 3, 4, 2, 4, 2, 3, 2, 4]"
The busy international banker was monitoring every account that the incredibly wealthy client was.,2.6667,1.3452,15,"[4, 2, 1, 2, 2, 1, 4, 1, 4, 2, 2, 5, 4, 4, 2]"
The busy international banker was monitoring the account that the incredibly wealthy client also was.,3.0714,0.9972,14,"[4, 2, 2, 2, 5, 2, 2, 3, 3, 4, 4, 3, 3, 4]"
The busy international banker was monitoring the account that the incredibly wealthy client was.,2.7333,0.9612,15,"[3, 3, 3, 2, 3, 2, 3, 3, 1, 1, 4, 4, 3, 4, 2]"
The careful young logician was copying down every proof that the rapidly aging mathematician also was.,3.1333,0.9904,15,"[4, 2, 2, 2, 5, 4, 3, 4, 3, 4, 3, 2, 3, 4, 2]"
The careful young logician was copying down every proof that the rapidly aging mathematician was.,3.0,1.0,15,"[3, 2, 3, 5, 2, 3, 4, 3, 2, 4, 4, 2, 2, 4, 2]"
The careful young logician was copying down the proof that the rapidly aging mathematician also was.,2.6,1.1832,15,"[1, 4, 5, 3, 2, 2, 4, 2, 2, 2, 4, 2, 3, 2, 1]"
The careful young logician was copying down the proof that the rapidly aging mathematician was.,2.1333,1.1872,15,"[3, 2, 1, 1, 2, 1, 4, 1, 3, 4, 2, 1, 4, 2, 1]"
The catcher went to pick up the player that overslept but the manager got him first.,3.3898,1.0989,59,"[2, 2, 4, 5, 5, 4, 4, 5, 3, 2, 3, 4, 2, 3, 2, 3, 5, 4, 5, 5, 3, 4, 3, 2, 4, 2, 3, 3, 4, 3, 1, 5, 4, 5, 3, 4, 1, 2, 4, 4, 4, 4, 2, 5, 2, 2, 4, 5, 3, 2, 3, 3, 3, 4, 3, 3, 4, 4, 4]"
The clever head detective was examining every gun that the ambitious crime investigator also was.,2.6667,0.9759,15,"[2, 2, 5, 3, 2, 2, 4, 3, 2, 2, 4, 2, 2, 2, 3]"
The clever head detective was examining every gun that the ambitious crime investigator was.,2.9333,1.3345,15,"[3, 2, 1, 1, 2, 2, 4, 1, 4, 4, 3, 5, 4, 4, 4]"
The clever head detective was examining the gun that the ambitious crime investigator also was.,2.8,1.0823,15,"[4, 2, 2, 2, 5, 2, 3, 2, 2, 4, 4, 4, 2, 2, 2]"
The clever head detective was examining the gun that the ambitious crime investigator was.,2.4667,0.9904,15,"[1, 3, 1, 2, 2, 3, 4, 3, 1, 2, 4, 3, 3, 3, 2]"
The considerate stock broker was thinking over every investment that the naively eager client also was.,2.6667,1.2344,15,"[4, 2, 2, 2, 5, 3, 1, 2, 2, 4, 1, 4, 4, 2, 2]"
The considerate stock broker was thinking over every investment that the naively eager client was.,3.1333,0.9904,15,"[4, 3, 3, 2, 2, 3, 4, 4, 1, 4, 4, 2, 4, 4, 3]"
The considerate stock broker was thinking over the investment that the naively eager client also was.,2.3571,0.7449,14,"[2, 2, 4, 2, 2, 2, 2, 3, 2, 2, 4, 2, 2, 2]"
The considerate stock broker was thinking over the investment that the naively eager client was.,2.3333,1.3452,15,"[3, 2, 1, 2, 2, 1, 5, 1, 4, 1, 1, 2, 2, 4, 4]"
The copy editor proofreads most of the articles that the editor-in-chief does.,3.5,1.1571,60,"[4, 5, 4, 5, 4, 3, 2, 4, 4, 5, 1, 4, 2, 2, 2, 4, 3, 4, 3, 5, 3, 3, 4, 3, 3, 5, 4, 3, 4, 4, 1, 3, 2, 4, 5, 2, 3, 4, 4, 4, 5, 4, 4, 5, 4, 1, 5, 4, 2, 5, 3, 5, 3, 5, 4, 4, 2, 3, 3, 1]"
The cows got the same type of vaccination that the sheep did.,4.3167,0.8732,60,"[4, 4, 3, 5, 5, 3, 5, 5, 4, 5, 4, 5, 4, 5, 3, 4, 3, 4, 4, 5, 5, 4, 4, 3, 4, 4, 3, 3, 5, 4, 1, 5, 2, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 4, 5]"
The dean is actually favored by some trustees to become the new president.,4.4167,0.8693,60,"[4, 4, 4, 5, 5, 5, 5, 4, 5, 5, 4, 5, 3, 4, 5, 5, 3, 5, 5, 5, 4, 5, 4, 3, 5, 5, 3, 4, 5, 4, 1, 5, 2, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 4, 5, 3, 5]"
The dog owner should be punished somehow for not restraining her dog.,4.2833,0.9758,60,"[4, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 3, 2, 5, 4, 4, 5, 3, 4, 1, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 4, 5, 3, 5, 5, 2, 4, 4, 5, 4, 4, 4, 2, 4, 5, 2, 5]"
The elderly estate manager was checking out every heirloom that the greedy antique dealer also was.,2.4667,1.3558,15,"[2, 2, 1, 2, 2, 1, 4, 1, 4, 4, 2, 5, 2, 4, 1]"
The elderly estate manager was checking out every heirloom that the greedy antique dealer was.,3.2857,1.3828,14,"[5, 5, 2, 2, 5, 4, 2, 4, 2, 4, 1, 4, 4, 2]"
The elderly estate manager was checking out the heirloom that the greedy antique dealer also was.,2.3571,1.0818,14,"[2, 4, 3, 2, 1, 2, 4, 3, 1, 1, 4, 2, 2, 2]"
The elderly estate manager was checking out the heirloom that the greedy antique dealer was.,2.6,0.9103,15,"[1, 3, 4, 3, 2, 2, 4, 3, 4, 3, 2, 2, 2, 2, 2]"
The famous movie star was vying for every role that the young aspiring actress also was.,2.8667,1.302,15,"[4, 2, 2, 2, 2, 3, 4, 1, 3, 5, 2, 5, 1, 4, 3]"
The famous movie star was vying for every role that the young aspiring actress was.,3.6,0.9856,15,"[4, 4, 3, 2, 5, 3, 4, 4, 2, 4, 4, 4, 5, 4, 2]"
The famous movie star was vying for the role that the young aspiring actress also was.,3.1333,0.9155,15,"[4, 2, 3, 3, 4, 3, 4, 4, 1, 3, 4, 2, 3, 4, 3]"
The famous movie star was vying for the role that the young aspiring actress was.,3.0667,1.1629,15,"[3, 3, 5, 1, 2, 2, 5, 3, 4, 4, 2, 4, 3, 2, 3]"
The famous talent agency was checking out every dancer that the traveling dance troupe also was.,2.9333,1.0328,15,"[4, 4, 4, 3, 2, 2, 4, 3, 1, 2, 4, 2, 3, 4, 2]"
