unit,mean,std,n,individual_ratings
Brian couldn't remember the woman who Lauren mentioned that Justin hire.,3.1186,1.4862,194,"[1, 6, 1, 2, 1, 5, 3, 3, 3, 4, 3, 1, 4, 3, 2, 3, 2, 4, 1, 5, 4, 3, 3, 2, 3, 2, 1, 5, 3, 5, 5, 2, 3, 1, 3, 3, 1, 7, 4, 2, 3, 5, 3, 2, 3, 5, 3, 5, 2, 5, 6, 6, 3, 5, 6, 1, 6, 6, 1, 3, 2, 3, 3, 3, 5, 2, 4, 2, 3, 2, 2, 2, 5, 4, 3, 1, 7, 2, 2, 5, 2, 5, 4, 4, 3, 7, 4, 2, 2, 3, 3, 2, 5, 3, 4, 3, 2, 3, 2, 1, 3, 1, 2, 3, 4, 4, 6, 3, 1, 2, 5, 3, 3, 2, 3, 6, 4, 3, 2, 2, 1, 3, 1, 3, 3, 1, 3, 3, 2, 3, 3, 2, 2, 1, 2, 2, 5, 3, 2, 6, 3, 3, 2, 4, 1, 1, 1, 3, 5, 3, 2, 2, 4, 5, 3, 2, 6, 3, 6, 3, 4, 3, 2, 5, 5, 1, 3, 3, 3, 1, 3, 2, 2, 3, 3, 5, 1, 1, 5, 4, 2, 2, 6, 2, 5, 5, 3, 3, 3, 2, 2, 2, 5, 5]"
Brian couldn't remember the woman who Lauren mentioned that Justin hired Amanda and.,1.699,1.0747,196,"[1, 6, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 3, 2, 2, 2, 2, 1, 5, 4, 1, 2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 3, 3, 5, 4, 1, 1, 6, 1, 3, 1, 3, 2, 1, 2, 3, 2, 1, 2, 2, 1, 2, 2, 3, 2, 2, 1, 1, 5, 1, 1, 1, 3, 2, 2, 4, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 3, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 2, 2, 1, 1, 1, 1, 2, 4, 2, 2, 1, 7, 3, 2, 3, 4, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 3, 1, 1, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1]"
Brian couldn't remember the woman who Lauren mentioned that Justin hired.,4.4897,1.8832,194,"[3, 5, 1, 4, 2, 2, 2, 6, 5, 4, 7, 1, 4, 6, 6, 7, 5, 2, 1, 6, 4, 4, 3, 3, 3, 5, 2, 7, 5, 7, 6, 7, 6, 4, 3, 2, 7, 6, 5, 4, 3, 7, 6, 1, 6, 7, 4, 5, 4, 6, 7, 5, 6, 6, 7, 6, 2, 2, 2, 2, 2, 7, 7, 6, 7, 5, 5, 3, 4, 5, 2, 4, 4, 5, 1, 7, 7, 5, 2, 7, 6, 3, 4, 7, 6, 2, 6, 7, 2, 6, 6, 2, 7, 6, 6, 5, 4, 5, 5, 5, 5, 4, 5, 2, 2, 3, 6, 5, 3, 6, 7, 3, 7, 4, 3, 5, 3, 3, 1, 6, 1, 5, 7, 6, 7, 6, 5, 6, 6, 6, 3, 7, 3, 2, 6, 3, 6, 7, 7, 6, 5, 3, 2, 4, 7, 3, 5, 1, 2, 2, 4, 5, 6, 6, 6, 4, 7, 4, 5, 1, 4, 6, 2, 5, 2, 1, 5, 3, 4, 2, 4, 2, 6, 7, 4, 3, 6, 1, 7, 2, 5, 4, 2, 6, 6, 6, 7, 4, 6, 2, 4, 1, 4, 7]"
Brian couldn't remember the woman who Lauren mentioned that some employees of hired Amanda.,2.0208,1.1237,96,"[2, 3, 2, 3, 1, 2, 1, 5, 1, 3, 1, 3, 3, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 3, 2, 3, 2, 1, 1, 5, 4, 2, 3, 2, 1, 2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 2, 1, 2, 1, 3, 1, 2, 2, 1, 2, 1, 3, 1, 2, 1, 2, 1, 1, 6, 1, 1, 1, 1, 2, 2, 3, 2, 2, 1, 3, 1, 2, 2, 1, 2, 2, 4, 3, 6, 3, 4, 2, 1, 2, 2, 1, 3, 1, 2, 4]"
Brian couldn't remember the woman who Lauren mentioned the announcement suggesting that Justin hired.,2.3161,1.2985,193,"[1, 3, 1, 1, 2, 1, 2, 1, 3, 1, 2, 1, 2, 4, 3, 2, 2, 1, 3, 4, 1, 2, 1, 2, 1, 3, 1, 2, 1, 1, 6, 1, 1, 2, 2, 3, 2, 3, 5, 3, 6, 3, 1, 2, 5, 1, 3, 2, 3, 6, 3, 5, 2, 2, 1, 3, 2, 1, 2, 1, 5, 3, 3, 1, 3, 1, 3, 2, 2, 6, 4, 4, 1, 2, 1, 6, 2, 1, 1, 3, 5, 3, 3, 2, 2, 1, 2, 7, 3, 1, 1, 2, 4, 3, 2, 1, 2, 3, 2, 1, 2, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 1, 3, 1, 1, 2, 2, 1, 1, 1, 4, 3, 1, 2, 4, 1, 1, 4, 2, 1, 2, 1, 3, 2, 5, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 3, 1, 2, 1, 2, 2, 5, 3, 3, 1, 1, 3, 4, 3, 2, 1, 1, 3, 2, 2, 2, 2, 1, 2, 2, 4, 1, 1, 5, 1, 3, 3, 2, 1, 4, 3, 3, 3, 1, 2, 3, 5, 4, 4]"
Brian couldn't remember whether Lauren mentioned that Justin hire Amanda.,3.3402,1.7118,194,"[2, 6, 1, 3, 2, 6, 5, 3, 5, 4, 4, 1, 6, 3, 3, 3, 4, 3, 1, 5, 4, 3, 3, 3, 2, 3, 1, 5, 3, 5, 3, 2, 2, 1, 4, 2, 2, 4, 6, 4, 7, 7, 3, 2, 3, 6, 1, 3, 3, 5, 6, 3, 3, 3, 6, 1, 6, 7, 1, 3, 1, 5, 3, 3, 6, 4, 5, 1, 3, 2, 3, 4, 6, 4, 2, 2, 2, 1, 5, 2, 5, 5, 6, 3, 7, 4, 1, 3, 1, 3, 3, 2, 2, 5, 2, 6, 3, 6, 6, 2, 1, 3, 3, 5, 1, 3, 3, 2, 2, 5, 3, 3, 2, 7, 5, 2, 2, 4, 2, 1, 2, 1, 3, 4, 1, 3, 5, 2, 3, 3, 3, 3, 7, 2, 2, 3, 3, 1, 5, 3, 3, 2, 3, 1, 2, 1, 4, 7, 2, 2, 2, 3, 6, 2, 1, 5, 3, 6, 3, 7, 2, 4, 2, 2, 3, 1, 1, 6, 2, 3, 4, 6, 2, 2, 3, 3, 7, 2, 1, 6, 4, 3, 7, 2, 3, 3, 3, 4, 3, 5, 4, 1, 7, 4]"
Brian couldn't remember whether Lauren mentioned that Justin hire her.,3.2165,1.7031,97,"[1, 7, 3, 1, 3, 3, 2, 1, 6, 3, 3, 3, 5, 2, 4, 3, 1, 2, 3, 2, 3, 1, 3, 1, 3, 5, 2, 3, 4, 6, 2, 5, 3, 3, 5, 2, 3, 3, 3, 1, 6, 2, 6, 1, 2, 1, 2, 1, 3, 4, 3, 2, 2, 4, 5, 2, 2, 6, 2, 2, 3, 6, 3, 1, 3, 6, 5, 2, 1, 4, 1, 2, 1, 2, 2, 4, 4, 6, 4, 2, 7, 6, 3, 5, 3, 6, 2, 4, 7, 3, 6, 3, 3, 3, 1, 7, 4]"
Brian couldn't remember whether Lauren mentioned that Justin hire.,2.2947,1.2954,95,"[1, 6, 1, 3, 2, 1, 1, 2, 2, 1, 3, 1, 4, 2, 2, 2, 3, 3, 1, 2, 4, 1, 1, 1, 3, 1, 1, 2, 3, 2, 1, 2, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 2, 2, 3, 5, 1, 2, 1, 3, 6, 1, 3, 3, 6, 1, 3, 6, 1, 3, 2, 3, 3, 3, 1, 3, 2, 2, 3, 1, 4, 4, 1, 1, 1, 1, 3, 1, 6, 2, 3, 2, 2, 3, 1, 2, 2, 3, 2, 5, 3, 2, 2, 2, 2]"
Brian couldn't remember whether Lauren mentioned that Justin hired Amanda and Jacob.,5.2216,1.8983,194,"[1, 7, 1, 7, 5, 6, 1, 6, 7, 3, 7, 1, 3, 3, 7, 7, 3, 3, 1, 6, 4, 5, 1, 7, 7, 2, 7, 5, 7, 7, 7, 6, 3, 5, 2, 7, 7, 7, 5, 7, 7, 6, 6, 7, 7, 4, 7, 5, 7, 7, 6, 7, 6, 7, 6, 1, 3, 7, 2, 2, 4, 6, 2, 6, 7, 7, 7, 6, 5, 6, 7, 7, 4, 7, 5, 7, 7, 7, 5, 7, 6, 5, 6, 7, 7, 3, 6, 7, 2, 6, 7, 3, 6, 7, 7, 5, 7, 6, 7, 5, 5, 5, 5, 1, 2, 3, 7, 4, 5, 3, 6, 3, 6, 3, 2, 4, 4, 7, 1, 6, 3, 2, 2, 6, 7, 7, 7, 3, 4, 7, 7, 7, 5, 4, 7, 4, 7, 7, 7, 7, 4, 7, 3, 6, 7, 5, 7, 1, 5, 6, 6, 6, 6, 6, 7, 4, 7, 6, 4, 7, 4, 6, 2, 5, 6, 1, 7, 6, 3, 5, 6, 2, 7, 6, 5, 4, 5, 4, 7, 2, 6, 4, 7, 6, 6, 5, 7, 7, 4, 7, 5, 7, 3, 7]"
Brian couldn't remember whether Lauren mentioned that Justin hired Amanda and her.,4.2959,1.754,98,"[4, 5, 5, 3, 2, 5, 6, 1, 2, 3, 7, 3, 6, 3, 5, 2, 5, 5, 2, 3, 3, 6, 1, 5, 2, 4, 3, 5, 7, 5, 6, 3, 6, 6, 7, 6, 3, 6, 6, 4, 6, 7, 7, 6, 4, 4, 3, 1, 5, 6, 3, 7, 4, 2, 5, 5, 6, 4, 6, 5, 6, 4, 5, 2, 6, 3, 3, 5, 4, 1, 7, 5, 3, 5, 3, 2, 7, 3, 7, 4, 1, 1, 6, 3, 5, 2, 2, 3, 6, 5, 6, 5, 6, 6, 3, 2, 5, 2]"
