unit,mean,std,n,individual_ratings,item_type
A backpack carries all the essentials on a hike.,4.7333,1.484,30,"[5, 4, 7, 4, 3, 7, 7, 4, 2, 5, 4, 6, 5, 4, 4, 5, 5, 7, 5, 1, 3, 6, 5, 7, 5, 5, 3, 4, 5, 5]",test
A businessman began speaking loudly on the phone.,5.6,1.5669,30,"[7, 5, 5, 2, 3, 7, 7, 7, 4, 6, 7, 7, 6, 7, 5, 5, 7, 7, 7, 1, 6, 6, 5, 6, 5, 6, 6, 7, 4, 5]",test
A high-speed train now connects Paris and Berlin.,3.8667,1.5916,30,"[7, 5, 5, 3, 3, 5, 7, 6, 2, 3, 5, 4, 4, 6, 2, 5, 3, 2, 2, 4, 1, 3, 3, 4, 3, 5, 2, 5, 2, 5]",test
A lighthouse guides ships to safety.,5.2333,1.3817,30,"[7, 4, 4, 7, 4, 7, 7, 5, 3, 3, 6, 5, 7, 5, 4, 5, 7, 6, 4, 7, 5, 4, 4, 7, 4, 5, 6, 7, 4, 4]",test
A menacing storm rolled across the horizon.,5.4667,1.383,30,"[7, 6, 5, 5, 5, 7, 7, 6, 4, 2, 4, 5, 6, 7, 5, 6, 7, 7, 6, 7, 4, 6, 5, 6, 3, 6, 6, 7, 3, 4]",test
A mountain climbing team reached the K2 summit.,4.9333,1.7207,30,"[6, 5, 5, 7, 5, 7, 7, 6, 2, 2, 4, 7, 7, 4, 5, 6, 6, 3, 3, 5, 5, 6, 6, 7, 6, 6, 3, 3, 2, 2]",test
A new restaurant opened downtown last week.,4.0667,1.484,30,"[7, 3, 5, 3, 4, 6, 7, 4, 4, 6, 5, 2, 5, 1, 3, 5, 2, 2, 4, 4, 4, 2, 4, 5, 5, 5, 3, 4, 3, 5]",test
A productive morning routine sets the tone for the day.,2.6333,1.7117,30,"[5, 2, 5, 1, 1, 5, 4, 1, 1, 2, 1, 6, 1, 1, 4, 5, 1, 1, 2, 1, 1, 3, 3, 4, 3, 5, 4, 1, 1, 4]",test
A rat gnawed through the cables in the walls.,5.6897,1.1983,29,"[7, 4, 5, 4, 7, 7, 7, 5, 6, 6, 7, 7, 6, 5, 5, 7, 7, 7, 7, 6, 4, 4, 5, 4, 5, 5, 7, 4, 5]",test
A series of unusual occurrences plagued the small town.,2.1333,1.4077,30,"[4, 2, 5, 1, 2, 4, 4, 1, 1, 3, 2, 2, 1, 2, 3, 6, 1, 1, 1, 1, 1, 2, 1, 3, 2, 4, 1, 1, 1, 1]",test
A solid education lays the foundation for future success.,2.4667,1.6554,30,"[6, 2, 6, 1, 1, 4, 4, 2, 1, 5, 1, 1, 1, 3, 3, 6, 1, 1, 1, 1, 1, 3, 2, 3, 3, 4, 2, 1, 2, 2]",test
A tree provides a home for birds.,5.4667,1.3578,30,"[7, 5, 6, 6, 4, 7, 7, 5, 3, 7, 7, 6, 6, 5, 6, 6, 7, 5, 7, 7, 3, 5, 4, 5, 6, 2, 5, 6, 4, 5]",test
A wildlife preserve was recently created in the Amazon.,3.8333,1.3667,30,"[5, 4, 4, 3, 3, 6, 6, 3, 2, 6, 1, 5, 5, 5, 4, 5, 2, 3, 4, 4, 1, 3, 5, 5, 4, 4, 4, 4, 2, 3]",test
An intense heat wave swept across the city.,4.1,1.7685,30,"[7, 5, 5, 3, 4, 5, 7, 5, 2, 5, 6, 3, 1, 5, 4, 6, 2, 7, 6, 1, 1, 4, 3, 3, 5, 4, 2, 4, 3, 5]",test
Consuming alcohol is dangerous for your health.,2.7667,2.0625,30,"[5, 3, 6, 1, 1, 4, 7, 1, 1, 2, 1, 3, 1, 1, 3, 5, 1, 2, 2, 7, 1, 4, 1, 6, 3, 6, 2, 1, 1, 1]",test
David meticulously planned each step of his journey.,3.4,1.6526,30,"[6, 3, 6, 1, 3, 4, 5, 4, 2, 5, 3, 2, 5, 2, 4, 5, 1, 5, 2, 1, 3, 2, 2, 7, 2, 5, 2, 4, 2, 4]",test
