unit,mean,std,n,individual_ratings
A baby was playing in the backyard. A deer walked past in the forest beyond the fence. How likely is the following causal statement: A deer walked past in the forest beyond the fence because a baby was playing in the backyard.,1.55,0.9206,40,"[1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 1, 2, 2, 1, 3, 5, 2, 2, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]"
Annabel openly admired every painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,5.7,1.1446,20,"[6, 6, 6, 7, 6, 7, 4, 6, 4, 7, 7, 4, 4, 6, 7, 4, 7, 5, 5, 6]"
Annabel openly admired the painting that Corey openly admired. Corey openly admired the painting by Monet. How likely is the following causal statement: Annabel openly admired the painting by Monet because Corey openly admired the painting by Monet.,4.35,1.1522,20,"[2, 6, 4, 4, 4, 7, 4, 4, 5, 4, 3, 4, 7, 4, 4, 4, 4, 4, 5, 4]"
Antonio wanted to do exactly what the coach told him to do. The coach told him to hit the opposing player when he wasn't looking. How likely is the following causal statement: Antonio hit the opposing player when he wasn't looking because the coach told him to.,6.55,1.0235,40,"[7, 7, 7, 7, 5, 7, 7, 7, 7, 7, 6, 7, 7, 6, 7, 6, 7, 6, 7, 7, 3, 7, 7, 7, 7, 4, 6, 7, 7, 7, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
Carol learned to play every instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,5.25,1.337,20,"[4, 4, 4, 6, 3, 6, 4, 4, 4, 7, 6, 7, 7, 6, 6, 5, 4, 7, 4, 7]"
Carol learned to play the instrument that Sue learned to play. Sue learned to play the flute. How likely is the following causal statement: Carol learned to play the flute because Sue learned to play the flute.,4.7895,1.5071,19,"[3, 4, 4, 7, 3, 5, 6, 4, 7, 7, 4, 5, 6, 7, 5, 2, 5, 4, 3]"
Caroline visited every European country that Donna visited. Donna visited Austria. How likely is the following causal statement: Caroline visited Austria because Donna visited Austria.,5.4,1.4967,20,"[4, 6, 6, 7, 4, 7, 4, 6, 4, 7, 7, 7, 4, 5, 7, 4, 7, 6, 4, 2]"
Caroline visited the European country that Donna visited. Donna visited Austria. How likely is the following causal statement: Caroline visited Austria because Donna visited Austria.,4.0,1.2649,20,"[4, 4, 3, 4, 6, 6, 4, 4, 4, 2, 2, 3, 7, 5, 4, 4, 4, 4, 4, 2]"
Cooper marched in every parade that Cora marched in. Cora marched in the veterans day parade. How likely is the following causal statement: Cooper marched in the veterans day parade because Cora marched in the veterans day parade.,5.3,1.3454,20,"[4, 5, 4, 4, 6, 7, 4, 4, 4, 3, 7, 7, 7, 5, 5, 6, 4, 6, 7, 7]"
Cooper marched in the parade that Cora marched in. Cora marched in the veterans day parade. How likely is the following causal statement: Cooper marched in the veterans day parade because Cora marched in the veterans day parade.,4.9,1.578,20,"[4, 6, 6, 7, 4, 6, 2, 6, 4, 7, 7, 4, 5, 4, 7, 3, 4, 6, 4, 2]"
