unit,mean,std,n,individual_ratings
The CEO called for the urgent had been anxiously watching the decreasing stock price.,1.931,1.2798,29,"[3, 1, 2, 1, 1, 1, 2, 1, 5, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, 4, 5, 4, 1, 1, 2, 4, 1, 1, 1]"
The CEO called for the urgent meeting after had been anxiously watching the decreasing stock price.,3.7,1.1492,30,"[3, 4, 3, 4, 4, 3, 5, 3, 5, 5, 4, 1, 4, 4, 1, 3, 3, 5, 4, 2, 5, 5, 3, 3, 5, 5, 4, 5, 3, 3]"
The accountant blamed the complex had been carelessly making simple mistakes on the chart.,1.8966,0.9002,29,"[1, 4, 1, 3, 2, 3, 1, 1, 2, 4, 3, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 3, 1, 2, 2]"
The accountant blamed the complex program when had been carelessly making simple mistakes on the chart.,3.4483,1.1828,29,"[4, 4, 5, 4, 4, 4, 3, 5, 4, 5, 5, 3, 3, 2, 2, 1, 3, 3, 2, 2, 5, 4, 3, 3, 5, 1, 3, 4, 4]"
The actress went on an intense diet because had been apparently gaining weight from partying too hard on the weekends.,3.7333,1.2299,30,"[2, 4, 3, 4, 4, 4, 1, 2, 5, 5, 5, 1, 5, 4, 4, 3, 3, 5, 4, 2, 4, 5, 3, 3, 5, 5, 4, 5, 3, 5]"
The actress went on an intense had been apparently gaining weight from partying too hard on the weekends.,1.931,1.2516,29,"[3, 3, 3, 1, 1, 1, 2, 1, 4, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 3, 5, 5, 2, 1, 3, 1, 1, 1, 1]"
The administrator copied the faxed document because had been sternly rebuked for misplacing documents before.,3.5667,1.278,30,"[2, 4, 3, 5, 4, 3, 1, 2, 5, 5, 4, 1, 4, 4, 5, 3, 3, 5, 4, 2, 4, 4, 3, 3, 4, 5, 4, 5, 5, 1]"
The administrator copied the faxed had been sternly rebuked for misplacing documents before.,2.4138,1.2106,29,"[5, 3, 4, 1, 2, 1, 2, 2, 5, 2, 2, 3, 2, 1, 2, 1, 3, 1, 2, 3, 5, 4, 2, 1, 2, 2, 3, 2, 2]"
The applicant entered the competitive had been wholeheartedly recommended by the senior faculty member.,2.3793,1.3205,29,"[4, 1, 4, 1, 1, 1, 2, 1, 5, 3, 2, 3, 3, 1, 3, 1, 2, 4, 2, 4, 5, 4, 2, 1, 2, 3, 1, 2, 1]"
The applicant entered the competitive program because had been wholeheartedly recommended by the senior faculty member.,3.5333,1.2243,30,"[3, 4, 3, 4, 4, 4, 1, 3, 5, 5, 4, 1, 5, 4, 1, 3, 3, 5, 4, 2, 4, 4, 3, 3, 5, 5, 4, 5, 3, 2]"
The apprentice followed the detailed directions after had been regularly failing to assemble the individual pieces.,3.2759,1.3065,29,"[2, 4, 5, 4, 5, 3, 3, 5, 4, 5, 2, 1, 3, 2, 2, 1, 5, 3, 2, 4, 4, 3, 3, 3, 5, 1, 3, 3, 5]"
The apprentice followed the detailed had been regularly failing to assemble the individual pieces.,2.1724,1.2268,29,"[2, 1, 1, 2, 4, 1, 5, 1, 1, 5, 2, 4, 2, 2, 3, 3, 4, 2, 1, 2, 1, 1, 1, 1, 2, 2, 2, 3, 2]"
The architect built the distinctive building after had been deeply inspired to build a landmark for the city.,3.6667,1.1842,30,"[3, 4, 3, 4, 3, 3, 5, 1, 4, 5, 4, 1, 4, 4, 5, 3, 2, 5, 4, 2, 5, 3, 3, 3, 5, 5, 4, 5, 3, 5]"
The architect built the distinctive had been deeply inspired to build a landmark for the city.,2.1034,1.1131,29,"[4, 3, 3, 1, 1, 1, 2, 3, 5, 1, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 4, 3, 2, 2, 2, 4, 1, 2, 2]"
The assistant rejected the incoming call when had been entirely engaged in another task.,3.6207,1.2653,29,"[2, 4, 5, 4, 3, 4, 3, 5, 5, 5, 5, 3, 3, 2, 3, 1, 2, 3, 2, 3, 5, 5, 3, 3, 5, 5, 2, 5, 5]"
The assistant rejected the incoming had been entirely engaged in another task.,2.2333,1.3309,30,"[2, 2, 1, 3, 4, 2, 1, 2, 1, 5, 1, 1, 4, 2, 5, 2, 2, 5, 1, 1, 1, 3, 1, 1, 3, 2, 4, 1, 2, 2]"
The athlete competed with the former had been previously defeated in every event that year.,2.2759,1.1921,29,"[2, 4, 3, 2, 1, 1, 3, 1, 5, 2, 3, 3, 1, 1, 1, 1, 2, 1, 2, 3, 3, 3, 2, 4, 2, 4, 1, 4, 1]"
The athlete competed with the former title-holders after had been previously defeated in every event that year.,3.7667,1.1043,30,"[2, 4, 3, 4, 3, 3, 5, 4, 5, 5, 5, 1, 5, 4, 3, 3, 3, 5, 4, 3, 5, 2, 3, 3, 4, 5, 4, 3, 5, 5]"
The athlete massaged her sore had been incessantly preparing for the marathon.,2.2759,1.1306,29,"[4, 3, 3, 1, 4, 1, 3, 1, 5, 2, 1, 2, 2, 1, 3, 1, 3, 1, 2, 4, 3, 3, 2, 2, 2, 3, 1, 1, 2]"
The athlete massaged her sore muscles when had been incessantly preparing for the marathon.,3.5667,1.1043,30,"[3, 4, 3, 3, 4, 3, 2, 2, 5, 5, 4, 1, 4, 4, 1, 3, 4, 5, 4, 3, 4, 3, 3, 3, 5, 4, 4, 5, 4, 5]"
The author published the groundbreaking had been strangely experiencing supernatural events in real life.,2.0,1.1142,30,"[2, 1, 1, 4, 3, 2, 5, 1, 2, 4, 1, 1, 2, 1, 3, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 4]"
The author published the groundbreaking novel after had been strangely experiencing supernatural events in real life.,3.5862,1.1807,29,"[2, 4, 5, 4, 5, 4, 3, 5, 5, 5, 4, 3, 3, 2, 1, 1, 3, 3, 3, 3, 5, 4, 3, 3, 5, 4, 3, 5, 4]"
The babysitter changed the wet diaper after had been persistently searching for the toy that the baby wanted.,3.5862,1.2106,29,"[3, 4, 5, 4, 3, 4, 3, 5, 5, 5, 5, 1, 3, 2, 2, 1, 4, 3, 2, 4, 5, 3, 3, 4, 5, 4, 3, 4, 5]"
The babysitter changed the wet had been persistently searching for the toy that the baby wanted.,2.1,1.1847,30,"[2, 1, 1, 2, 3, 3, 4, 1, 1, 3, 1, 1, 3, 1, 1, 3, 2, 5, 3, 1, 2, 1, 1, 1, 2, 2, 2, 2, 3, 5]"
The babysitter comforted the crying babies because had been just informed that they were sick.,3.3448,1.3958,29,"[2, 4, 5, 4, 3, 3, 3, 5, 4, 5, 5, 1, 3, 1, 1, 1, 2, 3, 3, 5, 5, 5, 3, 3, 5, 2, 3, 3, 5]"
The babysitter comforted the crying had been just informed that they were sick.,2.5,1.3834,30,"[2, 1, 1, 1, 3, 3, 5, 5, 1, 5, 1, 1, 4, 3, 3, 3, 2, 5, 3, 2, 2, 1, 1, 1, 2, 1, 3, 3, 4, 3]"
The bachelor respected the elderly couple because had been often getting practical advice from them.,3.7667,1.1943,30,"[3, 4, 3, 3, 4, 5, 1, 2, 5, 5, 5, 1, 4, 4, 5, 3, 3, 4, 4, 2, 5, 5, 3, 3, 5, 4, 4, 5, 4, 5]"
