unit,mean,std,n,individual_ratings
"A few months before his wedding, Walter hired a dancing coach. Though he was very clumsy at first, he worked hard at it for several hours every week. Consequently, he and his new wife enjoyed dancing the night away on their wedding night.",4.4634,0.8635,82,"[5, 5, 3, 1, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 2, 4, 4, 4, 5, 3, 5, 4, 4, 4, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 4, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 4, 5, 1, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
"A neighborhood bar was showing the baseball game Arthur wanted to watch. Since he wanted an unobstructed view of the screen, he made sure to arrive well before the game started. Later, the bar was packed, with sports fans in every seat.",4.0123,1.0062,81,"[3, 5, 5, 1, 4, 2, 5, 5, 5, 4, 4, 4, 5, 5, 3, 5, 5, 4, 4, 4, 2, 4, 4, 3, 2, 3, 5, 4, 4, 4, 4, 3, 3, 4, 2, 4, 5, 3, 5, 2, 4, 5, 5, 2, 4, 5, 3, 5, 5, 5, 3, 3, 4, 4, 5, 5, 4, 5, 5, 3, 4, 3, 4, 5, 4, 5, 3, 5, 5, 5, 5, 4, 2, 4, 5, 5, 4, 4, 5, 4, 4]"
"After dinner, Ian wanted some ice cream, so he headed to the corner store. When he got there, the store was closed. An electrical fault had shut down all their refrigeration.",3.8313,1.0099,83,"[4, 5, 5, 2, 3, 4, 4, 5, 3, 4, 5, 3, 5, 5, 4, 3, 4, 4, 4, 3, 2, 4, 3, 4, 3, 4, 5, 4, 2, 3, 4, 3, 4, 3, 3, 5, 4, 5, 4, 4, 2, 4, 3, 5, 5, 4, 5, 5, 5, 5, 5, 2, 3, 4, 4, 3, 4, 4, 4, 5, 5, 3, 4, 4, 5, 3, 5, 2, 5, 3, 3, 1, 4, 2, 2, 5, 4, 5, 3, 5, 5, 3, 4]"
"After her soccer game, Johanna went straight to a restaurant. She hadn't eaten for hours, though she'd had a solid breakfast. Consequently she was ravenously hungry now.",3.6,1.3917,20,"[5, 5, 2, 1, 4, 3, 4, 5, 5, 1, 3, 1, 4, 4, 4, 5, 5, 4, 4, 3]"
"After her soccer game, Johanna went straight to a restaurant. She hadn't eaten for hours, though she'd had a solid breakfast. She was ravenously hungry now.",4.1905,0.8729,21,"[2, 4, 4, 3, 3, 4, 5, 4, 4, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 5]"
"After her soccer game, Johanna went straight to a restaurant. Though she hadn't eaten for hours, she'd had a solid breakfast. Consequently she was ravenously hungry now.",3.4,1.1425,20,"[5, 4, 5, 4, 3, 3, 2, 4, 3, 4, 4, 2, 5, 2, 4, 2, 4, 1, 3, 4]"
"After her soccer game, Johanna went straight to a restaurant. Though she hadn't eaten for hours, she'd had a solid breakfast. She was ravenously hungry now.",3.6818,1.0414,22,"[5, 4, 4, 2, 4, 2, 5, 4, 4, 2, 4, 5, 4, 5, 5, 3, 3, 3, 3, 4, 2, 4]"
"After her vacation, Deborah needed to catch up at work. She spent a quiet Sunday afternoon at the office, while no one else was around. The next day, she was back up to speed and ready to go.",4.506,0.8319,83,"[5, 5, 5, 2, 5, 1, 4, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 5, 5, 3, 5, 4, 5, 3, 5, 5, 5, 5, 5, 4, 4, 4, 3, 5, 2, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5]"
"After work today, Noah went rock climbing. Though he prefers to climb outside, the rock gym is much more convenient. Next weekend, he's taking a weekend trip to do some outdoor climbing.",4.1951,0.8811,82,"[5, 5, 3, 2, 5, 4, 4, 5, 5, 2, 4, 4, 5, 5, 4, 4, 5, 4, 3, 3, 4, 4, 5, 4, 3, 4, 5, 2, 4, 4, 5, 3, 4, 3, 4, 2, 5, 5, 4, 4, 4, 3, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 2, 5, 4, 5, 5, 4, 4, 3, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 3, 3, 5, 5, 5, 4, 4, 5, 4, 5]"
"Alan wants to be an expert poker player. Before spending money on lessons, he wants to brush up his skills by improving on his own. So, he's been reading a lot of poker books and playing games online.",4.3415,0.8919,82,"[5, 5, 4, 2, 5, 4, 4, 5, 5, 4, 4, 5, 5, 4, 5, 3, 5, 5, 2, 5, 2, 3, 2, 4, 5, 5, 5, 4, 2, 5, 4, 4, 4, 3, 3, 5, 5, 5, 5, 3, 3, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 5, 4]"
"Allison is hosting a large dinner party tonight. While she was in the middle of cooking, she discovered that she had run out of butter. She asked her best friend if she could show up early and bring more butter.",4.2651,1.001,83,"[5, 5, 5, 1, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 3, 2, 4, 5, 5, 3, 4, 5, 4, 1, 4, 4, 4, 3, 4, 5, 5, 4, 5, 5, 4, 4, 4, 5, 4, 5, 1, 5, 5, 4, 4, 5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 4, 2, 4, 5, 2, 5, 5, 4, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 4, 5, 5, 4, 4]"
"Andrew loses the maintenance reminders his mechanic sends. He hadn't gotten an oil change for almost a year, though he'd been intending to take care of it soon. Consequently his car broke down on a hot summer afternoon.",4.0476,0.9735,21,"[3, 4, 5, 3, 3, 2, 5, 4, 4, 3, 4, 3, 3, 5, 5, 5, 4, 5, 5, 5, 5]"
"Andrew loses the maintenance reminders his mechanic sends. He hadn't gotten an oil change for almost a year, though he'd been intending to take care of it soon. His car broke down on a hot summer afternoon.",3.65,1.268,20,"[3, 5, 3, 1, 2, 3, 4, 2, 4, 5, 4, 5, 3, 5, 2, 5, 3, 4, 5, 5]"
"Andrew loses the maintenance reminders his mechanic sends. While he hadn't gotten an oil change for almost a year, he'd been intending to take care of it soon. Consequently his car broke down on a hot summer afternoon.",3.7727,0.8691,22,"[4, 2, 4, 4, 4, 4, 4, 3, 2, 4, 4, 5, 2, 3, 4, 5, 4, 4, 4, 4, 5, 4]"
"Andrew loses the maintenance reminders his mechanic sends. While he hadn't gotten an oil change for almost a year, he'd been intending to take care of it soon. His car broke down on a hot summer afternoon.",4.1,0.7182,20,"[5, 3, 4, 5, 4, 4, 5, 4, 3, 4, 4, 4, 3, 4, 4, 5, 5, 3, 5, 4]"
"Andy entered a boomerang throwing competition. Though he'd just started throwing boomerangs recently, he wanted to see really good throwers in action. He found lots of advice and interesting conversation there.",4.1463,0.9312,82,"[4, 5, 4, 3, 5, 3, 4, 5, 3, 5, 5, 4, 5, 5, 4, 5, 4, 4, 4, 4, 2, 4, 4, 4, 3, 5, 4, 4, 4, 3, 4, 4, 4, 2, 5, 3, 5, 5, 5, 4, 2, 4, 5, 2, 5, 4, 5, 1, 5, 5, 5, 5, 5, 4, 5, 3, 4, 4, 5, 4, 3, 4, 4, 4, 5, 5, 5, 5, 3, 5, 3, 5, 5, 3, 5, 5, 5, 5, 4, 5, 3, 4]"
"Before Daniel moved into his current apartment he'd never lived alone. He never swept or tidied up his trash, though he did do his laundry regularly. As a result his place was always a complete mess.",4.35,0.8751,20,"[5, 5, 2, 4, 5, 3, 4, 5, 5, 5, 4, 5, 4, 5, 5, 5, 4, 4, 5, 3]"
"Before Daniel moved into his current apartment he'd never lived alone. He never swept or tidied up his trash, though he did do his laundry regularly. His place was always a complete mess.",3.8571,1.0623,21,"[3, 4, 5, 2, 2, 3, 5, 4, 4, 3, 3, 5, 2, 5, 4, 5, 4, 4, 5, 4, 5]"
"Before Daniel moved into his current apartment he'd never lived alone. Though he never swept or tidied up his trash, he did do his laundry regularly. As a result his place was always a complete mess.",4.05,0.9987,20,"[5, 4, 5, 5, 3, 4, 5, 4, 2, 4, 4, 3, 5, 2, 4, 5, 5, 4, 5, 3]"
"Before Daniel moved into his current apartment he'd never lived alone. Though he never swept or tidied up his trash, he did do his laundry regularly. His place was always a complete mess.",3.7273,0.9847,22,"[3, 3, 3, 2, 4, 4, 4, 4, 2, 3, 4, 5, 5, 5, 5, 3, 4, 5, 3, 3, 5, 3]"
