unit,mean,std,n,individual_ratings
A car accident blocked off one lane of the highway. John was late to pick up his daughter from school.,3.6,1.9079,30,"[1, 4, 2, 5, 6, 3, 2, 7, 4, 7, 2, 5, 5, 5, 2, 2, 5, 4, 6, 2, 4, 1, 7, 1, 1, 2, 5, 2, 2, 4]"
A drop of water from the ceiling fell onto the outlet. The appliances in the kitchen short-circuited.,5.7333,1.4126,30,"[7, 7, 5, 2, 5, 7, 3, 7, 7, 6, 6, 7, 7, 6, 6, 5, 7, 4, 5, 5, 6, 6, 2, 5, 7, 7, 6, 7, 6, 6]"
A flight attendant collected all the empty cups. The pilot announced the descent over the intercom.,4.9667,1.6224,30,"[4, 7, 4, 7, 4, 2, 5, 7, 5, 7, 6, 5, 6, 7, 3, 2, 7, 5, 5, 4, 4, 5, 3, 3, 7, 4, 3, 7, 4, 7]"
A garden brings color to a backyard. Flowers add beauty to a windowsill.,4.7241,1.928,29,"[5, 6, 7, 4, 3, 2, 7, 6, 4, 3, 4, 6, 5, 6, 5, 6, 2, 1, 7, 1, 6, 1, 3, 6, 7, 7, 6, 6, 5]"
A high-quality coffee shop is a staple of any town. Everyone needs their daily caffeine hit.,2.4483,1.5219,29,"[3, 2, 6, 3, 1, 4, 2, 1, 1, 1, 2, 1, 1, 2, 1, 3, 1, 1, 2, 2, 2, 7, 2, 2, 3, 4, 5, 3, 3]"
A melody was stuck in Jim's head all day. Aaron couldn't get the catchy tune out of his mind.,1.2667,0.5735,30,"[1, 1, 1, 2, 3, 1, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]"
A new career training program was offered recently. Employment rates for local residents went up.,1.2,0.6,30,"[1, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
A new tech startup opened its doors last month. The firm specializes in software for small businesses.,1.7667,1.2565,30,"[1, 1, 1, 1, 2, 1, 3, 1, 3, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 2, 2, 4, 5]"
A powerful earthquake struck Japan this morning. The tremor registered a magnitude of 7.5.,2.6667,1.972,30,"[1, 1, 1, 2, 7, 3, 4, 1, 6, 2, 2, 4, 1, 1, 2, 1, 2, 6, 7, 2, 1, 2, 1, 3, 1, 7, 3, 3, 2, 1]"
A social media platform improved its privacy settings. Users felt more secure about their personal information.,1.2,0.7483,30,"[1, 1, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
A teacher began using new creative methods. Student engagement and participation levels increased.,1.7,1.2152,30,"[1, 1, 1, 1, 3, 1, 6, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 3, 1, 2, 4, 1, 2, 4, 1, 1, 1, 1]"
A well-stocked bookshelf can transform a living room. Books can provide knowledge and act as stylish dcor.,5.0333,1.7978,30,"[6, 7, 5, 7, 3, 2, 7, 6, 6, 7, 6, 7, 5, 7, 5, 4, 6, 4, 1, 5, 6, 4, 1, 5, 6, 2, 3, 7, 5, 6]"
Anna was reluctant to say goodbye and lingered at the door. Chris was able to walk away without hesitation.,2.4,1.6452,30,"[1, 6, 2, 1, 4, 1, 1, 4, 2, 1, 1, 1, 2, 5, 1, 1, 2, 2, 3, 2, 1, 2, 7, 1, 2, 5, 1, 3, 3, 4]"
Artists turn blank canvases into masterpieces. Writers transform empty pages into captivating stories.,4.5,1.6683,30,"[5, 7, 5, 2, 4, 3, 5, 7, 5, 5, 6, 4, 5, 6, 1, 1, 5, 3, 5, 4, 3, 1, 7, 5, 5, 5, 5, 7, 5, 4]"
Bradley arrived at the airport by taxi. Moving through the security line took longer than usual.,4.2,1.9218,30,"[5, 7, 2, 1, 5, 4, 5, 7, 7, 6, 3, 5, 4, 1, 1, 2, 6, 6, 6, 2, 5, 4, 7, 2, 4, 3, 5, 6, 3, 2]"
Clean drinking water is a basic human necessity. Communities with fresh water access have fewer heath issues.,2.7667,1.7829,30,"[6, 5, 4, 2, 7, 2, 2, 1, 6, 1, 2, 2, 4, 1, 1, 3, 3, 1, 1, 3, 1, 5, 1, 1, 1, 4, 4, 4, 1, 4]"
Emily started a new yoga class last week. The calm atmosphere helps reduce stress levels.,1.8966,1.2414,29,"[1, 2, 2, 4, 3, 1, 1, 1, 2, 6, 2, 1, 1, 1, 2, 1, 3, 4, 2, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1]"
Emma found the presentation engaging and informative. Mark thought the speaker was boring and repetitive.,1.5,1.2042,30,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 7, 1, 1, 2, 1, 1, 3, 1]"
Environmental activists worked to reduce water pollution. The local river was finally clean enough to swim in.,3.5,1.9451,30,"[1, 4, 3, 6, 5, 5, 6, 1, 6, 6, 2, 2, 5, 1, 6, 1, 5, 4, 2, 6, 1, 5, 1, 2, 2, 2, 1, 6, 4, 4]"
Good lighting can totally change the feel of a room. Bright spaces feel more open and welcoming.,2.8667,1.9619,30,"[5, 7, 3, 7, 4, 2, 3, 1, 7, 1, 2, 3, 1, 2, 1, 2, 4, 2, 1, 5, 1, 1, 7, 1, 2, 2, 2, 3, 2, 2]"
Jack started a blog about sustainable living. Practical tips help readers adopt eco-friendly practices.,1.4667,0.8459,30,"[1, 1, 1, 1, 2, 3, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1]"
James sat silently and avoided eye contact. Grace greeted everyone and made lively conversation.,2.0333,1.7978,30,"[1, 1, 1, 1, 5, 1, 1, 1, 1, 7, 1, 1, 1, 1, 1, 1, 3, 3, 1, 3, 1, 2, 7, 1, 6, 2, 2, 2, 1, 1]"
Jenny has long been complaining about her relationship. Rebecca thinks that breaking up is the only option.,1.8,1.7963,30,"[1, 1, 1, 1, 5, 1, 6, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 7, 1, 7, 2, 1, 1, 1, 1]"
Lamps light up a dark room. Stars illuminate the night sky.,4.8667,1.8391,30,"[6, 7, 5, 7, 3, 5, 7, 7, 6, 5, 7, 3, 5, 5, 6, 2, 6, 2, 1, 5, 5, 5, 2, 1, 3, 7, 6, 6, 5, 6]"
Mark found John cheating on him with their best friend. The couple was forced to end their relationship.,2.0333,1.7792,30,"[1, 1, 1, 2, 6, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 7, 1, 1, 5, 7, 1, 1, 2, 3, 1, 1, 1]"
