unit,mean,std,n,individual_ratings
Amanda choked Jessica and she chammed,1.95,0.6223,60,"[2, 1, 3, 2, 3, 1, 1, 2, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 2, 2, 1, 1, 2, 2, 3, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 2, 3, 2, 2, 2]"
Amanda delighted Jenny and she zibbed,2.0339,0.6149,59,"[2, 2, 3, 2, 3, 3, 2, 3, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 1, 2, 3, 2, 2, 2, 3, 2, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 3, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2]"
Amy shook Justin and he zadded,2.4833,0.7477,60,"[3, 2, 2, 3, 3, 1, 3, 3, 3, 1, 2, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 2, 3, 3, 1, 2, 3, 1, 1, 2, 3, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 1, 1, 3, 3, 3, 3, 2, 3, 3]"
Amy shook Kate and she daxed,1.8833,0.6132,60,"[2, 2, 3, 2, 3, 2, 1, 3, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 3, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 1, 1, 2, 2, 3, 2, 2, 2]"
Angela healed Kim and she ganned,1.9833,0.6763,60,"[2, 1, 1, 2, 3, 3, 2, 3, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 1, 1, 3, 1, 1, 2, 2, 2, 3, 3, 2, 1, 2, 2, 3, 2, 3, 2]"
Anne rocked Lisa and she heafed,1.8833,0.6402,60,"[2, 1, 3, 2, 3, 1, 1, 3, 2, 1, 2, 3, 1, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 2]"
Ben bounced Amy and he twibbed,2.6167,0.6402,60,"[3, 1, 3, 3, 3, 2, 3, 3, 3, 2, 3, 3, 1, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 3, 2, 3, 3, 2, 3, 1, 2, 2, 3, 2, 3, 1, 2, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3]"
Ben bounced Eric and he bicked,2.0,0.6106,60,"[2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 3, 3, 2, 3, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 3, 1, 2, 1, 2, 2, 2, 2, 3, 2]"
Ben enjoyed Anne and he kuped,2.5167,0.6763,60,"[3, 1, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 2, 3, 3, 3, 3, 1, 2, 3, 3, 2, 3, 1, 1, 3, 3, 2, 3, 2, 2, 3, 3, 2, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 1, 3]"
Ben enjoyed Diego and he temmed,1.8833,0.6132,60,"[2, 1, 2, 2, 3, 3, 1, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 2, 1, 2, 3, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 3, 2, 1, 1, 2, 2, 2, 2, 3, 2]"
Brian dropped James and he claffed,1.8333,0.5574,60,"[2, 1, 2, 2, 3, 2, 1, 2, 2, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 3, 2]"
Brian saddened Eric and he worved,1.8333,0.6152,60,"[2, 1, 2, 2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 3, 2, 2, 3, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 3, 2]"
Chris irritated James and he wurted,1.9,0.7059,60,"[2, 3, 2, 2, 3, 3, 1, 3, 2, 3, 2, 3, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 3, 3, 2, 2, 3, 1, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 2, 3, 2, 1, 1, 2, 2, 3, 2, 3, 2]"
Chris stopped Jason and he drazened,1.8833,0.6402,60,"[2, 2, 3, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 3, 3, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 3, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 3, 1, 1, 2, 2, 2, 2, 1, 2]"
Daniel quieted John and he gutched,1.9667,0.6097,60,"[2, 1, 3, 2, 3, 3, 2, 3, 2, 2, 2, 2, 3, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2]"
David woke Joshua and he hined,2.0,0.5523,60,"[3, 2, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 3, 2]"
Diego spun Justin and he keefed,1.9,0.6298,60,"[2, 2, 2, 2, 3, 3, 2, 3, 2, 1, 2, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 3, 3, 1, 2, 2, 3, 2, 2, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 2, 2, 2, 2, 1, 2, 3, 1, 2, 1, 2, 2, 2, 2, 3, 2]"
Heather slowed Liz and she jassed,1.8667,0.6235,60,"[2, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 1, 3, 3, 1, 1, 2, 2, 1, 1, 2, 2, 2, 3, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, 2, 1, 1, 3, 2, 1, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 1, 2]"
Heather woke Robert and she pummed,2.5667,0.6731,60,"[3, 1, 2, 3, 3, 1, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 3, 3, 3, 3, 3, 3, 1, 2, 3, 3, 3, 3, 2, 1, 3, 3, 3, 3, 2, 2, 3, 1, 2, 3, 2, 3, 3, 3, 2, 3, 3, 3, 3, 1, 3, 3, 3, 3, 2, 2, 2]"
Jason squeezed Michael and he rorted,1.85,0.6058,60,"[2, 2, 2, 2, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 1, 2, 3, 2, 2, 1, 2, 2, 2, 2, 1, 2]"
Jenny twirled Maria and she koomed,1.85,0.6331,60,"[2, 1, 2, 2, 3, 3, 1, 3, 2, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 1, 1, 3, 2, 2, 1, 1, 1, 2, 2, 2, 3, 2, 3, 2, 1, 1, 2, 2, 2, 2, 2, 2]"
