unit,mean,std,n,individual_ratings
A businessman began speaking loudly on the phone. Everyone's eyes were watering profusely.,2.0667,1.0934,30,"[3, 2, 2, 3, 3, 3, 1, 2, 3, 2, 5, 2, 2, 1, 5, 1, 1, 3, 2, 1, 1, 2, 1, 1, 2, 1, 3, 1, 2, 1]"
A drop of water from the ceiling fell onto the outlet. The students felt overwhelmed and stressed.,2.0333,1.1101,30,"[1, 3, 2, 3, 3, 3, 2, 2, 5, 3, 4, 3, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 2, 4, 1, 2, 1]"
A flight attendant collected empty cups from the passengers. The poker players were unhappy with their hands.,1.3871,0.83,31,"[1, 1, 1, 4, 2, 2, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1]"
A high-quality coffee shop is a staple of any town. Knowledge gives individuals the skills to navigate life's challenges.,1.3548,0.9349,31,"[5, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1]"
A high-speed rail service launched between Paris and Berlin. The documentary offers a powerful visual account of rising sea levels.,1.7,1.0376,30,"[3, 1, 1, 4, 1, 1, 1, 2, 3, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 5, 1, 1]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,4.2903,1.0532,31,"[2, 5, 4, 4, 5, 5, 4, 4, 4, 5, 3, 5, 5, 5, 5, 5, 4, 5, 5, 1, 5, 5, 5, 5, 5, 4, 3, 2, 5, 4, 5]"
A new tech startup opened its doors last month. The company specializes in software solutions for small businesses,4.3548,0.8249,31,"[3, 5, 5, 3, 5, 5, 4, 5, 3, 5, 4, 5, 5, 4, 5, 4, 4, 5, 5, 4, 2, 5, 5, 5, 5, 4, 5, 3, 5, 4, 4]"
A new vocational training program was introduced in the community. Marcia could feel the platforms wobbling during the performance.,1.5484,0.9449,31,"[2, 2, 1, 3, 1, 2, 1, 5, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 1]"
A powerful earthquake struck Japan this morning. The abstract piece uses vibrant colors to explore love.,1.3871,0.7902,31,"[2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3]"
A teacher implemented innovative teaching methods in the classroom. Local climate patterns began to change.,1.5484,1.0109,31,"[3, 1, 1, 4, 1, 1, 1, 3, 1, 1, 4, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1]"
A wildlife sanctuary was recently established in the Amazon rainforest. The arts create a shared experience that fosters community.,1.6774,0.9634,31,"[1, 1, 1, 3, 3, 1, 1, 3, 3, 2, 5, 2, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2]"
Emma found the presentation engaging and informative. The retreat center focused on rest and introspection.,2.4516,1.2659,31,"[3, 3, 2, 4, 4, 4, 1, 3, 4, 3, 4, 2, 3, 1, 5, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 5, 2, 3, 1, 2, 3]"
Jenny has been complaining about her failed relationship for months. The findings provide new insights into cultural exchanges of the time.,1.8387,1.2207,31,"[1, 1, 1, 3, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 5, 4, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 4]"
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.5161,0.7126,31,"[2, 5, 4, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 4, 5]"
Large areas of forest were cleared for agriculture. John was late to pick up his daughter from school.,1.1935,0.6435,31,"[1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1]"
Mark found John cheating on him with their best friend. Workers quickly scrambled to save their valuable data.,1.4516,0.9449,31,"[4, 1, 1, 4, 1, 1, 1, 3, 1, 2, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1]"
Mark hesitated to make a decision. Emma acted quickly and confidently.,4.2903,0.9901,31,"[5, 5, 4, 4, 5, 5, 5, 5, 5, 4, 2, 4, 4, 3, 5, 5, 4, 1, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 3, 4, 5]"
Sarah loves reading mystery novels. Sarah's brother enjoys detective stories.,4.3226,0.7782,31,"[5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 5, 5, 5, 3, 5, 4, 4, 4, 4, 3, 3, 4, 5, 5, 5, 4, 4, 2, 5, 4, 5]"
September was unusually humid and hot. The book it was based on had thrilling moments.,1.4194,0.7524,31,"[2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1]"
