unit,mean,std,n,individual_ratings
"After the tremendous thunderstorm which flattened the dunes, there sank three ships against the rocks on the jagged shore.",3.0875,1.2648,80,"[2, 5, 2, 4, 4, 2, 2, 3, 3, 2, 1, 5, 4, 4, 3, 1, 3, 2, 3, 2, 4, 2, 4, 2, 2, 2, 5, 3, 4, 4, 5, 2, 1, 3, 4, 1, 3, 3, 3, 4, 5, 3, 1, 3, 4, 5, 3, 4, 5, 2, 4, 4, 3, 4, 4, 4, 4, 4, 2, 2, 2, 1, 4, 1, 3, 2, 2, 1, 5, 3, 4, 2, 2, 5, 5, 2, 5, 1, 5, 4]"
"If the experimental results are correct, the increase in radiation would weaken the giant ant-like insect considerably.",4.45,1.0176,80,"[5, 5, 4, 3, 3, 5, 5, 5, 5, 5, 1, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 3, 5, 5, 2, 3, 4, 3, 5, 5, 4, 5, 5, 4, 2, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 2, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 1, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5]"
It is the morning after next that the lumberjack will have to wake up early.,3.975,1.1021,80,"[5, 5, 4, 4, 4, 4, 5, 5, 4, 3, 5, 5, 1, 3, 4, 5, 5, 5, 5, 4, 4, 4, 5, 4, 5, 2, 4, 3, 5, 5, 4, 5, 3, 3, 5, 5, 4, 5, 2, 2, 5, 5, 5, 5, 5, 4, 2, 4, 4, 3, 4, 2, 4, 5, 5, 5, 5, 5, 4, 5, 4, 3, 4, 1, 3, 2, 4, 3, 4, 5, 4, 4, 5, 2, 5, 3, 2, 4, 4, 2]"
"Once the officers left the camp, the nurses poured in to help the officials, and it seemed that they were going to survive the evening.",4.3038,1.0045,79,"[5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 3, 4, 5, 5, 1, 5, 5, 5, 5, 5, 4, 1, 5, 5, 3, 3, 5, 1, 3, 5, 3, 5, 4, 4, 4, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 3, 4, 3, 5, 4, 4, 2, 5, 5, 5, 5, 3, 5, 4, 5]"
That the allegation that the lobbyist was bribing the politicians would offend the ethics committee reassured the constituents.,3.125,0.991,8,"[3, 4, 4, 2, 2, 2, 4, 4]"
That the allegations that the professor was favoring the grad student might disappoint the review committee irritated the department head.,3.125,1.3562,8,"[2, 2, 3, 4, 4, 4, 1, 5]"
That the announcement that the corporation was firing the workers might infuriate the labor union was supported by the news broadcast.,2.125,0.8345,8,"[2, 1, 2, 3, 3, 3, 2, 1]"
That the announcement that the flight attendants were serving drinks might calm the passengers was reassuring to the pilots of the damaged airliner.,2.0,1.069,8,"[2, 2, 2, 1, 3, 4, 1, 1]"
That the announcement that the sleazy pop-singer was endorsing the lipstick might offend the right-wing consumer group was discounted by the cosmetics mogul.,2.875,1.4577,8,"[1, 5, 2, 2, 2, 5, 3, 3]"
That the belief that the artist was creating a new art form might influence the review was rejected by the scholarly journal.,2.25,0.8864,8,"[2, 1, 2, 2, 2, 3, 4, 2]"
That the belief that the hometown team was playing in the championship might excite the sick child uplifted the city residents.,2.875,1.4577,8,"[2, 5, 3, 1, 5, 2, 2, 3]"
That the certainty that the killer virus was decimating the small village might panic the capital city was ignored by the health officials.,2.125,0.8345,8,"[4, 2, 2, 2, 2, 2, 2, 1]"
That the chance that the social worker was reporting the gun might scare away the emotionally disturbed teenager troubled the foster parents.,2.375,0.744,8,"[2, 1, 3, 3, 3, 2, 2, 3]"
That the comment that the star athlete was receiving bribes would upset the coach was supported by the university official.,2.0,0.8165,7,"[2, 1, 1, 2, 3, 3, 2]"
That the disclosure that the marketing whiz was masterminding the new ad campaign might boost the profits was analyzed by the new CEO.,2.0,1.069,8,"[1, 4, 2, 1, 2, 1, 2, 3]"
That the evidence that the aliens were kidnapping the children would expose the invasion plan was analyzed by the conspiracy buff.,2.625,1.3025,8,"[2, 2, 2, 2, 1, 5, 4, 3]"
That the evidence that the police officer was beating the suspect would outrage the journalists was disregarded by the lawyer.,2.625,0.744,8,"[2, 3, 2, 2, 3, 2, 3, 4]"
That the expectation that the beautiful assistant was releasing the deadly cobra would distract the exotic conjuror fascinated the enraptured audience.,2.125,0.991,8,"[1, 2, 2, 1, 4, 3, 2, 2]"
That the fact that the noble huntsman was kissing the sleeping princess might lift the curse upset the evil witch-queen.,2.875,1.3562,8,"[2, 3, 4, 2, 4, 2, 1, 5]"
That the fact that the sultry singer was singing the passionate love song might impress the mysterious stranger was feared by the jealous club owner.,2.25,1.0351,8,"[2, 4, 2, 1, 2, 3, 3, 1]"
That the feeling that the diplomat was mishandling the negotiations might irritate the foreign minister was denounced by the president.,2.75,1.2817,8,"[5, 1, 4, 3, 2, 2, 3, 2]"
That the hairdresser who won several awards from fashion magazines hates the new fashion trends troubled the arts editor of the local newspaper.,2.65,1.1703,80,"[4, 2, 3, 4, 2, 2, 4, 2, 2, 1, 1, 3, 1, 2, 3, 2, 1, 4, 2, 1, 5, 1, 3, 3, 1, 2, 3, 2, 3, 2, 5, 4, 4, 3, 4, 1, 2, 4, 2, 2, 4, 3, 2, 2, 4, 4, 4, 5, 1, 2, 2, 2, 2, 2, 5, 4, 2, 3, 2, 4, 3, 3, 2, 3, 1, 3, 4, 3, 2, 4, 1, 2, 3, 1, 5, 2, 4, 2, 2, 1]"
That the idea that the dissident was publishing a newsletter would anger the dictator terrified the rebels.,3.25,0.8864,8,"[4, 2, 4, 2, 4, 3, 4, 3]"
That the impression that the animal trainer was abusing the elephants might unnerve the visitors alarmed the circus owner.,3.0,1.5119,8,"[1, 4, 2, 3, 2, 5, 5, 2]"
That the information that the actress was seducing the director might aggravate the lead actor was ignored by the producer.,2.25,1.0351,8,"[2, 4, 2, 1, 3, 2, 1, 3]"
That the myth that the sun god was protecting the tribe might frighten the colonial settlers was not taken seriously by the government.,2.375,0.9161,8,"[2, 4, 1, 2, 2, 2, 3, 3]"
That the news that the terrorists were kidnapping the delegate might trick the bumbling law enforcement authorities was ignored by the negotiators.,2.75,1.0351,8,"[3, 4, 2, 4, 3, 3, 1, 2]"
That the news that the tornado was destroying the small town might panic the touchy investors bothered the mayor.,2.75,0.7071,8,"[4, 2, 3, 3, 3, 3, 2, 2]"
That the news that the waitress was working the graveyard shift might impress the assistant manager annoyed the cook.,2.0,1.069,8,"[2, 1, 3, 1, 2, 4, 1, 2]"
That the perception that the child prodigy was solving the difficult problem might embarrass the older boy frustrated the guidance counselor.,2.375,0.9161,8,"[2, 4, 1, 2, 2, 2, 3, 3]"
That the promise that the money was helping poor people might inspire the priest consoled the grieving widow.,2.25,1.0351,8,"[2, 1, 3, 2, 1, 2, 3, 4]"
That the pronouncement that locusts were infesting the farmlands might irritate the king was feared by the peasants.,2.375,0.744,8,"[4, 2, 3, 2, 2, 2, 2, 2]"
That the proof that the stock trader was defrauding the investors might implicate the overseas bank was investigated by the regulators.,2.375,0.9161,8,"[2, 1, 2, 2, 4, 3, 3, 2]"
That the prospect that the Nazis might be seeking the lost temple had scared the archeologist embarrassed the university.,1.875,0.6409,8,"[1, 2, 1, 2, 2, 2, 3, 2]"
That the report that the bear was bothering the tourists would scare away the rich Americans annoyed the park ranger.,3.625,1.1877,8,"[5, 2, 4, 5, 4, 3, 4, 2]"
That the reports that the teachers were neglecting the students might anger the school board troubled the superintendent.,2.875,1.126,8,"[4, 1, 2, 4, 2, 4, 3, 3]"
That the revelation that the landlord was faking the receipts would provoke the attorney was supported by the tenant's union.,2.0,0.7559,8,"[3, 1, 2, 1, 3, 2, 2, 2]"
That the rumor that the strange hermit was worshiping the nature spirit might intrigue the local kids troubled the villagers.,2.5,0.7559,8,"[2, 4, 2, 2, 2, 3, 3, 2]"
That the speculation that the author was writing the disturbing children's story might frighten off the veteran illustrator was discounted by the nervous publisher.,2.0,0.5345,8,"[1, 2, 2, 2, 2, 2, 2, 3]"
That the story that the preacher was sleeping with the actress would scandalize the parishioners was overlooked by the newsman.,2.25,1.2817,8,"[2, 1, 2, 4, 4, 3, 1, 1]"
That the story that the surrealist painter was offending the conservative politician might disturb the rich patrons was rejected by the gallery owner.,1.4286,0.5345,7,"[2, 1, 1, 2, 1, 2, 1]"
That the suspicion that the secret agent was locking the cabin door might hinder the hired assassin infuriated the criminal mastermind.,2.375,1.0607,8,"[1, 2, 2, 2, 2, 4, 4, 2]"
That the threat that the disgruntled client was stalking the lawyer might frighten the staff bothered the policeman.,2.5,1.069,8,"[2, 1, 4, 2, 2, 4, 2, 3]"
That the threat that the mobster was intimidating the reporters would silence the witness was questioned by the district attorney.,2.625,1.1877,8,"[4, 2, 2, 4, 4, 2, 2, 1]"
That the warning that the white supremacists were training an army might motivate the governor into action reassured the legislators.,2.625,1.3025,8,"[2, 1, 3, 4, 4, 4, 2, 1]"
