unit,mean,std,n,individual_ratings
"A fireman explained the rule to the tenants, and a policeman did too.",3.0833,1.1149,12,"[4, 4, 2, 4, 2, 4, 5, 2, 2, 2, 2, 4]"
"A fireman explained the rule to the tenants, and a policeman did.",2.5455,0.9875,11,"[3, 4, 2, 3, 1, 2, 2, 4, 3, 3, 1]"
"A fireman explained the rule to the tenants, and a policeman explained it to the tenants too.",3.5,1.1802,14,"[5, 5, 3, 2, 2, 3, 5, 4, 4, 4, 3, 4, 1, 4]"
"A fireman explained the rule to the tenants, and a policeman explained it to the tenants.",2.5833,0.6401,12,"[3, 3, 2, 2, 2, 3, 3, 2, 2, 3, 2, 4]"
"A fireman explained the rule to the tenants, and a policeman explained it to them too.",3.8,1.1662,10,"[4, 3, 2, 4, 5, 2, 3, 5, 5, 5]"
"A fireman explained the rule to the tenants, and a policeman explained it to them.",3.1,0.9434,10,"[4, 3, 3, 4, 1, 4, 4, 2, 3, 3]"
"A fireman explained the rule to the tenants, and a policeman explained the rule to the tenants too.",3.8,0.8718,10,"[5, 3, 5, 3, 4, 4, 3, 5, 3, 3]"
"A fireman explained the rule to the tenants, and a policeman explained the rule to the tenants.",2.6364,0.9791,11,"[5, 2, 2, 2, 2, 3, 2, 3, 2, 2, 4]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian did too.",2.2727,0.8624,11,"[2, 2, 3, 1, 3, 2, 2, 2, 3, 1, 4]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian did.",2.2143,0.7726,14,"[2, 2, 2, 3, 2, 1, 4, 2, 2, 2, 3, 3, 2, 1]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated the horses with the drug too.",3.3077,0.9102,13,"[3, 4, 4, 3, 2, 4, 2, 4, 3, 3, 5, 4, 2]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated the horses with the drug.",2.3846,1.003,13,"[4, 4, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 4]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated them with it too.",3.6667,1.2472,12,"[5, 3, 4, 3, 2, 4, 5, 4, 3, 5, 5, 1]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated them with it.",2.6667,1.1055,12,"[2, 2, 3, 3, 2, 5, 1, 4, 2, 2, 2, 4]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated them with the drug too.",3.1333,1.0873,15,"[3, 5, 4, 3, 2, 2, 3, 5, 2, 4, 4, 3, 3, 1, 3]"
"A lab assistant vaccinated the horses with the drug, and a veterinarian vaccinated them with the drug.",2.1667,0.5528,12,"[3, 2, 2, 2, 1, 3, 2, 2, 2, 2, 2, 3]"
