unit,mean,std,n,individual_ratings,item_type
It is in the church choir that he sings.,2.44,0.9165,25,"[3, 2, 3, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 4, 2, 3, 2, 3, 4, 2, 5, 2, 3, 2, 1]",test
It is the church choir that he sings in.,3.4571,1.0387,35,"[3, 3, 2, 4, 4, 5, 2, 5, 5, 5, 3, 2, 4, 4, 4, 5, 4, 4, 2, 5, 3, 4, 3, 4, 3, 2, 2, 4, 4, 2, 3, 3, 4, 2, 3]",test
It was a better world that he dreamed about.,3.7333,1.1121,30,"[4, 3, 5, 4, 2, 4, 5, 5, 3, 3, 3, 4, 1, 4, 4, 4, 5, 5, 5, 5, 2, 4, 3, 3, 5, 3, 5, 3, 4, 2]",test
It was a guitar that he traded in.,3.9714,0.9231,35,"[4, 4, 2, 5, 3, 4, 5, 5, 4, 3, 2, 2, 4, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 4, 2, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4]",test
It was a new idea that she toyed with.,3.8387,1.0984,31,"[4, 4, 4, 4, 5, 3, 5, 4, 3, 2, 4, 5, 3, 4, 4, 4, 2, 4, 5, 5, 5, 5, 4, 4, 1, 2, 2, 4, 5, 5, 4]",test
It was a peace treaty that the negotiations culminated in.,2.7568,1.0905,37,"[3, 2, 3, 4, 2, 3, 3, 5, 3, 2, 2, 3, 2, 2, 3, 1, 2, 5, 3, 3, 3, 1, 4, 4, 3, 1, 1, 4, 2, 4, 3, 4, 4, 3, 2, 2, 1]",test
It was a peaceful town that they settled in.,4.1,0.8449,30,"[4, 4, 4, 4, 5, 5, 3, 3, 5, 5, 4, 3, 3, 4, 5, 4, 4, 5, 2, 5, 5, 4, 4, 5, 4, 5, 5, 3, 3, 4]",test
It was a project that the discussion resulted in.,2.2222,1.072,36,"[2, 2, 3, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 4, 3, 4, 2, 4, 2, 3, 4, 4, 2, 1, 4, 1, 1, 2, 4, 1, 1, 2, 2, 3]",test
It was a shift in perspective that her speech brought about.,2.3846,0.9829,26,"[2, 2, 2, 2, 4, 2, 3, 2, 3, 4, 3, 4, 2, 2, 1, 4, 1, 2, 3, 1, 2, 2, 4, 2, 2, 1]",test
It was a small village that they resided in.,3.8485,0.9722,33,"[4, 4, 4, 4, 2, 4, 4, 2, 3, 5, 4, 5, 3, 5, 2, 4, 5, 2, 5, 4, 4, 4, 5, 4, 5, 4, 4, 5, 4, 4, 3, 4, 2]",test
It was about a better world that he dreamed.,2.6333,1.0334,30,"[4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 3, 2, 3, 3, 4, 2, 3, 1, 4, 3, 2, 4, 4, 2, 5, 2, 1, 2, 4, 1]",test
It was about a shift in perspective that her speech brought.,2.1471,1.019,34,"[2, 2, 4, 1, 1, 3, 3, 1, 1, 1, 2, 1, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 1, 3, 3, 5, 2, 1, 3, 4, 1, 2, 2]",test
It was about her sister that she worried.,2.5882,0.9883,34,"[2, 3, 3, 1, 2, 2, 2, 2, 2, 1, 4, 4, 2, 3, 4, 3, 2, 2, 5, 3, 1, 4, 2, 2, 3, 3, 3, 3, 1, 2, 4, 3, 2, 3]",test
It was about his daily routine that he went.,1.9667,0.9643,30,"[1, 2, 2, 2, 4, 2, 1, 3, 2, 3, 2, 1, 1, 2, 3, 1, 2, 1, 5, 2, 1, 2, 2, 3, 1, 2, 2, 1, 1, 2]",test
