unit,mean,std,n,individual_ratings
Alice wondered what the detective would lead the investigation if Paul took from the jewelry store.,2.1111,0.7817,9,"[2, 2, 2, 1, 3, 2, 1, 3, 3]"
Alice wondered what the detective would visit his mother if Paul took from the jewelry store.,1.5556,1.0138,9,"[1, 1, 2, 1, 1, 2, 1, 1, 4]"
Alice wonders what the detective leads the investigation while Paul takes from the jewelry store.,2.0,1.0,9,"[1, 4, 1, 3, 2, 2, 2, 2, 1]"
Alice wonders what the detective visits his mother while Paul takes from the jewelry store.,1.8,0.6325,10,"[2, 1, 2, 2, 2, 1, 3, 1, 2, 2]"
Bryan wondered what the pharmacist would buy some gum if John refilled within the month.,1.75,0.8864,8,"[2, 1, 1, 1, 2, 1, 3, 3]"
Bryan wondered what the pharmacist would inform a doctor if John refilled within the month.,2.6,1.075,10,"[4, 4, 1, 1, 3, 2, 3, 2, 3, 3]"
Bryan wonders what the pharmacist buys some gum while John refills within the month.,2.5,1.0488,6,"[2, 1, 3, 3, 2, 4]"
Bryan wonders what the pharmacist informs a doctor while John refills within the month.,2.0,0.9258,8,"[1, 2, 3, 3, 2, 1, 3, 1]"
Christian wondered what Chris would feel proud if the child prodigy submitted to the art contest at the modern art museum.,2.5714,0.9759,7,"[3, 3, 4, 2, 1, 3, 2]"
Christian wondered what Chris would sleep until noon if the child prodigy submitted to the art contest at the modern art museum.,1.8571,0.8997,7,"[3, 2, 1, 2, 3, 1, 1]"
Christian wonders what Chris feels proud while the child prodigy submits to the art contest at the modern art museum.,1.875,0.8345,8,"[2, 1, 1, 1, 3, 2, 3, 2]"
Christian wonders what Chris sleeps until noon while the child prodigy submits to the art contest at the modern art museum.,1.8889,0.7817,9,"[1, 1, 2, 2, 2, 2, 1, 3, 3]"
Christopher wondered what the RA would give approval if Bob rented from the housing office.,2.7778,1.2019,9,"[5, 2, 2, 3, 1, 2, 4, 3, 3]"
Christopher wondered what the RA would sell books if Bob rented from the housing office.,2.125,1.126,8,"[3, 1, 1, 1, 3, 2, 2, 4]"
Christopher wonders what the RA gives approval while Bob rents from the housing office.,2.1111,0.6009,9,"[2, 2, 2, 1, 2, 2, 2, 3, 3]"
Christopher wonders what the RA sells books while Bob rents from the housing office.,1.75,0.4629,8,"[2, 1, 2, 2, 2, 1, 2, 2]"
Diane wondered what Sandy would telephone a locksmith if the boss left in the car next to the bakery.,1.875,0.6409,8,"[2, 1, 2, 1, 2, 2, 3, 2]"
Diane wondered what Sandy would watch a movie if the boss left in the car next to the bakery.,1.4286,0.5345,7,"[2, 2, 1, 2, 1, 1, 1]"
Diane wonders what Sandy telephones a locksmith while the boss leaves in the car next to the bakery.,1.6,0.8433,10,"[1, 1, 1, 2, 3, 1, 1, 1, 2, 3]"
Diane wonders what Sandy watches a movie while the boss leaves in the car next to the bakery.,2.25,1.0351,8,"[1, 2, 3, 2, 1, 2, 4, 3]"
Duncan wondered what the security guard would go home if the tourists photographed in the Monet exhibit.,2.3,0.8233,10,"[2, 4, 2, 2, 2, 3, 3, 1, 2, 2]"
Duncan wondered what the security guard would say something if the tourists photographed in the Monet exhibit.,2.4444,1.0138,9,"[4, 2, 2, 2, 2, 1, 3, 2, 4]"
Duncan wonders what the security guard goes home while the tourists photograph in the Monet exhibit.,2.1111,1.2693,9,"[2, 5, 2, 1, 3, 2, 1, 2, 1]"
Duncan wonders what the security guard says something while the tourists photograph in the Monet exhibit.,2.0,0.6325,6,"[2, 2, 2, 2, 1, 3]"
Francisco wondered what the police officer would become suspicious if Michael bought in the alleyway.,2.2,1.0328,10,"[4, 1, 2, 1, 1, 2, 2, 3, 3, 3]"
Francisco wondered what the police officer would take a break if Michael bought in the alleyway.,1.4444,0.7265,9,"[1, 1, 1, 1, 1, 2, 2, 1, 3]"
Francisco wonders what the police officer becomes suspicious while Michael buys in the alleyway.,1.8889,0.7817,9,"[1, 1, 2, 2, 2, 3, 1, 3, 2]"
Francisco wonders what the police officer takes a break while Michael buys in the alleyway.,1.875,0.8345,8,"[1, 3, 2, 3, 1, 1, 2, 2]"
Frank wondered what the supervisor would complain bitterly if the office manager kept in her office during the audit.,1.4286,0.5345,7,"[2, 1, 1, 1, 2, 1, 2]"
Frank wondered what the supervisor would study mathematics if the office manager kept in her office during the audit.,1.3333,0.5,9,"[1, 1, 1, 1, 1, 2, 2, 2, 1]"
Frank wonders what the supervisor complains bitterly while the office manager keeps in her office during the audit.,2.3333,1.118,9,"[5, 1, 2, 2, 2, 2, 2, 2, 3]"
Frank wonders what the supervisor studies mathematics while the office manager keeps in her office during the audit.,2.0,1.0541,10,"[2, 1, 2, 1, 1, 2, 3, 3, 1, 4]"
