unit,mean,std,n,individual_ratings
A BREEZE BLEW JOHN'S HAIR ONTO HIS FACE,4.7,0.4583,40,"[5, 4, 5, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5]"
A CLOSET PARKING SPOT IS THREE BLOCKS AWAY,3.0,1.3964,40,"[4, 2, 5, 2, 4, 4, 4, 5, 5, 2, 5, 1, 4, 4, 2, 2, 5, 3, 1, 4, 2, 5, 3, 2, 4, 2, 2, 1, 1, 3, 1, 1, 3, 4, 4, 5, 2, 1, 4, 2]"
A LEADER MUST KNOW HOW TO INSPIRE OTHERS,3.4,1.4107,40,"[2, 3, 5, 4, 4, 4, 1, 5, 4, 3, 5, 5, 2, 5, 5, 2, 5, 3, 3, 5, 2, 5, 3, 1, 4, 3, 4, 1, 1, 3, 5, 1, 1, 5, 4, 5, 3, 4, 4, 2]"
A RUST LOCK WAS FOUND IN THE DRAWER,4.1,0.8888,40,"[5, 3, 5, 2, 3, 4, 4, 5, 4, 3, 5, 5, 5, 3, 5, 3, 3, 3, 4, 4, 5, 5, 3, 4, 5, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 4, 3, 3, 4, 5]"
ABBY WATCHED THE WAVES CRASH ON THE SAND,4.825,0.4409,40,"[5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
ALEX WAS TIRED SO HE TOOK A NAP,4.425,0.771,40,"[4, 5, 5, 3, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 3, 2, 3, 5, 4, 4, 4, 5, 5, 4, 5, 4, 5, 5, 4, 4, 4, 5]"
ALEX WORE A WOOL SWEATER TO KEEP WARM,4.55,0.5454,40,"[5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 4, 4, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5]"
AMY CAUGHT THE BALL AND THREW IT BACK,4.6667,0.6918,39,"[5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 3, 2, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5]"
ANDREW SAT ON THE COUCH AND ATE POPCORN,4.725,0.5472,40,"[5, 5, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
ANN BAKED A CAKE FOR HER MOM'S BIRTHDAY,4.575,0.5868,40,"[5, 4, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 3, 4, 5, 5, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5]"
ANNA'S HAPPY SHOUTS ECHOED LOUDLY IN THE CANYON,4.25,0.7984,40,"[4, 4, 5, 4, 3, 3, 2, 4, 5, 3, 5, 5, 4, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5, 3, 4, 4, 4, 4, 5, 5, 3, 5, 4, 4, 5, 4, 4, 5, 5]"
ASHLEY GREW CARROTS AND BEETS IN HER GARDEN,4.525,0.632,40,"[5, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 4, 4, 5, 5, 4, 3, 4, 5, 3, 5, 5, 4, 5, 4, 4, 5, 4]"
BECKY HAD A RED WAGON DURING HER CHILDHOOD,4.359,0.7675,39,"[4, 4, 5, 5, 4, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 3, 4, 3, 5, 5, 4, 2, 3, 5, 5, 5, 5, 4, 4, 4, 4, 5, 4]"
BETH WALKED HER DOG IN THE PARK NEARBY,4.4359,0.7087,39,"[4, 4, 5, 3, 4, 3, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 3, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 3, 4, 4, 5]"
BOXES FILLED THE HALLWAY IN ZACH'S NEW HOUSE,4.65,0.6538,40,"[5, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3]"
BY TELLING THE TRUTH WE HURT MATHEW'S FEELINGS,3.525,1.2245,40,"[3, 3, 5, 5, 3, 2, 2, 5, 5, 3, 5, 5, 2, 5, 5, 2, 4, 4, 5, 4, 3, 5, 3, 2, 1, 4, 3, 1, 3, 2, 5, 2, 3, 5, 4, 4, 3, 4, 4, 3]"
CHARLIE CLAPPED FOR THE ACTORS AS THEY BOWED,4.65,0.5723,40,"[5, 4, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5]"
CLASS WAS ENDED EARLY AFTER THE FIRE ALARM,3.925,0.9846,40,"[4, 4, 5, 2, 3, 4, 3, 5, 4, 4, 5, 5, 4, 5, 5, 4, 4, 4, 4, 4, 3, 5, 3, 4, 2, 5, 5, 1, 3, 4, 4, 3, 4, 4, 5, 5, 2, 5, 4, 4]"
DAD WAS TIRED SO HE TOOK A NAP,4.575,0.6666,40,"[4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 3, 2, 4, 5, 4, 4, 4, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5]"
DAN PLACED THE DISH WITH CHERRIES NEAR BRIAN,4.475,0.6704,40,"[5, 3, 5, 5, 4, 4, 4, 5, 5, 3, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 4, 4, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 4, 5]"
ELLA JUMPED ON THE PILE OF CRUNCHY LEAVES,4.825,0.38,40,"[5, 5, 5, 4, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
EMMA'S GRANDPA TOLD HER TO BRUSH HER TEETH,4.4,0.8602,40,"[4, 3, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 4, 5, 3, 2, 4, 5, 4, 2, 4, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5]"
EVA PLACED A SECRET MESSAGE IN A BOTTLE,4.375,0.731,40,"[5, 4, 5, 3, 4, 3, 4, 5, 3, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 3, 5, 3, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5]"
FRANK DID NOT MEAN TO SHATTER THE VASE,3.65,1.0851,40,"[3, 4, 5, 3, 3, 3, 3, 5, 4, 3, 4, 5, 3, 5, 5, 5, 5, 4, 4, 4, 3, 5, 3, 3, 1, 4, 5, 2, 2, 2, 5, 2, 2, 4, 4, 5, 3, 4, 4, 3]"
FRED THREW THE SATIN SHIRT INTO THE DRYER,4.35,0.8818,40,"[4, 4, 5, 2, 3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 3, 5, 5, 5, 2, 4, 5, 5, 4, 4, 5, 5, 4, 5, 3, 5, 3, 5]"
GEORGE AWOKE TO THE TICKING OF HIS CLOCK,4.45,0.6305,40,"[4, 4, 5, 5, 4, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 4, 5, 3, 4, 5, 5, 5, 4, 4, 5, 5, 4, 5, 3, 4, 5, 4, 5, 4, 5]"
GRACE'S EYES SPARKLED AND SHE SMILED AT US,4.325,0.7207,40,"[5, 3, 5, 3, 4, 4, 4, 5, 5, 3, 5, 5, 4, 5, 5, 3, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 4, 4, 5, 3, 5, 4, 4, 4, 4, 5, 4, 4]"
GRANDMA MADE SOME COOKIES FOR HER LITTLE TIMMY,4.525,0.5911,40,"[4, 3, 5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 5, 3, 4, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5]"
I NEED PENCILS PENS AND PAPER TO WORK,3.825,1.0698,40,"[4, 4, 5, 4, 4, 5, 3, 5, 3, 3, 5, 5, 3, 5, 5, 5, 4, 3, 3, 4, 3, 5, 3, 3, 1, 5, 3, 2, 2, 2, 5, 4, 4, 3, 4, 5, 5, 4, 5, 3]"
IF YOU WORK HARD IT WILL PAY OFF,3.4,1.4107,40,"[2, 3, 5, 3, 5, 5, 2, 5, 4, 3, 5, 5, 2, 5, 5, 1, 5, 3, 4, 5, 2, 5, 3, 2, 1, 3, 3, 1, 1, 3, 5, 1, 2, 5, 4, 5, 3, 4, 3, 3]"
