unit,mean,std,n,individual_ratings
The actor in the commercial,4.6667,0.488,15,"[5, 5, 4, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5]"
The actor in the commercials,4.1333,0.8338,15,"[2, 4, 5, 5, 5, 4, 4, 3, 4, 4, 5, 5, 4, 4, 4]"
The actors in the commercial,4.4667,0.6399,15,"[5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 3, 5, 5, 4, 5]"
The actors in the commercials,4.0,1.1339,15,"[2, 5, 5, 4, 5, 2, 5, 2, 4, 5, 4, 5, 4, 4, 4]"
The boy with the snake,3.5333,1.1255,15,"[2, 4, 5, 4, 4, 3, 4, 3, 5, 1, 2, 4, 4, 4, 4]"
The boy with the snakes,3.4,1.1832,15,"[5, 3, 2, 3, 4, 4, 3, 1, 3, 4, 2, 3, 4, 5, 5]"
The boys with the snake,3.0667,1.1629,15,"[2, 2, 4, 2, 5, 5, 2, 2, 2, 4, 3, 3, 2, 4, 4]"
The boys with the snakes,3.5333,1.0601,15,"[3, 2, 3, 4, 3, 2, 4, 3, 5, 4, 2, 5, 4, 4, 5]"
The bridge to the island,4.1333,0.9155,15,"[5, 5, 5, 4, 5, 3, 3, 2, 4, 5, 4, 4, 4, 5, 4]"
The bridge to the islands,3.0667,0.9612,15,"[2, 3, 5, 4, 4, 2, 2, 2, 4, 3, 2, 3, 3, 3, 4]"
The bridges to the island,3.9333,0.8837,15,"[4, 2, 3, 4, 4, 3, 5, 4, 5, 5, 3, 5, 4, 4, 4]"
The bridges to the islands,3.4667,1.0601,15,"[2, 3, 5, 4, 2, 5, 3, 4, 4, 4, 2, 2, 4, 4, 4]"
The check from the stockbroker,3.7333,0.9612,15,"[3, 3, 5, 4, 5, 5, 4, 3, 4, 3, 3, 2, 3, 5, 4]"
The check from the stockbrokers,4.2667,0.7037,15,"[5, 3, 4, 4, 5, 4, 4, 4, 5, 4, 3, 5, 5, 4, 5]"
The checks from the stockbroker,3.8667,0.9904,15,"[3, 4, 5, 4, 5, 2, 4, 3, 4, 4, 2, 4, 5, 5, 4]"
The checks from the stockbrokers,3.8667,1.302,15,"[5, 5, 2, 4, 5, 4, 1, 4, 3, 5, 4, 2, 5, 5, 4]"
The companies with the copyright,3.3333,1.496,15,"[3, 2, 2, 3, 5, 3, 1, 4, 1, 5, 5, 2, 4, 5, 5]"
The companies with the copyrights,3.2,0.9411,15,"[2, 3, 5, 2, 3, 4, 3, 3, 4, 3, 4, 2, 2, 4, 4]"
The company with the copyright,4.0,0.8452,15,"[4, 3, 3, 3, 4, 3, 4, 4, 5, 5, 3, 5, 5, 4, 5]"
The company with the copyrights,3.0,1.069,15,"[2, 3, 4, 3, 5, 2, 5, 3, 4, 2, 2, 3, 2, 3, 2]"
The computer in the missile,2.6,1.2421,15,"[3, 2, 2, 2, 1, 1, 3, 3, 1, 3, 2, 3, 5, 5, 3]"
The computer in the missiles,1.6,0.7368,15,"[2, 3, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2]"
The computers in the missile,2.4667,1.302,15,"[3, 1, 2, 1, 4, 4, 1, 1, 3, 1, 3, 2, 3, 5, 3]"
The computers in the missiles,2.4667,1.0601,15,"[3, 1, 2, 3, 2, 4, 4, 1, 4, 3, 2, 1, 2, 3, 2]"
The crime in the cities,4.0,1.2536,15,"[2, 5, 3, 2, 5, 5, 4, 5, 5, 4, 5, 3, 5, 2, 5]"
The crime in the city,4.4,0.7368,15,"[5, 5, 4, 4, 5, 5, 3, 4, 3, 5, 4, 5, 5, 5, 4]"
The crimes in the cities,3.8667,1.1872,15,"[2, 5, 5, 3, 4, 5, 5, 4, 4, 1, 4, 3, 5, 4, 4]"
The crimes in the city,4.4,0.7368,15,"[4, 4, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5]"
The defect in the car,4.1333,0.5164,15,"[4, 3, 4, 4, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 4]"
The defect in the cars,3.8,0.8619,15,"[2, 3, 5, 4, 3, 4, 4, 4, 5, 4, 4, 5, 4, 3, 3]"
The defects in the car,4.1333,0.9155,15,"[5, 5, 4, 4, 4, 5, 2, 4, 3, 4, 3, 5, 5, 4, 5]"
The defects in the cars,3.2,0.8619,15,"[2, 3, 4, 3, 5, 3, 4, 3, 2, 4, 3, 3, 2, 3, 4]"
The detective on the case,4.4667,0.6399,15,"[5, 4, 4, 4, 5, 5, 4, 3, 5, 4, 4, 5, 5, 5, 5]"
The detective on the cases,3.3333,1.1127,15,"[2, 4, 4, 2, 3, 5, 4, 2, 5, 4, 4, 2, 2, 3, 4]"
The detectives on the case,4.4667,0.7432,15,"[5, 5, 3, 4, 5, 5, 4, 4, 5, 4, 3, 5, 5, 5, 5]"
The detectives on the cases,3.4667,1.4573,15,"[1, 5, 5, 1, 5, 3, 5, 4, 3, 4, 4, 2, 2, 5, 3]"
The dog in the yard,4.2667,0.8837,15,"[4, 3, 5, 4, 5, 5, 5, 4, 2, 4, 4, 4, 5, 5, 5]"
The dog in the yards,2.1333,0.9904,15,"[3, 1, 2, 1, 3, 1, 2, 3, 1, 2, 4, 3, 1, 3, 2]"
The dogs in the yard,4.6667,0.488,15,"[5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5]"
The dogs in the yards,3.4,1.4041,15,"[2, 5, 4, 2, 5, 4, 2, 2, 4, 1, 2, 4, 4, 5, 5]"
The door to the office,4.6,0.6325,15,"[4, 5, 5, 4, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5]"
The door to the offices,4.1333,0.8338,15,"[4, 5, 4, 4, 5, 4, 2, 4, 3, 5, 4, 5, 4, 5, 4]"
The doors to the office,3.9333,1.2799,15,"[2, 4, 5, 5, 5, 1, 4, 4, 5, 4, 5, 5, 4, 2, 4]"
The doors to the offices,4.5333,0.8338,15,"[4, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 4, 5]"
The entrance to the laboratories,4.2667,0.9612,15,"[4, 2, 3, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 4, 5]"
The entrance to the laboratory,3.9333,0.8837,15,"[3, 4, 5, 4, 5, 5, 4, 3, 5, 4, 2, 3, 4, 4, 4]"
The entrances to the laboratories,3.6,0.9856,15,"[5, 3, 4, 3, 4, 3, 2, 4, 3, 5, 3, 2, 4, 5, 4]"
The entrances to the laboratory,4.1333,0.8338,15,"[4, 5, 4, 4, 3, 4, 5, 4, 5, 4, 2, 5, 4, 4, 5]"
The girl with the question,3.8667,0.9904,15,"[3, 2, 4, 3, 5, 5, 4, 4, 3, 4, 5, 5, 3, 3, 5]"
The girl with the questions,4.1333,0.7432,15,"[5, 3, 4, 4, 4, 3, 4, 4, 5, 4, 3, 5, 5, 4, 5]"
The girls with the question,3.3333,1.1127,15,"[4, 5, 4, 4, 2, 5, 4, 2, 2, 2, 3, 3, 2, 4, 4]"
The girls with the questions,3.2667,0.8837,15,"[4, 3, 2, 3, 4, 2, 3, 2, 3, 4, 3, 4, 3, 5, 4]"
The guard for the ceremonies,3.2,0.9411,15,"[5, 2, 3, 3, 4, 2, 2, 3, 2, 4, 3, 4, 4, 3, 4]"
The guard for the ceremony,3.2857,0.9139,14,"[3, 3, 5, 4, 2, 2, 4, 4, 3, 3, 2, 4, 4, 3]"
The guards for the ceremonies,3.4,1.1832,15,"[3, 2, 2, 3, 4, 2, 4, 4, 5, 2, 2, 5, 4, 4, 5]"
The guards for the ceremony,3.1333,0.8338,15,"[2, 2, 3, 3, 4, 3, 4, 2, 4, 4, 2, 3, 4, 3, 4]"
The key to the cabinet,4.5,0.7596,14,"[5, 3, 3, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5]"
The key to the cabinets,4.5333,0.6399,15,"[4, 5, 5, 5, 5, 4, 4, 5, 5, 4, 3, 5, 5, 4, 5]"
The keys to the cabinet,4.6,0.5071,15,"[4, 5, 5, 4, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5]"
The keys to the cabinets,3.6667,0.8165,15,"[2, 4, 3, 4, 5, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4]"
The label on the bottle,4.2667,0.9612,15,"[2, 5, 5, 5, 5, 5, 4, 3, 3, 4, 5, 5, 4, 5, 4]"
The label on the bottles,4.4,0.6325,15,"[5, 4, 4, 5, 4, 4, 4, 4, 5, 5, 3, 5, 4, 5, 5]"
The labels on the bottle,3.9333,0.9612,15,"[3, 5, 3, 5, 4, 5, 5, 2, 5, 4, 3, 4, 4, 4, 3]"
The labels on the bottles,4.4667,0.6399,15,"[5, 5, 4, 3, 5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5]"
The letter from the lawyer,4.3333,1.1127,15,"[2, 5, 5, 5, 5, 2, 5, 5, 5, 4, 3, 5, 5, 4, 5]"
