unit,mean,std,n,individual_ratings
The actor in the commercial,4.2069,0.9403,29,"[5, 5, 4, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 4, 3, 4, 5, 4, 2, 2, 4, 4, 4, 2]"
The actor in the commercials,3.9,0.9229,30,"[2, 4, 5, 5, 5, 4, 4, 3, 4, 4, 5, 5, 4, 4, 4, 3, 3, 5, 4, 4, 2, 4, 4, 5, 4, 4, 2, 3, 5, 3]"
The actors in the commercial,4.3448,0.7209,29,"[5, 4, 4, 5, 4, 5, 4, 4, 5, 5, 3, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 3, 3, 4, 5, 4, 3, 4]"
The actors in the commercials,3.7333,1.1121,30,"[2, 5, 5, 4, 5, 2, 5, 2, 4, 5, 4, 5, 4, 4, 4, 4, 5, 4, 2, 3, 2, 2, 3, 3, 4, 3, 3, 4, 5, 5]"
The apartments,4.5593,0.6765,59,"[5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 4, 3, 5, 4, 4, 3, 5, 5, 3, 5, 3, 5, 5, 4, 5, 5, 4]"
The argument,4.4138,0.8793,58,"[5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 3, 5, 5, 5, 5, 4, 4, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 3, 4, 5, 3, 4, 3, 5, 4, 4, 5, 1, 5, 5, 4, 5, 5, 3]"
The boxer,4.0877,0.8718,57,"[5, 5, 4, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 3, 5, 5, 3, 4, 5, 4, 4, 4, 4, 4, 3, 5, 3, 4, 3, 3, 4, 5, 3, 3, 5, 4, 3, 5, 3, 4, 3, 3, 4, 3, 5, 2, 5, 3, 4, 4, 5, 3]"
The boy with the snake,3.2759,1.1921,29,"[2, 4, 5, 4, 4, 3, 4, 3, 5, 1, 2, 4, 4, 4, 4, 4, 4, 3, 1, 3, 1, 2, 3, 3, 2, 3, 3, 5, 5]"
The boy with the snakes,3.0,1.3131,30,"[5, 3, 2, 3, 4, 4, 3, 1, 3, 4, 2, 3, 4, 5, 5, 5, 1, 3, 5, 3, 2, 3, 1, 3, 1, 1, 4, 3, 2, 2]"
The boys with the snake,3.1,1.125,30,"[2, 2, 4, 2, 5, 5, 2, 2, 2, 4, 3, 3, 2, 4, 4, 3, 3, 4, 2, 3, 5, 3, 2, 5, 2, 3, 3, 2, 5, 2]"
The boys with the snakes,3.4138,1.3233,29,"[3, 2, 3, 4, 3, 2, 4, 3, 5, 4, 2, 5, 4, 4, 5, 5, 1, 5, 4, 5, 2, 5, 2, 3, 2, 5, 2, 1, 4]"
The bridge to the island,3.7667,1.1651,30,"[5, 5, 5, 4, 5, 3, 3, 2, 4, 5, 4, 4, 4, 5, 4, 5, 3, 5, 5, 1, 3, 4, 4, 3, 4, 2, 4, 4, 1, 3]"
The bridge to the islands,3.3,0.9879,30,"[2, 3, 5, 4, 4, 2, 2, 2, 4, 3, 2, 3, 3, 3, 4, 3, 3, 5, 3, 3, 5, 4, 3, 5, 3, 3, 2, 3, 5, 3]"
The bridges to the island,3.7857,1.1339,28,"[4, 2, 3, 4, 4, 3, 5, 4, 5, 5, 3, 5, 4, 4, 4, 5, 5, 4, 5, 1, 5, 2, 3, 3, 5, 3, 2, 4]"
The bridges to the islands,3.4,1.1017,30,"[2, 3, 5, 4, 2, 5, 3, 4, 4, 4, 2, 2, 4, 4, 4, 4, 1, 4, 2, 4, 5, 2, 3, 3, 3, 3, 3, 3, 5, 5]"
The check from the stockbroker,3.6667,0.9589,30,"[3, 3, 5, 4, 5, 5, 4, 3, 4, 3, 3, 2, 3, 5, 4, 3, 3, 4, 4, 3, 5, 3, 3, 5, 3, 2, 3, 3, 5, 5]"
The check from the stockbrokers,3.7931,1.2358,29,"[5, 3, 4, 4, 5, 4, 4, 4, 5, 4, 3, 5, 5, 4, 5, 4, 1, 5, 4, 5, 1, 5, 3, 2, 2, 4, 3, 2, 5]"
The checks from the stockbroker,3.6667,0.9942,30,"[3, 4, 5, 4, 5, 2, 4, 3, 4, 4, 2, 4, 5, 5, 4, 4, 3, 4, 2, 3, 5, 3, 2, 3, 3, 3, 3, 4, 5, 5]"
The checks from the stockbrokers,3.7586,1.1849,29,"[5, 5, 2, 4, 5, 4, 1, 4, 3, 5, 4, 2, 5, 5, 4, 4, 3, 5, 5, 3, 3, 4, 3, 5, 2, 4, 5, 3, 2]"
The color,4.2586,1.0852,58,"[5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 5, 2, 5, 5, 5, 5, 3, 5, 4, 1, 4, 3, 5, 4, 5, 5, 4, 4, 4, 5, 3, 5, 5, 1, 5, 2, 3, 5, 5, 4, 5, 5, 3, 4, 5, 5, 5, 4, 5, 3, 5, 5, 2, 5, 5, 4]"
The companies with the copyright,3.0345,1.2672,29,"[3, 2, 2, 3, 5, 3, 1, 4, 1, 5, 5, 2, 4, 5, 5, 4, 2, 4, 2, 2, 3, 4, 3, 1, 2, 3, 3, 3, 2]"
The companies with the copyrights,3.1667,1.1472,30,"[2, 3, 5, 2, 3, 4, 3, 3, 4, 3, 4, 2, 2, 4, 4, 2, 3, 5, 1, 3, 5, 3, 3, 5, 2, 4, 2, 2, 5, 2]"
The company with the copyright,3.7931,1.2065,29,"[4, 3, 3, 3, 4, 3, 4, 4, 5, 5, 3, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 4, 3, 1, 2, 5, 1, 2, 5]"
The company with the copyrights,2.9667,1.0334,30,"[2, 3, 4, 3, 5, 2, 5, 3, 4, 2, 2, 3, 2, 3, 2, 4, 1, 4, 2, 3, 1, 2, 3, 4, 3, 4, 3, 3, 3, 4]"
The compliment,4.1864,0.9733,59,"[4, 5, 5, 2, 4, 5, 5, 2, 4, 5, 5, 3, 5, 5, 2, 5, 4, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 4, 4, 4, 5, 4, 5, 3, 5, 5, 4, 5, 4, 4, 3, 3, 5, 3, 4, 2, 3, 3, 3, 5, 2, 5, 5, 5, 5, 5, 4]"
The computer in the missile,2.7586,1.4554,29,"[3, 2, 2, 2, 1, 1, 3, 3, 1, 3, 2, 3, 5, 5, 3, 5, 1, 5, 3, 2, 5, 5, 1, 2, 2, 4, 1, 1, 4]"
The computer in the missiles,1.9333,1.0148,30,"[2, 3, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 2, 4, 2, 1, 1, 3, 1, 1, 2, 4, 3, 2, 2, 1, 3, 4]"
The computers in the missile,2.2414,1.2721,29,"[3, 1, 2, 1, 4, 4, 1, 1, 3, 1, 3, 2, 3, 5, 3, 4, 1, 3, 1, 1, 3, 1, 3, 1, 1, 4, 3, 1, 1]"
The computers in the missiles,2.4667,1.1366,30,"[3, 1, 2, 3, 2, 4, 4, 1, 4, 3, 2, 1, 2, 3, 2, 2, 3, 3, 3, 3, 2, 2, 2, 5, 1, 2, 1, 1, 5, 2]"
The cracker,4.2414,0.9044,58,"[3, 5, 5, 3, 4, 4, 5, 5, 5, 5, 5, 3, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5, 3, 3, 5, 5, 3, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 4, 3, 5, 5, 3, 3, 5, 3, 4, 3, 3, 4, 3, 5, 2, 5, 4, 3, 5, 5, 4]"
The crime in the cities,3.8333,1.1167,30,"[2, 5, 3, 2, 5, 5, 4, 5, 5, 4, 5, 3, 5, 2, 5, 3, 4, 3, 3, 3, 5, 4, 2, 5, 4, 3, 3, 3, 5, 5]"
The crime in the city,4.0,1.0,29,"[5, 5, 4, 4, 5, 5, 3, 4, 3, 5, 4, 5, 5, 5, 4, 2, 4, 5, 5, 3, 4, 4, 4, 2, 3, 4, 3, 5, 2]"
The crimes in the cities,3.8,1.1861,30,"[2, 5, 5, 3, 4, 5, 5, 4, 4, 1, 4, 3, 5, 4, 4, 5, 5, 4, 1, 5, 3, 3, 3, 2, 4, 4, 3, 4, 5, 5]"
The crimes in the city,4.1724,1.0713,29,"[4, 4, 3, 5, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 5, 1, 5, 3, 2, 4, 5, 3, 3, 5]"
The defect in the car,3.9655,0.9443,29,"[4, 3, 4, 4, 4, 5, 4, 4, 5, 4, 4, 5, 4, 4, 4, 5, 4, 5, 4, 5, 4, 4, 3, 2, 3, 5, 3, 1, 5]"
The defect in the cars,3.7241,0.9598,29,"[2, 3, 5, 4, 3, 4, 4, 4, 5, 4, 4, 5, 4, 3, 3, 4, 1, 4, 3, 5, 3, 3, 4, 4, 3, 4, 3, 5, 5]"
The defects in the car,3.6897,1.0387,29,"[5, 5, 4, 4, 4, 5, 2, 4, 3, 4, 3, 5, 5, 4, 5, 4, 4, 4, 4, 3, 3, 2, 4, 1, 2, 3, 4, 4, 3]"
The defects in the cars,3.2759,0.7972,29,"[2, 3, 4, 3, 5, 3, 4, 3, 2, 4, 3, 3, 2, 3, 4, 4, 4, 3, 3, 3, 3, 4, 3, 3, 4, 2, 3, 5, 3]"
The detective on the case,4.069,0.9232,29,"[5, 4, 4, 4, 5, 5, 4, 3, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 3, 3, 4, 3, 4, 2, 2, 4, 4, 4, 3]"
The detective on the cases,3.1667,1.0532,30,"[2, 4, 4, 2, 3, 5, 4, 2, 5, 4, 4, 2, 2, 3, 4, 2, 3, 3, 3, 3, 1, 3, 3, 5, 3, 3, 2, 3, 5, 3]"
The detectives on the case,4.2069,1.1142,29,"[5, 5, 3, 4, 5, 5, 4, 4, 5, 4, 3, 5, 5, 5, 5, 5, 4, 5, 4, 5, 1, 5, 4, 2, 3, 5, 5, 2, 5]"
The detectives on the cases,3.4,1.2758,30,"[1, 5, 5, 1, 5, 3, 5, 4, 3, 4, 4, 2, 2, 5, 3, 4, 2, 5, 2, 3, 4, 2, 3, 3, 3, 2, 3, 4, 5, 5]"
The dog in the yard,3.9667,0.9994,30,"[4, 3, 5, 4, 5, 5, 5, 4, 2, 4, 4, 4, 5, 5, 5, 4, 3, 3, 5, 4, 3, 4, 4, 5, 1, 3, 4, 4, 5, 3]"
The dog in the yards,2.4333,1.1651,30,"[3, 1, 2, 1, 3, 1, 2, 3, 1, 2, 4, 3, 1, 3, 2, 1, 3, 2, 1, 3, 1, 3, 3, 5, 4, 3, 2, 3, 5, 2]"
The dogs in the yard,4.4483,1.0207,29,"[5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 3, 5, 3, 1, 5, 5, 5, 2, 5]"
The dogs in the yards,3.5,1.2798,30,"[2, 5, 4, 2, 5, 4, 2, 2, 4, 1, 2, 4, 4, 5, 5, 5, 3, 4, 2, 4, 1, 5, 3, 4, 4, 3, 3, 3, 5, 5]"
The door to the office,4.5172,0.6877,29,"[4, 5, 5, 4, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 3, 5, 5, 3, 4, 5, 5]"
The door to the offices,3.8333,1.0532,30,"[4, 5, 4, 4, 5, 4, 2, 4, 3, 5, 4, 5, 4, 5, 4, 3, 3, 5, 5, 3, 3, 3, 5, 4, 5, 1, 4, 3, 4, 2]"
The doors to the office,3.8,1.0635,30,"[2, 4, 5, 5, 5, 1, 4, 4, 5, 4, 5, 5, 4, 2, 4, 3, 3, 5, 3, 4, 3, 4, 4, 5, 3, 3, 4, 3, 5, 3]"
The doors to the offices,4.3793,0.8625,29,"[4, 5, 5, 5, 5, 2, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 3, 4, 5, 5, 4, 2, 4]"
The entrance to the laboratories,3.9655,1.149,29,"[4, 2, 3, 5, 5, 5, 5, 4, 5, 4, 3, 5, 5, 4, 5, 5, 2, 5, 4, 5, 4, 5, 3, 2, 3, 5, 2, 2, 4]"
The entrance to the laboratory,3.7667,0.9714,30,"[3, 4, 5, 4, 5, 5, 4, 3, 5, 4, 2, 3, 4, 4, 4, 4, 3, 4, 4, 3, 5, 4, 4, 5, 2, 2, 2, 4, 5, 3]"
The entrances to the laboratories,3.3667,1.0662,30,"[5, 3, 4, 3, 4, 3, 2, 4, 3, 5, 3, 2, 4, 5, 4, 4, 2, 4, 4, 5, 3, 4, 1, 3, 4, 2, 4, 3, 2, 2]"
The entrances to the laboratory,3.8276,1.0713,29,"[4, 5, 4, 4, 3, 4, 5, 4, 5, 4, 2, 5, 4, 4, 5, 4, 2, 4, 4, 3, 5, 1, 2, 4, 4, 3, 3, 5, 5]"
The explosions,3.6949,1.2213,59,"[4, 5, 4, 4, 3, 3, 5, 2, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4, 3, 5, 1, 1, 3, 4, 5, 3, 3, 5, 5, 4, 2, 5, 4, 4, 2, 1, 4, 1, 3, 4, 5, 3, 4, 5, 3, 4, 1, 3, 4, 3, 5, 2, 5, 3, 3, 4, 5, 4]"
