unit,mean,std,n,individual_ratings,item_type
"Adam caught the butterfly gently, and it fluttered in his hands.",6.1053,1.5385,38,"[5, 7, 7, 7, 6, 7, 4, 7, 6, 6, 1, 5, 7, 7, 7, 6, 6, 1, 7, 6, 7, 6, 3, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 7, 5, 6, 7]",filler
"Adam hoped to wear his hat, and wind too strong.",2.2051,1.559,39,"[2, 1, 1, 3, 5, 1, 1, 4, 4, 1, 6, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 5, 1, 2, 1, 4, 1, 2, 1, 1, 3, 1, 1, 1, 5, 2, 5, 5, 1]",filler
"Adam knew he could carried the bag, and did it he now.",2.2895,1.9578,38,"[1, 2, 1, 5, 1, 5, 1, 2, 6, 6, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 7, 1, 2, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 6, 6, 1]",filler
"Anne felt she was exciting and wanted to talk more, and when did she so.",2.1795,1.8478,39,"[1, 1, 1, 5, 1, 1, 7, 2, 1, 1, 4, 3, 1, 1, 1, 6, 2, 1, 1, 1, 1, 3, 1, 3, 1, 1, 2, 2, 6, 1, 1, 1, 1, 1, 5, 1, 6, 5, 1]",filler
"Anne grew impatient and needed to shout for help, and she did shouted.",3.1053,2.1054,19,"[6, 5, 5, 3, 7, 2, 1, 5, 1, 1, 1, 1, 7, 2, 3, 3, 1, 3, 2]",test
"Anne grew impatient and needed to shout for help, and shouted she did.",3.4762,1.4007,21,"[4, 4, 1, 6, 2, 2, 5, 6, 2, 2, 3, 3, 2, 4, 3, 4, 3, 4, 5, 5, 3]",test
"Anne hoped to stand out in the crowd, and she truly does.",5.2051,1.9081,39,"[4, 6, 2, 7, 6, 7, 6, 7, 7, 5, 1, 7, 4, 1, 3, 2, 6, 7, 7, 4, 6, 6, 5, 5, 2, 7, 7, 7, 6, 7, 7, 3, 4, 7, 6, 3, 5, 7, 4]",filler
"Anne knew that she would laugh out loud, and laugh out loud she did.",4.4286,2.2488,21,"[7, 6, 6, 3, 5, 2, 3, 1, 1, 2, 6, 1, 7, 6, 5, 2, 7, 7, 4, 7, 5]",test
"Anne knew that she would laugh out loud, and she did laugh out loud.",6.3889,0.7775,18,"[5, 5, 7, 7, 7, 7, 6, 6, 6, 7, 6, 7, 7, 6, 7, 7, 5, 7]",test
"Anne pushed the sled uphill, and she really helped the team out.",5.7692,1.5297,39,"[3, 6, 7, 7, 5, 7, 4, 3, 5, 5, 7, 7, 7, 7, 7, 6, 1, 7, 7, 7, 7, 6, 6, 6, 7, 4, 5, 7, 5, 6, 7, 7, 2, 7, 5, 6, 5, 6, 6]",filler
"Anne wanted to purchase a new dress, and she really did.",5.75,1.6132,40,"[5, 6, 4, 6, 5, 1, 3, 7, 6, 7, 7, 7, 7, 7, 7, 2, 6, 1, 7, 7, 7, 6, 7, 6, 6, 7, 7, 6, 7, 7, 5, 7, 5, 6, 7, 5, 6, 5, 5, 5]",filler
"Anne wanted to stood up, and I wonder if she did.",2.3077,1.8375,39,"[4, 1, 2, 2, 5, 1, 1, 1, 1, 3, 2, 6, 1, 7, 1, 2, 4, 1, 1, 1, 7, 2, 1, 3, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 2, 6, 5, 2]",filler
"Anne wanted to talk about, and she does loudly.",3.0526,1.9445,38,"[5, 1, 1, 2, 5, 1, 1, 6, 2, 1, 7, 4, 4, 6, 2, 3, 4, 1, 3, 1, 7, 2, 3, 1, 1, 2, 2, 1, 1, 5, 3, 3, 6, 6, 2, 5, 4, 2]",filler
"Anne was excited to sing in the choir, and she did sing.",5.619,1.5961,21,"[7, 6, 7, 6, 6, 5, 6, 7, 2, 1, 7, 4, 6, 6, 6, 5, 6, 7, 7, 5, 6]",test
"Anne was excited to sing in the choir, and sing she did.",4.5263,2.1697,19,"[4, 5, 4, 5, 3, 1, 1, 6, 7, 3, 7, 1, 7, 5, 2, 7, 5, 7, 6]",test
"Anne was patient and could wait her turn, and she did wait.",5.7059,1.1048,17,"[5, 5, 6, 7, 5, 6, 7, 6, 6, 7, 4, 4, 6, 4, 7, 5, 7]",test
"Anne was patient and could wait her turn, and wait she did.",3.2857,2.1247,21,"[2, 4, 5, 4, 1, 3, 1, 2, 2, 1, 1, 2, 6, 7, 1, 3, 6, 1, 5, 7, 5]",test
"Elizabeth cheerfully decided to wave goodbye, and she did waved goodbye.",3.6923,1.8925,26,"[5, 2, 5, 6, 1, 3, 3, 1, 6, 2, 2, 6, 6, 3, 6, 7, 4, 2, 2, 6, 1, 4, 3, 2, 5, 3]",test
"Elizabeth cheerfully decided to wave goodbye, and waved goodbye she did.",2.8571,1.6104,14,"[2, 1, 5, 1, 2, 1, 4, 1, 3, 2, 4, 5, 4, 5]",test
"Elizabeth felt dizzy and started falling, and fell she did.",3.65,1.6944,20,"[6, 4, 4, 5, 1, 3, 2, 1, 5, 2, 2, 6, 6, 6, 5, 2, 3, 3, 4, 3]",test
"Elizabeth felt dizzy and started falling, and she did fell.",3.4,1.9574,20,"[2, 1, 5, 4, 7, 2, 1, 1, 6, 3, 6, 3, 3, 3, 6, 2, 1, 2, 5, 5]",test
"Elizabeth felt ready to forsake her fears, and forsake them she did.",4.9565,2.0108,23,"[5, 4, 5, 6, 6, 3, 4, 1, 4, 2, 5, 1, 7, 2, 6, 7, 7, 7, 7, 5, 7, 6, 7]",test
"Elizabeth felt ready to forsake her fears, and she did forsake them.",5.8235,1.4246,17,"[5, 5, 7, 7, 2, 6, 6, 6, 3, 7, 7, 6, 7, 7, 6, 6, 6]",test
"Elizabeth felt resolute enough to forsake her old habits, and forsook them she did.",3.8462,1.9533,26,"[5, 5, 6, 2, 2, 1, 7, 3, 2, 1, 3, 6, 1, 5, 3, 7, 5, 3, 2, 6, 5, 2, 5, 2, 6, 5]",test
"Elizabeth felt resolute enough to forsake her old habits, and she did forsook them.",3.5714,2.1381,14,"[6, 2, 6, 1, 1, 6, 1, 6, 5, 2, 2, 3, 6, 3]",test
"Elizabeth proudly and might vote early, and forget ballot.",2.0256,1.4598,39,"[4, 1, 1, 1, 5, 1, 1, 3, 1, 1, 1, 4, 2, 4, 2, 2, 2, 1, 1, 2, 1, 1, 5, 1, 2, 1, 1, 4, 1, 2, 2, 1, 1, 1, 1, 5, 2, 6, 1]",filler
"Elizabeth thought she could wave at her friend, and she did wave at her.",5.3478,1.8976,23,"[6, 6, 5, 1, 5, 2, 7, 7, 6, 7, 1, 7, 5, 3, 7, 7, 6, 7, 5, 7, 6, 5, 5]",test
"Elizabeth thought she could wave at her friend, and wave she did.",4.3529,1.9982,17,"[3, 4, 5, 4, 3, 2, 6, 2, 2, 7, 7, 1, 5, 4, 5, 7, 7]",test
"Elizabeth was annoyed and began to mutter quietly, and mutter she did.",3.7895,2.016,19,"[3, 4, 6, 5, 3, 3, 1, 4, 1, 2, 7, 2, 3, 3, 1, 5, 7, 5, 7]",test
"Elizabeth was annoyed and began to mutter quietly, and she did mutter.",5.4286,1.5353,21,"[5, 1, 6, 5, 6, 7, 2, 5, 6, 4, 6, 6, 5, 6, 7, 7, 6, 7, 6, 5, 6]",test
"Elizabeth was worried she would fall, and fall she did.",4.5714,2.2183,28,"[4, 4, 5, 5, 1, 1, 2, 6, 1, 1, 7, 3, 6, 5, 7, 3, 7, 7, 2, 7, 2, 4, 7, 6, 7, 6, 5, 7]",test
"Elizabeth was worried she would fall, and she did fall.",5.4,2.2211,10,"[6, 7, 3, 7, 7, 1, 6, 7, 7, 3]",test
"Emily boldly declared she would fight for her cause, and fight for it she did.",4.7826,2.1311,23,"[5, 5, 4, 6, 5, 1, 4, 2, 2, 2, 6, 7, 3, 6, 3, 7, 7, 1, 7, 7, 6, 7, 7]",test
"Emily boldly declared she would fight for her cause, and she did fight for it.",6.0,1.5916,16,"[7, 5, 3, 7, 2, 7, 5, 7, 7, 7, 7, 7, 7, 6, 5, 7]",test
"Emily could have wanted to apply, and she did not.",3.8974,2.1001,39,"[5, 1, 2, 4, 6, 1, 4, 7, 5, 6, 1, 6, 2, 7, 1, 2, 2, 7, 2, 7, 3, 6, 1, 4, 7, 3, 6, 4, 6, 2, 7, 2, 3, 1, 3, 3, 5, 4, 4]",filler
"Emily curiously began to watch the film carefully, and she did watched it.",3.1579,2.1151,19,"[2, 5, 6, 3, 7, 4, 3, 7, 2, 1, 1, 6, 1, 1, 3, 1, 3, 1, 3]",test
"Emily curiously began to watch the film carefully, and watched it she did.",3.5238,1.7498,21,"[3, 1, 4, 1, 2, 3, 4, 6, 2, 6, 3, 5, 4, 1, 2, 2, 5, 5, 6, 6, 3]",test
"Emily did not need to bend the wire carefully, and she did not.",4.75,1.6756,40,"[4, 1, 5, 5, 6, 4, 3, 4, 6, 6, 2, 4, 1, 7, 7, 2, 4, 2, 7, 5, 6, 6, 5, 3, 5, 7, 7, 5, 4, 6, 4, 7, 5, 6, 6, 3, 5, 6, 4, 5]",filler
"Emily did not want to improved, and did she.",2.025,1.6406,40,"[4, 1, 1, 2, 6, 1, 1, 5, 1, 2, 1, 4, 1, 5, 1, 1, 5, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 2, 6, 5, 1]",filler
"Emily felt proud for improving her score, and she did improve.",5.2821,1.6694,39,"[1, 4, 5, 6, 5, 2, 3, 5, 6, 5, 2, 7, 7, 5, 7, 3, 6, 7, 7, 6, 6, 6, 5, 7, 2, 6, 6, 7, 6, 7, 7, 3, 4, 7, 6, 6, 6, 5, 5]",filler
"Emily felt relaxed and wanted to nap, and napped peacefully.",5.725,1.4674,40,"[7, 2, 5, 7, 5, 7, 5, 6, 6, 4, 7, 6, 7, 6, 7, 4, 6, 7, 7, 6, 7, 6, 7, 5, 6, 7, 7, 3, 6, 3, 7, 7, 7, 2, 6, 6, 3, 6, 5, 6]",filler
"Emily felt well enough to help the team, so she helped out.",5.8919,1.4679,37,"[5, 7, 3, 7, 5, 5, 3, 7, 7, 6, 7, 7, 7, 7, 2, 6, 7, 7, 7, 6, 5, 7, 7, 7, 3, 6, 7, 5, 6, 7, 7, 3, 7, 7, 5, 6, 5]",filler
"Emily insisted that she would grow taller, and grow she did.",4.6111,2.1182,18,"[6, 5, 4, 6, 3, 6, 1, 1, 6, 2, 1, 7, 5, 6, 7, 7, 5, 5]",test
"Emily insisted that she would grow taller, and she did grow.",5.7273,1.7507,22,"[6, 6, 3, 7, 7, 7, 7, 2, 1, 7, 7, 6, 4, 7, 7, 7, 5, 7, 6, 5, 6, 6]",test
"Emily knew she could apply early, and sure if she did.",2.7692,1.5638,39,"[4, 1, 1, 4, 5, 1, 1, 3, 3, 1, 1, 7, 4, 2, 1, 2, 6, 1, 3, 2, 2, 5, 3, 3, 1, 2, 2, 4, 2, 2, 4, 2, 3, 2, 5, 2, 4, 5, 2]",filler
"Emily knew she should carry the bags upstairs, and carried them she did.",4.16,2.0551,25,"[3, 5, 1, 3, 7, 2, 1, 6, 1, 6, 1, 7, 5, 5, 5, 6, 6, 7, 4, 4, 1, 5, 5, 5, 3]",test
"Emily knew she should carry the bags upstairs, and she did carried them.",3.8667,2.2318,15,"[3, 1, 6, 4, 3, 1, 2, 6, 6, 2, 6, 7, 2, 7, 2]",test
"Emily knew she would throw the ball far, and she did throw it far.",5.4,2.0622,20,"[4, 4, 6, 1, 6, 7, 7, 1, 2, 4, 7, 7, 7, 7, 7, 7, 7, 6, 6, 5]",test
"Emily knew she would throw the ball far, and throw it far she did.",4.8947,1.7918,19,"[5, 4, 5, 5, 5, 6, 2, 6, 7, 2, 4, 1, 7, 3, 6, 6, 6, 6, 7]",test
"Emily lost her temper and decided to throw the chair, and she did threw it.",2.913,1.9751,23,"[2, 2, 5, 1, 6, 4, 5, 1, 5, 1, 2, 1, 1, 2, 1, 7, 5, 2, 6, 2, 3, 1, 2]",test
"Emily lost her temper and decided to throw the chair, and threw it she did.",3.1765,1.7042,17,"[6, 1, 3, 1, 1, 2, 1, 3, 6, 2, 3, 5, 4, 4, 4, 5, 3]",test
"Emily said she would kept secret, and she did.",3.1892,2.0661,37,"[1, 2, 4, 7, 6, 7, 4, 2, 7, 3, 2, 1, 1, 6, 2, 1, 7, 1, 2, 5, 2, 3, 5, 2, 6, 3, 1, 1, 2, 3, 1, 1, 2, 3, 5, 5, 2]",filler
"Emily should have wants to sit, and I think she does.",2.7105,2.0122,38,"[5, 1, 1, 1, 4, 1, 1, 4, 2, 2, 1, 7, 1, 6, 1, 5, 1, 1, 5, 1, 2, 5, 1, 2, 6, 2, 2, 1, 6, 3, 1, 1, 1, 5, 2, 6, 5, 1]",filler
"Emily tried to help the team, and maybe did after all.",4.7,1.7424,40,"[4, 5, 5, 4, 5, 6, 3, 4, 5, 4, 6, 7, 6, 2, 2, 1, 6, 1, 7, 3, 7, 6, 5, 4, 6, 6, 5, 6, 5, 6, 7, 7, 5, 2, 5, 3, 5, 5, 6, 1]",filler
"Emily vowed to keep the promise, and keep it she did.",4.5833,2.0412,24,"[5, 5, 4, 6, 6, 3, 3, 1, 1, 2, 2, 7, 4, 5, 7, 5, 7, 1, 6, 7, 6, 7, 5, 5]",test
"Emily vowed to keep the promise, and she did keep it.",6.5625,0.8921,16,"[7, 7, 7, 7, 7, 7, 6, 5, 4, 6, 7, 7, 7, 7, 7, 7]",test
"Emily wanted to left early, and sure if did.",1.8462,1.6942,39,"[4, 1, 1, 1, 6, 1, 1, 3, 1, 1, 1, 7, 1, 1, 1, 1, 6, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 5, 5]",filler
"Emily was cold and rushed to close the window, and closed it she did.",4.1765,1.8451,17,"[5, 4, 6, 3, 1, 6, 1, 4, 6, 5, 4, 7, 5, 2, 2, 4, 6]",test
"Emily was cold and rushed to close the window, and she did closed it.",2.9091,1.925,22,"[2, 2, 6, 1, 2, 3, 4, 4, 1, 6, 1, 1, 4, 1, 2, 3, 1, 3, 1, 7, 6, 3]",test
"Emily was nervous and started to tremble, and she did tremble.",4.9091,2.0681,22,"[4, 5, 1, 5, 7, 2, 7, 1, 7, 7, 2, 7, 6, 2, 6, 6, 7, 6, 6, 5, 5, 4]",test
"Emily was nervous and started to tremble, and tremble she did.",4.4444,1.8542,18,"[2, 4, 5, 3, 5, 2, 1, 3, 4, 6, 7, 4, 6, 6, 3, 5, 7, 7]",test
"Emily was scared and began to tremble, and she did trembled.",3.35,2.0844,20,"[4, 1, 3, 5, 1, 3, 7, 2, 1, 7, 2, 1, 2, 6, 4, 6, 1, 2, 5, 4]",test
"Emily was scared and began to tremble, and trembled she did.",3.8947,1.7605,19,"[5, 2, 2, 1, 2, 5, 2, 4, 6, 2, 3, 5, 5, 7, 3, 4, 4, 6, 6]",test
"Emily was upset enough to mutter under her breath, and muttered she did.",4.4,1.8257,25,"[5, 6, 7, 1, 5, 5, 3, 3, 2, 2, 4, 6, 1, 7, 3, 3, 7, 4, 5, 7, 6, 4, 5, 5, 4]",test
"Emily was upset enough to mutter under her breath, and she did muttered.",2.1538,1.7723,13,"[1, 2, 1, 7, 1, 1, 1, 1, 3, 2, 1, 4, 3]",test
"Emily went out to watch the movie, and she did watch it.",5.1765,1.5506,17,"[4, 7, 6, 5, 5, 7, 7, 6, 1, 7, 5, 4, 4, 4, 6, 5, 5]",test
"Emily went out to watch the movie, and watch it she did.",3.9565,2.2254,23,"[6, 6, 3, 2, 1, 2, 3, 1, 2, 2, 3, 6, 1, 7, 2, 5, 5, 2, 6, 7, 7, 7, 5]",test
"Emma felt she was happy and wanted to sing, and sang beautifully.",5.8205,1.3548,39,"[5, 6, 6, 5, 5, 7, 7, 7, 6, 7, 2, 7, 7, 7, 6, 4, 6, 7, 7, 7, 6, 6, 4, 5, 4, 7, 3, 6, 7, 7, 7, 7, 3, 7, 7, 5, 5, 5, 5]",filler
"Emma hoped to apply for a new role, and did so diligently.",6.0513,1.6051,39,"[5, 7, 5, 7, 6, 7, 5, 7, 7, 7, 1, 7, 7, 7, 7, 2, 6, 1, 7, 7, 7, 6, 7, 7, 7, 7, 6, 7, 6, 6, 7, 7, 7, 7, 7, 6, 4, 5, 5]",filler
"Ernie thought he needed to bend the pole, and bent it he did.",3.75,2.0166,16,"[5, 1, 3, 6, 1, 7, 4, 3, 6, 2, 2, 2, 2, 4, 6, 6]",test
"Ernie thought he needed to bend the pole, and he did bent it.",3.3913,1.8766,23,"[3, 6, 2, 5, 4, 5, 4, 2, 7, 1, 1, 3, 6, 6, 4, 2, 3, 3, 1, 1, 1, 5, 3]",test
"Jacob cautiously tried to creep down the hallway, and crept he did.",3.875,1.9621,16,"[6, 1, 3, 3, 1, 3, 7, 6, 3, 6, 1, 3, 4, 4, 6, 5]",test
"Jacob cautiously tried to creep down the hallway, and he did crept.",3.1667,1.9708,24,"[6, 1, 2, 6, 2, 7, 3, 4, 6, 1, 2, 1, 4, 2, 7, 3, 2, 1, 3, 2, 2, 4, 1, 4]",test
"Jacob could have wanted to choose, and did not a winner.",1.95,1.2999,40,"[2, 1, 1, 1, 5, 1, 1, 5, 1, 1, 2, 4, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 1, 2, 1, 3, 3, 2, 1, 1, 2, 1, 1, 1, 3, 2, 5, 5, 3]",filler
"Jacob felt ready to talk about his project, and he did talked about it.",2.7826,1.8329,23,"[2, 2, 1, 4, 1, 7, 7, 1, 1, 2, 1, 4, 3, 3, 3, 3, 3, 3, 1, 1, 6, 2, 3]",test
"Jacob felt ready to talk about his project, and talked about it he did.",4.1765,1.9441,17,"[5, 5, 6, 3, 6, 4, 2, 6, 1, 3, 6, 6, 1, 1, 5, 5, 6]",test
"Jacob felt sneaky enough to creep past the guards, and creep past them he did.",5.6667,1.3452,15,"[6, 5, 5, 5, 2, 7, 6, 7, 5, 6, 5, 7, 7, 7, 5]",test
"Jacob felt sneaky enough to creep past the guards, and he did creep past them.",5.5833,1.8631,24,"[5, 5, 7, 3, 6, 6, 7, 1, 7, 7, 3, 1, 6, 7, 6, 7, 7, 6, 7, 6, 7, 6, 4, 7]",test
"Jacob hoped to print the document, and does he well.",2.625,1.8631,40,"[5, 1, 2, 3, 4, 1, 1, 5, 1, 1, 1, 7, 2, 2, 1, 3, 6, 1, 1, 3, 2, 1, 5, 2, 2, 1, 5, 3, 1, 2, 7, 2, 1, 1, 1, 3, 2, 6, 5, 2]",filler
"Jacob hoped to purchase a new book, and he really did.",5.7949,1.559,39,"[3, 6, 5, 4, 6, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 2, 6, 7, 6, 7, 6, 7, 6, 5, 7, 7, 5, 6, 7, 7, 7, 7, 5, 6, 7, 5, 6, 5, 3]",filler
"Jacob needed to print the form, but definitely didn't.",5.1538,1.7553,39,"[3, 3, 6, 5, 4, 7, 3, 7, 6, 6, 7, 5, 7, 2, 7, 2, 2, 3, 7, 6, 7, 6, 2, 5, 7, 7, 5, 6, 2, 7, 7, 5, 4, 6, 7, 5, 5, 5, 5]",filler
"Jacob remembered to close the window, and close it he did.",4.3182,2.1467,22,"[4, 6, 5, 3, 2, 2, 3, 6, 1, 1, 4, 2, 6, 7, 4, 1, 6, 7, 7, 6, 5, 7]",test
"Jacob remembered to close the window, and he did close it.",5.5882,1.9059,17,"[1, 6, 6, 7, 7, 3, 7, 2, 7, 6, 7, 7, 7, 5, 7, 5, 5]",test
"Jacob restlessly wants to grew taller, and never he does.",2.275,1.5357,40,"[5, 1, 3, 4, 3, 1, 1, 4, 1, 3, 1, 7, 1, 1, 1, 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 1, 6, 3, 2, 2, 2, 1, 1, 1, 1, 2, 2, 5, 5, 2]",filler
"Jacob says he would wear the new jacket, and does so often.",5.35,1.7328,40,"[4, 5, 5, 6, 5, 1, 6, 3, 7, 7, 2, 7, 7, 5, 6, 2, 6, 1, 7, 6, 7, 6, 6, 5, 6, 6, 7, 6, 6, 6, 7, 7, 7, 2, 7, 6, 5, 5, 5, 4]",filler
"Jacob thought he might talk about his project, and he did talk about it.",5.7917,1.503,24,"[4, 5, 7, 7, 7, 6, 7, 7, 6, 6, 1, 7, 6, 3, 5, 6, 6, 5, 5, 7, 7, 7, 7, 5]",test
"Jacob thought he might talk about his project, and talk about it he did.",4.9333,2.1536,15,"[4, 6, 7, 3, 2, 2, 2, 6, 6, 7, 7, 2, 7, 6, 7]",test
