unit,mean,std,n,individual_ratings
abhert,0.452500941,,30,
abhict,0.434171333,,30,
acleat,0.527803425,,30,
acmure,0.604888653,,30,
acoed,0.538989524,,30,
acoy,0.630760909,,30,
acraw,0.551281884,,30,
adeb,0.596883736,,30,
adlor,0.531686609,,30,
adpite,0.527063682,,30,
adrord,0.589540394,,30,
aercup,0.617660918,,30,
aflo,0.701051891,,30,
aflouse,0.602763526,,30,
afruist,0.588741881,,30,
aftot,0.604511843,,30,
aftul,0.522369951,,30,
afuke,0.484339097,,30,
agind,0.503890818,,30,
akiype,0.609634817,,30,
akiyse,0.587310955,,30,
akiysm,0.438252046,,30,
alinch,0.6142606,,30,
alproubt,0.477722827,,30,
amesse,0.559251474,,30,
amle,0.63290038,,30,
ampgrair,0.506877454,,30,
ancil,0.629622255,,30,
anneenths,0.565736803,,30,
ansey,0.560603651,,30,
apeted,0.527115149,,30,
apgen,0.550717004,,30,
apgents,0.593848963,,30,
apgert,0.442725127,,30,
apgor,0.445533224,,30,
apgra,0.526095509,,30,
apjoled,0.464379216,,30,
apjorm,0.542007702,,30,
appite,0.723883198,,30,
apuss,0.417917449,,30,
areese,0.55622704,,30,
arepent,0.521142005,,30,
arfin,0.565717635,,30,
arreges,0.441432127,,30,
artaits,0.659471096,,30,
aruds,0.495871155,,30,
arvol,0.600438222,,30,
arwarts,0.396263335,,30,
asarps,0.457197171,,30,
ascel,0.678903544,,30,
atben,0.530007133,,30,
atelecks,0.537274017,,30,
atrur,0.444536791,,30,
atryr,0.530267529,,30,
atsty,0.545501057,,30,
attice,0.626818379,,30,
atux,0.556743504,,30,
avoed,0.546571346,,30,
avol,0.592435343,,30,
awgits,0.513412008,,30,
awslonts,0.487248366,,30,
awturps,0.354921782,,30,
axnur,0.472544761,,30,
axswan,0.465674938,,30,
axswe,0.382812208,,30,
axude,0.511400469,,30,
axwas,0.431544754,,30,
aymupt,0.459611271,,30,
baflew,0.579311135,,30,
balal,0.48014526,,30,
