unit,mean,std,n,individual_ratings
"Sentence: A lion lives in the zoo . During this event, does the first entity ('a lion') exert force on the second ('the zoo')?",2.3333,1.1055,6,"[1, 2, 3, 4, 1, 3]"
"Sentence: A lion lives in the zoo . During this event, does the second entity ('the zoo') exert force on the first ('a lion')?",2.0,1.2649,5,"[3, 1, 1, 4, 1]"
"Sentence: A truck and a car crashed on the freeway During this event, does the first entity ('A truck') exert force on the second ('a car')?",4.5435,0.772,46,"[4, 4, 4, 5, 5, 4, 5, 5, 5, 1, 5, 5, 3, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 3, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5]"
"Sentence: Adam and the doggy wrestled all afternoon During this event, does the second entity ('the doggy') exert force on the first ('Adam')?",4.1702,1.0583,47,"[2, 5, 4, 4, 5, 4, 5, 4, 4, 5, 2, 4, 3, 5, 5, 4, 1, 5, 5, 5, 2, 4, 5, 4, 4, 3, 5, 4, 5, 4, 5, 4, 5, 5, 5, 4, 4, 1, 4, 5, 4, 5, 5, 5, 5, 4, 5]"
"Sentence: Adam crushed the can with his foot During this event, does the third entity ('his foot') exert force on the first ('Adam')?",1.7021,1.1654,47,"[1, 1, 1, 2, 1, 1, 1, 2, 1, 5, 1, 2, 2, 2, 2, 1, 2, 1, 1, 1, 4, 1, 1, 4, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 5, 1]"
"Sentence: Adam look up on the ceiling . During this event, does the first entity ('Adam') exert force on the second ('the ceiling')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: Adam look up on the ceiling . During this event, does the second entity ('the ceiling') exert force on the first ('Adam')?",1.6667,0.7454,6,"[1, 2, 3, 1, 1, 2]"
"Sentence: Big people drink from cups . During this event, does the first entity ('big people') exert force on the second ('cups')?",3.2,0.9798,5,"[4, 4, 2, 4, 2]"
"Sentence: Big people drink from cups . During this event, does the second entity ('cups') exert force on the first ('big people')?",1.6667,0.7454,6,"[1, 2, 3, 2, 1, 1]"
"Sentence: Daddy pushed the backpack across the table During this event, does the first entity ('Daddy') exert force on the second ('the backpack')?",4.8511,0.5044,47,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Sentence: Eve and Mommy are hugging . During this event, does the second entity ('Mommy') exert force on the first ('Eve')?",4.2128,0.8977,47,"[2, 4, 5, 5, 5, 5, 5, 5, 4, 5, 3, 4, 3, 5, 5, 4, 2, 4, 5, 5, 3, 4, 4, 5, 4, 3, 5, 3, 3, 4, 4, 5, 4, 4, 5, 5, 5, 4, 2, 5, 4, 5, 5, 5, 4, 4, 5]"
"Sentence: Eve has the pencil . During this event, does the first entity ('Eve') exert force on the second ('the pencil')?",2.8333,1.3437,6,"[1, 3, 1, 4, 4, 4]"
"Sentence: Eve has the pencil . During this event, does the second entity ('the pencil') exert force on the first ('Eve')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: Eve played in the playroom yesterday During this event, does the second entity ('the playroom') exert force on the first ('Eve')?",1.5957,1.1607,47,"[1, 1, 1, 1, 1, 1, 5, 1, 1, 5, 1, 2, 2, 1, 1, 1, 4, 1, 1, 1, 3, 1, 2, 2, 1, 3, 5, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"Sentence: Everybody 's eating but Fraser . During this event, does the first entity ('everybody') exert force on the second ('Fraser')?",1.3333,0.7454,6,"[1, 1, 1, 3, 1, 1]"
"Sentence: Everybody 's eating but Fraser . During this event, does the second entity ('Fraser') exert force on the first ('everybody')?",1.5,0.7638,6,"[1, 1, 3, 1, 1, 2]"
"Sentence: Everybody 's talking to somebody . During this event, does the first entity ('everybody') exert force on the second ('somebody')?",1.6667,0.7454,6,"[2, 1, 3, 1, 2, 1]"
"Sentence: Everybody 's talking to somebody . During this event, does the second entity ('somebody') exert force on the first ('everybody')?",1.3333,0.4714,6,"[2, 1, 1, 2, 1, 1]"
"Sentence: He 's coating the pictures . During this event, does the first entity ('he') exert force on the second ('the pictures')?",4.3333,0.7454,6,"[5, 4, 3, 5, 5, 4]"
"Sentence: He 's coating the pictures . During this event, does the second entity ('the pictures') exert force on the first ('he')?",1.0,0.0,5,"[1, 1, 1, 1, 1]"
"Sentence: He 's going into the house . During this event, does the first entity ('he') exert force on the second ('the house')?",2.5,1.2583,6,"[4, 1, 2, 3, 4, 1]"
"Sentence: He 's going into the house . During this event, does the second entity ('the house') exert force on the first ('he')?",2.1667,1.4625,6,"[1, 2, 3, 5, 1, 1]"
"Sentence: He 's going on an airplane . During this event, does the first entity ('he') exert force on the second ('an airplane')?",2.3333,1.2472,6,"[1, 4, 4, 1, 2, 2]"
"Sentence: He 's going on an airplane . During this event, does the second entity ('an airplane') exert force on the first ('he')?",2.3333,1.5986,6,"[4, 1, 1, 1, 2, 5]"
"Sentence: He 's going on the pottie yeah . During this event, does the first entity ('he') exert force on the second ('the pottie')?",3.8333,0.3727,6,"[4, 4, 3, 4, 4, 4]"
"Sentence: He 's going on the pottie yeah . During this event, does the second entity ('the pottie') exert force on the first ('he')?",1.1667,0.3727,6,"[1, 1, 1, 2, 1, 1]"
"Sentence: He 's got a hat on yeah. During this event, does the first entity ('he') exert force on the second ('a hat')?",2.8,1.1662,5,"[1, 3, 4, 4, 2]"
"Sentence: He 's got a hat on yeah. During this event, does the second entity ('a hat') exert force on the first ('he')?",1.5,1.118,6,"[1, 1, 1, 1, 4, 1]"
"Sentence: He 's jumping all over the place . During this event, does the first entity ('he') exert force on the second ('the place')?",4.1667,0.6872,6,"[5, 4, 5, 4, 4, 3]"
"Sentence: He 's jumping all over the place . During this event, does the second entity ('the place') exert force on the first ('he')?",1.5,0.7638,6,"[2, 1, 1, 3, 1, 1]"
"Sentence: He 's looking at you . During this event, does the first entity ('he') exert force on the second ('you')?",2.8333,1.4625,6,"[3, 5, 1, 3, 4, 1]"
"Sentence: He 's looking at you . During this event, does the second entity ('you') exert force on the first ('he')?",1.1667,0.3727,6,"[1, 1, 2, 1, 1, 1]"
"Sentence: He 's playing with Becky . During this event, does the first entity ('he') exert force on the second ('Becky')?",4.2,0.4,5,"[4, 4, 4, 5, 4]"
"Sentence: He 's playing with Becky . During this event, does the second entity ('Becky') exert force on the first ('he')?",3.3333,1.1055,6,"[3, 1, 4, 4, 4, 4]"
"Sentence: He 's sitting in the chair . During this event, does the first entity ('he') exert force on the second ('the chair')?",4.2,1.6,5,"[5, 1, 5, 5, 5]"
"Sentence: He 's sitting in the chair . During this event, does the second entity ('the chair') exert force on the first ('he')?",2.4,1.7436,5,"[1, 1, 4, 5, 1]"
"Sentence: He 's standing out in the cold . During this event, does the first entity ('he') exert force on the second ('the cold')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: He 's standing out in the cold . During this event, does the second entity ('the cold') exert force on the first ('he')?",2.1667,1.2134,6,"[3, 3, 1, 4, 1, 1]"
"Sentence: He 's waiting at the corner . During this event, does the first entity ('he') exert force on the second ('the corner')?",2.1667,1.3437,6,"[4, 4, 1, 1, 2, 1]"
"Sentence: He 's waiting at the corner . During this event, does the second entity ('the corner') exert force on the first ('he')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: He 's writing on that . During this event, does the first entity ('he') exert force on the second ('that')?",4.3333,0.4714,6,"[4, 5, 4, 4, 4, 5]"
"Sentence: He 's writing on that . During this event, does the second entity ('that') exert force on the first ('he')?",2.1667,1.3437,6,"[2, 1, 1, 4, 1, 4]"
"Sentence: He caught his foot . During this event, does the first entity ('he') exert force on the second ('his foot')?",4.0,0.0,6,"[4, 4, 4, 4, 4, 4]"
"Sentence: He caught his foot . During this event, does the second entity ('his foot') exert force on the first ('he')?",2.5,1.2583,6,"[1, 3, 1, 4, 2, 4]"
"Sentence: He enjoys it . During this event, does the first entity ('he') exert force on the second ('it')?",3.3333,1.7951,6,"[1, 5, 3, 5, 1, 5]"
"Sentence: He enjoys it . During this event, does the second entity ('it') exert force on the first ('he')?",2.6667,1.4907,6,"[1, 5, 2, 3, 4, 1]"
"Sentence: He has a hat on . During this event, does the first entity ('he') exert force on the second ('a hat')?",3.1667,0.8975,6,"[2, 3, 2, 4, 4, 4]"
"Sentence: He has a hat on . During this event, does the second entity ('a hat') exert force on the first ('he')?",2.5,1.6073,6,"[1, 5, 4, 3, 1, 1]"
"Sentence: He has some nice paper . During this event, does the first entity ('he') exert force on the second ('some nice paper')?",2.4,1.2,5,"[3, 1, 1, 3, 4]"
"Sentence: He has some nice paper . During this event, does the second entity ('some nice paper') exert force on the first ('he')?",1.5,0.7638,6,"[1, 1, 1, 3, 2, 1]"
"Sentence: He kicked his sock off . During this event, does the first entity ('he') exert force on the second ('his sock')?",5.0,0.0,4,"[5, 5, 5, 5]"
"Sentence: He kicked his sock off . During this event, does the second entity ('his sock') exert force on the first ('he')?",1.1667,0.3727,6,"[1, 1, 2, 1, 1, 1]"
"Sentence: He pulled down the shades During this event, does the first entity ('He') exert force on the second ('the shades')?",4.7872,0.5433,47,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"Sentence: He said one of your brothers . During this event, does the first entity ('he') exert force on the second ('one of your brothers')?",1.4,0.8,5,"[1, 1, 1, 3, 1]"
"Sentence: He said one of your brothers . During this event, does the second entity ('one of your brothers') exert force on the first ('he')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: He went by bike yes . During this event, does the first entity ('he') exert force on the second ('bike')?",4.1667,0.6872,6,"[4, 4, 3, 5, 5, 4]"
"Sentence: He went by bike yes . During this event, does the second entity ('bike') exert force on the first ('he')?",1.6,1.2,5,"[4, 1, 1, 1, 1]"
"Sentence: He went to Colorado . During this event, does the first entity ('he') exert force on the second ('Colorado')?",2.0,1.1547,6,"[3, 4, 2, 1, 1, 1]"
"Sentence: He went to Colorado . During this event, does the second entity ('Colorado') exert force on the first ('he')?",1.3333,0.4714,6,"[2, 1, 1, 1, 1, 2]"
"Sentence: Hi sandra I 've heard about you . During this event, does the first entity ('I') exert force on the second ('you')?",2.5,1.6073,6,"[1, 4, 3, 5, 1, 1]"
"Sentence: Hi sandra I 've heard about you . During this event, does the second entity ('you') exert force on the first ('I')?",2.6,1.0198,5,"[3, 1, 3, 4, 2]"
"Sentence: I 'm decorating the cookies . During this event, does the first entity ('I') exert force on the second ('the cookies')?",3.1667,1.5723,6,"[4, 5, 4, 1, 4, 1]"
"Sentence: I 'm decorating the cookies . During this event, does the second entity ('the cookies') exert force on the first ('I')?",2.3333,1.5986,6,"[1, 4, 2, 5, 1, 1]"
"Sentence: I 'm shoving some pans around . During this event, does the first entity ('I') exert force on the second ('some pans')?",4.6667,0.4714,6,"[5, 4, 4, 5, 5, 5]"
"Sentence: I 'm shoving some pans around . During this event, does the second entity ('some pans') exert force on the first ('I')?",1.75,1.299,4,"[1, 1, 1, 4]"
"Sentence: I 'm taking out the tail part . During this event, does the first entity ('I') exert force on the second ('the tail part')?",4.3333,0.4714,6,"[4, 5, 4, 4, 4, 5]"
"Sentence: I 'm taking out the tail part . During this event, does the second entity ('the tail part') exert force on the first ('I')?",1.8333,0.6872,6,"[1, 2, 3, 2, 1, 2]"
"Sentence: I 'm taking the end off . During this event, does the first entity ('I') exert force on the second ('the end')?",4.1667,0.6872,6,"[4, 5, 3, 4, 5, 4]"
"Sentence: I 'm taking the end off . During this event, does the second entity ('the end') exert force on the first ('I')?",1.3333,0.4714,6,"[1, 1, 1, 2, 1, 2]"
"Sentence: I am holding the ball . During this event, does the first entity ('I') exert force on the second ('the ball')?",4.1667,1.0672,6,"[5, 5, 4, 4, 2, 5]"
"Sentence: I am holding the ball . During this event, does the second entity ('the ball') exert force on the first ('I')?",1.8333,1.2134,6,"[3, 1, 1, 4, 1, 1]"
"Sentence: I ate my supper all up . During this event, does the first entity ('I') exert force on the second ('my supper')?",4.8,0.4,5,"[5, 5, 5, 5, 4]"
"Sentence: I ate my supper all up . During this event, does the second entity ('my supper') exert force on the first ('I')?",1.5,1.118,6,"[1, 1, 1, 1, 1, 4]"
"Sentence: I got a long arm . During this event, does the first entity ('I') exert force on the second ('a long arm')?",1.5,0.7638,6,"[1, 1, 1, 3, 2, 1]"
"Sentence: I got a long arm . During this event, does the second entity ('a long arm') exert force on the first ('I')?",1.3333,0.7454,6,"[1, 1, 3, 1, 1, 1]"
"Sentence: I got a secret . During this event, does the first entity ('I') exert force on the second ('a secret')?",1.3333,0.7454,6,"[1, 1, 1, 1, 3, 1]"
"Sentence: I got a secret . During this event, does the second entity ('a secret') exert force on the first ('I')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: I had sugar thank + you . During this event, does the first entity ('I') exert force on the second ('sugar')?",2.8333,1.5723,6,"[4, 5, 2, 1, 4, 1]"
"Sentence: I had sugar thank + you . During this event, does the second entity ('sugar') exert force on the first ('I')?",1.1667,0.3727,6,"[2, 1, 1, 1, 1, 1]"
"Sentence: I have big teeth . During this event, does the first entity ('I') exert force on the second ('big teeth')?",1.0,0.0,6,"[1, 1, 1, 1, 1, 1]"
"Sentence: I have big teeth . During this event, does the second entity ('big teeth') exert force on the first ('I')?",2.1667,1.0672,6,"[1, 2, 4, 2, 1, 3]"
"Sentence: I have it on . During this event, does the first entity ('I') exert force on the second ('it')?",3.5,0.7638,6,"[4, 4, 4, 4, 2, 3]"
"Sentence: I have it on . During this event, does the second entity ('it') exert force on the first ('I')?",1.8,1.1662,5,"[4, 1, 1, 1, 2]"
"Sentence: I have some more . During this event, does the first entity ('I') exert force on the second ('some more')?",2.0,1.0,6,"[2, 2, 4, 1, 2, 1]"
