unit,mean,std,n,individual_ratings
A man at the hotel was not able to fall asleep but he stayed in bed the entire night. At the same time another man who was unable to sleep decided to play computer games instead of staying in bed.,3.7051,1.1107,78,"[4, 2, 5, 5, 4, 4, 4, 4, 4, 3, 3, 1, 2, 4, 4, 4, 1, 5, 5, 4, 3, 4, 3, 4, 3, 4, 4, 5, 4, 4, 4, 2, 3, 5, 4, 5, 3, 5, 5, 4, 5, 5, 4, 4, 3, 4, 4, 4, 4, 5, 1, 3, 2, 3, 2, 4, 4, 1, 4, 3, 4, 2, 5, 3, 4, 5, 5, 3, 5, 3, 4, 1, 5, 5, 4, 4, 5, 3]"
After it had been left by itself for a long time the cat ripped apart a couch cushion in the house. At the same time another couch cushion was not ripped apart by the cat since it was made of a tough material.,3.3625,1.1537,80,"[4, 3, 4, 4, 3, 4, 4, 2, 2, 3, 2, 1, 4, 4, 4, 4, 3, 5, 3, 5, 5, 4, 3, 5, 5, 4, 3, 3, 1, 4, 3, 2, 4, 4, 3, 5, 3, 4, 3, 4, 5, 5, 5, 3, 5, 4, 2, 4, 2, 4, 2, 2, 2, 3, 4, 4, 3, 2, 3, 1, 4, 3, 2, 3, 5, 2, 3, 4, 2, 4, 5, 1, 3, 1, 5, 2, 4, 4, 5, 2]"
After the battle a soldier that was injured received a medal for his bravery. At the same time another soldier that was injured was thrown out of the military since he ran from the enemy.,3.2308,1.12,39,"[3, 2, 2, 4, 4, 3, 1, 4, 2, 3, 5, 4, 1, 2, 3, 4, 3, 5, 4, 2, 4, 4, 3, 3, 2, 3, 4, 4, 3, 5, 2, 1, 3, 5, 3, 4, 5, 3, 4]"
After the battle the soldier that was injured received a medal for his bravery. At the same time another soldier that was injured was thrown out of the military since he ran from the enemy.,3.55,1.1608,40,"[4, 3, 2, 5, 4, 2, 4, 3, 2, 3, 4, 5, 2, 5, 5, 2, 3, 1, 4, 5, 4, 4, 4, 3, 4, 3, 5, 4, 3, 5, 5, 2, 3, 1, 5, 3, 4, 4, 5, 3]"
After the car fell into a ditch the driver was scared but wasn't injured. A passenger in the car had broken her hand but otherwise was fine.,3.8052,1.1737,77,"[3, 3, 5, 4, 4, 4, 4, 4, 2, 3, 5, 4, 5, 5, 5, 3, 1, 5, 5, 3, 5, 5, 5, 5, 5, 3, 1, 4, 1, 4, 4, 4, 3, 5, 4, 4, 5, 5, 4, 5, 3, 5, 4, 4, 4, 5, 3, 4, 5, 5, 3, 4, 3, 2, 3, 3, 3, 2, 4, 1, 2, 5, 3, 5, 5, 3, 3, 5, 4, 4, 1, 5, 5, 4, 4, 5, 2]"
After the concert a band that performed stayed out partying all night. At the same time another band that performed took a bus to the next stop on their tour.,3.575,1.1155,40,"[4, 1, 2, 4, 4, 3, 1, 4, 4, 4, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 4, 5, 3, 3, 4, 3, 3, 4, 3, 3, 4, 2, 3, 2, 5, 1, 4, 4, 3, 3]"
After the concert the band that performed stayed out partying all night. At the same time another band that performed took a bus to the next stop on their tour.,3.75,1.1124,40,"[5, 2, 4, 4, 4, 4, 4, 4, 1, 3, 5, 4, 3, 4, 5, 4, 4, 2, 4, 2, 4, 4, 5, 5, 3, 5, 4, 4, 3, 5, 5, 2, 5, 1, 5, 3, 4, 3, 5, 3]"
After the exam a student that only answered half the questions started sobbing uncontrollably. At the same time another student that only answered half the questions decided to study harder for the next exam.,3.575,1.2224,40,"[3, 1, 5, 4, 5, 3, 2, 5, 3, 5, 5, 4, 5, 5, 5, 4, 3, 4, 4, 2, 2, 5, 3, 3, 2, 3, 3, 5, 3, 1, 5, 4, 1, 3, 4, 3, 4, 5, 4, 3]"
After the exam the student that only answered half the questions started sobbing uncontrollably. At the same time another student that only answered half the questions decided to study harder for the next exam.,3.9,1.1358,40,"[3, 3, 5, 4, 4, 4, 4, 3, 1, 3, 5, 5, 3, 5, 4, 5, 4, 2, 4, 5, 4, 4, 4, 5, 4, 5, 5, 2, 3, 5, 5, 3, 5, 1, 5, 5, 4, 4, 5, 2]"
After the game a player that scored two touchdowns celebrated wildly. At the same time another player that scored two touchdowns dressed quietly by his locker.,3.2308,1.12,39,"[4, 2, 2, 4, 4, 2, 1, 4, 2, 3, 5, 4, 2, 3, 4, 4, 3, 4, 4, 2, 3, 4, 3, 3, 4, 3, 4, 5, 2, 1, 4, 3, 1, 2, 5, 4, 5, 4, 3]"
After the game the player that scored two touchdowns celebrated wildly. At the same time another player that scored two touchdowns dressed quietly by his locker.,3.625,1.0883,40,"[3, 2, 5, 4, 4, 3, 4, 4, 1, 3, 5, 4, 2, 5, 5, 3, 4, 2, 4, 3, 4, 4, 4, 3, 4, 5, 5, 3, 2, 5, 4, 3, 4, 1, 5, 3, 4, 4, 5, 3]"
After the girl's hamster escaped from its cage the girl searched for it all over her house. She found it the next day by following a trail of food crumbs to its hiding spot.,3.9241,1.2301,79,"[4, 3, 4, 4, 4, 5, 3, 2, 3, 5, 2, 5, 4, 4, 3, 1, 5, 5, 2, 5, 5, 4, 5, 5, 2, 3, 2, 5, 1, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 3, 5, 4, 5, 5, 2, 4, 5, 5, 3, 5, 3, 2, 3, 3, 2, 5, 2, 2, 3, 5, 4, 5, 5, 3, 5, 5, 5, 5, 1, 5, 5, 5, 4, 5, 2]"
After the investigators released their report a police officer that was found to be corrupt was charged with various crimes. At the same time another police officer that was found to be corrupt bribed the prosecutor and was not charged.,3.5385,1.0824,39,"[3, 4, 4, 5, 4, 3, 4, 4, 5, 3, 4, 2, 5, 5, 3, 3, 1, 4, 2, 3, 4, 3, 4, 3, 5, 4, 3, 3, 5, 5, 3, 3, 2, 5, 2, 4, 2, 5, 2]"
After the investigators released their report the police officer that was found to be corrupt was charged with various crimes. At the same time another police officer that was found to be corrupt bribed the prosecutor and was not charged.,3.325,1.2725,40,"[3, 2, 2, 4, 4, 4, 1, 4, 3, 2, 5, 5, 3, 5, 5, 4, 4, 5, 5, 3, 3, 4, 3, 2, 2, 5, 2, 4, 5, 1, 4, 3, 1, 1, 5, 3, 4, 2, 3, 3]"
