unit,mean,std,n,individual_ratings
录音很清楚。,4.3,0.922,50,"[5, 4, 5, 5, 4, 5, 5, 4, 4, 4, 2, 5, 5, 4, 5, 2, 4, 3, 2, 5, 5, 5, 4, 5, 4, 5, 5, 3, 4, 4, 5, 3, 4, 4, 5, 5, 5, 5, 4, 2, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4]"
我喜欢北方话的语音语调。,3.38,0.8219,50,"[4, 4, 5, 5, 2, 3, 5, 3, 4, 3, 3, 3, 3, 3, 4, 2, 3, 4, 3, 3, 3, 3, 3, 4, 2, 4, 2, 3, 4, 3, 4, 3, 3, 5, 4, 3, 4, 3, 3, 3, 3, 4, 5, 2, 3, 3, 2, 4, 4, 4]"
我喜欢南方话的语音语调。,3.24,0.8139,50,"[4, 3, 2, 2, 4, 3, 1, 3, 4, 3, 4, 3, 2, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 3, 5, 1, 3, 3, 4, 5, 4, 3, 3, 3, 3, 4, 5, 3, 3, 4, 3, 3, 3, 4]"
我喜欢普通话的语音语调。,3.84,0.9024,50,"[2, 3, 5, 5, 3, 4, 5, 3, 4, 4, 3, 3, 1, 3, 5, 5, 3, 3, 4, 3, 4, 4, 3, 3, 4, 4, 5, 3, 4, 3, 5, 3, 5, 5, 5, 5, 4, 5, 4, 3, 4, 4, 5, 4, 4, 4, 3, 4, 4, 4]"
我很喜欢听这位说话者讲话。,3.12,0.9304,50,"[2, 2, 5, 4, 2, 4, 3, 4, 2, 2, 3, 3, 2, 3, 4, 3, 3, 3, 3, 3, 3, 4, 3, 2, 4, 4, 5, 3, 3, 3, 3, 1, 2, 3, 3, 3, 4, 5, 3, 3, 5, 4, 5, 2, 3, 3, 2, 3, 3, 2]"
我觉得说北方话是受人尊重的。,3.18,0.74,50,"[3, 3, 5, 4, 2, 3, 4, 3, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 3, 3, 3, 3, 3, 2, 3, 4, 4, 3, 2, 3, 5, 3, 3, 3, 3, 3, 4, 3, 3, 3, 4, 4, 5, 3, 1, 3, 3, 3, 3, 3]"
我觉得说南方话是受人尊重的。,3.14,0.7486,50,"[3, 3, 2, 2, 4, 4, 2, 3, 4, 3, 3, 3, 1, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 2, 4, 4, 4, 3, 4, 3, 5, 3, 3, 4, 3, 3, 4, 3, 3, 3, 4, 4, 4, 3, 1, 3, 3, 3, 3, 3]"
我觉得说普通话是受人尊重的。,3.7,0.8307,50,"[3, 4, 5, 4, 4, 4, 5, 3, 4, 4, 3, 3, 1, 3, 4, 5, 3, 5, 3, 3, 4, 4, 3, 4, 3, 4, 5, 4, 4, 3, 5, 3, 4, 3, 3, 5, 4, 3, 4, 3, 4, 4, 5, 3, 3, 3, 3, 5, 3, 4]"
这位说话者事业很成功。,2.98,0.5095,50,"[3, 3, 3, 2, 2, 4, 3, 3, 2, 3, 3, 4, 3, 3, 3, 2, 3, 3, 4, 3, 3, 4, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 2, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 3, 2, 3, 3]"
这位说话者发音很清楚。,4.1,0.922,50,"[5, 4, 5, 4, 4, 4, 5, 5, 3, 3, 4, 5, 5, 3, 5, 4, 4, 2, 4, 5, 5, 5, 3, 5, 4, 4, 5, 2, 4, 4, 5, 3, 4, 4, 4, 4, 5, 5, 4, 2, 5, 5, 5, 4, 4, 5, 5, 3, 3, 2]"
