unit,mean,std,n,individual_ratings
Andrew tried to remember what who wrote in the 1980s.,2.2656,1.4057,64,"[1, 1, 1, 2, 5, 3, 1, 1, 5, 4, 1, 1, 2, 2, 2, 4, 1, 4, 2, 4, 5, 4, 2, 1, 2, 2, 2, 4, 5, 1, 1, 1, 3, 5, 1, 5, 4, 1, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 2, 4, 2, 1, 2, 4, 4, 2, 3, 1]"
Andrew tried to remember what who wrote when.,2.0312,1.0074,64,"[1, 1, 3, 2, 2, 1, 1, 4, 2, 1, 1, 3, 3, 2, 1, 1, 2, 4, 2, 1, 3, 3, 2, 3, 2, 2, 2, 4, 3, 4, 4, 3, 2, 1, 1, 1, 2, 2, 2, 1, 2, 4, 3, 1, 1, 1, 2, 3, 1, 3, 1, 1, 3, 1, 1, 3, 3, 3, 1, 1, 2, 1, 2, 1]"
Andrew tried to remember what who wrote.,2.0208,1.1390,48,"[1, 3, 2, 1, 3, 2, 2, 3, 4, 2, 3, 1, 1, 2, 2, 1, 4, 1, 2, 1, 3, 1, 2, 5, 3, 5, 2, 1, 2, 2, 4, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 4, 1, 2, 1]"
Andrew tried to remember who wrote what in the 1980s.,3.7778,1.0387,63,"[4, 5, 3, 4, 3, 5, 4, 4, 3, 4, 2, 3, 3, 5, 2, 2, 5, 3, 5, 3, 5, 4, 5, 5, 2, 5, 5, 4, 5, 2, 4, 4, 4, 4, 4, 5, 3, 5, 3, 5, 5, 2, 2, 4, 4, 4, 3, 5, 2, 4, 4, 2, 2, 4, 5, 5, 4, 4, 4, 3, 3, 4, 4]"
Andrew tried to remember who wrote what when.,3.2500,1.1819,64,"[4, 5, 3, 4, 4, 3, 5, 5, 5, 5, 4, 2, 1, 2, 4, 1, 2, 4, 5, 3, 2, 4, 2, 3, 3, 5, 3, 4, 3, 3, 5, 3, 3, 5, 2, 2, 3, 4, 4, 4, 3, 4, 4, 1, 2, 3, 2, 4, 3, 1, 4, 4, 4, 3, 2, 3, 4, 3, 5, 4, 2, 1, 2, 2]"
Andrew tried to remember who wrote what.,4.0625,1.0191,48,"[5, 5, 5, 5, 3, 5, 4, 3, 4, 5, 4, 5, 5, 4, 4, 5, 4, 5, 2, 4, 5, 4, 4, 5, 3, 4, 4, 5, 5, 4, 5, 5, 3, 5, 5, 4, 4, 4, 4, 2, 1, 4, 4, 4, 1, 4, 4, 3]"
Jessica tried to remember what who borrowed last month.,2.1042,1.1530,48,"[1, 1, 2, 1, 3, 1, 1, 5, 3, 1, 1, 3, 2, 3, 1, 4, 4, 3, 2, 2, 1, 3, 4, 4, 1, 2, 2, 1, 2, 1, 1, 2, 2, 2, 2, 5, 2, 1, 1, 4, 3, 1, 2, 2, 2, 2, 1, 1]"
Jessica tried to remember what who borrowed when.,2.2245,1.2122,49,"[3, 4, 3, 1, 3, 2, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 5, 1, 2, 3, 2, 3, 1, 3, 1, 4, 1, 2, 1, 3, 1, 5, 3, 1, 2, 2, 4, 4, 1, 4, 4, 1, 4, 2, 2, 2, 1]"
Jessica tried to remember what who borrowed.,2.0208,1.1758,48,"[4, 2, 1, 2, 1, 2, 1, 1, 2, 4, 1, 2, 2, 2, 3, 1, 1, 1, 2, 1, 4, 1, 3, 1, 2, 1, 2, 1, 5, 2, 1, 2, 1, 2, 5, 1, 3, 2, 4, 1, 1, 2, 2, 1, 1, 2, 4, 4]"
Jessica tried to remember who borrowed what last month.,4.0435,0.8933,46,"[5, 5, 4, 4, 5, 3, 4, 5, 5, 5, 4, 4, 4, 5, 5, 4, 2, 4, 3, 3, 5, 3, 5, 4, 4, 4, 4, 4, 2, 4, 5, 4, 2, 4, 4, 4, 3, 5, 5, 4, 5, 4, 4, 4, 2, 5]"
Jessica tried to remember who borrowed what when.,3.2857,1.3540,49,"[5, 2, 5, 5, 2, 5, 3, 2, 5, 5, 5, 4, 1, 2, 4, 1, 3, 4, 4, 1, 5, 4, 4, 2, 5, 2, 2, 3, 5, 3, 2, 5, 4, 5, 3, 1, 4, 1, 3, 2, 4, 4, 3, 3, 3, 3, 3, 1, 4]"
Jessica tried to remember who borrowed what.,4.1429,0.8898,49,"[4, 5, 3, 5, 3, 5, 4, 4, 3, 4, 4, 2, 4, 3, 5, 4, 5, 4, 5, 4, 5, 5, 4, 5, 5, 4, 4, 3, 5, 4, 5, 4, 5, 4, 5, 4, 4, 5, 4, 5, 4, 4, 3, 3, 1, 4, 5, 5, 5]"
