unit,mean,std,n,individual_ratings
A car crashes into a lamppost. Someone on the street yells the following: Call the paramedics so that they can help these people.,4.3777,0.9139,278,"[5, 4, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 2, 5, 3, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 2, 5, 4, 4, 5, 5, 1, 3, 5, 2, 5, 4, 5, 3, 5, 2, 5, 3, 4, 4, 3, 4, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 4, 5, 4, 5, 5, 5, 3, 5, 4, 4, 5, 3, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 4, 5, 5, 3, 4, 5, 3, 3, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 2, 4, 5, 4, 3, 5, 4, 5, 2, 4, 4, 3, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 4, 5, 2, 5, 5, 4, 4, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 5, 3, 5, 5, 4, 5, 3, 2, 5, 5, 4, 5, 4, 4, 5, 5, 4, 2, 5, 5, 4, 5, 5, 1, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 4, 5, 5, 4, 5, 5, 4, 5, 4, 2, 3, 4, 3, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 5, 5, 5, 5, 5, 4, 5, 5, 4, 2, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Do sing louder and we will sound better.,2.8000,1.2649,40,"[2, 5, 1, 4, 1, 2, 2, 4, 4, 2, 2, 3, 5, 2, 2, 3, 4, 5, 4, 3, 3, 3, 1, 4, 2, 4, 3, 1, 2, 1, 2, 2, 5, 4, 2, 2, 4, 4, 2, 1]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Do sing softer and we will sound worse.,1.9500,1.0365,40,"[1, 1, 4, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 4, 2, 2, 4, 2, 2, 2, 1, 1, 1, 3, 4, 1, 3, 1, 3, 3, 2, 2, 2, 4, 2, 2, 1, 1, 1]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Everyone sing louder and we will sound better.,3.8500,0.9333,20,"[3, 4, 5, 4, 5, 4, 4, 1, 4, 3, 5, 5, 3, 4, 4, 4, 4, 3, 4, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Everyone sing softer and we will sound worse.,1.9500,1.1459,20,"[1, 1, 2, 1, 4, 1, 1, 2, 3, 3, 2, 4, 3, 1, 2, 1, 4, 1, 1, 1]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings louder we will sound better.,4.3077,0.9502,39,"[5, 5, 3, 4, 5, 4, 5, 5, 5, 4, 3, 5, 4, 5, 5, 3, 4, 5, 3, 2, 5, 2, 4, 5, 5, 5, 2, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5]"
A choir is practicing for their holiday concert. The conductor gives the following direction: If everyone sings softer we will sound worse.,3.0256,1.1353,39,"[3, 4, 2, 1, 4, 4, 3, 4, 5, 4, 3, 4, 2, 4, 2, 5, 4, 1, 2, 2, 2, 3, 3, 1, 2, 3, 4, 3, 3, 4, 2, 2, 3, 5, 5, 3, 3, 2, 2]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing louder and we will sound better.,4.1026,1.0710,39,"[4, 4, 2, 4, 2, 3, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 5, 2, 3, 5, 4, 4, 2, 5, 2, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 4]"
A choir is practicing for their holiday concert. The conductor gives the following direction: Sing softer and we will sound worse.,2.6250,1.2947,40,"[5, 1, 5, 1, 3, 2, 4, 2, 4, 1, 2, 4, 3, 2, 1, 3, 1, 4, 2, 3, 2, 3, 3, 5, 2, 2, 2, 4, 3, 1, 3, 2, 1, 1, 2, 4, 1, 4, 5, 2]"
A church is in the middle of a financial crisis. As the collection basket is being passed around the congregation the priest says the following: Do donate and the church will be saved.,3.1750,1.1959,40,"[2, 3, 4, 2, 3, 5, 3, 2, 5, 4, 2, 2, 4, 3, 5, 5, 5, 4, 3, 4, 4, 3, 4, 3, 2, 4, 1, 2, 1, 2, 5, 4, 4, 4, 3, 3, 2, 1, 3, 2]"
