unit,mean,std,n,individual_ratings
A businessman began speaking loudly on the phone. Everyone's eyes were watering profusely.,1.65,0.7921,20,"[2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 1, 2, 1, 3, 1, 1, 3, 1]"
A drop of water from the ceiling fell onto the outlet. The students felt overwhelmed and stressed.,2.1,0.8307,20,"[2, 3, 3, 1, 2, 3, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 1, 3, 3, 2]"
A flight attendant collected empty cups from the passengers. The poker players were unhappy with their hands.,1.3,0.6403,20,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1]"
A high-quality coffee shop is a staple of any town. The findings provide new insights into cultural exchanges of the time.,2.1,0.995,20,"[1, 1, 1, 1, 3, 3, 3, 3, 2, 1, 2, 3, 1, 3, 3, 2, 1, 4, 3, 1]"
A high-speed rail service launched between Paris and Berlin. The documentary offers a powerful visual account of rising sea levels.,1.25,0.5362,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,4.55,0.8047,20,"[5, 5, 5, 5, 5, 5, 4, 3, 5, 4, 4, 2, 5, 4, 5, 5, 5, 5, 5, 5]"
A new tech startup opened its doors last month. The company specializes in software solutions for small businesses.,4.55,0.7399,20,"[5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 5, 5]"
A new vocational training program was introduced in the community. Marcia could feel the platforms wobbling during the performance.,1.8,1.1225,20,"[1, 2, 4, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 1, 3, 2, 1, 5, 1, 1]"
A powerful earthquake struck Japan this morning. The abstract piece uses vibrant colors to explore love.,1.1053,0.3069,19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]"
A teacher implemented innovative teaching methods in the classroom. Native fish populations began to decline.,1.5,0.9747,20,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 5, 2, 1, 1, 3, 1]"
A wildlife sanctuary was recently established in the Amazon rainforest. The arts create a shared experience that fosters community.,1.7,0.9539,20,"[1, 3, 1, 1, 1, 1, 3, 1, 1, 4, 2, 2, 1, 1, 1, 2, 1, 3, 3, 1]"
Emma found the presentation engaging and informative. The retreat center focused on rest and introspection.,2.65,1.2757,20,"[3, 4, 1, 1, 2, 4, 2, 2, 2, 1, 4, 2, 4, 3, 4, 3, 1, 5, 4, 1]"
Jenny has been complaining about her failed relationship for months. Knowledge gives individuals the skills to navigate life's challenges.,2.35,1.1079,20,"[3, 2, 1, 1, 2, 2, 1, 2, 3, 1, 4, 3, 2, 2, 4, 2, 1, 5, 3, 3]"
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.75,0.5362,20,"[5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]"
Large areas of forest were cleared for agriculture. John was late to pick up his daughter from school.,1.3,0.6403,20,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1]"
Mark found John cheating on him with their best friend. Workers quickly scrambled to save their valuable data.,1.35,0.5723,20,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1]"
Mark hesitated to make a decision. Emma acted quickly and confidently.,4.2,0.8718,20,"[5, 4, 4, 4, 5, 5, 3, 3, 5, 5, 4, 2, 5, 5, 5, 4, 3, 5, 4, 4]"
Sarah loves reading mystery novels. Sarah's brother enjoys detective stories.,4.4,0.8,20,"[5, 4, 5, 5, 4, 4, 3, 4, 5, 4, 5, 2, 5, 5, 5, 4, 4, 5, 5, 5]"
September was unusually humid and hot. The book it was based on had thrilling moments.,1.4,0.8,20,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 4, 1, 1]"
Sophie planted strawberry seeds in the backyard. Attendees chatted at the reception about the lecture.,1.25,0.433,20,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1]"
The British Museum displayed impressive ancient artifacts. The national gallery showcased stunning historical paintings.,3.95,0.7399,20,"[4, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 5, 4, 5, 5, 5, 5]"
The TV was left on all night by mistake. The electric bill increased noticeably that month.,4.1,1.044,20,"[4, 5, 4, 5, 5, 5, 3, 4, 4, 4, 4, 2, 1, 4, 5, 4, 5, 5, 5, 4]"
The actor was praised for his powerful performance. Inside the house everything was calm and peaceful.,1.9,0.995,20,"[2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 2, 5, 3, 1]"
The airline announced a significant flight delay. Passengers crowded the gate waiting for further updates.,4.5,1.0724,20,"[5, 5, 1, 5, 5, 5, 4, 4, 5, 4, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
The ancient heritage site fascinated the tourists. The sweet mango cooled Sara's mouth with each bite.,1.8,0.8718,20,"[2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 1, 4, 3, 1]"
The architect revealed plans for a modern skyscraper. The new building will incorporate eco-friendly materials.,4.45,0.8646,20,"[5, 3, 5, 5, 5, 4, 4, 3, 5, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
The artist unveiled her latest painting. The company specializes in software solutions for small businesses,1.4,0.6633,20,"[2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1]"
The athlete shared his workout routine with the press. Local vendors sell fresh produce and handmade crafts.,1.2,0.5099,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1]"
The bakery smelled warm and inviting to customers. The summer breeze gently rustled the green leaves.,2.2,0.9798,20,"[3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 2, 2, 3, 3, 2, 3, 4, 4, 2]"
The busy holiday season increased sales dramatically. Many stores ran out of popular items.,4.6,0.8,20,"[5, 3, 5, 5, 5, 5, 4, 5, 5, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
The cat remained calm during the thunderstorm. The bookstore carries a great variety of fantasy novels.,1.25,0.6225,20,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1]"
The chef accidentally added too much salt to the soup. Several customers complained about the dish.,4.7,0.7141,20,"[5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
The chef prepared a gourmet meal with precision. The baker crafted a delicate pastry with care.,3.5,1.0724,20,"[4, 4, 3, 2, 2, 4, 3, 1, 3, 4, 4, 2, 4, 5, 4, 4, 4, 5, 5, 3]"
The chef prepared the ingredients for dinner. The starting pistol wouldn't fire when the official pulled the trigger.,1.1,0.3,20,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
The childhood friends missed each other after years of no contact. People flocked to the beach to cool off in the water.,1.3,0.6403,20,"[2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1]"
The city council approved a new housing project. The development will include new apartments and green spaces.,4.75,0.5362,20,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 3, 5, 5, 5, 5, 5, 5, 4, 5]"
The city zoo recently introduced a new animal habitat. The tremor registered a magnitude of 7.5.,1.35,0.6538,20,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1]"
The coach developed a winning strategy for the game. The breeze drifted softly across the meadow.,1.7,1.0536,20,"[3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 5, 3, 1]"
The company's latest smartphone is sleek and innovative. The firm's new laptop is cutting-edge and stylish.,3.4,0.8602,20,"[3, 3, 3, 2, 3, 4, 3, 3, 3, 4, 3, 2, 4, 4, 4, 4, 5, 5, 4, 2]"
The concert tickets sold out in less than an hour. Fans were left disappointed and searching for resales.,4.7,0.7141,20,"[5, 5, 5, 5, 5, 5, 4, 4, 5, 4, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]"
The dancer moved with grace across the stage. A compass helps hikers find their way.,1.2,0.5099,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 3, 1, 1, 1, 1, 1]"
