unit,mean,std,n,individual_ratings
All her years in Hollywood she wanted to keep the natural look.,3.4754,1.0805,61,"[5, 4, 5, 2, 2, 4, 2, 4, 4, 4, 3, 4, 4, 3, 4, 3, 4, 4, 4, 3, 4, 3, 4, 5, 4, 3, 4, 4, 3, 3, 4, 3, 5, 4, 3, 3, 3, 5, 2, 1, 3, 2, 2, 3, 4, 2, 2, 4, 4, 5, 5, 1, 3, 5, 4, 4, 2, 5, 4, 5, 1]"
All the dogs rapidly converged on one area where digging immediately started.,3.0656,1.1433,61,"[5, 4, 1, 2, 5, 5, 3, 4, 3, 1, 3, 2, 3, 3, 3, 4, 2, 1, 2, 2, 3, 3, 3, 2, 4, 2, 3, 5, 3, 2, 4, 2, 2, 3, 4, 2, 3, 3, 3, 3, 2, 2, 2, 4, 4, 2, 4, 4, 5, 5, 4, 1, 4, 3, 2, 4, 4, 4, 4, 5, 1]"
Behavior which used to be the norm is now condemned as offensive.,4.2131,0.9074,61,"[5, 3, 5, 2, 4, 5, 4, 4, 4, 5, 4, 5, 5, 4, 5, 5, 4, 2, 3, 5, 5, 4, 4, 5, 4, 4, 5, 4, 4, 3, 4, 3, 5, 4, 5, 4, 4, 5, 4, 5, 5, 2, 4, 5, 4, 4, 4, 3, 5, 1, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5]"
Evidence from abroad showed students were prepared to take out large loans.,3.8689,0.9662,61,"[5, 4, 4, 2, 4, 5, 4, 3, 4, 3, 5, 5, 4, 5, 1, 4, 2, 3, 3, 5, 4, 3, 4, 3, 4, 3, 5, 5, 3, 4, 4, 4, 2, 4, 4, 4, 3, 5, 4, 2, 5, 4, 5, 4, 5, 3, 4, 3, 5, 2, 4, 4, 4, 4, 3, 5, 4, 5, 4, 5, 5]"
Friendship does not count for much in the world of big business.,4.1167,0.9503,60,"[5, 2, 4, 2, 4, 5, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 4, 1, 1, 5, 4, 4, 4, 5, 4, 3, 5, 4, 4, 4, 4, 3, 5, 2, 5, 4, 3, 5, 4, 5, 5, 4, 4, 4, 4, 4, 4, 5, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 4, 5]"
He did not say how long the president would stay on holiday.,4.3443,0.8275,61,"[5, 5, 4, 5, 5, 4, 4, 4, 5, 3, 3, 5, 5, 5, 4, 5, 4, 3, 2, 5, 5, 5, 5, 4, 2, 4, 5, 5, 4, 2, 3, 5, 5, 5, 5, 4, 4, 5, 4, 5, 4, 5, 5, 4, 4, 4, 4, 5, 5, 3, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5]"
He felt strong and was clearly in better shape than the opposition.,4.3115,0.7364,61,"[5, 2, 4, 5, 5, 5, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 2, 4, 3, 4, 4, 5, 4, 4, 3, 4, 5, 5, 4, 3, 3, 4, 4, 4, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 4, 5, 5]"
He is probably the most talented player on the planet right now.,4.623,0.5773,61,"[5, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 5, 5, 5, 4, 5, 5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5]"
He is the person who has stood up about the tax cuts.,3.082,1.0604,61,"[5, 2, 4, 1, 3, 3, 2, 3, 2, 2, 4, 4, 4, 3, 2, 4, 4, 2, 2, 4, 2, 2, 4, 1, 4, 2, 4, 4, 3, 2, 3, 4, 3, 3, 3, 4, 3, 5, 2, 4, 2, 4, 3, 1, 4, 2, 2, 2, 4, 4, 4, 3, 2, 5, 2, 3, 4, 4, 4, 5, 2]"
He made sure the altar could be seen from every point inside.,4.0328,0.9048,61,"[5, 2, 4, 5, 4, 5, 4, 4, 4, 4, 4, 5, 5, 5, 4, 5, 5, 2, 3, 5, 4, 4, 3, 3, 4, 5, 5, 2, 3, 3, 4, 3, 5, 4, 4, 2, 4, 5, 4, 3, 5, 2, 4, 5, 4, 3, 4, 4, 5, 3, 4, 5, 5, 5, 4, 5, 4, 4, 4, 4, 5]"
