unit,mean,std,n,individual_ratings,item_type
"After the climb, a ranger showed up who brought some food for exhausted hikers who didn't bring sufficient supplies.",3.0,1.4142,6,"[4, 5, 3, 3, 2, 1]",test
"After the climb, a ranger showed up who brought some food for exhausted hikers.",4.6667,0.5774,3,"[5, 4, 5]",test
"After the climb, a ranger showed up who brought some food.",4.25,1.5,4,"[5, 2, 5, 5]",test
"After the climb, a ranger who brought some food for exhausted hikers showed up.",3.6667,0.8165,6,"[4, 3, 3, 3, 5, 4]",test
"After the climb, a ranger who brought some food for exhausted hikers who didn't bring sufficient supplies showed up.",2.2,1.0954,5,"[2, 2, 2, 1, 4]",test
"After the climb, a ranger who brought some food showed up.",3.3333,1.3663,6,"[3, 4, 4, 3, 1, 5]",test
"After the dinner, a musician arrived who was hired yesterday for the wedding where many celebrities were invited.",2.5,0.7559,8,"[2, 2, 2, 3, 2, 3, 4, 2]",test
"After the dinner, a musician arrived who was hired yesterday for the wedding.",3.3333,1.5275,3,"[2, 5, 3]",test
"After the dinner, a musician arrived who was hired yesterday.",2.0,,1,[2],test
"After the dinner, a musician who was hired yesterday arrived.",4.0,1.0,3,"[4, 3, 5]",test
"After the dinner, a musician who was hired yesterday for the wedding arrived.",4.4286,0.7868,7,"[5, 5, 3, 4, 5, 4, 5]",test
"After the dinner, a musician who was hired yesterday for the wedding where many celebrities were invited arrived.",3.375,1.3025,8,"[1, 3, 4, 3, 3, 3, 5, 5]",test
"After the incident, a secretary apologized who misfiled the documents from the trial where the CEO was convicted.",3.3333,1.5275,3,"[2, 3, 5]",test
"After the incident, a secretary apologized who misfiled the documents from the trial.",3.4286,0.9759,7,"[2, 3, 3, 3, 4, 5, 4]",test
"After the incident, a secretary apologized who misfiled the documents.",2.8,1.6865,10,"[3, 3, 1, 5, 1, 5, 2, 2, 5, 1]",test
"After the incident, a secretary who misfiled the documents apologized.",4.6667,0.5774,3,"[5, 4, 5]",test
"After the incident, a secretary who misfiled the documents from the trial apologized.",3.0,,1,[3],test
"After the incident, a secretary who misfiled the documents from the trial where the CEO was convicted apologized.",3.8333,1.6021,6,"[4, 5, 5, 1, 3, 5]",test
"After the investigation, an employee was fired who had been embezzling from the company whose stock prices had dropped.",3.6667,0.5774,3,"[3, 4, 4]",test
"After the investigation, an employee was fired who had been embezzling from the company.",4.0,0.8165,4,"[3, 5, 4, 4]",test
"After the investigation, an employee was fired who had been embezzling.",3.8333,1.3292,6,"[5, 2, 3, 3, 5, 5]",test
"After the investigation, an employee who had been embezzling from the company was fired.",5.0,0.0,6,"[5, 5, 5, 5, 5, 5]",test
"After the investigation, an employee who had been embezzling from the company whose stock prices had dropped was fired.",2.6,0.8433,10,"[2, 3, 4, 2, 1, 3, 3, 2, 3, 3]",test
"After the investigation, an employee who had been embezzling was fired.",5.0,,1,[5],test
"After the lecture, a student showed up who was doing poorly in the class where the requirements were strenuous.",3.8,1.0954,5,"[4, 2, 5, 4, 4]",test
"After the lecture, a student showed up who was doing poorly in the class.",3.7143,1.1127,7,"[3, 3, 5, 2, 5, 4, 4]",test
"After the lecture, a student showed up who was doing poorly.",3.25,1.7078,4,"[3, 4, 5, 1]",test
"After the lecture, a student who was doing poorly in the class showed up.",3.6,1.1402,5,"[2, 4, 3, 4, 5]",test
