unit,mean,std,n,individual_ratings
I am unsure whether or not Chris had cut down a tree before. Today he cut down a tree again.,2.5263,1.3905,19,"[5, 2, 4, 2, 2, 4, 4, 4, 1, 1, 3, 5, 1, 2, 1, 1, 3, 1, 2]"
I am unsure whether or not Connie had knitted a sweater before. Today she knitted a sweater again.,2.4211,1.1839,19,"[1, 2, 1, 3, 2, 1, 3, 3, 3, 2, 2, 2, 2, 2, 5, 5, 2, 4, 1]"
I am unsure whether or not Danielle had flown on a plane before. Today she flew on a plane again.,2.5263,1.0447,19,"[3, 1, 4, 2, 3, 4, 2, 2, 2, 2, 2, 3, 2, 1, 4, 2, 2, 5, 2]"
I am unsure whether or not Gavin had a gambling problem. Claire had a gambling problem too.,2.6,1.1576,20,"[3, 2, 4, 2, 3, 2, 4, 2, 2, 4, 1, 1, 4, 2, 4, 4, 1, 4, 1, 2]"
I am unsure whether or not Jack attended all of the team's games. Owen attended all of the team's games too.,2.3158,1.0287,19,"[1, 2, 2, 2, 2, 2, 1, 2, 2, 3, 2, 4, 2, 3, 4, 5, 2, 2, 1]"
I am unsure whether or not Jack had ridden a horse before. Today he rode a horse again.,2.5,1.3229,20,"[2, 2, 2, 5, 1, 1, 3, 1, 5, 2, 2, 2, 1, 3, 5, 3, 4, 2, 3, 1]"
I am unsure whether or not Jake had flown a kite before. Today he flew a kite again.,2.3,1.0536,20,"[3, 2, 2, 2, 1, 1, 3, 1, 5, 2, 3, 2, 1, 3, 2, 3, 2, 4, 3, 1]"
I am unsure whether or not Jennifer had acted in a play before. Today she acted in a play again.,2.45,1.0712,20,"[3, 2, 2, 2, 1, 2, 3, 1, 5, 4, 3, 1, 1, 3, 2, 3, 2, 3, 4, 2]"
I am unsure whether or not Jill had swallowed a bug before. Today she swallowed a bug again.,2.5263,1.0447,19,"[2, 1, 4, 2, 3, 4, 2, 2, 2, 2, 2, 3, 3, 1, 2, 2, 2, 4, 5]"
I am unsure whether or not Jim had hit a homerun before. Today he hit a homerun again.,2.5789,1.2276,19,"[3, 1, 2, 1, 2, 1, 2, 3, 4, 2, 5, 2, 3, 3, 4, 3, 2, 1, 5]"
I am unsure whether or not John went swimming at the pool. Bill went swimming at the pool too.,2.6842,1.1264,19,"[3, 1, 2, 2, 2, 5, 2, 2, 3, 2, 5, 3, 3, 4, 4, 3, 1, 2, 2]"
I am unsure whether or not Julia had gotten lost. Emma had gotten lost too.,2.75,1.3739,20,"[3, 3, 2, 4, 1, 1, 3, 1, 5, 2, 2, 2, 1, 3, 5, 3, 4, 4, 5, 1]"
I am unsure whether or not Mary had seen a 3D movie before. Today she saw a 3D movie again.,2.5789,1.1839,19,"[4, 2, 4, 2, 2, 3, 4, 1, 4, 4, 2, 5, 1, 2, 2, 2, 2, 1, 2]"
I am unsure whether or not Melissa had been to a circus before. Today she went to a circus again.,2.4737,0.9931,19,"[3, 5, 3, 2, 4, 4, 2, 1, 1, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2]"
I am unsure whether or not Owen had never tasted cough syrup before. Today he took some cough syrup that he thought tasted okay.,3.1458,1.1988,96,"[5, 2, 2, 2, 3, 4, 3, 4, 5, 5, 2, 3, 5, 2, 1, 2, 4, 5, 4, 2, 4, 3, 4, 3, 3, 3, 2, 3, 3, 2, 2, 4, 4, 1, 2, 2, 3, 4, 5, 3, 2, 4, 4, 2, 2, 2, 2, 2, 2, 4, 5, 3, 4, 2, 3, 3, 4, 5, 3, 4, 3, 2, 5, 3, 4, 3, 2, 2, 4, 4, 2, 5, 3, 3, 4, 1, 2, 2, 5, 4, 2, 5, 2, 1, 5, 1, 4, 4, 3, 5, 5, 4, 1, 2, 3, 5]"
I am unsure whether or not Peter had baked a cake before. Today he baked a cake again.,2.35,1.2359,20,"[4, 2, 3, 2, 2, 5, 4, 2, 2, 2, 1, 2, 5, 1, 2, 1, 1, 3, 1, 2]"
I am unsure whether or not Sally had delivered a speech before. Today she delivered a speech again.,2.3,1.2288,20,"[5, 2, 4, 2, 3, 2, 4, 1, 4, 2, 1, 1, 4, 2, 2, 1, 2, 1, 1, 2]"
I am unsure whether or not Scott had interviewed at a bank before. Today he interviewed at a bank again.,2.4737,1.0939,19,"[4, 1, 2, 1, 2, 2, 2, 2, 3, 2, 2, 3, 2, 5, 4, 2, 3, 1, 4]"
I am unsure whether or not Sophie had bathed a baby before. Today she bathed a baby again.,2.2778,0.9891,18,"[4, 1, 2, 3, 2, 1, 2, 2, 3, 2, 4, 3, 2, 4, 2, 1, 1, 2]"
I am unsure whether or not Steve had attended an opera before. Today he attended an opera again.,2.25,1.0897,20,"[3, 1, 2, 4, 1, 1, 2, 1, 4, 2, 2, 1, 2, 3, 3, 4, 2, 2, 4, 1]"
I am unsure whether or not Susan was having an argument with her husband. Linda was having an argument with her husband too.,2.9474,0.887,19,"[3, 1, 3, 3, 2, 3, 2, 3, 3, 3, 5, 3, 3, 4, 4, 4, 3, 2, 2]"
I am unsure whether or not Ted had run in a marathon before. Today he ran in a marathon again.,2.6111,1.0614,18,"[1, 2, 3, 2, 1, 3, 3, 4, 2, 2, 4, 2, 4, 3, 4, 2, 4, 1]"
I am unsure whether or not at least one of the actors from the art-house film was cast in the movie. One of the actors from the blockbuster was also cast in the movie.,2.5,1.0672,18,"[1, 2, 1, 3, 2, 2, 2, 3, 3, 2, 3, 2, 4, 5, 4, 2, 3, 1]"
I am unsure whether or not at least one of the climbers on the snowy side of the mountain reached the peak. One of the climbers on the dry side of the mountain also reached the mountain's peak.,3.0,1.0761,19,"[4, 1, 2, 2, 2, 3, 3, 2, 5, 3, 2, 3, 5, 4, 4, 2, 4, 3, 3]"
I am unsure whether or not at least one of the cookies had nuts in it. One of the brownies also had nuts in it.,2.6842,1.0287,19,"[2, 3, 2, 2, 5, 3, 2, 2, 3, 2, 2, 3, 3, 4, 2, 5, 2, 3, 1]"
I am unsure whether or not at least one of the drivers in the first race was disqualified from it. One of the drivers in the second race was also disqualified from it.,2.3158,0.6531,19,"[2, 2, 2, 2, 4, 4, 2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2]"
I am unsure whether or not at least one of the employees from the restaurant received the vaccine. One of the employees from the hospital also received the vaccine.,2.5263,1.0447,19,"[2, 1, 2, 1, 2, 3, 4, 2, 3, 2, 2, 2, 4, 5, 4, 2, 2, 3, 2]"
I am unsure whether or not at least one of the employees in the accounting office attended the baseball game. One of the employees in the sales office also attended the baseball game.,2.7222,1.1453,18,"[3, 1, 2, 1, 5, 2, 2, 2, 2, 4, 3, 4, 4, 4, 2, 4, 2, 2]"
I am unsure whether or not at least one of the guests in the living room spilled wine on the carpet. One of the guests in the dining room also spilled wine on the carpet.,2.6316,1.2653,19,"[2, 4, 1, 3, 5, 2, 4, 2, 4, 1, 2, 5, 2, 2, 3, 3, 3, 1, 1]"
I am unsure whether or not at least one of the passengers in the back of the plane was upgraded to first class. One of the passengers in the middle of the plane was also upgraded to first class.,2.5,1.1619,20,"[4, 2, 2, 4, 2, 3, 3, 1, 5, 2, 2, 2, 1, 3, 4, 2, 4, 2, 1, 1]"
I am unsure whether or not at least one of the people at the sorority party got sick from drinking too much tequila. One of the people at the fraternity party also got sick from drinking too much tequila.,2.7895,1.0041,19,"[3, 4, 4, 2, 3, 4, 3, 1, 2, 2, 2, 4, 4, 2, 2, 3, 1, 3, 4]"
