unit,mean,std,n,individual_ratings,item_type
A businessman began speaking loudly on the phone. Everyone's eyes were watering profusely.,1.65,0.8127,20,"[2, 2, 1, 1, 1, 2, 2, 1, 1, 1, 3, 3, 1, 2, 1, 3, 1, 1, 3, 1]",test
A drop of water from the ceiling fell onto the outlet. The students felt overwhelmed and stressed.,2.1,0.8522,20,"[2, 3, 3, 1, 2, 3, 2, 1, 1, 1, 3, 2, 1, 2, 3, 3, 1, 3, 3, 2]",test
A flight attendant collected empty cups from the passengers. The poker players were unhappy with their hands.,1.3,0.6569,20,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1]",test
A high-quality coffee shop is a staple of any town. The findings provide new insights into cultural exchanges of the time.,2.1,1.0208,20,"[1, 1, 1, 1, 3, 3, 3, 3, 2, 1, 2, 3, 1, 3, 3, 2, 1, 4, 3, 1]",test
A high-speed rail service launched between Paris and Berlin. The documentary offers a powerful visual account of rising sea levels.,1.25,0.5501,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 2, 1, 1]",test
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,4.55,0.8256,20,"[5, 5, 5, 5, 5, 5, 4, 3, 5, 4, 4, 2, 5, 4, 5, 5, 5, 5, 5, 5]",test
A new tech startup opened its doors last month. The company specializes in software solutions for small businesses.,4.55,0.7592,20,"[5, 5, 5, 4, 5, 5, 4, 4, 5, 4, 4, 2, 5, 5, 4, 5, 5, 5, 5, 5]",test
A new vocational training program was introduced in the community. Marcia could feel the platforms wobbling during the performance.,1.8,1.1517,20,"[1, 2, 4, 1, 1, 1, 2, 3, 1, 1, 2, 2, 1, 1, 3, 2, 1, 5, 1, 1]",test
A powerful earthquake struck Japan this morning. The abstract piece uses vibrant colors to explore love.,1.1053,0.3153,19,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1]",test
A teacher implemented innovative teaching methods in the classroom. Native fish populations began to decline.,1.5,1.0,20,"[1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 5, 2, 1, 1, 3, 1]",test
A wildlife sanctuary was recently established in the Amazon rainforest. The arts create a shared experience that fosters community.,1.7,0.9787,20,"[1, 3, 1, 1, 1, 1, 3, 1, 1, 4, 2, 2, 1, 1, 1, 2, 1, 3, 3, 1]",test
Emma found the presentation engaging and informative. The retreat center focused on rest and introspection.,2.65,1.3089,20,"[3, 4, 1, 1, 2, 4, 2, 2, 2, 1, 4, 2, 4, 3, 4, 3, 1, 5, 4, 1]",test
Jenny has been complaining about her failed relationship for months. Knowledge gives individuals the skills to navigate life's challenges.,2.35,1.1367,20,"[3, 2, 1, 1, 2, 2, 1, 2, 3, 1, 4, 3, 2, 2, 4, 2, 1, 5, 3, 3]",test
John forgot his umbrella and got soaked. Sarah brought her umbrella and stayed dry.,4.75,0.5501,20,"[5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5]",test
Large areas of forest were cleared for agriculture. John was late to pick up his daughter from school.,1.3,0.6569,20,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1]",test
Mark found John cheating on him with their best friend. Workers quickly scrambled to save their valuable data.,1.35,0.5871,20,"[2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 3, 1, 1]",test
Mark hesitated to make a decision. Emma acted quickly and confidently.,4.2,0.8944,20,"[5, 4, 4, 4, 5, 5, 3, 3, 5, 5, 4, 2, 5, 5, 5, 4, 3, 5, 4, 4]",test
Sarah loves reading mystery novels. Sarah's brother enjoys detective stories.,4.4,0.8208,20,"[5, 4, 5, 5, 4, 4, 3, 4, 5, 4, 5, 2, 5, 5, 5, 4, 4, 5, 5, 5]",test
September was unusually humid and hot. The book it was based on had thrilling moments.,1.4,0.8208,20,"[1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 4, 1, 1]",test
Sophie planted strawberry seeds in the backyard. Attendees chatted at the reception about the lecture.,1.25,0.4443,20,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1]",test
The British Museum displayed impressive ancient artifacts. The national gallery showcased stunning historical paintings.,3.95,0.7592,20,"[4, 3, 4, 3, 4, 3, 3, 3, 4, 4, 4, 3, 4, 4, 5, 4, 5, 5, 5, 5]",test
The TV was left on all night by mistake. The electric bill increased noticeably that month.,4.1,1.0712,20,"[4, 5, 4, 5, 5, 5, 3, 4, 4, 4, 4, 2, 1, 4, 5, 4, 5, 5, 5, 4]",test
The actor was praised for his powerful performance. Inside the house everything was calm and peaceful.,1.9,1.0208,20,"[2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 2, 5, 3, 1]",test
The airline announced a significant flight delay. Passengers crowded the gate waiting for further updates.,4.5,1.1002,20,"[5, 5, 1, 5, 5, 5, 4, 4, 5, 4, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5]",test
The ancient heritage site fascinated the tourists. The sweet mango cooled Sara's mouth with each bite.,1.8,0.8944,20,"[2, 1, 1, 1, 3, 2, 2, 1, 1, 1, 2, 2, 2, 3, 1, 2, 1, 4, 3, 1]",test
The architect revealed plans for a modern skyscraper. The new building will incorporate eco-friendly materials.,4.45,0.887,20,"[5, 3, 5, 5, 5, 4, 4, 3, 5, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5]",test
The artist unveiled her latest painting. The company specializes in software solutions for small businesses,1.4,0.6806,20,"[2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 2, 1]",test
The athlete shared his workout routine with the press. Local vendors sell fresh produce and handmade crafts.,1.2,0.5231,20,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1]",test
The bakery smelled warm and inviting to customers. The summer breeze gently rustled the green leaves.,2.2,1.0052,20,"[3, 1, 1, 2, 1, 3, 1, 1, 2, 1, 3, 2, 2, 3, 3, 2, 3, 4, 4, 2]",test
