unit,mean,std,n,individual_ratings
"Although after the captain scored a late goal, the team won the state championship, the team did not qualify for nationals.",3.0,1.1983,40,"[2, 4, 3, 3, 3, 1, 2, 2, 4, 5, 4, 3, 2, 3, 2, 4, 3, 3, 2, 3, 2, 3, 5, 2, 3, 5, 2, 4, 5, 2, 5, 1, 2, 2, 4, 3, 5, 4, 2, 1]"
"Although the team won the state championship, after the captain scored a late goal, the team did not qualify for nationals.",3.8,0.9923,40,"[3, 3, 2, 5, 4, 2, 3, 5, 4, 5, 3, 4, 2, 5, 2, 5, 3, 4, 4, 5, 4, 4, 4, 3, 2, 4, 4, 4, 4, 2, 5, 4, 4, 4, 5, 4, 5, 4, 4, 5]"
"Because Cindy had already accepted another invitation before John asked Cindy to the prom, John was pretty sad.",3.6923,1.2387,39,"[4, 3, 2, 5, 4, 5, 5, 1, 4, 5, 2, 3, 2, 5, 2, 5, 2, 3, 4, 4, 4, 5, 3, 2, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5, 2, 4, 4, 2, 2]"
"Because before John asked Cindy to the prom, Cindy had already accepted another invitation, John was pretty sad.",2.775,1.1206,40,"[4, 3, 1, 3, 1, 1, 2, 2, 3, 3, 2, 4, 2, 5, 2, 4, 2, 3, 3, 4, 2, 2, 3, 2, 2, 3, 2, 4, 2, 1, 4, 2, 4, 4, 5, 3, 4, 4, 3, 1]"
Frank put down the book.,4.85,0.6622,40,"[5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Frank put down the new mystery book that he bought.,4.7,0.6076,40,"[5, 5, 4, 5, 5, 5, 3, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5]"
Frank put the book down.,4.95,0.2207,40,"[5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
Frank put the new mystery book that he bought down.,3.925,1.1183,40,"[4, 4, 2, 5, 5, 4, 3, 3, 4, 5, 3, 4, 4, 2, 4, 4, 5, 5, 5, 5, 4, 4, 5, 5, 2, 2, 4, 5, 1, 5, 5, 4, 3, 2, 5, 4, 5, 4, 5, 3]"
"If Judy accepts the apology after Mary admits her mistake, the classroom will be calm again.",4.275,0.7506,40,"[3, 4, 5, 5, 5, 5, 4, 3, 4, 5, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 3, 5, 4, 4, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 4, 4, 2]"
"If after Mary admits her mistake Judy accepts the apology, the classroom will be calm again.",3.3077,1.0798,39,"[4, 4, 5, 3, 2, 5, 2, 1, 4, 4, 3, 3, 2, 4, 4, 1, 3, 3, 3, 5, 2, 4, 4, 3, 4, 3, 5, 5, 3, 4, 4, 3, 2, 4, 4, 3, 3, 2, 2]"
It angered the judge that the lawyer was misleading the jurors.,4.825,0.4465,40,"[5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
It annoyed the babysitter that the boy was chasing the girl.,4.7436,0.4424,39,"[4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 4, 5, 5]"
It bothered the flight attendant that the navigator was insulting the pilot.,4.6316,0.6747,38,"[4, 4, 5, 5, 3, 5, 4, 5, 5, 5, 2, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
It irritated the manager that the billionaire was cheating the secretary.,4.5,0.7511,40,"[4, 2, 5, 5, 3, 5, 4, 4, 5, 5, 4, 4, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4]"
Jerry pushed down the lever.,4.875,0.4043,40,"[5, 5, 4, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Jerry pushed down the rusty metal lever that turned off the water.,4.725,0.5057,40,"[4, 3, 5, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5]"
Jerry pushed the lever down.,4.9,0.4414,40,"[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Jerry pushed the rusty metal lever that turned off the water down.,3.2051,1.49,39,"[2, 4, 2, 4, 5, 2, 1, 1, 4, 2, 4, 4, 5, 2, 2, 5, 5, 4, 4, 2, 4, 5, 5, 5, 2, 1, 3, 5, 1, 4, 5, 1, 2, 4, 2, 5, 1, 4, 2]"
Joe threw out the documents.,4.875,0.5158,40,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
Joe threw out the very important documents that he brought home.,4.6923,0.5691,39,"[5, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5]"
Joe threw the documents out.,4.975,0.1581,40,"[4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
Joe threw the very important documents that he brought home out.,3.65,0.9487,40,"[3, 4, 3, 4, 4, 4, 4, 1, 2, 4, 2, 4, 3, 5, 5, 4, 4, 4, 3, 5, 4, 5, 4, 4, 2, 2, 4, 5, 2, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3]"
"John was pretty sad, because Cindy had already accepted another invitation before John asked Cindy to the prom.",3.95,1.0115,40,"[4, 4, 5, 5, 4, 4, 3, 2, 5, 5, 5, 4, 2, 5, 2, 3, 3, 4, 5, 4, 4, 3, 5, 3, 3, 5, 2, 5, 4, 4, 5, 4, 5, 5, 4, 4, 4, 4, 2, 5]"
"John was pretty sad, because before John asked Cindy to the prom, Cindy had already accepted another invitation.",4.0,1.0377,40,"[3, 3, 3, 5, 5, 4, 5, 4, 5, 4, 5, 5, 3, 5, 4, 3, 4, 4, 4, 3, 4, 4, 5, 3, 4, 5, 4, 5, 5, 1, 5, 5, 4, 4, 5, 4, 5, 3, 3, 1]"
Patrick kicked out the audience member.,4.875,0.4634,40,"[5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5]"
Patrick kicked out the obnoxious audience member who was heckling.,4.725,0.5057,40,"[5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5]"
Patrick kicked the audience member out.,4.8974,0.3074,39,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5]"
