unit,mean,std,n,individual_ratings
"Adam is Steve's secretary at an architecture firm. Because Steve was visiting a building site in another city, Adam took notes at meetings. He often travels to check on sites.",3.0,1.451,20,"[5, 5, 5, 2, 2, 2, 4, 5, 2, 3, 2, 4, 4, 2, 4, 1, 2, 4, 1, 1]"
"Adam is Steve's secretary at an architecture firm. Steve was visiting a building site in another city, so Adam took notes at meetings. He often travels to check on sites.",3.1053,1.4101,19,"[2, 1, 4, 2, 5, 4, 2, 1, 5, 4, 4, 4, 1, 5, 2, 2, 4, 3, 4]"
"Alan and Monica go rock climbing together. Since Monica is an expert climber, Alan usually takes her advice. With her advice, he is improving rapidly.",4.519,0.7314,79,"[4, 5, 5, 5, 3, 5, 4, 5, 4, 4, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 2, 5, 4, 5, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 4, 3, 3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4]"
"Alisha and Garrett share a driveway. Garrett often takes up too much space, while Alisha never shovels after it snows. They're often annoyed with each other.",4.4875,0.8112,80,"[5, 5, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 3, 5, 1, 4, 5, 5, 5, 4, 4, 5, 5, 5, 3, 5, 5, 4, 5, 4, 2, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 3, 5, 4, 4, 5, 4, 5, 5, 5, 4, 5, 4, 5, 4, 5, 5, 4, 4, 3, 5, 5, 4, 5, 5, 5, 4]"
"Amy and Marvin volunteer at a before-school art program. Because Amy lives on his way, Marvin often gives her a ride there. She enjoys the exercise of walking home though.",3.8125,1.1373,80,"[3, 3, 5, 5, 3, 5, 4, 4, 5, 4, 5, 1, 5, 1, 4, 2, 2, 2, 5, 4, 3, 1, 2, 4, 5, 5, 4, 4, 4, 5, 5, 4, 4, 3, 5, 3, 5, 3, 3, 3, 3, 4, 2, 4, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 4, 5, 4, 3, 3, 5, 5, 5, 5, 4, 2, 3, 5, 4, 3, 5, 2, 4, 3, 3, 5, 3, 3, 3, 4, 3]"
"Andy and Gloria eat at the same diner every morning. Because Andy isn't very friendly, Gloria rarely says hello to him. He's always been something of a loner.",4.15,0.8583,80,"[3, 5, 3, 5, 3, 5, 4, 4, 5, 4, 5, 5, 5, 4, 4, 4, 4, 3, 5, 2, 4, 4, 3, 5, 5, 5, 5, 4, 4, 5, 4, 4, 4, 4, 5, 5, 3, 5, 3, 4, 5, 4, 5, 5, 4, 5, 5, 4, 4, 3, 2, 5, 3, 5, 4, 5, 5, 4, 4, 5, 5, 4, 5, 4, 3, 2, 5, 4, 3, 4, 4, 5, 4, 4, 4, 4, 3, 2, 5, 5]"
"Anthony and Lauren were doing an inventory at their sailing club. Lauren inspected the ropes and sails for damage while Anthony cataloged the books. She found one sail missing, and three more badly torn.",3.8947,0.9366,19,"[5, 5, 5, 4, 4, 4, 5, 3, 4, 3, 3, 4, 5, 3, 2, 5, 3, 3, 4]"
"Anthony and Lauren were doing an inventory at their sailing club. While Lauren inspected the ropes and sails for damage, Anthony cataloged the books. She found one sail missing, and three more badly torn.",3.6316,1.0116,19,"[5, 4, 3, 4, 5, 5, 4, 3, 3, 4, 4, 4, 5, 4, 2, 2, 3, 2, 3]"
"Arthur and Carolyn went to the same rural high school. After Carolyn moved to the city he lived in, she and Arthur got back in touch. They eventually ended up getting married.",4.4375,0.7769,80,"[5, 5, 3, 5, 3, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 4, 3, 5, 4, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 3, 5, 4, 5, 5, 5, 5, 4, 3, 3, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 3, 5, 3, 4, 5, 5, 5, 3, 4, 5, 5, 3, 5, 5, 3, 5, 5, 5, 4, 5, 3, 4, 3, 3, 5, 5, 4, 5, 5, 4]"
"Ashley is babysitting Hannah on Saturday afternoon. Because Hannah always wants to play active outdoor sports, Ashley packed a soccer ball. She doesn't get enough exercise during her week in kindergarten.",3.55,1.2344,20,"[4, 3, 4, 5, 3, 5, 5, 2, 4, 2, 3, 3, 5, 5, 5, 3, 3, 1, 2, 4]"
"Ashley is babysitting Hannah on Saturday afternoon. Hannah always wants to play active outdoor sports, so Ashley packed a soccer ball. She doesn't get enough exercise during her week in kindergarten.",3.15,1.2258,20,"[5, 3, 5, 4, 3, 4, 4, 1, 3, 3, 2, 3, 5, 3, 4, 2, 2, 4, 1, 2]"
"Autumn and Jerome are trainers at a gym. Autumn is a swimming instructor, while Jerome is a weight training coach. They often go running together after work.",4.3038,0.9248,79,"[3, 5, 4, 4, 3, 5, 5, 5, 5, 3, 5, 5, 5, 2, 5, 5, 5, 3, 5, 3, 4, 4, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 5, 5, 5, 3, 5, 4, 2, 4, 4, 5, 5, 5, 5, 5, 4, 4, 3, 5, 5, 3, 4, 5, 5, 5, 4, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 3, 5, 2, 5, 4, 3, 5, 4, 2]"
"Betty manages a soccer club, and Lisa is their goalie. Because Lisa bruised her hip in a car crash, Betty has been fielding stand-ins. She's taking physical therapy seriously so she can get back to her goal.",3.1,1.2096,20,"[4, 2, 3, 3, 4, 2, 2, 1, 4, 5, 4, 4, 1, 5, 4, 2, 3, 2, 4, 3]"
"Betty manages a soccer club, and Lisa is their goalie. Lisa bruised her hip in a car crash, so Betty has been fielding stand-ins. She's taking physical therapy seriously so she can get back to her goal.",3.2,1.2814,20,"[2, 1, 5, 2, 3, 4, 1, 4, 3, 3, 3, 5, 3, 4, 3, 4, 5, 4, 4, 1]"
"Brandon is babysitting Hannah on Saturday afternoon. Because Hannah always wants to play active outdoor sports, Brandon packed a soccer ball. She doesn't get enough exercise during her week in kindergarten.",3.15,1.1821,20,"[2, 4, 2, 3, 5, 2, 3, 4, 5, 5, 3, 5, 2, 3, 4, 2, 2, 2, 3, 2]"
"Brandon is babysitting Hannah on Saturday afternoon. Hannah always wants to play active outdoor sports, so Brandon packed a soccer ball. She doesn't get enough exercise during her week in kindergarten.",3.35,0.9881,20,"[2, 4, 3, 4, 3, 5, 2, 4, 4, 3, 3, 5, 3, 4, 2, 4, 4, 4, 2, 2]"
"Bridget and Jay run a soup kitchen together. Bridget manages the organization and money, while Jay handles the kitchen. They feed about thirty people a day.",4.4875,0.7794,80,"[3, 4, 4, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 4, 5, 3, 5, 5, 4, 5, 4, 5, 4, 3, 5, 5, 2, 5, 5, 2, 5, 5, 5, 5, 4, 3, 5, 4, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 4, 4, 5, 5, 5, 3, 5, 5, 3, 5, 5, 3, 5, 5, 3]"
"Carol is Steve's secretary at an architecture firm. Because Steve was visiting a building site in another city, Carol took notes at meetings. He often travels to check on sites.",4.05,0.9987,20,"[5, 4, 5, 3, 3, 4, 2, 4, 5, 4, 2, 5, 4, 5, 5, 5, 5, 3, 4, 4]"
