unit,mean,std,n,individual_ratings
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist also was.,2.1,0.9944,10,"[3, 2, 1, 2, 1, 1, 2, 4, 2, 3]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist recommended.,3.875,1.126,8,"[3, 5, 5, 3, 5, 4, 4, 2]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was also ignoring.,2.7857,1.1217,14,"[2, 3, 4, 1, 1, 4, 2, 4, 3, 2, 3, 2, 4, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was ignoring.,3.0,1.069,15,"[2, 4, 4, 2, 2, 3, 1, 2, 4, 4, 4, 4, 4, 2, 3]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,2.6,0.9661,10,"[4, 3, 3, 3, 2, 1, 3, 1, 3, 3]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist also was.,2.4,1.1738,10,"[1, 4, 2, 1, 3, 3, 1, 3, 4, 2]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist recommended.,4.0,0.9428,10,"[4, 4, 3, 4, 4, 4, 2, 5, 5, 5]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was also ignoring.,3.5333,0.9904,15,"[3, 4, 3, 4, 3, 3, 5, 3, 5, 5, 2, 2, 3, 4, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was ignoring.,3.0667,1.2799,15,"[4, 2, 1, 2, 4, 3, 3, 5, 1, 4, 3, 2, 5, 4, 3]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,3.0,1.3229,9,"[2, 2, 4, 2, 3, 2, 2, 5, 5]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist also was.,2.7778,1.3017,9,"[4, 4, 4, 2, 1, 1, 3, 4, 2]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist uncovered.,4.6667,0.5,9,"[5, 4, 5, 5, 5, 4, 4, 5, 5]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was also digging up.,3.4,1.2421,15,"[2, 4, 2, 4, 5, 5, 3, 5, 5, 4, 2, 3, 3, 2, 2]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was digging up.,3.4286,1.1579,14,"[1, 2, 4, 3, 5, 3, 3, 5, 3, 3, 3, 4, 4, 5]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was.,3.1,1.1005,10,"[2, 3, 3, 4, 2, 1, 4, 4, 4, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist also was.,2.2,0.9189,10,"[2, 2, 1, 3, 1, 3, 2, 2, 2, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist uncovered.,4.1,0.7379,10,"[4, 3, 5, 5, 3, 4, 4, 4, 5, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was also digging up.,3.2,1.3202,15,"[4, 5, 5, 4, 2, 4, 2, 2, 2, 4, 1, 5, 3, 2, 3]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was digging up.,3.2857,1.2044,14,"[3, 4, 4, 3, 4, 1, 4, 3, 3, 5, 3, 1, 3, 5]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was.,3.2,1.0328,10,"[4, 4, 4, 2, 5, 2, 3, 2, 3, 3]"
The ambitious rock collector was going after every fossil that the highly specialized geologist also was.,2.8,1.1353,10,"[2, 1, 4, 2, 2, 2, 3, 4, 4, 4]"
The ambitious rock collector was going after every fossil that the highly specialized geologist unearthed.,4.5,0.7071,10,"[4, 3, 5, 4, 5, 5, 5, 4, 5, 5]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was also going after.,3.8667,1.0601,15,"[5, 5, 5, 2, 4, 4, 3, 2, 5, 4, 3, 5, 4, 4, 3]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was going after.,3.9286,0.8287,14,"[4, 3, 4, 4, 3, 4, 5, 4, 2, 5, 4, 4, 4, 5]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,3.5,1.5092,10,"[2, 1, 5, 3, 2, 5, 4, 5, 3, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist also was.,3.8,0.9189,10,"[5, 3, 4, 4, 5, 2, 4, 4, 3, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist unearthed.,4.0,1.2472,10,"[2, 2, 5, 4, 3, 5, 4, 5, 5, 5]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was also going after.,3.6,1.1212,15,"[4, 4, 3, 2, 4, 5, 4, 5, 2, 4, 2, 5, 4, 2, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was going after.,3.9286,0.9169,14,"[4, 4, 4, 4, 2, 4, 2, 5, 5, 4, 4, 4, 5, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,2.9,1.5239,10,"[2, 2, 5, 2, 4, 5, 3, 1, 1, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand also was.,2.6,1.1738,10,"[2, 3, 3, 5, 2, 2, 2, 2, 1, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand released.,4.6,0.9661,10,"[5, 4, 5, 2, 5, 5, 5, 5, 5, 5]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was also rounding up.,3.1333,1.3558,15,"[4, 4, 2, 2, 4, 3, 1, 5, 2, 5, 2, 4, 5, 2, 2]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was rounding up.,3.5,1.2247,14,"[3, 5, 3, 5, 5, 4, 2, 1, 3, 3, 3, 4, 5, 3]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was.,2.9,1.1972,10,"[2, 2, 2, 2, 4, 4, 2, 2, 5, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand also was.,2.9,0.9944,10,"[5, 3, 2, 2, 2, 2, 3, 3, 4, 3]"
The anxious old farmer was rounding up the cow that the ignorant farm hand released.,4.1,1.4491,10,"[2, 5, 5, 1, 4, 5, 5, 5, 5, 4]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was also rounding up.,3.3571,1.5495,14,"[4, 5, 5, 1, 4, 4, 3, 1, 4, 2, 5, 5, 3, 1]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was rounding up.,3.0667,1.2799,15,"[2, 4, 2, 3, 3, 3, 1, 5, 4, 3, 2, 2, 2, 5, 5]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was.,2.1,0.9944,10,"[2, 2, 2, 1, 3, 2, 3, 1, 1, 4]"
The artistic film producer was reading through every screenplay that the perpetually impatient director also was.,3.2,1.4757,10,"[1, 5, 4, 4, 3, 4, 1, 3, 5, 2]"
The artistic film producer was reading through every screenplay that the perpetually impatient director suggested.,4.3,1.0593,10,"[4, 2, 5, 5, 4, 3, 5, 5, 5, 5]"
The artistic film producer was reading through every screenplay that the perpetually impatient director was also reading through.,3.6667,1.2344,15,"[4, 4, 5, 5, 5, 3, 3, 2, 2, 4, 2, 5, 5, 4, 2]"
The artistic film producer was reading through every screenplay that the perpetually impatient director was reading through.,3.6,0.9103,15,"[3, 5, 4, 4, 3, 4, 3, 4, 4, 1, 4, 3, 4, 4, 4]"
The artistic film producer was reading through every screenplay that the perpetually impatient director was.,3.4,1.075,10,"[3, 3, 3, 5, 2, 2, 3, 4, 4, 5]"
The artistic film producer was reading through the screenplay that the perpetually impatient director also was.,2.4,1.1738,10,"[2, 2, 2, 2, 1, 2, 2, 5, 2, 4]"
The artistic film producer was reading through the screenplay that the perpetually impatient director suggested.,4.0,0.8165,10,"[5, 2, 4, 4, 4, 4, 4, 5, 4, 4]"
The artistic film producer was reading through the screenplay that the perpetually impatient director was also reading through.,3.5,1.1602,14,"[4, 4, 4, 4, 4, 5, 3, 5, 2, 3, 2, 5, 2, 2]"
The artistic film producer was reading through the screenplay that the perpetually impatient director was reading through.,3.2667,0.9612,15,"[5, 4, 3, 3, 2, 2, 3, 2, 4, 3, 3, 3, 4, 5, 3]"
The artistic film producer was reading through the screenplay that the perpetually impatient director was.,2.7778,1.3944,9,"[5, 3, 4, 1, 1, 2, 3, 2, 4]"
The avid newspaper reporter was tracking down every story that the overly eager journalist also was.,3.0,1.2472,10,"[4, 2, 4, 3, 2, 3, 2, 5, 4, 1]"
The avid newspaper reporter was tracking down every story that the overly eager journalist covered.,4.5,0.9718,10,"[5, 5, 5, 5, 2, 4, 5, 4, 5, 5]"
The avid newspaper reporter was tracking down every story that the overly eager journalist was also tracking down.,4.0,1.0,15,"[5, 5, 5, 5, 3, 4, 5, 2, 4, 4, 3, 5, 3, 4, 3]"
The avid newspaper reporter was tracking down every story that the overly eager journalist was tracking down.,3.9333,0.7988,15,"[3, 4, 4, 3, 3, 4, 5, 4, 4, 3, 4, 3, 5, 5, 5]"
The avid newspaper reporter was tracking down every story that the overly eager journalist was.,3.4444,1.1304,9,"[2, 5, 4, 5, 3, 2, 3, 4, 3]"
The avid newspaper reporter was tracking down the story that the overly eager journalist also was.,3.2,0.9189,10,"[2, 2, 4, 2, 4, 3, 3, 4, 4, 4]"
The avid newspaper reporter was tracking down the story that the overly eager journalist covered.,4.4,1.2649,10,"[5, 5, 5, 5, 1, 5, 4, 5, 5, 4]"
The avid newspaper reporter was tracking down the story that the overly eager journalist was also tracking down.,3.7333,0.9612,15,"[4, 4, 5, 5, 4, 5, 4, 3, 2, 4, 3, 4, 4, 3, 2]"
The avid newspaper reporter was tracking down the story that the overly eager journalist was tracking down.,3.1333,1.3558,15,"[5, 2, 3, 4, 5, 1, 2, 2, 2, 1, 4, 4, 4, 4, 4]"
The avid newspaper reporter was tracking down the story that the overly eager journalist was.,2.4,1.4298,10,"[2, 2, 1, 2, 1, 1, 4, 5, 2, 4]"
The brilliantly trained pilot was flying every plane that the newly trained copilot also was.,2.7,1.2517,10,"[2, 2, 3, 5, 2, 1, 2, 4, 2, 4]"
The brilliantly trained pilot was flying every plane that the newly trained copilot examined.,4.1,0.7379,10,"[4, 4, 5, 3, 4, 3, 5, 4, 4, 5]"
The brilliantly trained pilot was flying every plane that the newly trained copilot was also flying.,3.6,1.3522,15,"[5, 5, 5, 4, 3, 4, 2, 1, 4, 4, 2, 5, 5, 2, 3]"
The brilliantly trained pilot was flying every plane that the newly trained copilot was flying.,3.8,1.0142,15,"[3, 3, 5, 4, 3, 3, 5, 3, 5, 3, 2, 4, 5, 4, 5]"
The brilliantly trained pilot was flying every plane that the newly trained copilot was.,3.7,0.9487,10,"[3, 2, 4, 4, 4, 5, 3, 4, 3, 5]"
The brilliantly trained pilot was flying the plane that the newly trained copilot also was.,3.2,1.2293,10,"[5, 4, 2, 5, 3, 2, 2, 2, 3, 4]"
The brilliantly trained pilot was flying the plane that the newly trained copilot examined.,4.0,1.1547,10,"[2, 4, 5, 4, 4, 5, 2, 5, 5, 4]"
The brilliantly trained pilot was flying the plane that the newly trained copilot was also flying.,3.0667,1.5337,15,"[4, 4, 1, 2, 5, 5, 4, 5, 2, 1, 2, 4, 4, 2, 1]"
The brilliantly trained pilot was flying the plane that the newly trained copilot was flying.,3.0667,1.3345,15,"[5, 4, 3, 3, 2, 2, 4, 2, 1, 1, 2, 4, 4, 5, 4]"
The brilliantly trained pilot was flying the plane that the newly trained copilot was.,2.7,1.2517,10,"[1, 2, 2, 2, 4, 4, 3, 1, 4, 4]"
The busy international banker was monitoring every account that the incredibly wealthy client also was.,3.1,0.9944,10,"[2, 2, 2, 2, 4, 3, 4, 4, 4, 4]"
The busy international banker was monitoring every account that the incredibly wealthy client opened.,4.9,0.3162,10,"[5, 5, 5, 5, 5, 5, 4, 5, 5, 5]"
The busy international banker was monitoring every account that the incredibly wealthy client was also monitoring.,3.6667,0.8997,15,"[4, 5, 2, 3, 3, 3, 4, 4, 5, 4, 2, 4, 4, 4, 4]"
The busy international banker was monitoring every account that the incredibly wealthy client was monitoring.,4.0,1.069,15,"[4, 5, 5, 2, 3, 4, 5, 5, 5, 4, 3, 4, 5, 4, 2]"
The busy international banker was monitoring every account that the incredibly wealthy client was.,3.2,1.1353,10,"[4, 2, 4, 3, 1, 4, 4, 4, 2, 4]"
The busy international banker was monitoring the account that the incredibly wealthy client also was.,3.2,1.0328,10,"[3, 1, 4, 4, 2, 4, 3, 4, 3, 4]"
The busy international banker was monitoring the account that the incredibly wealthy client opened.,4.5556,1.0138,9,"[5, 5, 5, 5, 5, 5, 4, 2, 5]"
The busy international banker was monitoring the account that the incredibly wealthy client was also monitoring.,3.6,1.2984,15,"[4, 4, 5, 4, 3, 4, 2, 4, 2, 2, 1, 4, 5, 5, 5]"
The busy international banker was monitoring the account that the incredibly wealthy client was monitoring.,3.6,0.9856,15,"[4, 4, 2, 4, 5, 4, 3, 4, 2, 4, 4, 3, 5, 4, 2]"
The busy international banker was monitoring the account that the incredibly wealthy client was.,3.2,1.2293,10,"[2, 5, 4, 3, 4, 4, 1, 3, 4, 2]"
The careful young logician was copying down every proof that the rapidly aging mathematician also was.,2.7778,1.0929,9,"[2, 2, 4, 4, 3, 4, 1, 3, 2]"
The careful young logician was copying down every proof that the rapidly aging mathematician reviewed.,4.1,0.9944,10,"[4, 3, 5, 4, 4, 2, 4, 5, 5, 5]"
The careful young logician was copying down every proof that the rapidly aging mathematician was also copying down.,3.3333,1.1751,15,"[3, 4, 4, 2, 5, 5, 3, 5, 2, 2, 2, 2, 4, 3, 4]"
The careful young logician was copying down every proof that the rapidly aging mathematician was copying down.,3.2667,0.9612,15,"[4, 3, 4, 4, 4, 1, 4, 2, 3, 4, 3, 4, 3, 2, 4]"
The careful young logician was copying down every proof that the rapidly aging mathematician was.,3.3,0.8233,10,"[3, 4, 3, 3, 2, 2, 4, 4, 4, 4]"
The careful young logician was copying down the proof that the rapidly aging mathematician also was.,2.2,0.9189,10,"[3, 2, 2, 3, 1, 2, 1, 4, 2, 2]"
The careful young logician was copying down the proof that the rapidly aging mathematician reviewed.,3.7,1.0593,10,"[2, 2, 4, 5, 3, 4, 4, 5, 4, 4]"
The careful young logician was copying down the proof that the rapidly aging mathematician was also copying down.,3.1333,1.2459,15,"[4, 3, 5, 2, 4, 4, 2, 2, 1, 4, 2, 3, 5, 4, 2]"
The careful young logician was copying down the proof that the rapidly aging mathematician was copying down.,3.2,1.2071,15,"[3, 4, 4, 2, 3, 4, 1, 4, 1, 3, 4, 4, 4, 2, 5]"
The careful young logician was copying down the proof that the rapidly aging mathematician was.,2.7,1.3375,10,"[5, 3, 4, 1, 1, 2, 2, 4, 2, 3]"
The clever head detective was examining every gun that the ambitious crime investigator also was.,2.2,0.9189,10,"[3, 2, 2, 1, 1, 2, 2, 4, 2, 3]"
The clever head detective was examining every gun that the ambitious crime investigator mentioned.,4.3,0.8233,10,"[5, 3, 5, 5, 3, 5, 4, 5, 4, 4]"
The clever head detective was examining every gun that the ambitious crime investigator was also examining.,3.5333,1.0601,15,"[4, 5, 3, 3, 2, 4, 4, 2, 3, 2, 3, 4, 5, 5, 4]"
The clever head detective was examining every gun that the ambitious crime investigator was examining.,3.8,1.1464,15,"[5, 4, 5, 2, 4, 4, 5, 4, 4, 4, 1, 3, 5, 3, 4]"
The clever head detective was examining every gun that the ambitious crime investigator was.,3.2,1.0328,10,"[5, 3, 4, 2, 3, 2, 3, 4, 2, 4]"
The clever head detective was examining the gun that the ambitious crime investigator also was.,2.9,1.1005,10,"[2, 4, 4, 2, 3, 4, 1, 3, 4, 2]"
The clever head detective was examining the gun that the ambitious crime investigator mentioned.,4.6,0.6992,10,"[5, 4, 5, 4, 3, 5, 5, 5, 5, 5]"
The clever head detective was examining the gun that the ambitious crime investigator was also examining.,3.9333,1.0328,15,"[4, 5, 5, 4, 3, 4, 5, 4, 2, 4, 2, 3, 4, 5, 5]"
The clever head detective was examining the gun that the ambitious crime investigator was examining.,3.6667,1.0465,15,"[4, 3, 2, 3, 5, 4, 4, 5, 2, 5, 3, 4, 5, 3, 3]"
The clever head detective was examining the gun that the ambitious crime investigator was.,2.8889,1.1667,9,"[2, 3, 2, 4, 2, 2, 2, 5, 4]"
The competitive young acrobat was watching every judge that the excellently trained gymnast also was.,3.2,1.3166,10,"[5, 5, 3, 4, 3, 2, 3, 2, 1, 4]"
The competitive young acrobat was watching every judge that the excellently trained gymnast impressed.,3.5556,1.1304,9,"[4, 2, 5, 4, 3, 4, 2, 5, 3]"
