unit,mean,std,n,individual_ratings
A backpack carries all the essentials on a hike. A suitcase holds everything needed for a trip.,3.2333,1.961,30,"[2, 2, 6, 2, 1, 5, 4, 4, 2, 4, 5, 1, 1, 4, 7, 1, 1, 2, 3, 6, 2, 4, 7, 5, 2, 2, 2, 1, 7, 2]"
A businessman began speaking loudly on the phone. Derek had trouble concentrating on his work.,1.9,1.5567,30,"[3, 3, 1, 2, 3, 3, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 7, 1, 1, 3, 1, 1, 7, 1]"
A high-speed train now connects Paris and Berlin. The trains can move up to 300 km per hour.,3.8,2.2716,30,"[1, 5, 7, 7, 2, 6, 6, 6, 2, 7, 5, 1, 4, 1, 7, 5, 1, 1, 1, 6, 2, 4, 7, 5, 2, 5, 1, 3, 1, 3]"
A lighthouse guides ships to safety. A compass helps hikers find their way.,5.1034,1.7878,29,"[6, 6, 5, 5, 5, 2, 5, 2, 6, 2, 1, 4, 6, 7, 5, 6, 6, 3, 7, 5, 7, 7, 7, 2, 5, 6, 7, 6, 7]"
A menacing storm rolled across the horizon. Sailors hurried to secure their boats at the dock.,5.6667,1.5563,30,"[6, 5, 5, 7, 5, 6, 6, 5, 2, 7, 6, 5, 5, 7, 7, 7, 7, 7, 4, 5, 7, 7, 7, 7, 1, 5, 5, 7, 3, 7]"
A mountain climbing team reached the K2 summit. The ascent marked the fastest recorded climb of the peak.,5.7333,1.5261,30,"[6, 4, 6, 7, 6, 6, 7, 7, 2, 7, 6, 6, 5, 5, 7, 7, 6, 6, 3, 4, 7, 7, 7, 7, 1, 6, 5, 6, 6, 7]"
A new restaurant opened downtown last week. The eatery specializes in farm-to-table dishes.,3.5667,1.7829,30,"[3, 3, 6, 5, 5, 5, 4, 5, 2, 7, 5, 1, 5, 2, 7, 5, 1, 1, 4, 4, 2, 4, 4, 4, 1, 2, 2, 2, 5, 1]"
A productive morning routine sets the tone for the day. Starting with exercise or mindfulness boosts mental clarity.,2.3333,1.4907,30,"[1, 2, 1, 2, 2, 4, 1, 3, 2, 1, 1, 1, 2, 5, 1, 3, 2, 1, 1, 6, 3, 2, 4, 1, 3, 3, 1, 6, 4, 1]"
A rat gnawed through the cables in the walls. The power suddenly went out in the building.,3.0,1.4376,30,"[4, 2, 3, 5, 3, 4, 2, 4, 5, 1, 4, 1, 4, 2, 1, 2, 4, 2, 2, 4, 3, 1, 7, 2, 3, 4, 2, 2, 5, 2]"
A series of unusual occurrences plagued the small town. Residents gathered to discuss possible explanations.,3.0333,1.9405,30,"[2, 3, 2, 5, 4, 5, 4, 1, 7, 7, 2, 1, 5, 2, 7, 3, 6, 1, 1, 2, 4, 1, 1, 2, 1, 2, 2, 1, 4, 3]"
A solid education lays the foundation for future success. Knowledge gives people the skills to navigate life.,1.9333,1.8245,30,"[1, 1, 7, 2, 2, 1, 1, 3, 2, 1, 1, 1, 1, 4, 7, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 7]"
A tree provides a home for birds. A coral reef shelters fish.,5.9,1.6803,30,"[6, 7, 6, 7, 7, 6, 7, 4, 7, 7, 7, 7, 4, 7, 7, 7, 6, 7, 7, 5, 7, 7, 7, 7, 1, 3, 4, 4, 2, 7]"
A wildlife preserve was recently created in the Amazon. The reserve protects hundreds of endangered species,5.7,1.9175,30,"[6, 6, 6, 5, 4, 7, 6, 7, 2, 7, 7, 6, 6, 7, 7, 7, 7, 7, 7, 5, 7, 7, 7, 7, 1, 1, 5, 6, 1, 7]"
An intense heat wave swept across the city. People flocked to the beach to cool off in the water.,5.4828,1.6108,29,"[4, 7, 7, 6, 6, 3, 6, 7, 7, 5, 6, 7, 5, 7, 6, 5, 7, 2, 4, 5, 7, 7, 6, 3, 5, 5, 7, 6, 1]"
Consuming alcohol is dangerous for your health. People who drink too much are at risk for cancer.,1.6,1.4514,30,"[1, 2, 1, 1, 1, 1, 1, 2, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 6]"
