unit,mean,std,n,individual_ratings
Peter tried to remember what who carried when.,2.9333,1.9821,15,"[1, 2, 5, 2, 6, 1, 5, 6, 2, 1, 1, 1, 6, 3, 2]"
Peter tried to remember what who carried.,2.5,1.3496,14,"[2, 5, 2, 2, 1, 3, 1, 3, 1, 2, 3, 5, 1, 4]"
Peter tried to remember who carried what.,5.8667,1.3597,15,"[6, 7, 6, 4, 6, 6, 7, 7, 5, 5, 7, 7, 7, 2, 6]"
Peter tried to remember who litera what when.,1.2,0.5416,15,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1]"
The Maitre d' tried to figure out what who served to whom.,3.2143,1.6115,14,"[3, 3, 1, 4, 5, 5, 1, 2, 1, 4, 3, 5, 2, 6]"
The Maitre d' tried to figure out what who served.,2.6,1.5406,15,"[3, 2, 5, 6, 1, 2, 3, 4, 3, 1, 1, 1, 4, 2, 1]"
The Maitre d' tried to figure out who served what to whom.,5.6667,1.2472,15,"[5, 7, 5, 6, 7, 5, 7, 7, 4, 5, 7, 7, 5, 3, 5]"
The Maitre d' tried to figure out who served what.,5.5333,1.6275,15,"[7, 6, 1, 7, 5, 6, 7, 6, 6, 6, 7, 6, 6, 4, 3]"
The administrator tried to remember what who donated to whom.,3.0667,1.6918,15,"[5, 1, 1, 2, 5, 4, 6, 2, 5, 1, 3, 2, 1, 4, 4]"
The administrator tried to remember what who donated.,2.7333,1.6111,15,"[3, 1, 2, 3, 7, 4, 2, 1, 1, 5, 2, 2, 2, 2, 4]"
The administrator tried to remember who donated what to whom.,4.8667,1.8209,15,"[7, 7, 6, 2, 3, 5, 7, 5, 2, 7, 2, 4, 5, 6, 5]"
The administrator tried to remember who donated what.,6.0,1.3166,15,"[7, 7, 7, 7, 7, 6, 7, 3, 7, 6, 6, 5, 6, 3, 6]"
The architecture students were trying to memorize what who designed when.,2.9333,1.4817,15,"[2, 2, 5, 3, 1, 2, 3, 6, 3, 1, 1, 3, 5, 4, 3]"
The architecture students were trying to memorize what who designed.,3.0,1.3166,15,"[2, 2, 2, 3, 3, 5, 1, 4, 1, 5, 4, 5, 3, 2, 3]"
The architecture students were trying to memorize who designed what when.,4.4,1.5832,15,"[3, 6, 2, 4, 5, 4, 6, 6, 2, 3, 6, 5, 6, 6, 2]"
The architecture students were trying to memorize who designed what.,5.2667,1.4817,15,"[5, 6, 2, 5, 6, 4, 7, 7, 4, 5, 7, 7, 6, 3, 5]"
The bicycle shop owner tried to figure out what who rented to whom.,2.2667,1.4817,15,"[5, 2, 1, 2, 3, 3, 6, 3, 1, 1, 2, 1, 1, 2, 1]"
The bicycle shop owner tried to figure out what who rented.,3.0,1.5584,14,"[2, 2, 2, 6, 3, 2, 2, 3, 5, 1, 5, 3, 1, 5]"
The bicycle shop owner tried to figure out who rented what to whom.,5.5333,1.5861,15,"[7, 7, 6, 5, 7, 6, 7, 4, 1, 7, 6, 4, 5, 6, 5]"
The bicycle shop owner tried to figure out who rented what.,5.8667,1.0873,15,"[4, 7, 7, 7, 6, 7, 7, 6, 6, 6, 4, 6, 6, 4, 5]"
The cooking instructor was trying to remember what who cooked when.,3.8667,1.6275,15,"[4, 4, 6, 2, 7, 4, 5, 1, 2, 5, 3, 3, 5, 2, 5]"
The cooking instructor was trying to remember what who cooked.,2.2,1.1662,15,"[4, 1, 2, 2, 2, 4, 2, 2, 1, 2, 1, 2, 2, 5, 1]"
The cooking instructor was trying to remember who cooked what when.,5.2,1.222,15,"[5, 7, 6, 6, 5, 3, 6, 6, 6, 3, 4, 7, 5, 4, 5]"
The cooking instructor was trying to remember who cooked what.,6.4667,0.6182,15,"[6, 6, 6, 7, 6, 7, 7, 7, 6, 7, 7, 5, 6, 7, 7]"
The department head was trying to figure out what who left where.,3.0667,1.8427,15,"[5, 2, 6, 6, 1, 1, 2, 6, 3, 1, 1, 2, 4, 3, 3]"
The department head was trying to figure out what who left.,3.8,1.7588,15,"[2, 2, 5, 6, 5, 5, 1, 2, 1, 6, 6, 4, 5, 3, 4]"
The department head was trying to figure out who left what where.,5.0,1.3663,15,"[4, 6, 5, 6, 6, 5, 6, 5, 3, 2, 7, 6, 3, 6, 5]"
The department head was trying to figure out who left what.,5.0,1.8974,15,"[6, 6, 2, 3, 7, 3, 6, 7, 3, 4, 7, 7, 7, 2, 5]"
The elementary school teacher tried to remember what who read to whom.,3.4,2.0591,15,"[6, 1, 1, 3, 6, 5, 6, 1, 1, 4, 7, 2, 3, 3, 2]"
The elementary school teacher tried to remember what who read.,3.0667,1.7689,15,"[5, 1, 1, 2, 7, 4, 2, 1, 3, 4, 2, 5, 5, 2, 2]"
The elementary school teacher tried to remember who read what to whom.,5.4667,1.4545,15,"[7, 4, 5, 5, 7, 6, 6, 4, 2, 7, 4, 7, 5, 6, 7]"
The elementary school teacher tried to remember who read what.,6.3333,0.4714,15,"[6, 7, 7, 7, 6, 6, 7, 6, 7, 6, 6, 6, 6, 6, 6]"
The foreman asked what who sold to whom.,3.0667,1.7689,15,"[3, 1, 2, 2, 6, 2, 5, 1, 2, 3, 7, 3, 2, 2, 5]"
The foreman asked what who sold.,2.6667,1.4907,15,"[4, 1, 2, 3, 5, 3, 3, 6, 1, 1, 2, 1, 2, 4, 2]"
