unit,mean,std,n,individual_ratings
"A few months before his wedding, Walter hired a dancing coach. Though he was very clumsy at first, he worked hard at it for several hours every week. Consequently, he and his new wife enjoyed dancing the night away on their wedding night.",4.4304,0.7236,79,"[4, 5, 5, 4, 5, 5, 5, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 5, 4, 5, 5, 5, 4, 4, 4, 5, 3, 4, 5, 2, 5, 4, 5, 2, 5, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 4, 5, 4, 4, 4, 4, 5, 5, 3, 4, 5, 5, 5, 4, 5, 5, 3, 3, 4, 5, 4, 5, 4, 5]"
"A neighborhood bar was showing the baseball game Arthur wanted to watch. Since he wanted an unobstructed view of the screen, he made sure to arrive well before the game started. Later, the bar was packed, with sports fans in every seat.",4.1772,0.8383,79,"[5, 4, 5, 4, 5, 5, 3, 5, 4, 3, 4, 3, 5, 3, 5, 4, 4, 4, 5, 2, 5, 5, 4, 5, 4, 4, 5, 4, 4, 4, 4, 2, 4, 4, 5, 3, 3, 5, 5, 5, 3, 5, 3, 5, 4, 5, 5, 5, 4, 4, 5, 5, 3, 3, 5, 4, 3, 4, 5, 4, 3, 5, 3, 5, 4, 4, 5, 5, 3, 5, 5, 3, 4, 5, 5, 3, 4, 4, 5]"
"After dinner, Ian wanted some ice cream, so he headed to the corner store. When he got there, the store was closed. An electrical fault had shut down all their refrigeration.",3.8228,1.0645,79,"[5, 5, 4, 2, 3, 4, 4, 5, 3, 1, 5, 2, 1, 4, 4, 4, 4, 4, 5, 5, 3, 2, 4, 5, 5, 5, 5, 4, 3, 3, 4, 3, 5, 4, 4, 3, 4, 4, 5, 5, 3, 4, 4, 5, 3, 5, 5, 5, 3, 5, 3, 4, 4, 4, 5, 3, 2, 3, 4, 2, 4, 4, 4, 3, 4, 4, 4, 2, 5, 5, 5, 3, 5, 3, 5, 5, 2, 2, 3]"
"After her soccer game, Johanna went straight to a restaurant. She'd had a solid breakfast, though she hadn't eaten for hours since then. Consequently, she was ravenously hungry now.",4.0,1.2247,20,"[5, 5, 5, 2, 5, 3, 3, 5, 5, 2, 5, 4, 3, 2, 5, 5, 5, 4, 2, 5]"
"After her soccer game, Johanna went straight to a restaurant. She'd had a solid breakfast, though she hadn't eaten for hours since then. She was ravenously hungry now.",4.0,1.0954,20,"[5, 2, 3, 4, 2, 4, 4, 4, 5, 3, 5, 4, 5, 5, 5, 2, 5, 3, 5, 5]"
"After her soccer game, Johanna went straight to a restaurant. Though she hadn't eaten for hours since then, she'd had a solid breakfast. Consequently, she was ravenously hungry now.",3.5,1.3601,20,"[1, 4, 4, 4, 5, 2, 5, 4, 5, 2, 2, 5, 2, 5, 5, 5, 2, 3, 3, 2]"
"After her soccer game, Johanna went straight to a restaurant. Though she hadn't eaten for hours since then, she'd had a solid breakfast. She was ravenously hungry now.",3.5556,0.9558,18,"[4, 4, 4, 2, 4, 3, 2, 5, 5, 3, 2, 4, 4, 3, 3, 5, 4, 3]"
"After her vacation, Deborah needed to catch up at work. She spent a quiet Sunday afternoon at the office, while no one else was around. The next day, she was back up to speed and ready to go.",4.4744,0.7962,78,"[5, 5, 1, 4, 5, 5, 5, 5, 3, 3, 5, 4, 4, 5, 5, 3, 5, 5, 5, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 3, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 3, 5, 5, 5, 3, 5, 5, 4, 5, 5, 5, 5, 4, 4, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 3, 4]"
"After work today, Noah went rock climbing. Though he prefers to climb outside, the rock gym is much more convenient. Next weekend, he's taking a weekend trip to do some outdoor climbing.",4.2278,0.8105,79,"[5, 5, 5, 4, 5, 5, 4, 5, 3, 4, 5, 2, 5, 3, 4, 3, 5, 4, 5, 4, 4, 4, 3, 5, 4, 4, 5, 4, 4, 3, 4, 4, 4, 4, 4, 2, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 4, 5, 5, 3, 3, 4, 5, 3, 3, 4, 4, 4, 4, 4, 5, 4, 5, 5, 5, 2, 5, 5, 5, 3, 5, 4, 5, 4, 4, 4, 5]"
"Alan wants to be an expert poker player. Before spending money on lessons, he wants to brush up his skills by improving on his own. So, he's been reading a lot of poker books and playing games online.",4.5385,0.7458,78,"[5, 5, 5, 4, 4, 5, 5, 5, 5, 5, 2, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 5, 4, 5, 5, 5, 3, 5, 4, 4, 4, 4, 5, 4, 5, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 4, 3, 1, 4, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 4, 4, 5, 5, 5]"
"Allison is hosting a large dinner party tonight. While she was in the middle of cooking, she discovered that she had run out of butter. She asked her best friend if she could show up early and bring more butter.",4.2436,1.0644,78,"[5, 5, 2, 5, 5, 4, 5, 4, 4, 5, 4, 5, 4, 5, 5, 3, 4, 5, 3, 5, 5, 5, 5, 4, 4, 2, 4, 5, 2, 5, 3, 5, 4, 5, 4, 5, 5, 3, 2, 5, 1, 5, 1, 5, 2, 3, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 4, 5, 2, 5, 4, 5, 3, 5, 5, 3, 5, 5, 5, 5]"
"Andrew misplaces the the auto maintenance reminders he gets in the mail. He always had visiting his mechanic on his to-do list, though he hadn't changed oil in his car for almost a year. Consequently, his car broke down on a hot summer afternoon.",4.35,0.7263,20,"[5, 3, 5, 4, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 4, 3, 5, 5, 3, 5]"
"Andrew misplaces the the auto maintenance reminders he gets in the mail. He always had visiting his mechanic on his to-do list, though he hadn't changed oil in his car for almost a year. His car broke down on a hot summer afternoon.",4.05,1.1608,20,"[5, 1, 5, 5, 4, 4, 4, 5, 5, 2, 5, 5, 3, 4, 5, 5, 3, 3, 3, 5]"
