unit,mean,std,n,individual_ratings
jonah_annakarenina_AA.aiff,4.4,0.9434,160,"[5, 5, 4, 4, 2, 4, 5, 5, 4, 3, 5, 5, 5, 4, 4, 5, 3, 4, 5, 5, 5, 3, 5, 5, 5, 5, 4, 4, 5, 5, 5, 5, 4, 4, 1, 1, 5, 5, 5, 4, 4, 5, 3, 3, 5, 4, 5, 5, 2, 3, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 1, 3, 4, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 2, 3, 2, 5, 5, 4, 4, 4, 5, 4, 4, 4, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 4, 5, 5, 4, 4, 5, 4, 2, 5, 5, 4, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5]"
jonah_annakarenina_AAb.aiff,4.1375,1.0868,160,"[5, 5, 4, 4, 4, 5, 4, 5, 4, 4, 5, 5, 3, 3, 5, 4, 3, 5, 4, 5, 2, 4, 5, 5, 4, 2, 4, 4, 5, 5, 4, 4, 4, 5, 1, 4, 5, 5, 4, 5, 4, 5, 2, 3, 3, 5, 5, 5, 2, 3, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 1, 1, 2, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 3, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 2, 5, 5, 5, 5, 4, 4, 2, 3, 2, 2, 4, 5, 4, 4, 5, 4, 4, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 5, 5, 3, 4, 2, 2, 2, 5, 3, 2, 5, 5, 4, 4, 2, 5, 4, 4, 5, 5, 4, 4, 5, 5, 3, 2, 4, 5, 4, 5, 4, 5]"
jonah_annakarenina_AB.aiff,4.2313,1.026,160,"[5, 5, 4, 4, 3, 3, 5, 5, 3, 4, 5, 5, 3, 2, 4, 5, 3, 3, 5, 5, 3, 3, 5, 5, 3, 4, 4, 4, 5, 5, 4, 3, 5, 4, 1, 1, 5, 5, 4, 4, 5, 5, 3, 3, 5, 4, 5, 5, 3, 3, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 1, 1, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 2, 5, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 2, 5, 2, 2, 5, 5, 4, 4, 4, 5, 4, 4, 3, 3, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 3, 3, 5, 5, 4, 4, 3, 3, 3, 4, 2, 4, 5, 5, 3, 4, 5, 5, 4, 4, 5, 5, 5, 4, 5, 5, 3, 3, 5, 4, 5, 5, 5, 5]"
jonah_annakarenina_AbA.aiff,4.3438,0.9621,160,"[5, 5, 4, 4, 2, 4, 5, 5, 5, 4, 5, 5, 4, 4, 4, 5, 3, 3, 5, 5, 3, 2, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 4, 4, 4, 1, 5, 5, 5, 5, 5, 5, 3, 4, 5, 4, 5, 5, 3, 1, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 1, 3, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 4, 4, 4, 5, 5, 1, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 5, 4, 4, 2, 5, 3, 2, 5, 4, 4, 4, 5, 5, 4, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 4, 2, 3, 3, 5, 5, 4, 4, 5, 5, 4, 4, 5, 5, 4, 2, 5, 5, 4, 5, 5, 4, 5, 5, 5, 4]"
jonah_annakarenina_AbAb.aiff,4.0943,1.092,159,"[5, 5, 4, 4, 4, 4, 4, 5, 2, 2, 5, 5, 4, 4, 5, 5, 2, 2, 4, 5, 2, 2, 5, 5, 3, 3, 4, 4, 5, 5, 4, 4, 4, 4, 4, 2, 5, 5, 5, 4, 4, 5, 3, 3, 3, 4, 5, 5, 3, 2, 5, 5, 4, 4, 5, 5, 5, 5, 5, 3, 1, 1, 3, 3, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 4, 4, 5, 2, 4, 1, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 4, 5, 3, 3, 2, 3, 5, 5, 4, 4, 5, 4, 4, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 2, 3, 5, 5, 4, 4, 2, 2, 2, 2, 3, 4, 5, 5, 3, 4, 5, 5, 4, 4, 5, 5, 3, 4, 5, 5, 3, 3, 4, 4, 5, 5, 5, 5]"
jonah_annakarenina_BA.aiff,4.3774,0.9821,159,"[5, 5, 4, 4, 4, 2, 5, 5, 5, 3, 5, 5, 4, 4, 5, 4, 2, 2, 5, 5, 2, 2, 5, 5, 5, 5, 4, 4, 5, 5, 5, 4, 4, 4, 4, 2, 5, 5, 5, 5, 5, 5, 3, 3, 4, 5, 5, 5, 3, 2, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 1, 5, 3, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4, 2, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 4, 5, 5, 1, 3, 3, 5, 5, 4, 4, 5, 5, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 4, 3, 5, 5, 4, 4, 5, 4, 5, 2, 3, 5, 5, 4, 4, 5, 5, 4, 4, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
jonah_annakarenina_BB.aiff,3.9312,1.2506,160,"[5, 5, 4, 4, 4, 3, 5, 5, 4, 3, 5, 5, 4, 2, 4, 5, 1, 3, 4, 4, 2, 4, 5, 5, 3, 2, 3, 4, 5, 5, 4, 4, 4, 4, 2, 1, 5, 5, 5, 2, 5, 5, 3, 3, 4, 4, 5, 5, 1, 2, 5, 5, 4, 4, 5, 5, 5, 5, 4, 3, 1, 1, 2, 2, 5, 4, 5, 5, 5, 5, 2, 1, 5, 5, 4, 5, 5, 4, 4, 4, 2, 3, 1, 1, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 2, 2, 5, 5, 5, 5, 4, 5, 4, 3, 2, 2, 5, 5, 4, 4, 4, 5, 4, 4, 1, 3, 5, 5, 5, 5, 5, 5, 5, 5, 2, 4, 3, 3, 5, 5, 4, 4, 3, 2, 3, 2, 1, 4, 5, 5, 4, 4, 5, 5, 4, 3, 5, 5, 3, 2, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5]"
jonah_australia_AA.aiff,4.525,0.8584,160,"[5, 5, 4, 4, 4, 5, 5, 5, 4, 4, 5, 5, 4, 4, 3, 5, 3, 3, 5, 5, 3, 2, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 2, 1, 5, 5, 5, 5, 5, 5, 3, 4, 5, 5, 5, 5, 2, 3, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 5, 4, 5, 5, 5, 4, 4, 5, 5, 4, 4, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 3, 5, 5, 4, 4, 5, 4, 4, 5, 2, 5, 5, 5, 4, 3, 5, 5, 4, 3, 5, 5, 5, 4, 5, 5, 3, 3, 4, 5, 5, 5, 5, 4]"
jonah_australia_AAb.aiff,4.275,0.9934,160,"[5, 5, 4, 4, 2, 5, 5, 4, 3, 4, 5, 5, 4, 5, 3, 5, 2, 3, 3, 5, 2, 2, 5, 5, 4, 3, 4, 4, 5, 5, 4, 4, 5, 5, 4, 1, 5, 5, 4, 5, 5, 5, 4, 4, 4, 5, 5, 5, 3, 4, 5, 5, 4, 4, 5, 5, 5, 5, 5, 5, 4, 3, 2, 3, 4, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 5, 5, 5, 5, 2, 4, 4, 5, 5, 5, 4, 4, 5, 5, 4, 4, 2, 4, 5, 5, 5, 5, 5, 5, 5, 5, 2, 5, 3, 4, 5, 5, 4, 4, 2, 2, 2, 4, 4, 3, 5, 5, 4, 4, 5, 5, 4, 3, 5, 5, 4, 5, 5, 5, 1, 2, 4, 4, 5, 5, 5, 4]"
jonah_australia_AB.aiff,4.2075,1.0284,159,"[5, 5, 4, 4, 4, 4, 5, 4, 3, 4, 5, 5, 3, 4, 4, 4, 3, 4, 4, 5, 2, 2, 5, 5, 5, 4, 4, 4, 5, 5, 3, 5, 5, 5, 1, 1, 5, 5, 4, 4, 5, 5, 4, 4, 5, 4, 5, 5, 1, 1, 5, 5, 4, 4, 5, 5, 5, 5, 4, 5, 2, 1, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 4, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 2, 4, 5, 5, 5, 5, 4, 4, 3, 4, 4, 4, 5, 5, 4, 4, 4, 4, 4, 4, 2, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 2, 3, 4, 5, 5, 4, 4, 2, 2, 4, 3, 2, 5, 5, 5, 4, 4, 5, 5, 3, 3, 5, 5, 3, 4, 5, 5, 2, 3, 4, 4, 5, 5, 5, 4]"
