unit,mean,std,n,individual_ratings
A CEO hired a new analyst and needed to find him an office. Target: The CEO assigned the analyst the office.,3.0,1.0,2,"[2, 4]"
A CEO hired a new analyst and needed to find him an office. Target: The CEO assigned the office to the analyst.,3.25,1.0897,4,"[5, 3, 3, 2]"
"A CEO recently fired his secretary, and therefore the secretary's office needed to be reassigned. Target: The CEO assigned an analyst the office.",2.6667,0.4714,3,"[3, 3, 2]"
"A CEO recently fired his secretary, and therefore the secretary's office needed to be reassigned. Target: The CEO assigned the office to an analyst.",4.0,1.069,7,"[2, 5, 5, 5, 4, 4, 3]"
"A CEO was having some trouble running his business, so he hired an analyst to make recommendations on securities. Target: The CEO assigned an office to the analyst.",3.4,1.9596,5,"[1, 1, 5, 5, 5]"
"A CEO was having some trouble running his business, so he hired an analyst to make recommendations on securities. Target: The CEO assigned the analyst an office.",4.6667,0.4714,3,"[5, 5, 4]"
A CEO was making some decisions about the placement of his new employees. Target: The CEO assigned an analyst an office.,4.0,0.0,3,"[4, 4, 4]"
A CEO was making some decisions about the placement of his new employees. Target: The CEO assigned an office to an analyst.,4.6667,0.4714,3,"[5, 4, 5]"
A bartender had a beer left over as he was closing up and asked a dancer if she was thirsty. Target: The bartender offered the beer to the dancer.,5.0,0.0,4,"[5, 5, 5, 5]"
A bartender had a beer left over as he was closing up and asked a dancer if she was thirsty. Target: The bartender offered the dancer the beer.,4.4,1.2,5,"[2, 5, 5, 5, 5]"
"A bartender was closing up at the end of the night, and he had only one remaining beer behind the bar. Target: The bartender offered a dancer the beer.",3.0,0.8165,3,"[4, 2, 3]"
"A bartender was closing up at the end of the night, and he had only one remaining beer behind the bar. Target: The bartender offered the beer to a dancer.",4.0,1.2247,4,"[4, 5, 5, 2]"
"A bartender was closing up at the end of the night, and he struck up a conversation with a dancer at the bar. Target: The bartender offered a beer to the dancer.",4.8,0.4,5,"[4, 5, 5, 5, 5]"
"A bartender was closing up at the end of the night, and he struck up a conversation with a dancer at the bar. Target: The bartender offered the dancer a beer.",4.0,0.0,2,"[4, 4]"
"A bartender was in a good mood and so looked around to see who was left, hoping to offer someone a free drink. Target: The bartender offered a beer to a dancer.",4.0,1.0954,5,"[4, 2, 5, 4, 5]"
"A bartender was in a good mood and so looked around to see who was left, hoping to offer someone a free drink. Target: The bartender offered a dancer a beer.",5.0,0.0,2,"[5, 5]"
A cheerleader at UMass prepared for the biggest athletic event of the year by designing a banner on her computer. Target: The cheerleader made a swimmer the banner.,1.0,,1,[1]
A cheerleader at UMass prepared for the biggest athletic event of the year by designing a banner on her computer. Target: The cheerleader made the banner for a swimmer.,3.0,1.6733,5,"[4, 1, 1, 5, 4]"
A cheerleader at UMass was in charge of designing merchandise spectators could buy to support their favorite athletes at the biggest athletic event of the year. Target: The cheerleader made a banner for a swimmer.,3.0,1.6583,8,"[4, 4, 1, 5, 5, 3, 1, 1]"
A cheerleader at UMass was in charge of designing merchandise spectators could buy to support their favorite athletes at the biggest athletic event of the year. Target: The cheerleader made a swimmer a banner.,3.3333,0.4714,3,"[3, 3, 4]"
