unit,mean,std,n,individual_ratings
Amanda choked Jessica because she was a cham,2.0667,0.6856,60,"[2, 3, 1, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2, 1, 2, 2, 2, 3, 2, 1, 1, 2, 1, 3, 2, 2, 2, 1, 2, 2, 3, 2, 3, 3, 2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 3, 1, 2, 1, 3, 3, 2, 3, 2]"
Amanda delighted Jenny because she was a zib,2.1375,0.6109,80,"[2, 3, 1, 2, 2, 2, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 2, 2, 1, 3, 2, 2, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 2, 3, 3, 2, 3, 3, 3, 1, 2, 3, 2]"
Amy shook Justin because he was a zad,2.7000,0.5603,80,"[3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 3, 3, 2, 3, 2, 3, 3, 3, 3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 1, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 2]"
Amy shook Kate because she was a dax,2.0250,0.6157,80,"[2, 3, 1, 2, 2, 2, 2, 2, 2, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 2, 1, 2, 2, 3, 1, 2, 3, 2, 1, 2, 1, 2, 3, 2, 3, 1, 2, 2, 3, 2, 3, 3, 3, 1, 2, 2, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2]"
Angela healed Kim because she was a gan,2.0875,0.6787,80,"[2, 2, 1, 2, 2, 2, 2, 1, 3, 2, 3, 1, 2, 2, 1, 2, 2, 2, 1, 2, 2, 1, 3, 1, 3, 1, 2, 2, 1, 2, 2, 2, 3, 2, 3, 2, 2, 2, 1, 3, 1, 3, 3, 2, 1, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 2, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 2, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2]"
Anne rocked Lisa because she was a heaf,2.0125,0.6655,80,"[2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 3, 1, 3, 1, 3, 2, 2, 2, 1, 2, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 3, 1, 3, 2, 2, 2, 2, 2, 3, 1, 2, 3, 2, 1, 2, 1, 3, 3, 2, 3, 2, 2, 2, 3, 2, 3, 3, 2, 1, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 2, 2]"
Ben bounced Amy because he was a twib,2.7125,0.5779,80,"[3, 3, 1, 3, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 3, 2, 3, 3, 2, 3, 2, 2, 2, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]"
Ben bounced Eric because he was a bick,2.1000,0.7044,80,"[2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 1, 3, 3, 1, 2, 1, 2, 2, 3, 3, 2, 3, 2, 2, 3, 1, 3, 2, 3, 2, 2, 1, 2, 2, 3, 2, 2, 3, 2, 1, 2, 1, 1, 3, 2, 3, 1, 2, 2, 3, 2, 3, 2, 3, 1, 2, 2, 3, 3, 2, 3, 2, 3, 1, 2, 3, 2]"
Ben enjoyed Anne because he was a kupe,2.7722,0.5051,79,"[3, 3, 3, 3, 2, 2, 3, 3, 3, 1, 3, 3, 2, 3, 3, 3, 3, 3, 3, 2, 3, 2, 3, 3, 3, 3, 2, 2, 2, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 1, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2]"
Ben enjoyed Diego because he was a tem,2.1375,0.6313,80,"[2, 3, 3, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 3, 1, 2, 1, 2, 2, 2, 3, 2, 3, 3, 2, 2, 1, 3, 1, 3, 2, 2, 2, 2, 2, 3, 2, 2, 3, 2, 1, 3, 1, 2, 3, 1, 3, 3, 2, 2, 3, 2, 3, 3, 3, 1, 2, 1, 2, 3, 2, 2, 3, 3, 2, 2, 2, 2]"
