unit,mean,std,n,individual_ratings
Please select the second option from the left .,2.2917,0.8925,120,"[2, 2, 2, 5, 2, 2, 2, 2, 2, 5, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 2, 2, 5, 2, 2, 3, 5, 2, 2, 2, 2, 2, 5, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 2, 2, 5, 2, 2, 5, 2, 2, 2, 2, 2, 2]"
Please select the second option from the right .,4.025,0.493,120,"[4, 4, 4, 5, 4, 4, 4, 4, 4, 5, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 1, 4, 4, 3, 5, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 5, 4, 4, 4, 4, 4, 4]"
The affle broke .,4.3,1.2517,10,"[5, 5, 1, 4, 5, 5, 5, 4, 4, 5]"
The affle broke to the haffew.,3.2,1.3166,10,"[3, 5, 3, 4, 3, 4, 2, 2, 5, 1]"
The affle cooked .,3.6667,1.6583,9,"[5, 5, 2, 5, 5, 5, 2, 3, 1]"
The affle cooked to the haffew.,1.8,0.7888,10,"[1, 1, 1, 2, 2, 3, 2, 3, 1, 2]"
The affle excused .,2.6,0.8433,10,"[3, 2, 4, 3, 4, 2, 2, 2, 2, 2]"
The affle excused to the haffew.,2.4,1.4298,10,"[3, 4, 3, 3, 1, 5, 2, 1, 1, 1]"
The affle got .,2.1,1.2867,10,"[3, 1, 1, 1, 3, 2, 2, 2, 5, 1]"
The affle got to the haffew.,3.8,1.0328,10,"[3, 5, 3, 5, 4, 5, 4, 3, 4, 2]"
The affle jumped .,4.9,0.3162,10,"[5, 5, 5, 4, 5, 5, 5, 5, 5, 5]"
The affle jumped to the haffew.,4.1,0.8756,10,"[5, 3, 4, 3, 5, 4, 5, 4, 5, 3]"
The affle loved .,4.0,0.9428,10,"[4, 4, 4, 2, 5, 4, 4, 3, 5, 5]"
The affle loved to the haffew.,1.7,0.9487,10,"[2, 4, 1, 2, 1, 2, 1, 2, 1, 1]"
The aggit ate .,4.9,0.3162,10,"[5, 5, 5, 5, 4, 5, 5, 5, 5, 5]"
The aggit ate the thrazzle to chatoon herself.,4.0,1.2472,10,"[5, 4, 3, 4, 4, 5, 1, 5, 5, 4]"
The aggit changed .,4.7,0.6749,10,"[5, 5, 4, 5, 5, 5, 5, 3, 5, 5]"
The aggit changed the thrazzle to chatoon herself.,3.7,1.3375,10,"[5, 2, 2, 5, 5, 5, 3, 4, 2, 4]"
The aggit did .,3.3,1.6364,10,"[2, 5, 5, 2, 1, 2, 5, 4, 2, 5]"
The aggit did the thrazzle to chatoon herself.,2.8,1.6193,10,"[1, 1, 2, 5, 4, 5, 3, 4, 2, 1]"
The aggit fixed .,3.1,1.1972,10,"[2, 5, 2, 3, 4, 5, 2, 2, 3, 3]"
The aggit fixed the thrazzle to chatoon herself.,4.0,0.9428,10,"[4, 4, 4, 2, 4, 5, 5, 3, 4, 5]"
The aggit held .,3.7,1.3375,10,"[4, 2, 3, 5, 4, 4, 1, 5, 4, 5]"
The aggit held the thrazzle to chatoon herself.,3.1,1.1005,10,"[1, 4, 2, 3, 4, 4, 2, 4, 3, 4]"
The aggit let .,1.8889,0.928,9,"[3, 1, 3, 1, 3, 2, 1, 1, 2]"
The aggit let the thrazzle to chatoon herself.,2.4444,1.0138,9,"[3, 4, 1, 2, 2, 4, 2, 2, 2]"
The alpheme called that the quatch was launty.,3.2,0.9189,10,"[2, 4, 3, 3, 2, 3, 3, 3, 4, 5]"
The alpheme called the zib to the versall.,3.6,1.5055,10,"[2, 1, 5, 5, 4, 5, 4, 3, 2, 5]"
The alpheme cracked that the quatch was launty.,2.5,1.354,10,"[1, 2, 1, 3, 3, 2, 5, 3, 1, 4]"
The alpheme cracked the zib to the versall.,3.0,0.9428,10,"[3, 2, 3, 3, 3, 5, 3, 2, 2, 4]"
The alpheme fell that the quatch was launty.,2.0,1.2472,10,"[3, 2, 5, 1, 2, 2, 1, 1, 1, 2]"
The alpheme fell the zib to the versall.,2.5,1.0801,10,"[2, 2, 2, 2, 4, 4, 4, 1, 2, 2]"
The alpheme guessed that the quatch was launty.,4.7,0.6749,10,"[5, 5, 5, 5, 3, 5, 5, 5, 5, 4]"
The alpheme guessed the zib to the versall.,2.7,1.2517,10,"[3, 4, 1, 2, 2, 3, 3, 3, 1, 5]"
The alpheme kicked that the quatch was launty.,1.7,0.483,10,"[2, 2, 1, 2, 2, 2, 2, 2, 1, 1]"
The alpheme kicked the zib to the versall.,4.1,1.1972,10,"[4, 4, 5, 5, 4, 4, 1, 5, 5, 4]"
The alpheme marched that the quatch was launty.,2.1,1.1005,10,"[1, 2, 4, 1, 1, 3, 3, 3, 2, 1]"
The alpheme marched the zib to the versall.,3.9,1.1005,10,"[4, 2, 4, 4, 4, 5, 5, 5, 2, 4]"
The alpith happened the dasp.,2.0,1.4142,10,"[1, 2, 2, 1, 1, 1, 1, 5, 2, 4]"
The alpith happened the neeve to the zaft.,1.6,0.6992,10,"[2, 1, 1, 2, 1, 3, 2, 2, 1, 1]"
The alpith laid the dasp.,4.0,1.1547,10,"[5, 2, 4, 5, 4, 5, 5, 4, 2, 4]"
The alpith laid the neeve to the zaft.,3.0,1.0541,10,"[3, 2, 5, 3, 4, 2, 2, 2, 4, 3]"
The alpith missed the dasp.,4.0,1.2472,10,"[2, 2, 5, 5, 5, 5, 4, 4, 3, 5]"
The alpith missed the neeve to the zaft.,3.7,1.3375,10,"[5, 5, 3, 4, 2, 5, 4, 2, 2, 5]"
The arflick brought that the vaploor was gloonippy.,2.3,1.1595,10,"[3, 2, 3, 4, 4, 1, 1, 1, 2, 2]"
The arflick brought the glarf to minchet something.,3.6,1.5055,10,"[5, 4, 4, 5, 4, 5, 1, 1, 4, 3]"
The arflick counted that the vaploor was gloonippy.,2.7,1.4181,10,"[2, 1, 3, 5, 3, 5, 2, 3, 2, 1]"
The arflick counted the glarf to minchet something.,2.9,1.1005,10,"[2, 3, 3, 5, 1, 3, 2, 3, 3, 4]"
The arflick fed that the vaploor was gloonippy.,1.6,0.5164,10,"[2, 2, 1, 2, 2, 2, 1, 2, 1, 1]"
The arflick fed the glarf to minchet something.,2.9,1.3703,10,"[3, 1, 4, 3, 5, 2, 5, 2, 2, 2]"
The arflick grew that the vaploor was gloonippy.,2.3,1.2517,10,"[2, 3, 1, 1, 3, 2, 5, 1, 3, 2]"
The arflick grew the glarf to minchet something.,2.4,0.8433,10,"[2, 3, 3, 2, 2, 4, 1, 2, 2, 3]"
The arflick kept that the vaploor was gloonippy.,2.0,0.6667,10,"[2, 2, 1, 1, 2, 2, 3, 3, 2, 2]"
The arflick kept the glarf to minchet something.,4.3333,0.866,9,"[4, 5, 4, 5, 3, 5, 5, 5, 3]"
The arflick made that the vaploor was gloonippy.,1.6,0.9661,10,"[1, 2, 1, 1, 2, 1, 2, 1, 1, 4]"
The arflick made the glarf to minchet something.,3.5,1.1785,10,"[4, 5, 5, 4, 3, 4, 3, 3, 1, 3]"
The arp asked .,4.0,1.0541,10,"[5, 5, 4, 3, 4, 4, 5, 5, 3, 2]"
The arp asked the leepom to rabone around.,3.8,1.5492,10,"[5, 5, 1, 5, 5, 4, 2, 4, 5, 2]"
The arp caught .,2.6,1.3499,10,"[3, 1, 2, 4, 4, 5, 2, 2, 1, 2]"
