unit,mean,std,n,individual_ratings
The accountant was determined to balance every account that his most extravagant client did.,2.4,1.1212,15,"[1, 1, 4, 3, 4, 2, 1, 3, 1, 2, 2, 3, 3, 4, 2]"
The accountant was determined to balance every account that his most extravagant client overdrafted.,3.9286,1.1411,14,"[4, 4, 3, 2, 5, 2, 4, 5, 5, 5, 3, 5, 3, 5]"
The accountant was determined to balance the account that his most extravagant client did.,2.9333,0.9612,15,"[4, 3, 2, 1, 3, 2, 3, 4, 2, 4, 4, 4, 2, 3, 3]"
The accountant was determined to balance the account that his most extravagant client overdrafted.,4.2667,0.8837,15,"[3, 5, 5, 4, 5, 4, 4, 4, 2, 4, 5, 5, 5, 4, 5]"
The accountant was persuaded to allow every audit that his financially responsible colleague did.,3.4667,0.8338,15,"[3, 4, 3, 3, 5, 3, 4, 4, 3, 2, 4, 4, 4, 2, 4]"
The accountant was persuaded to allow every audit that his financially responsible colleague suggested.,3.7333,1.4376,15,"[1, 5, 1, 3, 3, 5, 5, 2, 4, 4, 5, 4, 4, 5, 5]"
The accountant was persuaded to allow the audit that his financially responsible colleague did.,2.8667,0.9904,15,"[2, 3, 3, 2, 3, 5, 3, 3, 3, 4, 1, 4, 2, 2, 3]"
The accountant was persuaded to allow the audit that his financially responsible colleague suggested.,3.8,1.2649,15,"[5, 4, 5, 4, 1, 5, 3, 4, 5, 5, 4, 2, 2, 4, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist recommended.,4.2667,0.7988,15,"[2, 5, 4, 5, 5, 4, 4, 4, 4, 5, 4, 4, 5, 5, 4]"
The ambitious and determined dentist was ignoring every paste that the overly competitive hygienist was.,3.0,1.069,15,"[3, 5, 4, 3, 2, 2, 3, 3, 1, 3, 2, 4, 4, 4, 2]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist recommended.,4.0667,1.0998,15,"[5, 5, 4, 5, 5, 5, 5, 3, 2, 2, 4, 5, 3, 4, 4]"
The ambitious and determined dentist was ignoring the paste that the overly competitive hygienist was.,1.7333,0.7988,15,"[1, 2, 2, 2, 2, 4, 1, 2, 1, 2, 1, 1, 1, 2, 2]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist uncovered.,3.9333,1.0328,15,"[5, 4, 4, 5, 3, 2, 5, 4, 4, 4, 2, 5, 3, 5, 4]"
The ambitious grave robber was digging up every tomb that the very ambitious archaeologist was.,3.1429,1.3506,14,"[1, 4, 3, 4, 1, 2, 4, 3, 4, 4, 5, 1, 4, 4]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist uncovered.,4.0,1.1339,15,"[5, 3, 5, 2, 4, 5, 4, 3, 5, 4, 3, 2, 5, 5, 5]"
The ambitious grave robber was digging up the tomb that the very ambitious archaeologist was.,1.9333,1.0328,15,"[3, 1, 2, 1, 4, 2, 1, 1, 2, 2, 4, 2, 1, 2, 1]"
The ambitious rock collector was going after every fossil that the highly specialized geologist unearthed.,4.3333,1.291,15,"[5, 5, 5, 2, 5, 5, 5, 5, 5, 5, 3, 1, 4, 5, 5]"
The ambitious rock collector was going after every fossil that the highly specialized geologist was.,3.2,1.0823,15,"[4, 3, 3, 3, 4, 4, 2, 2, 2, 2, 5, 3, 5, 2, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist unearthed.,4.2857,0.8254,14,"[5, 2, 5, 5, 4, 4, 4, 4, 5, 4, 5, 4, 5, 4]"
The ambitious rock collector was going after the fossil that the highly specialized geologist was.,3.7333,1.0328,15,"[2, 3, 4, 5, 3, 4, 4, 2, 4, 5, 3, 5, 3, 5, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand released.,4.4667,0.5164,15,"[5, 4, 5, 5, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4, 4]"
The anxious old farmer was rounding up every cow that the ignorant farm hand was.,2.4,1.0556,15,"[1, 3, 2, 4, 2, 1, 4, 2, 1, 2, 4, 2, 3, 3, 2]"
The anxious old farmer was rounding up the cow that the ignorant farm hand released.,4.0769,1.1875,13,"[3, 5, 2, 4, 5, 5, 3, 5, 5, 4, 2, 5, 5]"
The anxious old farmer was rounding up the cow that the ignorant farm hand was.,1.9333,0.8837,15,"[4, 2, 2, 1, 3, 2, 1, 2, 1, 2, 3, 2, 1, 2, 1]"
The artist was content to accept every grant that his somewhat reluctant agent did.,3.2,0.8619,15,"[4, 3, 3, 4, 2, 2, 2, 3, 4, 2, 4, 4, 4, 3, 4]"
The artist was content to accept every grant that his somewhat reluctant agent offered.,4.1333,1.1255,15,"[1, 5, 5, 3, 4, 4, 4, 3, 4, 4, 5, 5, 5, 5, 5]"
The artist was content to accept the grant that his somewhat reluctant agent did.,3.0667,1.1629,15,"[2, 5, 2, 2, 1, 5, 4, 4, 3, 3, 3, 3, 4, 2, 3]"
The artist was content to accept the grant that his somewhat reluctant agent offered.,4.1333,1.0601,15,"[5, 4, 5, 2, 5, 5, 4, 4, 5, 4, 3, 2, 5, 4, 5]"
The artist was prepared to hire every model that the extremely successful sculptor did.,3.0,1.3093,15,"[1, 4, 4, 3, 5, 3, 3, 1, 1, 4, 4, 2, 4, 4, 2]"
The artist was prepared to hire every model that the extremely successful sculptor snubbed.,4.0,0.8452,15,"[5, 4, 4, 4, 5, 4, 4, 4, 4, 3, 2, 5, 4, 3, 5]"
The artist was prepared to hire the model that the extremely successful sculptor did.,3.3333,0.9759,15,"[4, 2, 2, 5, 4, 4, 2, 4, 4, 3, 4, 4, 2, 3, 3]"
The artist was prepared to hire the model that the extremely successful sculptor snubbed.,3.9333,1.0328,15,"[3, 5, 5, 4, 4, 3, 3, 5, 2, 3, 5, 5, 5, 4, 3]"
The artistic film producer was reading through every screenplay that the perpetually impatient director suggested.,4.2667,0.9612,15,"[5, 4, 5, 4, 4, 5, 3, 3, 5, 5, 4, 2, 5, 5, 5]"
The artistic film producer was reading through every screenplay that the perpetually impatient director was.,2.7333,1.387,15,"[2, 1, 3, 1, 4, 4, 2, 1, 4, 2, 3, 2, 5, 2, 5]"
The artistic film producer was reading through the screenplay that the perpetually impatient director suggested.,4.2667,0.5936,15,"[5, 5, 4, 5, 4, 4, 3, 4, 4, 4, 4, 5, 4, 5, 4]"
The artistic film producer was reading through the screenplay that the perpetually impatient director was.,2.7333,1.2799,15,"[1, 3, 4, 4, 1, 2, 2, 1, 3, 5, 4, 2, 2, 4, 3]"
The author was committed to editing every page that her very thorough publisher did.,3.9333,0.7037,15,"[4, 4, 4, 3, 5, 5, 4, 3, 3, 5, 4, 4, 4, 3, 4]"
The author was committed to editing every page that her very thorough publisher read.,4.0667,1.0328,15,"[3, 2, 5, 3, 4, 5, 3, 5, 5, 5, 4, 3, 5, 4, 5]"
The author was committed to editing the page that her very thorough publisher did.,3.0,1.069,15,"[4, 2, 4, 4, 1, 2, 3, 2, 3, 4, 4, 4, 2, 2, 4]"
The author was committed to editing the page that her very thorough publisher read.,3.8667,1.1872,15,"[1, 5, 4, 3, 4, 4, 2, 3, 4, 4, 5, 4, 5, 5, 5]"
The author was likely to tell every story that his forgetful old father did.,3.5714,0.7559,14,"[4, 4, 4, 3, 3, 3, 5, 3, 4, 4, 4, 4, 2, 3]"
The author was likely to tell every story that his forgetful old father invented.,4.2667,0.9612,15,"[5, 3, 5, 4, 5, 5, 2, 4, 5, 5, 3, 4, 4, 5, 5]"
The author was likely to tell the story that his forgetful old father did.,3.0667,1.0328,15,"[4, 2, 3, 4, 3, 2, 3, 2, 4, 2, 4, 4, 4, 1, 4]"
The author was likely to tell the story that his forgetful old father invented.,4.0667,1.2799,15,"[1, 5, 4, 3, 5, 5, 2, 3, 4, 5, 5, 4, 5, 5, 5]"
The avid newspaper reporter was tracking down every story that the overly eager journalist covered.,4.2,1.2071,15,"[5, 4, 4, 1, 4, 5, 5, 5, 5, 5, 4, 2, 4, 5, 5]"
The avid newspaper reporter was tracking down every story that the overly eager journalist was.,2.6429,1.1507,14,"[5, 1, 3, 3, 2, 1, 2, 4, 2, 3, 3, 2, 2, 4]"
The avid newspaper reporter was tracking down the story that the overly eager journalist covered.,4.2667,0.7037,15,"[5, 5, 4, 5, 4, 4, 4, 4, 3, 5, 3, 5, 4, 5, 4]"
The avid newspaper reporter was tracking down the story that the overly eager journalist was.,3.0667,1.2228,15,"[1, 2, 2, 2, 2, 3, 5, 2, 4, 3, 5, 4, 3, 4, 4]"
The babysitter was allowed to eat every snack that the constantly unhappy child did.,3.4,1.1832,15,"[3, 5, 2, 5, 4, 2, 2, 4, 2, 4, 4, 4, 5, 3, 2]"
The babysitter was allowed to eat every snack that the constantly unhappy child rejected.,3.6667,1.291,15,"[1, 5, 1, 3, 4, 4, 3, 3, 4, 4, 5, 4, 5, 4, 5]"
The babysitter was allowed to eat the snack that the constantly unhappy child did.,2.5714,0.8516,14,"[2, 4, 3, 2, 3, 3, 2, 2, 2, 4, 3, 3, 2, 1]"
The babysitter was allowed to eat the snack that the constantly unhappy child rejected.,4.2667,0.7037,15,"[4, 3, 5, 4, 4, 5, 4, 4, 5, 5, 4, 3, 5, 4, 5]"
The babysitter was content to watch every child that her older half sister adopted.,4.2,0.9411,15,"[3, 5, 5, 4, 5, 4, 4, 5, 2, 3, 5, 5, 5, 4, 4]"
The babysitter was content to watch every child that her older half sister did.,3.6,0.9856,15,"[5, 3, 4, 4, 2, 5, 3, 4, 5, 3, 4, 4, 3, 3, 2]"
The babysitter was content to watch the child that her older half sister adopted.,4.0,1.1952,15,"[2, 5, 5, 5, 5, 4, 4, 5, 3, 5, 2, 5, 2, 4, 4]"
The babysitter was content to watch the child that her older half sister did.,2.3333,1.3452,15,"[1, 5, 4, 3, 3, 1, 1, 3, 2, 1, 3, 1, 1, 4, 2]"
The banker was excited to take every break that her very lazy supervisor assigned.,3.9333,0.8837,15,"[4, 4, 4, 4, 2, 3, 4, 5, 4, 5, 5, 4, 3, 3, 5]"
The banker was excited to take every break that her very lazy supervisor did.,3.6,1.2421,15,"[1, 5, 4, 3, 5, 4, 4, 3, 3, 2, 4, 4, 5, 5, 2]"
The banker was excited to take the break that her very lazy supervisor assigned.,3.8667,1.0601,15,"[4, 5, 4, 2, 4, 4, 4, 5, 4, 2, 5, 5, 4, 4, 2]"
The banker was excited to take the break that her very lazy supervisor did.,2.6667,0.9759,15,"[4, 2, 2, 3, 4, 1, 2, 4, 2, 3, 3, 3, 1, 3, 3]"
The banker was permitted to authorize every payment that the ambitious desk clerk did.,3.1333,1.302,15,"[1, 4, 4, 4, 5, 3, 1, 4, 2, 2, 3, 4, 3, 5, 2]"
The banker was permitted to authorize every payment that the ambitious desk clerk made.,4.2,0.6761,15,"[5, 4, 4, 5, 5, 3, 3, 4, 4, 5, 4, 4, 4, 4, 5]"
The banker was permitted to authorize the payment that the ambitious desk clerk did.,2.9333,1.0328,15,"[1, 2, 4, 4, 2, 2, 4, 4, 2, 3, 4, 3, 2, 3, 4]"
The banker was permitted to authorize the payment that the ambitious desk clerk made.,3.8667,0.9904,15,"[4, 5, 4, 2, 4, 4, 3, 5, 4, 2, 5, 4, 5, 3, 4]"
The boss was careful to copy every receipt that his inattentive eldest son did.,3.2667,0.8837,15,"[3, 4, 3, 4, 3, 2, 2, 2, 3, 3, 4, 4, 4, 3, 5]"
The boss was careful to copy every receipt that his inattentive eldest son overlooked.,4.2,1.3202,15,"[1, 5, 2, 3, 5, 5, 5, 3, 4, 5, 5, 5, 5, 5, 5]"
The boss was careful to copy the receipt that his inattentive eldest son did.,2.8,1.2071,15,"[2, 4, 2, 3, 2, 5, 4, 4, 2, 4, 3, 3, 2, 1, 1]"
The boss was careful to copy the receipt that his inattentive eldest son overlooked.,4.0,1.3093,15,"[5, 4, 5, 4, 1, 5, 4, 5, 4, 5, 2, 2, 4, 5, 5]"
The boss was nervous to attend every conference that his obnoxiously talkative employee did.,3.6667,0.6172,15,"[3, 3, 4, 4, 3, 4, 4, 4, 4, 3, 4, 3, 5, 3, 4]"
The boss was nervous to attend every conference that his obnoxiously talkative employee planned.,3.7333,0.8837,15,"[3, 5, 4, 3, 4, 4, 3, 4, 3, 4, 5, 5, 2, 4, 3]"
The boss was nervous to attend the conference that his obnoxiously talkative employee did.,3.2,1.0823,15,"[1, 5, 4, 3, 4, 3, 2, 3, 3, 2, 4, 4, 4, 4, 2]"
The boss was nervous to attend the conference that his obnoxiously talkative employee planned.,4.1333,0.6399,15,"[4, 4, 4, 4, 5, 4, 4, 3, 5, 5, 4, 4, 4, 3, 5]"
The brilliantly trained pilot was flying every plane that the newly trained copilot examined.,4.0667,0.8837,15,"[4, 4, 5, 3, 3, 5, 4, 5, 5, 4, 4, 2, 4, 5, 4]"
The brilliantly trained pilot was flying every plane that the newly trained copilot was.,2.4667,1.1255,15,"[4, 1, 3, 1, 4, 4, 1, 2, 2, 2, 3, 3, 3, 3, 1]"
The brilliantly trained pilot was flying the plane that the newly trained copilot examined.,4.0,1.0,15,"[5, 5, 4, 5, 3, 5, 3, 4, 3, 3, 4, 5, 4, 5, 2]"
The brilliantly trained pilot was flying the plane that the newly trained copilot was.,2.6,1.1832,15,"[1, 3, 4, 3, 1, 4, 2, 2, 1, 4, 4, 1, 3, 3, 3]"
The busy international banker was monitoring every account that the incredibly wealthy client opened.,4.6667,0.6172,15,"[5, 5, 5, 5, 5, 5, 4, 3, 5, 5, 4, 4, 5, 5, 5]"
The busy international banker was monitoring every account that the incredibly wealthy client was.,3.2,1.5213,15,"[4, 5, 4, 2, 2, 1, 4, 5, 1, 4, 1, 4, 2, 5, 4]"
The busy international banker was monitoring the account that the incredibly wealthy client opened.,4.7333,0.5936,15,"[5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 3, 5, 5]"
The busy international banker was monitoring the account that the incredibly wealthy client was.,2.4,1.4541,15,"[5, 1, 2, 1, 1, 4, 2, 4, 2, 3, 2, 1, 1, 2, 5]"
The careful young logician was copying down every proof that the rapidly aging mathematician reviewed.,4.2667,0.9612,15,"[5, 3, 5, 5, 2, 5, 5, 4, 3, 4, 5, 5, 4, 5, 4]"
The careful young logician was copying down every proof that the rapidly aging mathematician was.,3.1333,1.1872,15,"[1, 4, 4, 4, 2, 3, 2, 2, 2, 3, 4, 5, 3, 5, 3]"
The careful young logician was copying down the proof that the rapidly aging mathematician reviewed.,3.8667,1.302,15,"[5, 4, 5, 2, 4, 5, 2, 4, 4, 5, 3, 1, 4, 5, 5]"
The careful young logician was copying down the proof that the rapidly aging mathematician was.,2.0,0.9258,15,"[2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 4, 2, 4, 2, 2]"
The carpenter was able to handle every tool that the horribly clumsy apprentice did.,3.4667,1.1255,15,"[4, 3, 2, 3, 4, 5, 2, 4, 5, 2, 4, 4, 5, 3, 2]"
The carpenter was able to handle every tool that the horribly clumsy apprentice misused.,4.2667,0.7037,15,"[3, 5, 5, 4, 4, 4, 4, 5, 3, 4, 4, 5, 5, 4, 5]"
The carpenter was able to handle the tool that the horribly clumsy apprentice did.,2.4,1.0556,15,"[1, 1, 4, 3, 4, 2, 1, 3, 2, 2, 3, 2, 2, 4, 2]"
The carpenter was able to handle the tool that the horribly clumsy apprentice misused.,4.1429,0.8644,14,"[4, 4, 4, 4, 5, 3, 5, 5, 5, 2, 4, 4, 4, 5]"
The carpenter was committed to learning every trick that his extremely talented apprentice did.,3.4667,1.1255,15,"[1, 4, 5, 3, 4, 4, 2, 3, 3, 4, 4, 2, 4, 5, 4]"
The carpenter was committed to learning every trick that his extremely talented apprentice knew.,4.3333,0.8997,15,"[2, 3, 5, 4, 5, 5, 4, 5, 5, 5, 5, 4, 4, 5, 4]"
The carpenter was committed to learning the trick that his extremely talented apprentice did.,3.8571,0.9493,14,"[4, 3, 4, 5, 4, 5, 2, 5, 3, 3, 3, 5, 4, 4]"
The carpenter was committed to learning the trick that his extremely talented apprentice knew.,4.4,0.5071,15,"[4, 5, 5, 4, 4, 4, 4, 5, 4, 4, 5, 5, 5, 4, 4]"
The cashier was afraid to ignore every customer that the stressed out manager did.,3.4667,0.9904,15,"[4, 5, 3, 4, 4, 2, 4, 3, 2, 2, 5, 4, 4, 3, 3]"
The cashier was afraid to ignore every customer that the stressed out manager insulted.,3.3333,1.1127,15,"[1, 2, 2, 3, 5, 3, 4, 3, 4, 4, 4, 3, 3, 4, 5]"
The cashier was afraid to ignore the customer that the stressed out manager did.,3.0667,0.9612,15,"[4, 4, 2, 3, 3, 3, 3, 5, 3, 3, 4, 3, 3, 2, 1]"
The cashier was afraid to ignore the customer that the stressed out manager insulted.,4.3333,0.6172,15,"[4, 3, 5, 4, 4, 5, 4, 4, 5, 4, 5, 4, 5, 4, 5]"
The cashier was likely to inspect every bill that the painfully frugal customer did.,3.1333,1.1255,15,"[2, 4, 3, 4, 5, 2, 5, 2, 3, 2, 4, 4, 3, 2, 2]"
The cashier was likely to inspect every bill that the painfully frugal customer used.,3.9286,0.9972,14,"[1, 5, 4, 4, 4, 5, 3, 4, 4, 4, 4, 4, 4, 5]"
The cashier was likely to inspect the bill that the painfully frugal customer did.,2.7333,1.0328,15,"[4, 3, 3, 3, 3, 4, 4, 2, 2, 1, 2, 3, 4, 2, 1]"
The cashier was likely to inspect the bill that the painfully frugal customer used.,3.7333,1.0328,15,"[2, 4, 5, 4, 4, 2, 3, 4, 5, 4, 4, 2, 5, 4, 4]"
The clever head detective was examining every gun that the ambitious crime investigator mentioned.,4.5333,0.8338,15,"[5, 5, 5, 5, 5, 5, 3, 3, 5, 5, 5, 3, 4, 5, 5]"
The clever head detective was examining every gun that the ambitious crime investigator was.,3.4667,0.9904,15,"[4, 2, 5, 4, 4, 2, 4, 4, 2, 4, 3, 4, 4, 4, 2]"
The clever head detective was examining the gun that the ambitious crime investigator mentioned.,4.2667,0.9612,15,"[5, 5, 5, 5, 3, 4, 5, 3, 3, 3, 5, 5, 3, 5, 5]"
The clever head detective was examining the gun that the ambitious crime investigator was.,2.4,1.3522,15,"[4, 2, 2, 1, 2, 5, 3, 3, 2, 2, 1, 1, 1, 2, 5]"
The clown was careful to avoid every man that the intentionally mean entertainer did.,2.6667,0.8165,15,"[3, 2, 2, 3, 1, 4, 3, 3, 4, 3, 3, 3, 2, 2, 2]"
The clown was careful to avoid every man that the intentionally mean entertainer insulted.,3.6667,1.1127,15,"[3, 5, 3, 4, 5, 3, 3, 4, 3, 2, 5, 5, 5, 3, 2]"
